ID,SectorBranchesSIC2008,Periods,Employee_1,EmployedPerson_2,Employee_3,EmployedPerson_4,Total_5,Total_6,RetailTradeTurnover_7,OtherTurnover_8,OtherRevenues_9,Total_10,PurchaseValueOfSales_11,Total_12,GrossWagesAndSalaries_13,Total_14,EmployerPaidSocialInsurancePremiums_15,PensionAndEarlyRetirementPremiums_16,OtherSocialInsuranceCosts_17,OtherPersonnelCosts_18,Total_19,CostsOfEnergyUse_20,HousingCosts_21,EquipmentAndInventoryCosts_22,TransportCosts_23,SalesCosts_24,CommunicationCosts_25,CostsOfOtherServices_26,OtherLiabilities_27,DepreciationFixedAssets_28,OperatingResults_29,NetFinancialIncome_30,BalanceOfProvisions_31,NetExtraordinaryIncome_32,PreTaxResults_33
86,377800,2010JJ00,14.6,19.7,10.0,14.7,2606.0,2598.0,2417.0,181.0,8.0,2344.0,1633.0,316.0,251.0,48.0,32.0,16.0,2.0,15.0,344.0,24.0,138.0,10.0,19.0,63.0,12.0,31.0,47.0,51.0,262.0,-30.0,4.0,-3.0,234.0
87,377800,2011JJ00,15.0,19.9,10.4,14.9,2572.0,2565.0,2402.0,163.0,8.0,2327.0,1601.0,325.0,258.0,49.0,33.0,16.0,2.0,16.0,349.0,24.0,136.0,10.0,17.0,66.0,12.0,38.0,45.0,52.0,246.0,-13.0,3.0,-3.0,232.0
88,377800,2012JJ00,15.3,21.3,10.9,15.8,2676.0,2672.0,2467.0,204.0,5.0,2486.0,1659.0,369.0,279.0,59.0,41.0,18.0,2.0,29.0,391.0,26.0,163.0,12.0,17.0,65.0,14.0,33.0,61.0,67.0,190.0,-20.0,0.0,3.0,173.0
89,377800,2013JJ00,15.8,21.7,11.0,15.7,2557.0,2552.0,2370.0,182.0,5.0,2378.0,1590.0,353.0,268.0,58.0,41.0,17.0,2.0,25.0,374.0,25.0,159.0,12.0,15.0,65.0,13.0,25.0,61.0,61.0,179.0,-17.0,1.0,3.0,165.0
90,378300,2009JJ00,6.0,7.3,3.3,4.6,917.0,914.0,734.0,179.0,3.0,859.0,636.0,91.0,74.0,14.0,9.0,4.0,0.0,4.0,113.0,8.0,57.0,2.0,4.0,19.0,3.0,12.0,8.0,18.0,58.0,-9.0,1.0,3.0,53.0
91,378300,2010JJ00,6.1,7.6,3.4,4.8,915.0,911.0,735.0,176.0,4.0,854.0,621.0,97.0,78.0,14.0,10.0,4.0,0.0,5.0,118.0,7.0,58.0,1.0,4.0,23.0,3.0,13.0,8.0,18.0,61.0,-7.0,-2.0,1.0,53.0
92,378300,2011JJ00,6.2,7.5,3.5,4.8,879.0,875.0,705.0,171.0,4.0,835.0,601.0,99.0,79.0,16.0,11.0,5.0,0.0,4.0,116.0,7.0,59.0,1.0,4.0,21.0,4.0,14.0,8.0,19.0,44.0,-5.0,1.0,2.0,42.0
93,378300,2012JJ00,6.1,7.3,3.2,4.1,803.0,798.0,634.0,164.0,6.0,780.0,538.0,101.0,80.0,18.0,13.0,5.0,0.0,3.0,123.0,7.0,63.0,2.0,3.0,22.0,3.0,13.0,10.0,18.0,23.0,-3.0,-8.0,3.0,15.0
94,378300,2013JJ00,5.7,6.7,3.1,3.9,744.0,738.0,593.0,145.0,6.0,718.0,505.0,89.0,70.0,16.0,11.0,5.0,0.0,2.0,108.0,7.0,60.0,2.0,3.0,15.0,3.0,10.0,8.0,16.0,26.0,-3.0,-6.0,7.0,24.0
95,378400,2009JJ00,211.1,251.8,128.4,162.1,26358.0,26220.0,24566.0,1654.0,138.0,24929.0,15427.0,4365.0,3354.0,712.0,473.0,239.0,31.0,268.0,4331.0,264.0,1888.0,110.0,180.0,663.0,122.0,378.0,727.0,806.0,1428.0,-125.0,-5.0,264.0,1563.0
96,378400,2010JJ00,218.6,259.9,133.5,168.8,27436.0,27244.0,25773.0,1471.0,193.0,25521.0,15772.0,4452.0,3443.0,717.0,475.0,242.0,25.0,268.0,4467.0,260.0,2023.0,106.0,181.0,708.0,115.0,363.0,712.0,829.0,1915.0,192.0,1.0,32.0,2139.0
97,378400,2011JJ00,223.9,264.4,136.3,170.6,27415.0,27164.0,25662.0,1501.0,252.0,25775.0,15664.0,4664.0,3608.0,751.0,504.0,247.0,27.0,278.0,4630.0,260.0,2100.0,117.0,195.0,751.0,115.0,351.0,742.0,817.0,1640.0,261.0,2.0,28.0,1930.0
98,378400,2012JJ00,226.8,266.2,133.5,166.7,27160.0,26874.0,25220.0,1654.0,286.0,25657.0,15423.0,4719.0,3617.0,798.0,533.0,265.0,27.0,277.0,4748.0,245.0,2204.0,130.0,186.0,787.0,117.0,359.0,721.0,767.0,1503.0,332.0,-11.0,46.0,1870.0
99,378400,2013JJ00,223.0,261.5,131.3,164.2,26024.0,25771.0,24116.0,1655.0,253.0,24741.0,14633.0,4697.0,3576.0,813.0,540.0,274.0,29.0,278.0,4667.0,238.0,2180.0,114.0,180.0,755.0,114.0,362.0,725.0,744.0,1283.0,359.0,-10.0,63.0,1694.0
100,378500,2009JJ00,84.4,97.2,50.3,61.2,9192.0,9154.0,8697.0,457.0,38.0,8896.0,5029.0,1608.0,1243.0,261.0,177.0,84.0,12.0,93.0,1950.0,110.0,947.0,45.0,70.0,297.0,40.0,147.0,294.0,309.0,296.0,-20.0,1.0,367.0,643.0
101,378500,2010JJ00,87.8,100.5,53.1,65.0,9744.0,9697.0,9140.0,557.0,48.0,9204.0,5258.0,1617.0,1257.0,259.0,174.0,85.0,8.0,94.0,2017.0,113.0,1036.0,44.0,72.0,289.0,42.0,139.0,282.0,312.0,540.0,295.0,0.0,11.0,845.0
102,378500,2011JJ00,88.6,101.0,54.3,65.9,9627.0,9568.0,9100.0,469.0,59.0,9247.0,5264.0,1625.0,1265.0,262.0,176.0,86.0,9.0,89.0,2048.0,110.0,1068.0,42.0,79.0,291.0,43.0,122.0,294.0,310.0,380.0,397.0,0.0,16.0,792.0
103,378500,2012JJ00,87.9,99.1,51.6,60.9,9356.0,9310.0,8821.0,488.0,46.0,9120.0,5110.0,1643.0,1271.0,280.0,190.0,90.0,9.0,82.0,2069.0,103.0,1111.0,43.0,73.0,297.0,42.0,128.0,273.0,298.0,236.0,413.0,-9.0,40.0,679.0
104,378500,2013JJ00,86.8,97.7,50.9,60.0,9042.0,9001.0,8508.0,493.0,41.0,8895.0,4888.0,1643.0,1266.0,285.0,195.0,90.0,9.0,82.0,2074.0,103.0,1107.0,37.0,70.0,285.0,39.0,128.0,303.0,292.0,147.0,435.0,-6.0,45.0,621.0
105,379400,2009JJ00,22.8,25.0,12.6,14.5,2075.0,2072.0,2027.0,44.0,4.0,1959.0,1149.0,344.0,275.0,55.0,38.0,18.0,1.0,13.0,409.0,27.0,224.0,7.0,12.0,55.0,9.0,26.0,49.0,56.0,117.0,-20.0,-3.0,6.0,100.0
106,379400,2010JJ00,24.1,26.5,13.2,15.3,2242.0,2238.0,2182.0,56.0,3.0,2067.0,1214.0,370.0,295.0,55.0,39.0,16.0,1.0,20.0,424.0,26.0,235.0,7.0,12.0,65.0,9.0,25.0,45.0,60.0,175.0,-26.0,0.0,5.0,154.0
107,379400,2011JJ00,24.8,27.0,13.7,15.6,2273.0,2264.0,2178.0,87.0,9.0,2128.0,1232.0,383.0,304.0,59.0,43.0,16.0,1.0,19.0,452.0,27.0,242.0,7.0,13.0,74.0,8.0,26.0,53.0,61.0,146.0,-32.0,0.0,3.0,117.0
108,379400,2012JJ00,24.3,26.3,13.3,14.9,2183.0,2169.0,2071.0,97.0,14.0,2072.0,1168.0,393.0,305.0,68.0,47.0,21.0,2.0,19.0,453.0,27.0,243.0,7.0,12.0,77.0,10.0,25.0,52.0,58.0,111.0,-13.0,-5.0,-8.0,85.0
109,379400,2013JJ00,22.8,24.9,12.1,14.1,2023.0,2009.0,1916.0,93.0,14.0,1943.0,1094.0,359.0,275.0,63.0,43.0,21.0,1.0,20.0,439.0,25.0,242.0,8.0,11.0,70.0,9.0,25.0,49.0,51.0,79.0,-9.0,-3.0,2.0,70.0
110,379700,2009JJ00,25.6,26.9,16.7,17.5,5270.0,5226.0,4931.0,295.0,44.0,5058.0,3707.0,803.0,601.0,141.0,80.0,61.0,5.0,56.0,375.0,16.0,83.0,12.0,13.0,36.0,18.0,66.0,132.0,173.0,213.0,-44.0,1.0,-94.0,75.0
111,379700,2010JJ00,25.6,26.6,16.9,17.6,5416.0,5372.0,5135.0,237.0,43.0,5134.0,3786.0,821.0,618.0,145.0,83.0,62.0,5.0,53.0,352.0,15.0,86.0,12.0,15.0,23.0,13.0,71.0,118.0,176.0,281.0,-43.0,2.0,-1.0,240.0
