ID,Perioden,Overheidsinkomsten_1,Overheidsuitgaven_2,Overheidssaldo_3,OverheidsschuldEMU_4,CollectieveLasten_5,Overheidsconsumptie_6,OverheidsinkomstenSeizoengecorrigeerd_7,OverheidsuitgavenSeizoengecorrigeerd_8,OverheidssaldoSeizoengecorrigeerd_9,NettoBesparingen_10,SaldoNettoBespEnKapitaaloverdr_11,Aardgasbaten_12,Overheidsinkomsten_13,Overheidsuitgaven_14,Overheidssaldo_15,OverheidsschuldEMU_16,CollectieveLasten_17,Overheidsconsumptie_18,OverheidsinkomstenSeizoengecorrigeerd_19,OverheidsuitgavenSeizoengecorrigeerd_20,OverheidssaldoSeizoengecorrigeerd_21,NettoBesparingen_22,SaldoNettoBespEnKapitaaloverdr_23,Aardgasbaten_24,WerkzamePersonen_25,Arbeidsjaren_26,GewerkteUren_27,MaterieleOverheidsconsumptieIMOC_28
0,1995JJ00,148977.0,177808.0,-28831.0,241064.0,121137.0,73904.0,,,,-10367.0,-27779.0,,45.2,54.0,-8.7,73.2,36.8,22.4,,,,-3.1,-8.4,,997.0,909.0,1466.0,
1,1996JJ00,156377.0,162719.0,-6342.0,246052.0,127158.0,73662.0,,,,-4790.0,-5611.0,,45.4,47.2,-1.8,71.4,36.9,21.4,,,,-1.4,-1.6,,991.0,905.0,1464.0,2.1
2,1997JJ00,162832.0,168737.0,-5905.0,242893.0,133619.0,77467.0,,,,-2987.0,-4766.0,,44.1,45.7,-1.6,65.8,36.2,21.0,,,,-0.8,-1.3,,1001.0,912.0,1469.0,1.5
3,1998JJ00,170245.0,175667.0,-5422.0,247525.0,140982.0,82122.0,,,,-1984.0,-4289.0,,43.2,44.6,-1.4,62.8,35.8,20.8,,,,-0.5,-1.1,,1016.0,936.0,1484.0,1.8
4,1999KW01,44181.0,43990.0,191.0,,36478.0,20393.0,46035.0,45056.0,979.0,735.0,277.0,,,,,,,,45.1,44.1,1.0,,,,,,,
5,1999KW02,46471.0,47864.0,-1393.0,,39105.0,22663.0,44708.0,45369.0,-661.0,-430.0,-863.0,,,,,,,,43.1,43.7,-0.6,,,,,,,
6,1999KW03,43909.0,43387.0,522.0,,36872.0,20426.0,46535.0,45992.0,543.0,1558.0,1119.0,,,,,,,,44.1,43.5,0.5,,,,,,,
7,1999KW04,49318.0,47649.0,1669.0,246248.0,41769.0,22901.0,46674.0,46479.0,195.0,3244.0,2835.0,,43.8,43.6,0.2,58.7,36.8,20.6,43.2,43.1,0.2,1.2,0.8,,,,,
8,1999JJ00,183879.0,182890.0,989.0,246248.0,154224.0,86383.0,,,,5107.0,3368.0,,43.8,43.6,0.2,58.7,36.8,20.6,,,,1.2,0.8,,1043.0,948.0,1503.0,1.9
9,2000KW01,45440.0,45871.0,-431.0,255009.0,37718.0,21946.0,47321.0,46985.0,336.0,256.0,-207.0,,43.3,43.2,0.1,59.6,36.4,20.6,43.1,42.8,0.3,1.1,0.7,,,,,
