ID,Toepassingsgroepen,TeeltsectorenEnGewassen,Perioden,BedrijvenMetGebruik_1,OppervlakteMetGebruik_2,GebruikPerJaar_3,GebruikPerHectare_4,Januari_5,Februari_6,Maart_7,April_8,Mei_9,Juni_10,Juli_11,Augustus_12,September_13,Oktober_14,November_15,December_16
2324,GRONT ,WIT,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2325,GRONT ,WIT,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2326,GRONT ,WIT,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2327,GRONT ,WIT,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2328,GRONT ,PIT,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2329,GRONT ,PIT,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2330,GRONT ,PIT,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2331,GRONT ,PIT,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2332,GRONT ,PIT,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2333,GRONT ,PIT,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2334,GRONT ,APP,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2335,GRONT ,APP,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2336,GRONT ,APP,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2337,GRONT ,APP,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2338,GRONT ,APP,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2339,GRONT ,APP,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2340,GRONT ,PER,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2341,GRONT ,PER,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2342,GRONT ,PER,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2343,GRONT ,PER,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2344,GRONT ,PER,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2345,GRONT ,PER,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2346,GRONT ,BOO,1995JJ00,,94.0,523.0,0.1,0.0,0.0,38.3,8.3,28.8,23.0,0.0,0.8,0.8,0.0,0.0,0.0
2347,GRONT ,BOO,1998JJ00,,504.0,1780.0,0.2,1.0,0.6,3.9,5.2,0.7,76.8,0.0,11.2,0.0,0.0,0.0,0.6
2348,GRONT ,BOO,2000JJ00,,829.0,13248.0,1.0,0.0,0.0,0.0,19.9,71.5,0.6,0.5,0.0,7.5,0.0,0.0,0.0
2349,GRONT ,BOO,2004JJ00,,884.0,28246.0,2.0,0.0,0.0,58.1,5.8,0.0,18.4,1.3,0.7,13.1,2.6,0.0,0.0
2350,GRONT ,BOO,2008JJ00,,2068.0,39931.0,2.7,5.8,0.0,0.0,13.8,11.3,9.6,20.1,15.3,19.3,4.8,0.0,0.0
2351,GRONT ,BOO,2012JJ00,,688.0,7962.0,0.5,0.3,0.0,0.0,17.5,13.1,66.3,0.7,0.0,1.9,0.1,0.0,0.0
2352,GRONT ,BGG,1995JJ00,,,,,,,,,,,,,,,,
2353,GRONT ,BGG,1998JJ00,29.0,133.0,107.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2354,GRONT ,BGG,2000JJ00,87.0,53.0,676.0,0.3,0.0,0.0,0.0,85.6,0.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0
2355,GRONT ,BGG,2004JJ00,111.0,283.0,2529.0,1.1,0.0,0.0,0.0,20.8,0.1,2.4,2.4,7.4,38.2,28.7,0.0,0.0
2356,GRONT ,BGG,2008JJ00,115.0,981.0,5771.0,2.2,0.0,0.0,0.0,0.7,1.0,1.3,6.5,0.1,67.1,23.4,0.0,0.0
2357,GRONT ,BGG,2012JJ00,19.0,119.0,230.0,0.1,10.0,0.0,0.0,24.6,22.7,12.6,25.0,0.0,0.0,5.0,0.0,0.0
2358,GRONT ,BOS,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2359,GRONT ,BOS,1998JJ00,47.0,198.0,69.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2360,GRONT ,BOS,2000JJ00,70.0,492.0,3428.0,1.5,0.0,0.0,0.0,96.8,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0
2361,GRONT ,BOS,2004JJ00,83.0,480.0,22031.0,9.6,0.0,0.0,74.4,0.0,0.0,23.2,0.0,0.0,2.3,0.0,0.0,0.0
2362,GRONT ,BOS,2008JJ00,105.0,976.0,26447.0,9.2,0.0,0.0,0.0,15.6,16.7,5.2,28.4,23.0,8.9,2.1,0.0,0.0
2363,GRONT ,BOS,2012JJ00,70.0,439.0,7725.0,2.9,0.0,0.0,0.0,17.2,12.8,67.9,0.0,0.0,2.0,0.0,0.0,0.0
2364,GRONT ,LAA,1995JJ00,27.0,76.0,68.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2365,GRONT ,LAA,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2366,GRONT ,LAA,2000JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2367,GRONT ,LAA,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2368,GRONT ,LAA,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2369,GRONT ,LAA,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2370,GRONT ,RST,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2371,GRONT ,RST,1998JJ00,,,,,,,,,,,,,,,,
2372,GRONT ,RST,2000JJ00,25.0,109.0,5424.0,8.9,0.0,0.0,0.0,0.0,99.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0
2373,GRONT ,RST,2004JJ00,5.0,1.0,4.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2374,GRONT ,RST,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2375,GRONT ,RST,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2376,GRONT ,SIE,1995JJ00,27.0,3.0,218.0,0.1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2377,GRONT ,SIE,1998JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2378,GRONT ,SIE,2000JJ00,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2379,GRONT ,SIE,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2380,GRONT ,SIE,2008JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2381,GRONT ,SIE,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2382,GRONT ,VAS,1995JJ00,73.0,14.0,237.0,0.3,0.0,0.0,0.0,1.4,40.7,54.3,0.0,1.8,1.8,0.0,0.0,0.0
2383,GRONT ,VAS,1998JJ00,118.0,148.0,1604.0,1.7,1.1,0.7,0.0,5.7,0.8,85.3,0.0,5.7,0.0,0.0,0.0,0.7
2384,GRONT ,VAS,2000JJ00,80.0,170.0,3719.0,3.1,0.0,0.0,0.0,15.5,44.7,1.6,0.0,0.0,38.3,0.0,0.0,0.0
2385,GRONT ,VAS,2004JJ00,79.0,120.0,3681.0,2.7,0.0,0.0,0.1,30.2,0.3,0.2,8.5,0.3,60.3,0.1,0.0,0.0
2386,GRONT ,VAS,2008JJ00,45.0,111.0,7713.0,6.3,29.9,0.0,0.0,17.5,0.5,31.2,1.5,0.1,19.3,0.0,0.0,0.0
2387,GRONT ,VAS,2012JJ00,15.0,130.0,7.0,0.0,0.9,0.0,0.0,88.9,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0
2388,GRONT ,VRU,1995JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2389,GRONT ,VRU,1998JJ00,,,,,,,,,,,,,,,,
2390,GRONT ,VRU,2000JJ00,,,,,,,,,,,,,,,,
2391,GRONT ,VRU,2004JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2392,GRONT ,VRU,2008JJ00,,,,,,,,,,,,,,,,
2393,GRONT ,VRU,2012JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2394,GRONT ,BOL,1995JJ00,,1344.0,2019.0,0.1,43.1,0.0,0.0,8.4,6.7,3.4,13.3,13.6,5.2,6.4,0.0,0.0
2395,GRONT ,BOL,1998JJ00,,1593.0,6256.0,0.4,37.9,0.0,0.0,55.3,4.3,2.3,0.0,0.0,0.2,0.0,0.0,0.0
2396,GRONT ,BOL,2000JJ00,,2090.0,7034.0,0.4,98.4,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2397,GRONT ,BOL,2004JJ00,,2895.0,11084.0,0.5,3.9,0.0,0.0,94.9,1.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0
2398,GRONT ,BOL,2008JJ00,,2767.0,5608.0,0.3,0.0,0.0,0.0,91.6,6.5,1.9,0.0,0.0,0.0,0.0,0.0,0.0
2399,GRONT ,BOL,2012JJ00,,1841.0,5434.0,0.3,0.9,0.0,0.0,93.8,3.5,0.7,1.1,0.0,0.0,0.0,0.0,0.0
