ID,Toepassingsgroepen,TeeltsectorenEnGewassen,Perioden,BedrijvenMetGebruik_1,OppervlakteMetGebruik_2,GebruikPerJaar_3,GebruikPerHectare_4,Januari_5,Februari_6,Maart_7,April_8,Mei_9,Juni_10,Juli_11,Augustus_12,September_13,Oktober_14,November_15,December_16
0,TOTAAL,TOT,1995JJ00,,782099.0,5935851.0,7.6,,,,,,,,,,,,
1,TOTAAL,TOT,1998JJ00,,823198.0,5993154.0,7.3,,,,,,,,,,,,
2,TOTAAL,TOT,2000JJ00,,804256.0,5321980.0,6.6,,,,,,,,,,,,
3,TOTAAL,TOT,2004JJ00,,816727.0,5454348.0,6.6,,,,,,,,,,,,
4,TOTAAL,TOT,2008JJ00,,763926.0,5546097.0,6.8,,,,,,,,,,,,
5,TOTAAL,TOT,2012JJ00,,734939.0,5772485.0,7.4,,,,,,,,,,,,
6,TOTAAL,AKK,1995JJ00,,709142.0,4105466.0,5.8,1.0,0.0,0.0,11.7,16.6,22.0,27.2,15.5,5.1,0.8,0.0,0.0
7,TOTAAL,AKK,1998JJ00,,736096.0,4240241.0,5.8,2.3,0.0,0.0,9.2,21.8,28.1,22.5,11.4,4.6,0.3,0.0,0.0
8,TOTAAL,AKK,2000JJ00,,719441.0,3709646.0,5.2,1.4,0.0,0.0,11.2,19.7,29.0,24.6,11.2,2.6,0.3,0.0,0.0
9,TOTAAL,AKK,2004JJ00,,726473.0,3606167.0,4.9,2.1,0.0,0.0,13.8,19.4,29.5,20.8,9.7,2.4,2.3,0.0,0.0
10,TOTAAL,AKK,2008JJ00,,677608.0,3812580.0,5.3,1.9,0.0,0.0,10.4,24.4,27.7,21.7,9.6,2.4,1.9,0.0,0.0
11,TOTAAL,AKK,2012JJ00,,648725.0,3754000.0,5.5,2.4,0.0,0.0,11.1,22.9,26.1,24.6,9.4,2.7,0.7,0.0,0.0
12,TOTAAL,BRU,1995JJ00,716.0,2221.0,5213.0,2.3,0.7,0.0,0.0,7.5,47.8,27.8,16.2,0.0,0.0,0.0,0.0,0.0
13,TOTAAL,BRU,1998JJ00,589.0,1956.0,4973.0,2.5,0.0,0.0,0.0,12.5,39.2,23.7,21.3,3.2,0.0,0.0,0.0,0.0
14,TOTAAL,BRU,2000JJ00,309.0,1126.0,4506.0,4.0,0.0,0.0,0.0,2.1,28.6,19.7,31.1,15.5,3.0,0.0,0.0,0.0
15,TOTAAL,BRU,2004JJ00,496.0,2223.0,4512.0,2.0,0.6,0.0,0.0,15.5,36.2,21.8,22.9,0.8,2.2,0.0,0.0,0.0
16,TOTAAL,BRU,2008JJ00,205.0,901.0,1912.0,2.1,0.0,0.0,0.0,4.7,49.2,14.4,19.6,12.1,0.0,0.0,0.0,0.0
17,TOTAAL,BRU,2012JJ00,281.0,1595.0,3724.0,2.3,0.0,0.0,0.0,3.5,31.9,24.9,29.0,2.3,8.4,0.0,0.0,0.0
18,TOTAAL,CIC,1995JJ00,,,,,,,,,,,,,,,,
19,TOTAAL,CIC,1998JJ00,918.0,4196.0,13716.0,3.3,6.6,0.0,0.0,35.2,45.9,10.1,1.6,0.6,0.0,0.0,0.0,0.0
20,TOTAAL,CIC,2000JJ00,913.0,4756.0,14199.0,3.0,6.1,0.0,0.0,62.5,26.6,2.2,0.6,0.0,2.0,0.0,0.0,0.0
21,TOTAAL,CIC,2004JJ00,932.0,4917.0,17009.0,3.5,7.1,0.0,0.0,42.9,36.4,9.4,2.5,1.0,0.7,0.0,0.0,0.0
22,TOTAAL,CIC,2008JJ00,627.0,3278.0,14110.0,4.1,0.2,0.0,0.0,41.8,42.1,15.7,0.2,0.0,0.0,0.0,0.0,0.0
23,TOTAAL,CIC,2012JJ00,387.0,2785.0,9845.0,3.4,23.4,0.0,0.0,38.6,19.5,15.5,0.0,1.9,0.6,0.5,0.0,0.0
24,TOTAAL,CON,1995JJ00,12977.0,80157.0,926635.0,11.6,0.1,0.0,0.0,4.5,13.2,28.1,25.3,18.5,10.2,0.1,0.0,0.0
25,TOTAAL,CON,1998JJ00,11696.0,84391.0,1197182.0,14.2,0.2,0.0,0.0,0.8,11.9,32.7,29.6,15.0,9.3,0.5,0.0,0.0
26,TOTAAL,CON,2000JJ00,11136.0,87441.0,1066063.0,12.2,0.4,0.0,0.0,2.0,19.3,29.6,26.7,14.6,6.6,0.9,0.0,0.0
27,TOTAAL,CON,2004JJ00,7939.0,72598.0,819265.0,11.3,0.9,0.0,0.0,4.8,18.4,30.0,23.4,15.6,5.9,1.0,0.0,0.0
28,TOTAAL,CON,2008JJ00,6667.0,69280.0,837841.0,12.1,0.0,0.0,0.0,4.2,23.6,37.2,20.6,9.1,4.5,0.8,0.0,0.0
29,TOTAAL,CON,2012JJ00,5850.0,67113.0,780547.0,11.6,0.9,0.0,0.0,12.9,23.9,18.6,29.3,6.9,5.6,1.9,0.0,0.0
30,TOTAAL,ERG,1995JJ00,1229.0,7131.0,13171.0,1.8,4.1,0.0,0.0,19.1,36.7,36.7,3.4,0.0,0.0,0.0,0.0,0.0
31,TOTAAL,ERG,1998JJ00,785.0,4589.0,8488.0,1.8,2.0,0.0,0.0,25.6,28.6,35.4,8.4,0.0,0.0,0.0,0.0,0.0
32,TOTAAL,ERG,2000JJ00,934.0,5867.0,11566.0,2.0,3.2,0.0,0.0,27.3,36.4,26.1,7.1,0.0,0.0,0.0,0.0,0.0
33,TOTAAL,ERG,2004JJ00,725.0,4572.0,8644.0,1.8,1.1,0.0,0.0,31.0,35.0,25.5,7.4,0.0,0.0,0.0,0.0,0.0
34,TOTAAL,ERG,2008JJ00,771.0,5969.0,11453.0,1.9,1.8,0.0,0.0,14.7,49.0,25.5,9.1,0.0,0.0,0.0,0.0,0.0
35,TOTAAL,ERG,2012JJ00,360.0,2678.0,5930.0,1.7,12.3,0.0,0.0,17.5,34.6,30.6,5.1,0.0,0.0,0.0,0.0,0.0
36,TOTAAL,GRA,1995JJ00,2930.0,21893.0,40142.0,1.8,14.1,0.0,0.0,36.5,21.1,7.6,1.0,3.2,7.8,8.6,0.0,0.0
37,TOTAAL,GRA,1998JJ00,3589.0,28418.0,40075.0,1.4,16.3,0.0,0.0,39.8,22.6,10.4,4.9,1.5,4.2,0.4,0.0,0.0
38,TOTAAL,GRA,2000JJ00,2773.0,21960.0,35676.0,1.6,11.0,0.0,0.0,45.8,21.1,6.4,1.9,6.7,3.9,3.3,0.0,0.0
39,TOTAAL,GRA,2004JJ00,2503.0,23810.0,36282.0,1.4,14.5,0.0,0.0,29.4,18.6,16.0,3.3,3.2,9.4,5.7,0.0,0.0
40,TOTAAL,GRA,2008JJ00,1758.0,14683.0,24781.0,1.6,5.0,0.0,0.0,41.5,18.6,18.6,1.5,4.2,4.9,5.7,0.0,0.0
41,TOTAAL,GRA,2012JJ00,1221.0,11872.0,22896.0,1.7,22.8,0.0,0.0,21.3,15.8,16.6,5.3,0.9,4.8,12.6,0.0,0.0
42,TOTAAL,KOO,1995JJ00,,,,,,,,,,,,,,,,
43,TOTAAL,KOO,1998JJ00,,,,,,,,,,,,,,,,
44,TOTAAL,KOO,2000JJ00,108.0,854.0,1022.0,1.2,20.4,0.0,0.0,14.0,5.0,2.7,0.0,2.1,45.9,9.8,0.0,0.0
45,TOTAAL,KOO,2004JJ00,,,,,,,,,,,,,,,,
46,TOTAAL,KOO,2008JJ00,282.0,2137.0,1046.0,0.4,4.9,0.0,0.0,25.5,10.2,0.0,0.4,13.2,29.3,16.5,0.0,0.0
47,TOTAAL,KOO,2012JJ00,251.0,1844.0,2556.0,1.2,5.7,0.0,0.0,7.4,3.1,1.8,2.5,14.1,49.9,15.5,0.0,0.0
48,TOTAAL,PUI,1995JJ00,,,,,,,,,,,,,,,,
49,TOTAAL,PUI,1998JJ00,1046.0,4505.0,98771.0,21.9,8.2,0.0,0.0,10.0,17.9,35.3,25.8,2.7,0.0,0.0,0.0,0.0
50,TOTAAL,PUI,2000JJ00,1116.0,5282.0,108661.0,20.6,3.7,0.0,0.0,11.8,21.6,38.2,22.5,2.2,0.0,0.0,0.0,0.0
51,TOTAAL,PUI,2004JJ00,891.0,5603.0,108305.0,19.3,1.7,0.0,0.0,10.9,16.6,46.4,23.7,0.7,0.0,0.0,0.0,0.0
52,TOTAAL,PUI,2008JJ00,695.0,4951.0,95482.0,18.5,2.5,0.0,0.0,9.0,19.1,38.2,27.8,3.5,0.0,0.0,0.0,0.0
53,TOTAAL,PUI,2012JJ00,698.0,5499.0,85539.0,14.7,6.0,0.0,0.0,16.6,21.6,36.4,17.5,2.0,0.0,0.0,0.0,0.0
54,TOTAAL,POO,1995JJ00,3346.0,37799.0,784478.0,20.8,0.2,0.0,0.0,7.4,10.3,29.0,34.1,17.6,1.4,0.1,0.0,0.0
55,TOTAAL,POO,1998JJ00,3276.0,39948.0,666723.0,16.7,0.1,0.0,0.0,1.9,13.9,37.2,33.5,11.8,1.2,0.4,0.0,0.0
56,TOTAAL,POO,2000JJ00,3319.0,41802.0,598534.0,14.3,0.1,0.0,0.0,6.4,19.1,38.0,29.1,6.2,0.9,0.2,0.0,0.0
57,TOTAAL,POO,2004JJ00,2451.0,39739.0,567664.0,14.3,0.7,0.0,0.0,13.5,18.8,36.3,23.9,5.2,1.5,0.3,0.0,0.0
58,TOTAAL,POO,2008JJ00,2057.0,36435.0,654210.0,17.9,0.1,0.0,0.0,5.0,18.1,43.5,29.8,3.0,0.3,0.1,0.0,0.0
59,TOTAAL,POO,2012JJ00,2224.0,37567.0,949186.0,24.2,0.9,0.0,0.0,5.7,15.0,39.2,32.8,6.0,0.3,0.1,0.0,0.0
60,TOTAAL,SNY,1995JJ00,39085.0,219217.0,680642.0,3.1,0.0,0.0,0.0,3.2,42.2,51.2,3.0,0.0,0.0,0.4,0.0,0.0
61,TOTAAL,SNY,1998JJ00,35922.0,219940.0,431965.0,2.0,0.1,0.0,0.0,7.3,43.6,40.1,8.4,0.3,0.0,0.1,0.0,0.0
62,TOTAAL,SNY,2000JJ00,31236.0,205321.0,162769.0,0.8,1.2,0.0,0.0,1.1,34.5,61.0,2.2,0.0,0.0,0.0,0.0,0.0
63,TOTAAL,SNY,2004JJ00,27022.0,219897.0,183083.0,0.8,3.3,0.0,0.0,1.8,21.1,69.7,2.3,0.0,0.0,1.8,0.0,0.0
64,TOTAAL,SNY,2008JJ00,24669.0,206364.0,221574.0,0.9,0.0,0.0,0.0,16.9,54.1,29.0,0.0,0.0,0.0,0.0,0.0,0.0
65,TOTAAL,SNY,2012JJ00,24654.0,222431.0,276688.0,1.2,0.0,0.0,0.0,0.0,41.6,51.1,6.9,0.4,0.0,0.0,0.0,0.0
66,TOTAAL,SUI,1995JJ00,19189.0,116081.0,414059.0,3.6,0.7,0.0,0.0,30.1,50.8,14.0,3.8,0.2,0.3,0.1,0.0,0.0
67,TOTAAL,SUI,1998JJ00,18256.0,113032.0,394651.0,3.5,1.6,0.0,0.0,14.7,56.5,23.1,1.9,1.3,0.9,0.0,0.0,0.0
68,TOTAAL,SUI,2000JJ00,17098.0,110981.0,394753.0,3.6,1.1,0.0,0.0,23.9,58.8,15.0,0.5,0.4,0.3,0.0,0.0,0.0
69,TOTAAL,SUI,2004JJ00,13924.0,97366.0,331355.0,3.4,4.3,0.0,0.0,32.2,51.0,11.6,0.4,0.2,0.2,0.0,0.0,0.0
70,TOTAAL,SUI,2008JJ00,9198.0,67630.0,326343.0,4.5,0.5,0.0,0.0,23.2,58.0,12.7,1.4,3.1,1.1,0.0,0.0,0.0
71,TOTAAL,SUI,2012JJ00,8119.0,70979.0,331656.0,4.6,3.9,0.0,0.0,30.6,42.7,12.2,2.2,5.9,2.5,0.0,0.0,0.0
72,TOTAAL,VEL,1995JJ00,,,,,,,,,,,,,,,,
73,TOTAAL,VEL,1998JJ00,,,,,,,,,,,,,,,,
74,TOTAAL,VEL,2000JJ00,147.0,679.0,1828.0,2.7,8.5,0.0,0.0,9.0,15.9,13.7,24.7,15.5,12.7,0.0,0.0,0.0
75,TOTAAL,VEL,2004JJ00,,,,,,,,,,,,,,,,
76,TOTAAL,VEL,2008JJ00,,,,,,,,,,,,,,,,
77,TOTAAL,VEL,2012JJ00,,,,,,,,,,,,,,,,
78,TOTAAL,VLA,1995JJ00,,,,,,,,,,,,,,,,
79,TOTAAL,VLA,1998JJ00,,,,,,,,,,,,,,,,
80,TOTAAL,VLA,2000JJ00,684.0,4379.0,7357.0,1.7,6.3,0.0,0.0,26.3,65.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0
81,TOTAAL,VLA,2004JJ00,595.0,4461.0,7916.0,1.8,18.6,0.0,0.0,14.9,62.8,3.0,0.7,0.0,0.0,0.0,0.0,0.0
82,TOTAAL,VLA,2008JJ00,352.0,2562.0,3883.0,1.5,1.5,0.0,0.0,35.3,60.3,2.9,0.0,0.0,0.0,0.0,0.0,0.0
83,TOTAAL,VLA,2012JJ00,258.0,2031.0,3463.0,1.7,15.8,0.0,0.0,1.9,74.4,1.7,0.0,1.0,3.1,2.0,0.0,0.0
84,TOTAAL,WTA,1995JJ00,12354.0,125599.0,336308.0,2.7,4.4,0.0,0.0,40.7,30.4,19.3,3.1,0.4,0.2,1.5,0.0,0.0
85,TOTAAL,WTA,1998JJ00,11763.0,128276.0,404308.0,3.2,15.8,0.0,0.0,44.6,29.0,10.0,0.3,0.0,0.2,0.0,0.0,0.0
86,TOTAAL,WTA,2000JJ00,11553.0,120510.0,328333.0,2.7,8.1,0.0,0.0,51.5,29.0,7.6,1.8,0.9,0.1,1.0,0.0,0.0
87,TOTAAL,WTA,2004JJ00,10038.0,117224.0,365017.0,3.1,7.8,0.0,0.0,44.2,21.6,5.8,1.2,0.9,0.4,18.1,0.0,0.0
88,TOTAAL,WTA,2008JJ00,9396.0,137559.0,409017.0,2.9,15.8,0.0,0.0,32.9,31.0,3.2,1.3,0.2,1.0,14.7,0.0,0.0
89,TOTAAL,WTA,2012JJ00,8023.0,122712.0,287710.0,2.1,11.7,0.0,0.0,29.2,45.3,6.4,1.0,2.6,1.8,2.1,0.0,0.0
90,TOTAAL,ZUI,1995JJ00,3030.0,11659.0,201357.0,17.3,1.5,0.0,0.0,15.8,11.2,17.0,34.0,19.6,0.8,0.0,0.0,0.0
91,TOTAAL,ZUI,1998JJ00,2985.0,13225.0,306386.0,23.2,0.8,0.0,0.0,6.8,9.9,19.8,32.0,27.5,3.1,0.0,0.0,0.0
92,TOTAAL,ZUI,2000JJ00,2968.0,13988.0,297914.0,21.3,1.2,0.0,0.0,12.6,8.1,18.6,34.5,24.6,0.5,0.0,0.0,0.0
93,TOTAAL,ZUI,2004JJ00,3172.0,19888.0,412293.0,20.7,0.9,0.0,0.0,7.2,4.0,23.8,39.0,25.1,0.0,0.0,0.0,0.0
94,TOTAAL,ZUI,2008JJ00,2861.0,20301.0,446413.0,22.0,0.0,0.0,0.0,4.6,8.9,17.5,41.8,26.7,0.5,0.0,0.0,0.0
95,TOTAAL,ZUI,2012JJ00,2665.0,20559.0,393743.0,18.8,1.5,0.0,0.0,8.6,8.2,18.3,34.6,28.6,0.1,0.0,0.0,0.0
96,TOTAAL,ZET,1995JJ00,3735.0,61345.0,652277.0,10.6,0.5,0.0,0.0,8.3,12.8,13.2,32.4,19.8,11.6,1.4,0.0,0.0
97,TOTAAL,ZET,1998JJ00,3516.0,56962.0,627750.0,11.0,0.6,0.0,0.0,6.6,9.2,21.1,32.4,20.6,9.2,0.3,0.0,0.0
98,TOTAAL,ZET,2000JJ00,2918.0,50958.0,616715.0,12.1,0.0,0.0,0.0,5.0,10.4,29.8,30.1,19.9,4.8,0.0,0.0,0.0
99,TOTAAL,ZET,2004JJ00,2163.0,51496.0,652646.0,12.7,0.4,0.0,0.0,6.3,5.4,37.6,34.1,12.4,3.7,0.2,0.0,0.0
100,TOTAAL,ZET,2008JJ00,1741.0,46034.0,675961.0,14.7,0.3,0.0,0.0,4.2,7.4,28.3,34.7,18.9,5.9,0.3,0.0,0.0
101,TOTAAL,ZET,2012JJ00,1390.0,41941.0,547097.0,12.6,0.9,0.0,0.0,2.9,7.6,26.6,36.9,17.7,7.0,0.3,0.0,0.0
102,TOTAAL,ZTA,1995JJ00,,,,,,,,,,,,,,,,
103,TOTAAL,ZTA,1998JJ00,,,,,,,,,,,,,,,,
104,TOTAAL,ZTA,2000JJ00,,,,,,,,,,,,,,,,
105,TOTAAL,ZTA,2004JJ00,3386.0,19420.0,35703.0,1.7,0.3,0.0,0.0,1.5,70.3,25.4,0.8,1.7,0.0,0.0,0.0,0.0
106,TOTAAL,ZTA,2008JJ00,2353.0,15542.0,28360.0,1.8,0.0,0.0,0.0,5.4,50.6,29.6,0.0,12.0,2.5,0.0,0.0,0.0
107,TOTAAL,ZTA,2012JJ00,1731.0,13484.0,21448.0,1.4,7.4,0.0,0.0,2.4,64.1,14.7,0.0,10.6,0.8,0.0,0.0,0.0
108,TOTAAL,ZOM,1995JJ00,6907.0,32480.0,51184.0,1.6,0.2,0.0,0.0,6.4,68.1,19.8,4.6,0.7,0.0,0.2,0.0,0.0
109,TOTAAL,ZOM,1998JJ00,6626.0,36658.0,45252.0,1.2,0.7,0.0,0.0,5.9,74.5,16.4,0.4,0.0,2.0,0.0,0.0,0.0
110,TOTAAL,ZOM,2000JJ00,3113.0,43537.0,59749.0,1.4,0.1,0.0,0.0,3.2,62.5,31.8,1.1,0.3,0.0,1.0,0.0,0.0
111,TOTAAL,ZOM,2004JJ00,6160.0,43259.0,56471.0,1.3,0.0,0.0,0.0,9.1,71.8,17.0,2.1,0.1,0.0,0.0,0.0,0.0
112,TOTAAL,ZOM,2008JJ00,4959.0,43981.0,60195.0,1.3,1.8,0.0,0.0,4.7,59.8,28.9,0.3,4.5,0.0,0.0,0.0,0.0
113,TOTAAL,ZOM,2012JJ00,2936.0,23636.0,31972.0,1.2,1.4,0.0,0.0,0.9,84.8,12.1,0.0,0.0,0.8,0.0,0.0,0.0
114,TOTAAL,GRO,1995JJ00,,37210.0,164378.0,4.4,0.6,0.0,0.0,4.5,18.6,16.1,19.2,19.9,14.1,7.0,0.0,0.0
115,TOTAAL,GRO,1998JJ00,,34165.0,181632.0,5.3,1.3,0.0,0.0,5.1,14.0,14.5,21.4,24.4,14.8,4.6,0.0,0.0
116,TOTAAL,GRO,2000JJ00,,28186.0,158098.0,5.6,0.7,0.0,0.0,4.0,17.7,20.9,17.2,21.2,13.3,5.2,0.0,0.0
117,TOTAAL,GRO,2004JJ00,,31778.0,150388.0,4.7,1.0,0.0,0.0,5.2,16.4,19.1,20.1,17.8,12.6,7.9,0.0,0.0
118,TOTAAL,GRO,2008JJ00,,27100.0,99868.0,3.2,1.1,0.0,0.0,5.8,21.9,19.0,19.7,19.8,10.1,2.5,0.0,0.0
119,TOTAAL,GRO,2012JJ00,,27660.0,130369.0,4.1,3.5,0.0,0.0,4.5,24.0,15.3,23.4,15.3,10.3,3.7,0.0,0.0
120,TOTAAL,AAR,1995JJ00,1491.0,1763.0,17237.0,9.8,0.9,0.0,0.0,6.5,17.7,16.5,14.7,17.3,16.4,9.9,0.0,0.0
121,TOTAAL,AAR,1998JJ00,1310.0,1968.0,16701.0,8.5,5.1,0.0,0.0,7.4,19.6,15.7,17.4,16.5,9.2,9.1,0.0,0.0
122,TOTAAL,AAR,2000JJ00,1005.0,1746.0,15687.0,9.0,2.1,0.0,0.0,11.3,25.0,22.2,14.2,12.7,9.0,3.4,0.0,0.0
123,TOTAAL,AAR,2004JJ00,713.0,2012.0,21427.0,10.1,2.9,0.0,0.0,6.6,17.8,18.7,18.2,13.9,9.7,12.1,0.0,0.0
124,TOTAAL,AAR,2008JJ00,334.0,1200.0,7278.0,5.8,1.4,0.0,0.0,8.1,23.7,22.1,20.7,16.1,5.7,2.2,0.0,0.0
125,TOTAAL,AAR,2012JJ00,321.0,1299.0,15476.0,10.4,5.6,0.0,0.0,5.7,18.4,26.3,24.3,17.2,2.2,0.3,0.0,0.0
126,TOTAAL,ASP,1995JJ00,1789.0,2324.0,14099.0,6.1,1.7,0.0,0.0,3.4,4.4,17.9,17.2,33.0,20.3,2.1,0.0,0.0
127,TOTAAL,ASP,1998JJ00,1591.0,2304.0,15230.0,6.6,1.6,0.0,0.0,1.5,5.3,16.5,17.5,38.6,18.4,0.6,0.0,0.0
128,TOTAAL,ASP,2000JJ00,1370.0,2084.0,17347.0,8.3,1.1,0.0,0.0,1.2,6.8,20.1,17.2,39.1,14.4,0.0,0.0,0.0
129,TOTAAL,ASP,2004JJ00,954.0,2275.0,9751.0,4.1,2.2,0.0,0.0,4.9,4.3,22.6,18.5,30.4,17.0,0.0,0.0,0.0
130,TOTAAL,ASP,2008JJ00,525.0,1738.0,13931.0,5.6,0.2,0.0,0.0,0.3,5.5,16.7,25.5,34.4,17.4,0.0,0.0,0.0
131,TOTAAL,ASP,2012JJ00,499.0,2190.0,10654.0,3.7,0.0,0.0,0.0,0.2,7.7,8.9,32.6,32.9,17.7,0.0,0.0,0.0
132,TOTAAL,BLK,1995JJ00,,,,,,,,,,,,,,,,
133,TOTAAL,BLK,1998JJ00,,,,,,,,,,,,,,,,
134,TOTAAL,BLK,2000JJ00,,,,,,,,,,,,,,,,
135,TOTAAL,BLK,2004JJ00,395.0,2292.0,2760.0,1.2,11.9,0.0,0.0,10.9,10.2,17.1,26.0,11.0,5.7,7.3,0.0,0.0
136,TOTAAL,BLK,2008JJ00,306.0,2480.0,2951.0,1.2,2.6,0.0,0.0,13.7,15.6,11.5,25.6,15.3,9.8,5.7,0.0,0.0
137,TOTAAL,BLK,2012JJ00,262.0,2205.0,3337.0,1.5,7.1,0.0,0.0,7.0,13.0,13.0,27.8,15.5,12.1,4.4,0.0,0.0
138,TOTAAL,BRO,1995JJ00,,,,,,,,,,,,,,,,
139,TOTAAL,BRO,1998JJ00,,,,,,,,,,,,,,,,
140,TOTAAL,BRO,2000JJ00,,,,,,,,,,,,,,,,
141,TOTAAL,BRO,2004JJ00,,,,,,,,,,,,,,,,
142,TOTAAL,BRO,2008JJ00,,,,,,,,,,,,,,,,
143,TOTAAL,BRO,2012JJ00,110.0,1767.0,1628.0,0.9,12.5,0.0,0.0,16.8,14.9,21.5,17.0,14.3,2.3,0.6,0.0,0.0
144,TOTAAL,PRE,1995JJ00,1663.0,3854.0,27099.0,7.0,1.2,0.0,0.0,2.2,4.3,6.2,21.3,21.2,22.7,20.9,0.0,0.0
145,TOTAAL,PRE,1998JJ00,1360.0,3641.0,30114.0,8.3,3.5,0.0,0.0,6.3,3.5,9.5,14.4,17.8,28.3,16.7,0.0,0.0
146,TOTAAL,PRE,2000JJ00,1035.0,3184.0,24133.0,7.6,2.4,0.0,0.0,1.8,2.2,6.8,13.7,26.3,27.2,19.6,0.0,0.0
147,TOTAAL,PRE,2004JJ00,721.0,3007.0,22741.0,7.5,0.5,0.0,0.0,1.8,1.4,3.9,15.1,22.0,30.4,24.7,0.0,0.0
148,TOTAAL,PRE,2008JJ00,473.0,2510.0,7047.0,2.3,2.0,0.0,0.0,3.8,12.4,12.4,20.5,25.2,18.9,4.8,0.0,0.0
149,TOTAAL,PRE,2012JJ00,323.0,2133.0,11703.0,4.8,4.9,0.0,0.0,3.5,9.4,14.2,22.7,12.7,12.8,19.7,0.0,0.0
150,TOTAAL,SCH,1995JJ00,458.0,1480.0,20052.0,13.5,0.0,0.0,0.0,8.1,10.4,5.4,30.9,31.2,12.7,1.2,0.0,0.0
151,TOTAAL,SCH,1998JJ00,477.0,1839.0,24441.0,13.3,0.0,0.0,0.0,4.5,8.8,14.9,40.8,25.5,5.5,0.0,0.0,0.0
152,TOTAAL,SCH,2000JJ00,,,,,,,,,,,,,,,,
153,TOTAAL,SCH,2004JJ00,233.0,1020.0,9705.0,9.5,0.0,0.0,0.0,9.9,7.9,8.9,40.2,26.8,6.3,0.0,0.0,0.0
154,TOTAAL,SCH,2008JJ00,179.0,959.0,5488.0,5.7,0.3,0.0,0.0,4.0,25.5,11.9,20.9,26.1,11.3,0.0,0.0,0.0
155,TOTAAL,SCH,2012JJ00,119.0,802.0,7628.0,8.7,0.3,0.0,0.0,5.3,16.0,5.0,43.3,8.1,22.1,0.0,0.0,0.0
156,TOTAAL,SLA,1995JJ00,586.0,1042.0,5159.0,5.0,3.6,0.0,0.0,4.4,11.2,21.0,22.5,22.6,14.2,0.4,0.0,0.0
157,TOTAAL,SLA,1998JJ00,,,,,,,,,,,,,,,,
158,TOTAAL,SLA,2000JJ00,,,,,,,,,,,,,,,,
159,TOTAAL,SLA,2004JJ00,,,,,,,,,,,,,,,,
160,TOTAAL,SLA,2008JJ00,,,,,,,,,,,,,,,,
161,TOTAAL,SLA,2012JJ00,,,,,,,,,,,,,,,,
162,TOTAAL,SLU,1995JJ00,1602.0,2922.0,6661.0,2.3,0.0,0.0,0.0,2.0,17.5,16.6,14.6,26.8,17.5,4.9,0.0,0.0
163,TOTAAL,SLU,1998JJ00,1135.0,2941.0,7038.0,2.4,1.1,0.0,0.0,2.5,28.4,15.0,13.3,22.9,14.4,2.4,0.0,0.0
164,TOTAAL,SLU,2000JJ00,1108.0,2544.0,6124.0,2.4,0.0,0.0,0.0,6.1,26.6,12.0,9.7,29.7,14.0,1.9,0.0,0.0
165,TOTAAL,SLU,2004JJ00,674.0,2537.0,4763.0,1.9,2.9,0.0,0.0,22.9,21.2,18.7,12.7,12.6,8.0,0.9,0.0,0.0
166,TOTAAL,SLU,2008JJ00,538.0,2870.0,5905.0,1.9,4.9,0.0,0.0,5.9,24.8,14.9,13.8,17.7,17.2,1.0,0.0,0.0
167,TOTAAL,SLU,2012JJ00,447.0,2420.0,8791.0,3.4,8.6,0.0,0.0,4.6,30.5,15.5,8.3,12.6,19.0,0.9,0.0,0.0
168,TOTAAL,SPR,1995JJ00,872.0,4388.0,15741.0,3.6,0.0,0.0,0.0,2.1,5.7,18.1,19.7,18.4,24.2,11.8,0.0,0.0
169,TOTAAL,SPR,1998JJ00,778.0,4622.0,23230.0,5.0,0.0,0.0,0.0,8.6,9.6,6.3,17.7,27.3,27.0,3.5,0.0,0.0
170,TOTAAL,SPR,2000JJ00,656.0,4834.0,35406.0,7.3,0.0,0.0,0.0,2.2,3.6,8.4,16.4,29.3,26.6,13.6,0.0,0.0
171,TOTAAL,SPR,2004JJ00,383.0,3465.0,25612.0,7.4,0.0,0.0,0.0,5.7,5.7,12.5,29.5,18.5,16.5,11.7,0.0,0.0
172,TOTAAL,SPR,2008JJ00,281.0,2611.0,14033.0,4.3,0.5,0.0,0.0,3.0,11.2,16.5,20.1,25.2,12.8,10.7,0.0,0.0
173,TOTAAL,SPR,2012JJ00,193.0,2592.0,19614.0,7.2,2.3,0.0,0.0,1.1,8.5,4.9,29.2,30.4,13.6,9.8,0.0,0.0
174,TOTAAL,STA,1995JJ00,1153.0,4678.0,11135.0,2.4,0.4,0.0,0.0,4.5,13.6,37.3,25.7,17.3,1.2,0.0,0.0,0.0
175,TOTAAL,STA,1998JJ00,989.0,4852.0,14793.0,3.0,0.0,0.0,0.0,3.2,18.0,21.6,25.3,28.4,3.5,0.0,0.0,0.0
176,TOTAAL,STA,2000JJ00,712.0,3627.0,9217.0,2.5,0.4,0.0,0.0,0.2,9.7,26.0,35.7,22.6,5.1,0.2,0.0,0.0
177,TOTAAL,STA,2004JJ00,612.0,4404.0,12004.0,2.7,0.5,0.0,0.0,3.6,16.1,27.6,26.2,23.0,3.1,0.0,0.0,0.0
178,TOTAAL,STA,2008JJ00,478.0,3288.0,8233.0,2.4,0.0,0.0,0.0,2.0,12.9,28.8,32.3,23.5,0.6,0.0,0.0,0.0
179,TOTAAL,STA,2012JJ00,297.0,2036.0,7521.0,3.1,0.0,0.0,0.0,2.1,21.6,22.3,37.6,11.9,4.2,0.3,0.0,0.0
