ID,Betalingsplichtigen,Perioden,TotaalMilieubelastingenEnHeffingen_1,TotaleOpbrengstMilieubelastingen_2,TotaalBelastingenOpMilieugrondslag_3,Afvalstoffenbelasting_4,Brandstoffenbelasting_5,Energiebelasting_6,Emissierechten_7,LeidingwaterEnGrondwaterbelasting_8,Verpakkingenbelasting_9,Vliegbelasting_10,TotaalBelastingenMBTMobiliteit_11,AccijnsOpBenzineEnOvMineraleOlien_12,BelastPersonenautoSEnMotorrijwielen_13,Motorrijtuigenbelasting_14,Mineralenheffingen_15,TotaleOpbrengstMilieuheffingen_16,AfvalstoffenheffingEnReinigingsrechten_17,GeluidsheffingBurgerluchtvaart_18,GrondwaterheffingEnNazorgheffing_19,RioolheffingEnRioolrechten_20,Waterverontreinigingsheffing_21
411,320700 ,2014JJ00,182.0,153.0,138.0,0.0,0.0,126.0,3.0,9.0,0.0,,15.0,9.0,1.0,5.0,,29.0,12.0,,0.0,4.0,13.0
412,320700 ,2015JJ00,186.0,156.0,138.0,2.0,0.0,123.0,3.0,10.0,0.0,,18.0,10.0,1.0,7.0,,30.0,12.0,,0.0,4.0,14.0
413,320700 ,2016JJ00,169.0,138.0,125.0,2.0,0.0,112.0,1.0,10.0,0.0,,13.0,8.0,0.0,5.0,,31.0,12.0,,0.0,4.0,15.0
414,320700 ,2017JJ00,189.0,165.0,151.0,1.0,0.0,132.0,9.0,9.0,0.0,,14.0,8.0,1.0,5.0,,24.0,10.0,,0.0,4.0,10.0
415,320700 ,2018JJ00,213.0,187.0,171.0,1.0,0.0,149.0,12.0,9.0,0.0,,16.0,9.0,1.0,6.0,,26.0,10.0,,0.0,5.0,11.0
416,320700 ,2019JJ00,239.0,216.0,202.0,3.0,0.0,160.0,31.0,8.0,0.0,,14.0,10.0,1.0,3.0,,23.0,10.0,,0.0,4.0,9.0
417,320700 ,2020JJ00,259.0,234.0,223.0,3.0,0.0,186.0,26.0,8.0,0.0,,11.0,8.0,0.0,3.0,,25.0,12.0,,0.0,4.0,9.0
418,320700 ,2021JJ00,347.0,314.0,304.0,4.0,0.0,265.0,25.0,10.0,0.0,0.0,10.0,9.0,0.0,1.0,,33.0,17.0,,0.0,6.0,10.0
419,320700 ,2022JJ00,508.0,476.0,466.0,3.0,0.0,359.0,95.0,9.0,0.0,0.0,10.0,6.0,0.0,4.0,,32.0,16.0,,0.0,4.0,12.0
420,323200 ,1995JJ00,10.0,5.0,4.0,1.0,1.0,0.0,0.0,2.0,,,1.0,0.0,0.0,1.0,,5.0,3.0,,0.0,0.0,2.0
421,323200 ,1996JJ00,10.0,6.0,5.0,1.0,1.0,1.0,0.0,2.0,,,1.0,0.0,0.0,1.0,,4.0,2.0,,0.0,0.0,2.0
422,323200 ,1997JJ00,10.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,5.0,3.0,,0.0,0.0,2.0
423,323200 ,1998JJ00,12.0,8.0,8.0,1.0,3.0,1.0,0.0,3.0,,,0.0,0.0,0.0,0.0,,4.0,2.0,,0.0,0.0,2.0
424,323200 ,1999JJ00,12.0,7.0,7.0,1.0,3.0,1.0,0.0,2.0,,,0.0,0.0,0.0,0.0,,5.0,2.0,,1.0,0.0,2.0
425,323200 ,2000JJ00,13.0,8.0,8.0,2.0,2.0,1.0,0.0,3.0,,,0.0,0.0,0.0,0.0,,5.0,2.0,,1.0,0.0,2.0
426,323200 ,2001JJ00,15.0,10.0,10.0,2.0,1.0,5.0,0.0,2.0,,,0.0,0.0,0.0,0.0,,5.0,2.0,,1.0,0.0,2.0
427,323200 ,2002JJ00,12.0,6.0,6.0,1.0,1.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,,6.0,2.0,,2.0,0.0,2.0
428,323200 ,2003JJ00,12.0,6.0,6.0,1.0,1.0,2.0,0.0,2.0,,,0.0,0.0,0.0,0.0,,6.0,3.0,,1.0,0.0,2.0
429,323200 ,2004JJ00,12.0,6.0,6.0,0.0,0.0,4.0,0.0,2.0,,,0.0,0.0,0.0,0.0,,6.0,3.0,,1.0,0.0,2.0
430,323200 ,2005JJ00,17.0,11.0,11.0,0.0,0.0,9.0,0.0,2.0,,,0.0,0.0,0.0,0.0,,6.0,3.0,,1.0,0.0,2.0
431,323200 ,2006JJ00,19.0,14.0,13.0,1.0,0.0,10.0,0.0,2.0,,,1.0,0.0,0.0,1.0,,5.0,3.0,,0.0,0.0,2.0
432,323200 ,2007JJ00,16.0,12.0,11.0,1.0,0.0,8.0,0.0,2.0,,,1.0,0.0,0.0,1.0,,4.0,2.0,,0.0,0.0,2.0
433,323200 ,2008JJ00,21.0,16.0,16.0,1.0,0.0,8.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,,0.0,1.0,2.0
434,323200 ,2009JJ00,23.0,19.0,19.0,0.0,0.0,8.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,,4.0,2.0,,0.0,0.0,2.0
435,323200 ,2010JJ00,23.0,19.0,19.0,1.0,0.0,7.0,0.0,1.0,10.0,,0.0,0.0,0.0,0.0,,4.0,2.0,,0.0,0.0,2.0
436,323200 ,2011JJ00,23.0,19.0,18.0,1.0,0.0,7.0,0.0,1.0,9.0,,1.0,0.0,1.0,0.0,,4.0,2.0,,0.0,0.0,2.0
437,323200 ,2012JJ00,22.0,17.0,17.0,0.0,0.0,7.0,0.0,1.0,9.0,,0.0,0.0,0.0,0.0,,5.0,2.0,,0.0,0.0,3.0
438,323200 ,2013JJ00,11.0,6.0,6.0,-1.0,0.0,7.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,5.0,2.0,,0.0,0.0,3.0
439,323200 ,2014JJ00,15.0,10.0,10.0,0.0,0.0,9.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,5.0,2.0,,0.0,0.0,3.0
440,323200 ,2015JJ00,16.0,11.0,11.0,1.0,0.0,9.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,,5.0,2.0,,0.0,0.0,3.0
441,323200 ,2016JJ00,16.0,11.0,10.0,1.0,0.0,8.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,5.0,2.0,,0.0,0.0,3.0
442,323200 ,2017JJ00,19.0,14.0,11.0,0.0,0.0,9.0,0.0,2.0,0.0,,3.0,2.0,1.0,0.0,,5.0,1.0,,0.0,0.0,4.0
443,323200 ,2018JJ00,18.0,13.0,12.0,0.0,0.0,10.0,0.0,2.0,0.0,,1.0,1.0,0.0,0.0,,5.0,1.0,,0.0,0.0,4.0
444,323200 ,2019JJ00,20.0,16.0,15.0,0.0,0.0,12.0,0.0,3.0,0.0,,1.0,1.0,0.0,0.0,,4.0,1.0,,0.0,0.0,3.0
445,323200 ,2020JJ00,26.0,21.0,19.0,0.0,0.0,16.0,0.0,3.0,0.0,,2.0,2.0,0.0,0.0,,5.0,1.0,,0.0,0.0,4.0
446,323200 ,2021JJ00,23.0,19.0,17.0,0.0,0.0,15.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,,4.0,1.0,,0.0,0.0,3.0
447,323200 ,2022JJ00,29.0,24.0,23.0,0.0,0.0,20.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,,5.0,2.0,,0.0,0.0,3.0
448,323705 ,1995JJ00,46.0,34.0,11.0,1.0,9.0,0.0,0.0,1.0,,,23.0,10.0,5.0,8.0,,12.0,4.0,,0.0,2.0,6.0
449,323705 ,1996JJ00,49.0,39.0,17.0,2.0,10.0,4.0,0.0,1.0,,,22.0,9.0,7.0,6.0,,10.0,4.0,,0.0,1.0,5.0
450,323705 ,1997JJ00,52.0,40.0,20.0,1.0,9.0,9.0,0.0,1.0,,,20.0,8.0,6.0,6.0,,12.0,4.0,,1.0,1.0,6.0
451,323705 ,1998JJ00,59.0,47.0,21.0,2.0,9.0,9.0,0.0,1.0,,,26.0,10.0,8.0,8.0,,12.0,5.0,,1.0,2.0,5.0
452,323705 ,1999JJ00,69.0,58.0,31.0,2.0,8.0,20.0,0.0,1.0,,,27.0,16.0,9.0,2.0,,11.0,3.0,,1.0,2.0,5.0
453,323705 ,2000JJ00,77.0,64.0,39.0,3.0,9.0,26.0,0.0,1.0,,,25.0,16.0,9.0,0.0,,13.0,4.0,,2.0,2.0,5.0
454,323705 ,2001JJ00,90.0,77.0,58.0,4.0,5.0,45.0,0.0,4.0,,,19.0,12.0,7.0,0.0,,13.0,4.0,,2.0,2.0,5.0
455,323705 ,2002JJ00,70.0,58.0,38.0,2.0,5.0,27.0,0.0,4.0,,,20.0,12.0,6.0,2.0,,12.0,4.0,,2.0,1.0,5.0
456,323705 ,2003JJ00,74.0,62.0,36.0,1.0,5.0,25.0,0.0,5.0,,,26.0,15.0,6.0,5.0,,12.0,5.0,,0.0,2.0,5.0
457,323705 ,2004JJ00,87.0,76.0,57.0,1.0,1.0,50.0,0.0,5.0,,,19.0,8.0,6.0,5.0,,11.0,4.0,,0.0,2.0,5.0
458,323705 ,2005JJ00,144.0,132.0,106.0,1.0,0.0,100.0,0.0,5.0,,,26.0,12.0,6.0,8.0,,12.0,4.0,,1.0,2.0,5.0
459,323705 ,2006JJ00,161.0,149.0,121.0,3.0,0.0,113.0,0.0,5.0,,,28.0,13.0,7.0,8.0,,12.0,5.0,,0.0,2.0,5.0
460,323705 ,2007JJ00,131.0,117.0,95.0,3.0,0.0,87.0,0.0,5.0,,,22.0,9.0,7.0,6.0,,14.0,6.0,,1.0,2.0,5.0
461,323705 ,2008JJ00,168.0,157.0,126.0,2.0,0.0,114.0,0.0,5.0,5.0,0.0,31.0,15.0,8.0,8.0,,11.0,6.0,,0.0,1.0,4.0
462,323705 ,2009JJ00,135.0,124.0,103.0,0.0,0.0,91.0,0.0,4.0,8.0,0.0,21.0,10.0,5.0,6.0,,11.0,6.0,,0.0,1.0,4.0
463,323705 ,2010JJ00,135.0,121.0,97.0,1.0,0.0,87.0,0.0,1.0,8.0,,24.0,15.0,3.0,6.0,,14.0,6.0,,0.0,2.0,6.0
464,323705 ,2011JJ00,136.0,122.0,98.0,0.0,0.0,88.0,1.0,1.0,8.0,,24.0,13.0,3.0,8.0,,14.0,6.0,,0.0,2.0,6.0
465,323705 ,2012JJ00,119.0,105.0,81.0,-1.0,0.0,72.0,1.0,1.0,8.0,,24.0,14.0,2.0,8.0,,14.0,6.0,,0.0,4.0,4.0
466,323705 ,2013JJ00,120.0,105.0,86.0,0.0,0.0,83.0,1.0,2.0,0.0,,19.0,10.0,2.0,7.0,,15.0,6.0,,0.0,4.0,5.0
467,323705 ,2014JJ00,127.0,112.0,93.0,0.0,0.0,92.0,-1.0,2.0,0.0,,19.0,10.0,2.0,7.0,,15.0,6.0,,0.0,4.0,5.0
468,323705 ,2015JJ00,129.0,115.0,95.0,0.0,0.0,93.0,0.0,2.0,0.0,,20.0,9.0,2.0,9.0,,14.0,6.0,,0.0,4.0,4.0
469,323705 ,2016JJ00,128.0,114.0,94.0,0.0,0.0,92.0,0.0,2.0,0.0,,20.0,12.0,2.0,6.0,,14.0,6.0,,0.0,4.0,4.0
470,323705 ,2017JJ00,144.0,131.0,114.0,1.0,0.0,111.0,0.0,2.0,0.0,,17.0,9.0,2.0,6.0,,13.0,6.0,,0.0,4.0,3.0
471,323705 ,2018JJ00,162.0,150.0,131.0,1.0,0.0,128.0,0.0,2.0,0.0,,19.0,10.0,3.0,6.0,,12.0,6.0,,0.0,3.0,3.0
472,323705 ,2019JJ00,172.0,161.0,144.0,1.0,0.0,141.0,0.0,2.0,0.0,,17.0,10.0,2.0,5.0,,11.0,5.0,,0.0,3.0,3.0
473,323705 ,2020JJ00,193.0,180.0,163.0,1.0,0.0,163.0,-3.0,2.0,0.0,,17.0,9.0,2.0,6.0,,13.0,5.0,,0.0,4.0,4.0
474,323705 ,2021JJ00,202.0,188.0,175.0,1.0,0.0,168.0,3.0,3.0,0.0,0.0,13.0,8.0,2.0,3.0,,14.0,6.0,,0.0,4.0,4.0
475,323705 ,2022JJ00,270.0,251.0,235.0,1.0,0.0,221.0,10.0,3.0,0.0,0.0,16.0,8.0,2.0,6.0,,19.0,7.0,,0.0,4.0,8.0
476,323700 ,1995JJ00,19.0,13.0,3.0,1.0,1.0,0.0,0.0,1.0,,,10.0,6.0,2.0,2.0,,6.0,1.0,,0.0,1.0,4.0
477,323700 ,1996JJ00,19.0,14.0,6.0,1.0,2.0,2.0,0.0,1.0,,,8.0,4.0,2.0,2.0,,5.0,1.0,,0.0,1.0,3.0
478,323700 ,1997JJ00,24.0,17.0,9.0,1.0,2.0,6.0,0.0,0.0,,,8.0,4.0,2.0,2.0,,7.0,1.0,,1.0,1.0,4.0
479,323700 ,1998JJ00,27.0,20.0,11.0,1.0,2.0,7.0,0.0,1.0,,,9.0,6.0,2.0,1.0,,7.0,2.0,,1.0,1.0,3.0
480,323700 ,1999JJ00,35.0,29.0,17.0,1.0,2.0,13.0,0.0,1.0,,,12.0,10.0,2.0,0.0,,6.0,1.0,,1.0,1.0,3.0
481,323700 ,2000JJ00,37.0,30.0,18.0,1.0,2.0,14.0,0.0,1.0,,,12.0,10.0,2.0,0.0,,7.0,1.0,,2.0,1.0,3.0
482,323700 ,2001JJ00,49.0,42.0,32.0,2.0,1.0,26.0,0.0,3.0,,,10.0,8.0,2.0,0.0,,7.0,1.0,,2.0,1.0,3.0
483,323700 ,2002JJ00,38.0,31.0,21.0,1.0,1.0,16.0,0.0,3.0,,,10.0,8.0,2.0,0.0,,7.0,1.0,,2.0,1.0,3.0
484,323700 ,2003JJ00,34.0,29.0,19.0,0.0,1.0,14.0,0.0,4.0,,,10.0,8.0,2.0,0.0,,5.0,1.0,,0.0,1.0,3.0
485,323700 ,2004JJ00,44.0,39.0,32.0,0.0,1.0,27.0,0.0,4.0,,,7.0,4.0,3.0,0.0,,5.0,1.0,,0.0,1.0,3.0
486,323700 ,2005JJ00,71.0,65.0,56.0,0.0,0.0,52.0,0.0,4.0,,,9.0,6.0,2.0,1.0,,6.0,1.0,,1.0,1.0,3.0
487,323700 ,2006JJ00,83.0,77.0,66.0,1.0,0.0,61.0,0.0,4.0,,,11.0,8.0,2.0,1.0,,6.0,2.0,,0.0,1.0,3.0
488,323700 ,2007JJ00,64.0,57.0,48.0,1.0,0.0,43.0,0.0,4.0,,,9.0,6.0,2.0,1.0,,7.0,2.0,,1.0,1.0,3.0
489,323700 ,2008JJ00,81.0,76.0,65.0,1.0,0.0,58.0,0.0,4.0,2.0,0.0,11.0,8.0,2.0,1.0,,5.0,2.0,,0.0,1.0,2.0
490,323700 ,2009JJ00,64.0,59.0,50.0,0.0,0.0,43.0,0.0,3.0,4.0,0.0,9.0,6.0,2.0,1.0,,5.0,2.0,,0.0,1.0,2.0
491,323700 ,2010JJ00,63.0,58.0,46.0,0.0,0.0,41.0,0.0,1.0,4.0,,12.0,10.0,1.0,1.0,,5.0,2.0,,0.0,1.0,2.0
492,323700 ,2011JJ00,58.0,53.0,45.0,0.0,0.0,41.0,0.0,0.0,4.0,,8.0,6.0,1.0,1.0,,5.0,2.0,,0.0,1.0,2.0
493,323700 ,2012JJ00,56.0,50.0,38.0,0.0,0.0,34.0,0.0,0.0,4.0,,12.0,10.0,1.0,1.0,,6.0,2.0,,0.0,2.0,2.0
494,323700 ,2013JJ00,54.0,47.0,40.0,0.0,0.0,39.0,0.0,1.0,0.0,,7.0,6.0,1.0,0.0,,7.0,2.0,,0.0,2.0,3.0
495,323700 ,2014JJ00,61.0,54.0,47.0,0.0,0.0,46.0,0.0,1.0,0.0,,7.0,6.0,1.0,0.0,,7.0,2.0,,0.0,2.0,3.0
496,323700 ,2015JJ00,61.0,55.0,48.0,0.0,0.0,47.0,0.0,1.0,0.0,,7.0,4.0,1.0,2.0,,6.0,2.0,,0.0,2.0,2.0
497,323700 ,2016JJ00,61.0,55.0,48.0,0.0,0.0,47.0,0.0,1.0,0.0,,7.0,5.0,1.0,1.0,,6.0,2.0,,0.0,2.0,2.0
498,323700 ,2017JJ00,70.0,64.0,58.0,0.0,0.0,57.0,0.0,1.0,0.0,,6.0,4.0,1.0,1.0,,6.0,2.0,,0.0,2.0,2.0
499,323700 ,2018JJ00,78.0,72.0,65.0,0.0,0.0,64.0,0.0,1.0,0.0,,7.0,4.0,2.0,1.0,,6.0,3.0,,0.0,1.0,2.0
500,323700 ,2019JJ00,88.0,81.0,76.0,0.0,0.0,75.0,0.0,1.0,0.0,,5.0,4.0,1.0,0.0,,7.0,3.0,,0.0,1.0,3.0
501,323700 ,2020JJ00,104.0,96.0,91.0,1.0,0.0,89.0,0.0,1.0,0.0,,5.0,4.0,1.0,0.0,,8.0,3.0,,0.0,1.0,4.0
502,323700 ,2021JJ00,109.0,101.0,96.0,1.0,0.0,94.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,,8.0,3.0,,0.0,1.0,4.0
503,323700 ,2022JJ00,135.0,127.0,120.0,1.0,0.0,118.0,0.0,1.0,0.0,0.0,7.0,4.0,1.0,2.0,,8.0,2.0,,0.0,2.0,4.0
504,324600 ,1995JJ00,27.0,21.0,8.0,0.0,8.0,0.0,0.0,0.0,,,13.0,4.0,3.0,6.0,,6.0,3.0,,0.0,1.0,2.0
505,324600 ,1996JJ00,30.0,25.0,11.0,1.0,8.0,2.0,0.0,0.0,,,14.0,5.0,5.0,4.0,,5.0,3.0,,0.0,1.0,2.0
506,324600 ,1997JJ00,29.0,23.0,11.0,0.0,7.0,3.0,0.0,1.0,,,12.0,4.0,4.0,4.0,,6.0,3.0,,0.0,1.0,2.0
507,324600 ,1998JJ00,33.0,27.0,10.0,1.0,7.0,2.0,0.0,0.0,,,17.0,4.0,6.0,7.0,,6.0,3.0,,0.0,1.0,2.0
508,324600 ,1999JJ00,34.0,29.0,14.0,1.0,6.0,7.0,0.0,0.0,,,15.0,6.0,7.0,2.0,,5.0,2.0,,0.0,1.0,2.0
509,324600 ,2000JJ00,40.0,34.0,21.0,2.0,7.0,12.0,0.0,0.0,,,13.0,6.0,7.0,0.0,,6.0,3.0,,0.0,1.0,2.0
510,324600 ,2001JJ00,41.0,35.0,26.0,2.0,4.0,19.0,0.0,1.0,,,9.0,4.0,5.0,0.0,,6.0,3.0,,0.0,1.0,2.0
511,324600 ,2002JJ00,32.0,27.0,17.0,1.0,4.0,11.0,0.0,1.0,,,10.0,4.0,4.0,2.0,,5.0,3.0,,0.0,0.0,2.0
512,324600 ,2003JJ00,40.0,33.0,17.0,1.0,4.0,11.0,0.0,1.0,,,16.0,7.0,4.0,5.0,,7.0,4.0,,0.0,1.0,2.0
513,324600 ,2004JJ00,43.0,37.0,25.0,1.0,0.0,23.0,0.0,1.0,,,12.0,4.0,3.0,5.0,,6.0,3.0,,0.0,1.0,2.0
514,324600 ,2005JJ00,73.0,67.0,50.0,1.0,0.0,48.0,0.0,1.0,,,17.0,6.0,4.0,7.0,,6.0,3.0,,0.0,1.0,2.0
515,324600 ,2006JJ00,78.0,72.0,55.0,2.0,0.0,52.0,0.0,1.0,,,17.0,5.0,5.0,7.0,,6.0,3.0,,0.0,1.0,2.0
516,324600 ,2007JJ00,67.0,60.0,47.0,2.0,0.0,44.0,0.0,1.0,,,13.0,3.0,5.0,5.0,,7.0,4.0,,0.0,1.0,2.0
517,324600 ,2008JJ00,87.0,81.0,61.0,1.0,0.0,56.0,0.0,1.0,3.0,0.0,20.0,7.0,6.0,7.0,,6.0,4.0,,0.0,0.0,2.0
518,324600 ,2009JJ00,71.0,65.0,53.0,0.0,0.0,48.0,0.0,1.0,4.0,0.0,12.0,4.0,3.0,5.0,,6.0,4.0,,0.0,0.0,2.0
519,324600 ,2010JJ00,72.0,63.0,51.0,1.0,0.0,46.0,0.0,0.0,4.0,,12.0,5.0,2.0,5.0,,9.0,4.0,,0.0,1.0,4.0
520,324600 ,2011JJ00,78.0,69.0,53.0,0.0,0.0,47.0,1.0,1.0,4.0,,16.0,7.0,2.0,7.0,,9.0,4.0,,0.0,1.0,4.0
521,324600 ,2012JJ00,63.0,55.0,43.0,-1.0,0.0,38.0,1.0,1.0,4.0,,12.0,4.0,1.0,7.0,,8.0,4.0,,0.0,2.0,2.0
522,324600 ,2013JJ00,66.0,58.0,46.0,0.0,0.0,44.0,1.0,1.0,0.0,,12.0,4.0,1.0,7.0,,8.0,4.0,,0.0,2.0,2.0
523,324600 ,2014JJ00,66.0,58.0,46.0,0.0,0.0,46.0,-1.0,1.0,0.0,,12.0,4.0,1.0,7.0,,8.0,4.0,,0.0,2.0,2.0
524,324600 ,2015JJ00,68.0,60.0,47.0,0.0,0.0,46.0,0.0,1.0,0.0,,13.0,5.0,1.0,7.0,,8.0,4.0,,0.0,2.0,2.0
525,324600 ,2016JJ00,67.0,59.0,46.0,0.0,0.0,45.0,0.0,1.0,0.0,,13.0,7.0,1.0,5.0,,8.0,4.0,,0.0,2.0,2.0
526,324600 ,2017JJ00,74.0,67.0,56.0,1.0,0.0,54.0,0.0,1.0,0.0,,11.0,5.0,1.0,5.0,,7.0,4.0,,0.0,2.0,1.0
527,324600 ,2018JJ00,84.0,78.0,66.0,1.0,0.0,64.0,0.0,1.0,0.0,,12.0,6.0,1.0,5.0,,6.0,3.0,,0.0,2.0,1.0
528,324600 ,2019JJ00,84.0,80.0,68.0,1.0,0.0,66.0,0.0,1.0,0.0,,12.0,6.0,1.0,5.0,,4.0,2.0,,0.0,2.0,0.0
529,324600 ,2020JJ00,89.0,84.0,72.0,0.0,0.0,74.0,-3.0,1.0,0.0,,12.0,5.0,1.0,6.0,,5.0,2.0,,0.0,3.0,0.0
530,324600 ,2021JJ00,93.0,87.0,79.0,0.0,0.0,74.0,3.0,2.0,0.0,0.0,8.0,4.0,1.0,3.0,,6.0,3.0,,0.0,3.0,0.0
531,324600 ,2022JJ00,135.0,124.0,115.0,0.0,0.0,103.0,10.0,2.0,0.0,0.0,9.0,4.0,1.0,4.0,,11.0,5.0,,0.0,2.0,4.0
532,328105 ,1995JJ00,83.0,67.0,41.0,0.0,37.0,0.0,0.0,4.0,,,26.0,11.0,7.0,8.0,,16.0,11.0,,0.0,1.0,4.0
533,328105 ,1996JJ00,87.0,75.0,53.0,1.0,41.0,7.0,0.0,4.0,,,22.0,7.0,7.0,8.0,,12.0,8.0,,0.0,1.0,4.0
534,328105 ,1997JJ00,93.0,83.0,64.0,0.0,47.0,17.0,0.0,0.0,,,19.0,10.0,9.0,0.0,,10.0,5.0,,0.0,1.0,4.0
535,328105 ,1998JJ00,92.0,82.0,60.0,1.0,43.0,12.0,0.0,4.0,,,22.0,7.0,11.0,4.0,,10.0,5.0,,0.0,1.0,4.0
536,328105 ,1999JJ00,99.0,89.0,66.0,1.0,35.0,26.0,0.0,4.0,,,23.0,11.0,10.0,2.0,,10.0,5.0,,0.0,1.0,4.0
537,328105 ,2000JJ00,107.0,97.0,70.0,4.0,29.0,32.0,0.0,5.0,,,27.0,15.0,12.0,0.0,,10.0,5.0,,0.0,1.0,4.0
538,328105 ,2001JJ00,85.0,74.0,53.0,4.0,28.0,13.0,0.0,8.0,,,21.0,11.0,10.0,0.0,,11.0,6.0,,0.0,1.0,4.0
539,328105 ,2002JJ00,66.0,53.0,28.0,2.0,8.0,10.0,0.0,8.0,,,25.0,15.0,8.0,2.0,,13.0,5.0,,3.0,1.0,4.0
540,328105 ,2003JJ00,69.0,56.0,31.0,1.0,7.0,15.0,0.0,8.0,,,25.0,17.0,8.0,0.0,,13.0,8.0,,0.0,1.0,4.0
541,328105 ,2004JJ00,89.0,76.0,49.0,1.0,2.0,38.0,0.0,8.0,,,27.0,13.0,10.0,4.0,,13.0,8.0,,0.0,1.0,4.0
542,328105 ,2005JJ00,114.0,100.0,73.0,1.0,3.0,61.0,0.0,8.0,,,27.0,13.0,10.0,4.0,,14.0,9.0,,0.0,1.0,4.0
543,328105 ,2006JJ00,116.0,102.0,73.0,2.0,-2.0,65.0,0.0,8.0,,,29.0,13.0,12.0,4.0,,14.0,9.0,,0.0,1.0,4.0
544,328105 ,2007JJ00,104.0,89.0,55.0,2.0,0.0,45.0,0.0,8.0,,,34.0,13.0,17.0,4.0,,15.0,10.0,,0.0,1.0,4.0
545,328105 ,2008JJ00,124.0,108.0,76.0,0.0,6.0,60.0,0.0,8.0,2.0,0.0,32.0,13.0,15.0,4.0,,16.0,10.0,,0.0,2.0,4.0
546,328105 ,2009JJ00,108.0,93.0,66.0,1.0,0.0,55.0,0.0,8.0,2.0,0.0,27.0,9.0,11.0,7.0,,15.0,10.0,,0.0,1.0,4.0
547,328105 ,2010JJ00,119.0,100.0,67.0,0.0,0.0,58.0,0.0,7.0,2.0,,33.0,17.0,7.0,9.0,,19.0,10.0,,0.0,1.0,8.0
548,328105 ,2011JJ00,119.0,101.0,69.0,0.0,0.0,59.0,4.0,4.0,2.0,,32.0,17.0,8.0,7.0,,18.0,10.0,,0.0,2.0,6.0
549,328105 ,2012JJ00,110.0,91.0,56.0,0.0,0.0,46.0,4.0,4.0,2.0,,35.0,17.0,5.0,13.0,,19.0,10.0,,0.0,1.0,8.0
550,328105 ,2013JJ00,112.0,95.0,63.0,0.0,0.0,54.0,4.0,5.0,0.0,,32.0,16.0,5.0,11.0,,17.0,10.0,,0.0,1.0,6.0
551,328105 ,2014JJ00,104.0,87.0,55.0,0.0,0.0,60.0,-14.0,9.0,0.0,,32.0,17.0,4.0,11.0,,17.0,10.0,,0.0,1.0,6.0
552,328105 ,2015JJ00,100.0,85.0,54.0,0.0,0.0,62.0,-16.0,8.0,0.0,,31.0,16.0,4.0,11.0,,15.0,10.0,,0.0,1.0,4.0
553,328105 ,2016JJ00,97.0,79.0,49.0,0.0,0.0,58.0,-17.0,8.0,0.0,,30.0,15.0,4.0,11.0,,18.0,10.0,,0.0,2.0,6.0
554,328105 ,2017JJ00,116.0,99.0,65.0,2.0,0.0,70.0,-16.0,9.0,0.0,,34.0,18.0,5.0,11.0,,17.0,9.0,,0.0,2.0,6.0
555,328105 ,2018JJ00,121.0,105.0,70.0,2.0,0.0,77.0,-18.0,9.0,0.0,,35.0,19.0,6.0,10.0,,16.0,10.0,,0.0,2.0,4.0
556,328105 ,2019JJ00,116.0,98.0,62.0,3.0,0.0,89.0,-39.0,9.0,0.0,,36.0,21.0,5.0,10.0,,18.0,11.0,,0.0,2.0,5.0
557,328105 ,2020JJ00,121.0,106.0,76.0,3.0,0.0,100.0,-34.0,7.0,0.0,,30.0,16.0,4.0,10.0,,15.0,10.0,,0.0,2.0,3.0
558,328105 ,2021JJ00,103.0,85.0,52.0,2.0,0.0,94.0,-55.0,11.0,0.0,0.0,33.0,21.0,4.0,8.0,,18.0,13.0,,0.0,1.0,4.0
559,328105 ,2022JJ00,57.0,34.0,4.0,3.0,0.0,115.0,-124.0,10.0,0.0,0.0,30.0,18.0,4.0,8.0,,23.0,14.0,,0.0,1.0,8.0
560,328100 ,1995JJ00,47.0,41.0,39.0,0.0,35.0,0.0,0.0,4.0,,,2.0,2.0,0.0,0.0,,6.0,4.0,,0.0,0.0,2.0
561,328100 ,1996JJ00,56.0,50.0,49.0,0.0,39.0,6.0,0.0,4.0,,,1.0,1.0,0.0,0.0,,6.0,4.0,,0.0,0.0,2.0
562,328100 ,1997JJ00,66.0,62.0,61.0,0.0,46.0,15.0,0.0,0.0,,,1.0,1.0,0.0,0.0,,4.0,2.0,,0.0,0.0,2.0
563,328100 ,1998JJ00,60.0,56.0,54.0,0.0,42.0,8.0,0.0,4.0,,,2.0,1.0,1.0,0.0,,4.0,2.0,,0.0,0.0,2.0
564,328100 ,1999JJ00,66.0,61.0,58.0,0.0,35.0,19.0,0.0,4.0,,,3.0,2.0,1.0,0.0,,5.0,3.0,,0.0,0.0,2.0
