ID,Betalingsplichtigen,Perioden,TotaalMilieubelastingenEnHeffingen_1,TotaleOpbrengstMilieubelastingen_2,TotaalBelastingenOpMilieugrondslag_3,Afvalstoffenbelasting_4,Brandstoffenbelasting_5,Energiebelasting_6,Emissierechten_7,LeidingwaterEnGrondwaterbelasting_8,Verpakkingenbelasting_9,Vliegbelasting_10,TotaalBelastingenMBTMobiliteit_11,AccijnsOpBenzineEnOvMineraleOlien_12,BelastPersonenautoSEnMotorrijwielen_13,Motorrijtuigenbelasting_14,Mineralenheffingen_15,TotaleOpbrengstMilieuheffingen_16,AfvalstoffenheffingEnReinigingsrechten_17,GeluidsheffingBurgerluchtvaart_18,GrondwaterheffingEnNazorgheffing_19,RioolheffingEnRioolrechten_20,Waterverontreinigingsheffing_21
23,B000582,2018JJ00,27539.0,22848.0,6364.0,91.0,2.0,5722.0,261.0,288.0,0.0,,16468.0,8391.0,2270.0,5807.0,16.0,4691.0,1773.0,2.0,13.0,1619.0,1284.0
24,B000582,2019JJ00,29305.0,24436.0,7724.0,205.0,1.0,6697.0,524.0,297.0,0.0,,16697.0,8461.0,2347.0,5889.0,15.0,4869.0,1845.0,2.0,14.0,1669.0,1339.0
25,B000582,2020JJ00,27271.0,22202.0,7384.0,230.0,1.0,6408.0,443.0,302.0,0.0,,14800.0,7371.0,1501.0,5928.0,18.0,5069.0,2000.0,1.0,15.0,1702.0,1351.0
26,B000582,2021JJ00,28624.0,23284.0,8082.0,241.0,1.0,6963.0,488.0,320.0,0.0,69.0,15195.0,7648.0,1489.0,6058.0,7.0,5340.0,2187.0,1.0,15.0,1737.0,1400.0
27,B000582,2022JJ00,24896.0,19443.0,5101.0,240.0,1.0,3349.0,1039.0,309.0,0.0,163.0,14341.0,6764.0,1477.0,6100.0,1.0,5453.0,2236.0,2.0,12.0,1775.0,1428.0
28,T001081,1995JJ00,4530.0,3842.0,779.0,105.0,533.0,0.0,0.0,141.0,,,3046.0,1520.0,985.0,541.0,17.0,688.0,198.0,24.0,6.0,146.0,314.0
29,T001081,1996JJ00,4829.0,4192.0,956.0,86.0,578.0,146.0,0.0,146.0,,,3226.0,1571.0,1066.0,589.0,10.0,637.0,209.0,9.0,6.0,95.0,318.0
30,T001081,1997JJ00,5093.0,4391.0,1043.0,75.0,568.0,274.0,0.0,126.0,,,3332.0,1696.0,1183.0,453.0,16.0,702.0,238.0,6.0,9.0,104.0,345.0
31,T001081,1998JJ00,5449.0,4769.0,1061.0,78.0,576.0,255.0,0.0,152.0,,,3695.0,1848.0,1360.0,487.0,13.0,680.0,233.0,6.0,9.0,113.0,319.0
32,T001081,1999JJ00,5944.0,5242.0,1241.0,95.0,541.0,451.0,0.0,154.0,,,3986.0,1877.0,1574.0,535.0,15.0,702.0,228.0,7.0,24.0,119.0,324.0
