ID,Energieverbruikers,Perioden,Energie_1,SteenkoolEnBruinkool_2,Steenkoolcokes_3,Cokesovengas_4,Hoogovengas_5,OverigeSteenkoolderivaten_6,RuweAardolie_7,Aardgascondensaat_8,OverigeAardoliegrondstoffen_9,Lpg_10,Nafta_11,Benzine_12,Kerosine_13,GasolieEnLichteStookolie_14,Autodiesel_15,Stookolie_16,Restgas_17,Smeermiddelen_18,Bitumen_19,OverigeOlieproducten_20,Aardgas_21,HernieuwbareEnergie_22,Elektriciteit_23,StoomEnOfWarmWater_24,AnderePrimaireEnergiebronnen_25,OmzettingVerliezen_26
27,300025,1995JJ00,2518.0,18.0,46.0,11.0,10.0,6.0,,,0.0,63.0,120.0,18.0,123.0,98.0,182.0,67.0,130.0,6.0,17.0,70.0,645.0,5.0,247.0,198.0,4.0,434.0
28,300025,1996JJ00,2597.0,21.0,43.0,10.0,10.0,7.0,,,1.0,56.0,108.0,20.0,137.0,101.0,195.0,68.0,131.0,6.0,15.0,66.0,690.0,5.0,258.0,213.0,4.0,433.0
29,300025,1997JJ00,2584.0,26.0,43.0,11.0,9.0,6.0,,,,68.0,98.0,16.0,148.0,102.0,203.0,58.0,120.0,6.0,14.0,83.0,639.0,5.0,269.0,213.0,4.0,442.0
30,300025,1998JJ00,2631.0,25.0,39.0,9.0,9.0,6.0,,,0.0,71.0,100.0,17.0,157.0,104.0,201.0,62.0,114.0,7.0,12.0,80.0,643.0,5.0,281.0,222.0,4.0,464.0
31,300025,1999JJ00,2622.0,25.0,38.0,7.0,8.0,5.0,,,0.0,69.0,115.0,17.0,163.0,102.0,214.0,71.0,119.0,7.0,15.0,86.0,599.0,5.0,287.0,232.0,4.0,433.0
32,300025,2000JJ00,2702.0,21.0,35.0,6.0,9.0,5.0,,,0.0,75.0,131.0,22.0,167.0,99.0,221.0,71.0,122.0,6.0,12.0,96.0,605.0,5.0,297.0,233.0,4.0,459.0
33,300025,2001JJ00,2767.0,24.0,36.0,6.0,9.0,6.0,,,0.0,68.0,147.0,22.0,165.0,99.0,221.0,70.0,129.0,6.0,16.0,91.0,605.0,5.0,303.0,232.0,4.0,500.0
34,300025,2002JJ00,2773.0,25.0,37.0,6.0,10.0,6.0,,,1.0,75.0,144.0,22.0,164.0,96.0,224.0,63.0,142.0,7.0,15.0,85.0,606.0,5.0,306.0,225.0,5.0,506.0
35,300025,2003JJ00,2845.0,26.0,39.0,6.0,10.0,6.0,,,1.0,75.0,179.0,22.0,162.0,100.0,229.0,63.0,154.0,6.0,12.0,94.0,608.0,5.0,310.0,223.0,4.0,511.0
36,300025,2004JJ00,2922.0,27.0,38.0,8.0,11.0,6.0,,,3.0,83.0,173.0,21.0,165.0,95.0,234.0,62.0,158.0,6.0,16.0,105.0,600.0,6.0,326.0,245.0,8.0,526.0
37,300025,2005JJ00,2942.0,29.0,36.0,8.0,11.0,6.0,,,1.0,73.0,212.0,22.0,169.0,100.0,243.0,64.0,151.0,8.0,16.0,139.0,576.0,6.0,323.0,241.0,10.0,499.0
