ID,Zorgfuncties,Zorgfinanciering,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
143,T001104,A019154,2016JJ00,18145.0
144,T001104,A019154,2017JJ00,18612.0
145,T001104,A019154,2018JJ00,19562.0
146,T001104,A019154,2019JJ00,21758.0
147,T001104,A019154,2020JJ00,23912.0
148,T001104,A019154,2021JJ00,26171.0
149,T001104,A019154,2022JJ00,27865.0
150,T001104,A019155,1998JJ00,11545.0
151,T001104,A019155,1999JJ00,12032.0
152,T001104,A019155,2000JJ00,12816.0
153,T001104,A019155,2001JJ00,14414.0
154,T001104,A019155,2002JJ00,15883.0
155,T001104,A019155,2003JJ00,16942.0
156,T001104,A019155,2004JJ00,17045.0
157,T001104,A019155,2005JJ00,17533.0
158,T001104,A019155,2006JJ00,
159,T001104,A019155,2007JJ00,
160,T001104,A019155,2008JJ00,
161,T001104,A019155,2009JJ00,
162,T001104,A019155,2010JJ00,
163,T001104,A019155,2011JJ00,
164,T001104,A019155,2012JJ00,
165,T001104,A019155,2013JJ00,
166,T001104,A019155,2014JJ00,
167,T001104,A019155,2015JJ00,
168,T001104,A019155,2016JJ00,
169,T001104,A019155,2017JJ00,
170,T001104,A019155,2018JJ00,
171,T001104,A019155,2019JJ00,
172,T001104,A019155,2020JJ00,
173,T001104,A019155,2021JJ00,
174,T001104,A019155,2022JJ00,
175,T001104,A019156,1998JJ00,
176,T001104,A019156,1999JJ00,
177,T001104,A019156,2000JJ00,
178,T001104,A019156,2001JJ00,
179,T001104,A019156,2002JJ00,
180,T001104,A019156,2003JJ00,
181,T001104,A019156,2004JJ00,
182,T001104,A019156,2005JJ00,
183,T001104,A019156,2006JJ00,26546.0
184,T001104,A019156,2007JJ00,27651.0
185,T001104,A019156,2008JJ00,31240.0
186,T001104,A019156,2009JJ00,32947.0
187,T001104,A019156,2010JJ00,34481.0
188,T001104,A019156,2011JJ00,35112.0
189,T001104,A019156,2012JJ00,34735.0
190,T001104,A019156,2013JJ00,36348.0
191,T001104,A019156,2014JJ00,37166.0
192,T001104,A019156,2015JJ00,40718.0
193,T001104,A019156,2016JJ00,41732.0
194,T001104,A019156,2017JJ00,42894.0
195,T001104,A019156,2018JJ00,44501.0
196,T001104,A019156,2019JJ00,46773.0
197,T001104,A019156,2020JJ00,48256.0
198,T001104,A019156,2021JJ00,50013.0
199,T001104,A019156,2022JJ00,51789.0
200,T001104,A041720,1998JJ00,10846.0
201,T001104,A041720,1999JJ00,11900.0
202,T001104,A041720,2000JJ00,12610.0
203,T001104,A041720,2001JJ00,13839.0
204,T001104,A041720,2002JJ00,15546.0
205,T001104,A041720,2003JJ00,16730.0
206,T001104,A041720,2004JJ00,18271.0
207,T001104,A041720,2005JJ00,18616.0
208,T001104,A041720,2006JJ00,11033.0
209,T001104,A041720,2007JJ00,10928.0
210,T001104,A041720,2008JJ00,12428.0
211,T001104,A041720,2009JJ00,12686.0
212,T001104,A041720,2010JJ00,13203.0
213,T001104,A041720,2011JJ00,14275.0
214,T001104,A041720,2012JJ00,15411.0
215,T001104,A041720,2013JJ00,16354.0
216,T001104,A041720,2014JJ00,16427.0
217,T001104,A041720,2015JJ00,16352.0
218,T001104,A041720,2016JJ00,16822.0
219,T001104,A041720,2017JJ00,16777.0
220,T001104,A041720,2018JJ00,17102.0
221,T001104,A041720,2019JJ00,17586.0
222,T001104,A041720,2020JJ00,16625.0
223,T001104,A041720,2021JJ00,18031.0
224,T001104,A041720,2022JJ00,19391.0
225,T001104,A019157,1998JJ00,6601.0
226,T001104,A019157,1999JJ00,7315.0
227,T001104,A019157,2000JJ00,7772.0
228,T001104,A019157,2001JJ00,8734.0
229,T001104,A019157,2002JJ00,10184.0
230,T001104,A019157,2003JJ00,11029.0
231,T001104,A019157,2004JJ00,12057.0
232,T001104,A019157,2005JJ00,12300.0
233,T001104,A019157,2006JJ00,5324.0
234,T001104,A019157,2007JJ00,4973.0
235,T001104,A019157,2008JJ00,5017.0
236,T001104,A019157,2009JJ00,5401.0
237,T001104,A019157,2010JJ00,5473.0
238,T001104,A019157,2011JJ00,5826.0
239,T001104,A019157,2012JJ00,5996.0
240,T001104,A019157,2013JJ00,5714.0
241,T001104,A019157,2014JJ00,5858.0
242,T001104,A019157,2015JJ00,5864.0
243,T001104,A019157,2016JJ00,6184.0
244,T001104,A019157,2017JJ00,6145.0
245,T001104,A019157,2018JJ00,6249.0
246,T001104,A019157,2019JJ00,6395.0
247,T001104,A019157,2020JJ00,5944.0
248,T001104,A019157,2021JJ00,6418.0
249,T001104,A019157,2022JJ00,6512.0
250,T001104,A019158,1998JJ00,5439.0
251,T001104,A019158,1999JJ00,6004.0
252,T001104,A019158,2000JJ00,6263.0
253,T001104,A019158,2001JJ00,7016.0
254,T001104,A019158,2002JJ00,8051.0
255,T001104,A019158,2003JJ00,8688.0
256,T001104,A019158,2004JJ00,9649.0
257,T001104,A019158,2005JJ00,10159.0
258,T001104,A019158,2006JJ00,3414.0
259,T001104,A019158,2007JJ00,3663.0
260,T001104,A019158,2008JJ00,3668.0
261,T001104,A019158,2009JJ00,3943.0
262,T001104,A019158,2010JJ00,3986.0
263,T001104,A019158,2011JJ00,4337.0
264,T001104,A019158,2012JJ00,4452.0
265,T001104,A019158,2013JJ00,4251.0
266,T001104,A019158,2014JJ00,4303.0
267,T001104,A019158,2015JJ00,4225.0
268,T001104,A019158,2016JJ00,4464.0
269,T001104,A019158,2017JJ00,4356.0
270,T001104,A019158,2018JJ00,4360.0
271,T001104,A019158,2019JJ00,4357.0
272,T001104,A019158,2020JJ00,3848.0
273,T001104,A019158,2021JJ00,4120.0
274,T001104,A019158,2022JJ00,4130.0
275,T001104,A019161,1998JJ00,0.0
276,T001104,A019161,1999JJ00,0.0
277,T001104,A019161,2000JJ00,0.0
278,T001104,A019161,2001JJ00,0.0
279,T001104,A019161,2002JJ00,0.0
280,T001104,A019161,2003JJ00,0.0
281,T001104,A019161,2004JJ00,0.0
282,T001104,A019161,2005JJ00,0.0
283,T001104,A019161,2006JJ00,0.0
284,T001104,A019161,2007JJ00,0.0
285,T001104,A019161,2008JJ00,0.0
286,T001104,A019161,2009JJ00,0.0
287,T001104,A019161,2010JJ00,0.0
288,T001104,A019161,2011JJ00,0.0
289,T001104,A019161,2012JJ00,0.0
290,T001104,A019161,2013JJ00,0.0
291,T001104,A019161,2014JJ00,0.0
292,T001104,A019161,2015JJ00,0.0
293,T001104,A019161,2016JJ00,0.0
294,T001104,A019161,2017JJ00,0.0
295,T001104,A019161,2018JJ00,0.0
296,T001104,A019161,2019JJ00,0.0
297,T001104,A019161,2020JJ00,0.0
298,T001104,A019161,2021JJ00,0.0
299,T001104,A019161,2022JJ00,0.0
300,T001104,A019162,1998JJ00,1162.0
301,T001104,A019162,1999JJ00,1310.0
302,T001104,A019162,2000JJ00,1509.0
303,T001104,A019162,2001JJ00,1718.0
304,T001104,A019162,2002JJ00,2134.0
305,T001104,A019162,2003JJ00,2341.0
306,T001104,A019162,2004JJ00,2407.0
307,T001104,A019162,2005JJ00,2141.0
308,T001104,A019162,2006JJ00,1910.0
309,T001104,A019162,2007JJ00,1310.0
310,T001104,A019162,2008JJ00,1348.0
311,T001104,A019162,2009JJ00,1458.0
312,T001104,A019162,2010JJ00,1487.0
313,T001104,A019162,2011JJ00,1489.0
314,T001104,A019162,2012JJ00,1544.0
315,T001104,A019162,2013JJ00,1464.0
316,T001104,A019162,2014JJ00,1555.0
317,T001104,A019162,2015JJ00,1639.0
318,T001104,A019162,2016JJ00,1720.0
319,T001104,A019162,2017JJ00,1788.0
320,T001104,A019162,2018JJ00,1889.0
