ID,Bronnen,Perioden,CO2_1,NMVOS_2,CH4_3,SO2_4,N2O_5,CO_6,NOx_7,NH3_8,PM10_9,PM25_10
0,T001176  ,1990JJ00,171300,608.31,1276.1,243.0,60.72,1202.5,720.4,344.5,83.54,60.23
1,T001176  ,1995JJ00,181200,429.7,1186.34,182.9,61.2,927.9,620.1,218.18,66.12,48.61
2,T001176  ,2000JJ00,183000,339.09,968.47,139.9,54.17,777.0,556.0,173.54,55.53,40.14
3,T001176  ,2001JJ00,188700,310.87,942.31,141.1,51.07,773.5,548.1,167.32,53.89,38.97
4,T001176  ,2002JJ00,188300,295.47,896.67,133.5,48.03,758.3,533.4,160.01,52.6,37.29
5,T001176  ,2003JJ00,191500,288.98,865.79,128.2,47.64,757.9,529.2,156.97,50.75,36.73
6,T001176  ,2004JJ00,194400,271.28,849.67,128.3,48.9,779.1,518.1,156.77,49.58,35.49
7,T001176  ,2005JJ00,191100,274.95,790.87,129.5,48.73,748.0,508.4,154.13,48.62,34.47
8,T001176  ,2006JJ00,185600,269.35,772.9,132.9,49.02,744.7,501.9,156.95,48.09,34.29
9,T001176  ,2007JJ00,185500,271.67,774.74,122.3,43.7,725.8,478.5,153.16,46.12,31.84
10,T001176  ,2008JJ00,189400,267.7,783.95,93.0,31.09,724.7,457.6,140.49,43.68,29.52
11,T001176  ,2009JJ00,186000,268.45,777.19,77.9,30.55,662.9,425.4,136.32,41.58,27.87
12,T001176  ,2010JJ00,198400,278.99,774.28,70.1,29.6,691.9,419.6,133.91,41.17,27.44
13,T001176  ,2011JJ00,185000,272.02,751.53,59.9,28.89,648.2,407.0,131.93,38.58,24.77
14,T001176  ,2012JJ00,182800,265.16,734.95,58.2,28.38,630.5,387.7,126.26,37.31,23.42
15,T001176  ,2013JJ00,181600,264.91,734.33,52.0,29.16,607.6,370.7,123.7,36.79,22.92
16,T001176  ,2014JJ00,175800,249.12,716.98,52.8,29.68,571.9,363.4,127.3,35.7,21.68
17,T001176  ,2015JJ00,183200,258.04,725.12,42.5,30.51,579.3,370.9,128.77,35.25,21.34
18,T001176  ,2016JJ00,184700,254.34,730.01,33.9,29.54,563.4,360.6,130.02,33.99,20.11
19,T001176  ,2017JJ00,181800,254.8,716.93,32.0,30.42,549.6,347.5,131.97,33.31,19.52
20,T001176  ,2018JJ00,178400,247.71,693.58,29.5,29.69,534.1,343.8,129.76,33.15,19.39
21,T001176  ,2019JJ00,174900,243.34,689.35,26.8,29.32,514.6,335.4,124.43,32.18,18.69
