ID,TypeInstelling,Perioden,TotaalWerkzamePersonen_1,TotaalWerknemers_2,AlgemeneEnAdministratieveFuncties_3,Hotelfuncties_4,ClientgebondenFuncties_5,LeerlingPersoneel_6,TerreinEnGebouwgebondenFuncties_7,OverigeWerkzamePersonen_8,TotaalAantalArbeidsjaren_9,TotaalWerknemers_10,AlgemeneEnAdministratieveFuncties_11,Hotelfuncties_12,ClientgebondenFuncties_13,LeerlingPersoneel_14,TerreinEnGebouwgebondenFuncties_15,OverigeWerkzamePersonen_16,AantalInstellingen_17,AantalPlaatsenVerblijfWonenDagbest_18,AantalVerpleegEnWoondagen_19,AantalDagbestedingsdagen_20,TotaalAantalClientenPer31Dec_21,VerstandelijkGehandicapten_22,LichamelijkGehandicapten_23,ZintuiglijkGehandicapten_24,MeervoudigGehandicapten_25,TotaalBedrijfsopbrengsten_26,TotaalNettoOmzet_27,OpbrengstenTerDekkingWettelijkBudget_28,OverigeNettoOmzet_29,TotaalOverigeBedrijfsopbrengsten_30,SubsidiesEnBijdragen_31,OverigeBedrijfsopbrengstenNEG_32,TotaalBedrijfslasten_33,InkoopwaardeOmzet_34,TotaalArbeidskosten_35,LonenEnSalarissen_36,Pensioenlasten_37,SocialeLasten_38,AfschrijvingenOpVasteActiva_39,TotaalOverigeBedrijfslasten_40,TotaalAnderePersoneelskosten_41,KostenUitzendkrachtenEnOverigeInleen_42,OverigePersoneelskosten_43,TotaalOverigeBedrijfslastenNEG_44,VoedingEnHotelmatigeKosten_45,AlgemeneKosten_46,ClientBewonersGebondenKosten_47,OnderhoudEnEnergiekosten_48,HuurOperationeleLeasingKapGoederen_49,AndereBedrijfslasten_50,Bedrijfsresultaat_51,FinancieleBaten_52,FinancieleLasten_53,FinancieelResultaat_54,OnttrekkingAanVoorzieningen_55,ToevoegingenAanVoorzieningen_56,SaldoVoorzieningen_57,BuitengewoneBaten_58,BuitengewoneLasten_59,BuitengewoonResultaat_60,ResultaatVoorBelastingen_61,WettelijkBudgetAanvaardbareKosten_62,OpbrengstenTerDekkingWettelijkBudget_63,FinancieringsverschilBoekjaar_64
0,10,2001JJ00,115269.0,108747.0,7421.0,8967.0,88603.0,2178.0,1578.0,6522.0,74962.0,72893.0,5706.0,5320.0,58441.0,2101.0,1325.0,2069.0,185,76732.0,21249.0,2636.0,,,,,,3555,3485.0,3286,199.0,70.0,60.0,10.0,3579,,2389,,,,195,996,204,120,84,792,298,169,93,154,,78,-24,5,159,-154,,,,,,-7,-185,3518,3286,233
1,10,2002JJ00,129688.0,120802.0,8190.0,10361.0,98055.0,2762.0,1434.0,8886.0,78821.0,76481.0,5959.0,5738.0,61237.0,2399.0,1148.0,2340.0,173,80758.0,21589.0,3458.0,105727.0,,,,,4134,4044.0,3834,210.0,90.0,66.0,23.0,4029,,2686,,,,210,1132,238,136,102,894,331,200,106,170,,87,105,5,154,-148,,,,,,4,-39,3950,3834,115
2,10,2003JJ00,138873.0,128298.0,9339.0,11009.0,103211.0,3414.0,1324.0,10575.0,85396.0,83009.0,6754.0,6084.0,66329.0,2747.0,1096.0,2387.0,158,81656.0,21876.0,3973.0,105705.0,89125.0,6185.0,4139.0,6255.0,4595,4501.0,4245,256.0,93.0,81.0,11.0,4420,,2968,,,,218,1233,261,139,122,972,351,216,106,170,,129,175,5,131,-126,,,,,,-18,31,4335,4245,89
3,10,2004JJ00,147928.0,135831.0,12406.0,11065.0,107769.0,3403.0,1188.0,12097.0,87779.0,85084.0,8866.0,5702.0,66881.0,2644.0,991.0,2695.0,179,73515.0,21070.0,6638.0,119616.0,96104.0,12211.0,6954.0,4347.0,4821,4756.0,4482,273.0,66.0,56.0,10.0,4715,,3137,2533.0,173.0,431.0,227,1350,258,142,116,1092,381,244,106,202,128.0,32,106,5,124,-119,,,,,,-33,-46,4594,4482,112
4,10,2005JJ00,,140614.0,,,,,,,,85668.0,,,,,,,169,71045.0,21615.0,6791.0,134589.0,,,,,5127,5062.0,4763,299.0,65.0,48.0,17.0,4912,,3257,2628.0,195.0,435.0,240,1415,256,143,113,1159,386,266,114,217,144.0,33,215,4,116,-112,,,,,,4,106,4807,4763,44
5,20,2001JJ00,101168.0,95678.0,6067.0,8087.0,78352.0,1996.0,1176.0,5490.0,65448.0,63706.0,4612.0,4752.0,51404.0,1901.0,1037.0,1742.0,147,69538.0,19310.0,2044.0,,,,,,3124,,2877,,,,,3160,,2126,,,,170,865,174,101,73,691,268,142,84,133,,64,-36,4,141,-136,,,,,,-7,-179,3102,2877,225
6,20,2002JJ00,108277.0,100797.0,6406.0,8757.0,82106.0,2374.0,1155.0,7480.0,65627.0,63657.0,4653.0,4835.0,51200.0,2054.0,915.0,1970.0,133,66956.0,18405.0,2786.0,84581.0,,,,,3388,,3140,,,,,3299,,2206,,,,172,923,197,115,82,726,276,150,91,137,,72,89,3,126,-122,,,,,,0,-33,3233,3140,93
7,20,2003JJ00,122847.0,113550.0,7660.0,9954.0,91695.0,3196.0,1045.0,9296.0,75851.0,73753.0,5590.0,5504.0,59181.0,2577.0,901.0,2098.0,124,63536.0,17299.0,3559.0,89926.0,87781.0,1119.0,0.0,1026.0,4058,,3752,,,,,3903,,2629,,,,193,1082,229,122,107,853,311,185,97,150,,110,155,4,118,-114,,,,,,-18,23,3828,3752,76
8,20,2004JJ00,120154.0,111070.0,10100.0,9218.0,88078.0,2799.0,875.0,9084.0,71786.0,69785.0,7302.0,4683.0,54917.0,2138.0,745.0,2001.0,135,62111.0,17775.0,5131.0,90250.0,88600.0,692.0,84.0,874.0,3962,3911.0,3693,217.0,52.0,43.0,9.0,3882,,2600,2105.0,144.0,351.0,189,1093,212,117,95,880,310,192,92,165,103.0,18,81,3,101,-98,,,,,,-24,-41,3785,3693,92
9,20,2005JJ00,,,,,,,,,,,,,,,,,127,,,,,,,,,4194,4143.0,3905,238.0,51.0,37.0,14.0,4024,,2682,2169.0,159.0,353.0,199,1143,212,119,92,932,314,209,96,176,117.0,20,170,3,95,-92,,,,,,3,81,3934,3905,29
