ID,CostComponents,Periods,InputPriceIndices_1,ChangesComparedToOneYearEarlier_2
141,A043942,2020MM12,100.5,3.2
142,A043942,2020JJ00,98.8,4.0
143,A043942,2021MM01,100.0,2.2
144,A043942,2021MM02,100.0,2.2
145,A043942,2021MM03,100.4,2.6
146,A043942,2021MM04,100.5,2.7
147,A043942,2021MM05,100.5,2.6
148,A043942,2021MM06,100.5,2.5
149,A043942,2021MM07,100.5,0.9
150,A043942,2021MM08,99.4,-0.2
151,A043942,2021MM09,99.4,-0.2
152,A043942,2021MM10,99.7,0.1
153,A043942,2021MM11,99.7,0.1
154,A043942,2021MM12,99.7,-0.8
155,A043942,2021JJ00,100.0,1.2
156,A043942,2022MM01,102.0,2.1
157,A043942,2022MM02,102.0,2.1
158,A043942,2022MM03,102.1,1.8
159,A043942,2022MM04,102.6,2.2
160,A043942,2022MM05,102.6,2.2
161,A043942,2022MM06,102.6,2.2
162,A043942,2022MM07,102.6,2.2
163,A043942,2022MM08,102.6,3.3
164,A043942,2022MM09,103.9,4.6
165,A043942,2022MM10,103.9,4.3
166,A043942,2022MM11,103.9,4.3
167,A043942,2022MM12,103.9,4.3
168,A043942,2022JJ00,102.9,2.9
169,A043942,2023MM01,105.4,3.3
170,A043942,2023MM02,105.4,3.3
171,A043942,2023MM03,107.0,4.7
172,A043942,2023MM04,107.1,4.3
173,A043942,2023MM05,107.1,4.3
174,A043942,2023MM06,107.1,4.3
175,A043942,2023MM07,108.4,5.6
176,A043942,2023MM08,108.4,5.6
177,A043942,2023MM09,108.4,4.3
178,A043942,2023MM10,108.4,4.3
179,A043942,2023MM11,108.4,4.3
180,A043942,2023MM12,108.4,4.3
181,A043942,2023JJ00,107.5,4.4
182,A043942,2024MM01,111.4,5.7
183,A043942,2024MM02,111.4,5.7
184,A043942,2024MM03,111.5,4.2
185,A043942,2024MM04,111.7,4.3
186,A043942,2024MM05,111.7,4.3
187,A043942,2024MM06,111.7,4.3
188,A043942,2024MM07,117.8,8.7
189,A043942,2024MM08,117.8,8.7
190,A043942,2024MM09,118.0,8.8
191,A043942,2024MM10,117.9,8.8
192,A043942,2024MM11,117.9,8.8
193,A043942,2024MM12,117.9,8.8
194,A043942,2024JJ00,114.7,6.8
195,A043942,2025MM01,118.1,5.9
196,A043942,2025MM02,118.3,6.1
197,A043942,2025MM03,119.7,7.4
198,A043942,2025MM04,119.7,7.2
199,A043942,2025MM05,121.8,9.0
200,A043942,2025MM06,121.8,9.0
201,A043942,2025MM07,122.4,3.9
202,A043942,2025MM08,122.4,3.9
203,A043942,2025MM09,122.4,3.8
204,A043942,2025MM10,124.1,5.3
205,A043942,2025MM11,124.1,5.3
206,A043942,2025MM12,124.1,5.3
207,A043942,2025JJ00,121.6,6.0
208,A043943,2018MM01,89.6,
209,A043943,2018MM02,89.8,
210,A043943,2018MM03,89.3,
211,A043943,2018MM04,89.8,
212,A043943,2018MM05,90.0,
213,A043943,2018MM06,90.4,
214,A043943,2018MM07,90.6,
215,A043943,2018MM08,90.7,
216,A043943,2018MM09,91.3,
217,A043943,2018MM10,90.9,
218,A043943,2018MM11,90.7,
219,A043943,2018MM12,91.2,
220,A043943,2018JJ00,90.4,
221,A043943,2019MM01,92.6,3.3
222,A043943,2019MM02,92.6,3.1
223,A043943,2019MM03,92.8,3.9
224,A043943,2019MM04,92.8,3.4
225,A043943,2019MM05,92.9,3.2
226,A043943,2019MM06,92.9,2.8
227,A043943,2019MM07,93.3,3.0
228,A043943,2019MM08,92.9,2.4
229,A043943,2019MM09,93.0,1.9
230,A043943,2019MM10,92.9,2.2
231,A043943,2019MM11,92.8,2.3
232,A043943,2019MM12,92.8,1.8
233,A043943,2019JJ00,92.9,2.8
234,A043943,2020MM01,93.7,1.1
235,A043943,2020MM02,93.6,1.1
236,A043943,2020MM03,93.6,0.8
237,A043943,2020MM04,92.9,0.1
238,A043943,2020MM05,92.5,-0.4
239,A043943,2020MM06,92.5,-0.4
240,A043943,2020MM07,92.7,-0.6
241,A043943,2020MM08,93.1,0.3
242,A043943,2020MM09,92.9,-0.2
243,A043943,2020MM10,92.7,-0.2
244,A043943,2020MM11,92.8,0.1
245,A043943,2020MM12,93.5,0.8
246,A043943,2020JJ00,93.0,0.2
247,A043943,2021MM01,95.2,1.7
248,A043943,2021MM02,95.4,1.9
249,A043943,2021MM03,95.5,2.1
250,A043943,2021MM04,96.9,4.4
251,A043943,2021MM05,98.1,6.0
252,A043943,2021MM06,99.5,7.6
253,A043943,2021MM07,101.8,9.8
254,A043943,2021MM08,102.3,9.9
255,A043943,2021MM09,102.7,10.5
256,A043943,2021MM10,103.9,12.1
257,A043943,2021MM11,104.2,12.2
258,A043943,2021MM12,104.6,11.8
259,A043943,2021JJ00,100.0,7.5
260,A043943,2022MM01,107.4,12.8
261,A043943,2022MM02,108.4,13.6
262,A043943,2022MM03,111.5,16.8
263,A043943,2022MM04,114.7,18.3
264,A043943,2022MM05,115.8,18.1
265,A043943,2022MM06,115.0,15.5
266,A043943,2022MM07,117.1,15.0
267,A043943,2022MM08,117.3,14.6
268,A043943,2022MM09,117.6,14.6
269,A043943,2022MM10,118.6,14.2
270,A043943,2022MM11,118.2,13.5
271,A043943,2022MM12,117.8,12.7
272,A043943,2022JJ00,115.0,14.9
273,A043943,2023MM01,122.2,13.8
274,A043943,2023MM02,122.8,13.3
275,A043943,2023MM03,122.9,10.2
276,A043943,2023MM04,123.7,7.8
277,A043943,2023MM05,123.8,6.9
278,A043943,2023MM06,123.7,7.6
279,A043943,2023MM07,122.9,4.9
280,A043943,2023MM08,122.2,4.2
281,A043943,2023MM09,122.3,4.0
282,A043943,2023MM10,122.2,3.0
283,A043943,2023MM11,121.8,3.1
284,A043943,2023MM12,122.0,3.6
285,A043943,2023JJ00,122.7,6.7
286,A043943,2024MM01,122.6,0.3
287,A043943,2024MM02,122.4,-0.3
288,A043943,2024MM03,122.5,-0.4
289,A043943,2024MM04,121.9,-1.4
290,A043943,2024MM05,121.3,-2.0
291,A043943,2024MM06,121.7,-1.6
292,A043943,2024MM07,122.1,-0.6
293,A043943,2024MM08,122.1,-0.1
294,A043943,2024MM09,121.7,-0.5
295,A043943,2024MM10,121.4,-0.7
296,A043943,2024MM11,121.6,-0.2
297,A043943,2024MM12,121.7,-0.3
298,A043943,2024JJ00,121.9,-0.6
299,A043943,2025MM01,122.6,0.0
300,A043943,2025MM02,123.1,0.5
301,A043943,2025MM03,123.1,0.5
302,A043943,2025MM04,123.9,1.7
303,A043943,2025MM05,123.9,2.1
304,A043943,2025MM06,124.1,2.0
305,A043943,2025MM07,124.1,1.6
306,A043943,2025MM08,124.1,1.6
307,A043943,2025MM09,124.1,2.0
308,A043943,2025MM10,124.5,2.6
309,A043943,2025MM11,125.0,2.8
310,A043943,2025MM12,124.4,2.3
311,A043943,2025JJ00,123.9,1.6
