ID,Geslacht,Perioden,RechthebbendenOuderschapsverlof_1,TotaalOpgenomenOuderschapsverlof_2,BetaaldOuderschapsverlof_3,DuurOuderschapsverlof_4,UrenOuderschapsverlofPerWeek_5,ArbeidsduurGebruikers_6
0,3,2000JJ00,264,66,36,9,10,30
1,3,2001JJ00,261,72,38,8,11,30
2,3,2002JJ00,269,66,36,9,10,30
3,3,2003JJ00,265,72,38,8,11,30
4,3,2004JJ00,262,71,41,9,10,31
5,3,2005JJ00,266,80,46,9,10,30
6,3,2006JJ00,257,80,47,10,9,31
7,1,2000JJ00,158,25,13,11,9,37
8,1,2001JJ00,153,24,13,10,8,36
9,1,2002JJ00,157,25,13,11,9,37
10,1,2003JJ00,151,24,13,10,8,36
11,1,2004JJ00,150,27,17,10,9,37
12,1,2005JJ00,148,28,16,11,8,37
13,1,2006JJ00,143,30,18,11,8,37
14,2,2000JJ00,105,41,24,8,12,26
15,2,2001JJ00,106,48,25,8,12,26
16,2,2002JJ00,110,41,24,8,12,26
17,2,2003JJ00,114,48,25,8,12,26
18,2,2004JJ00,111,44,25,9,11,27
19,2,2005JJ00,118,52,30,8,11,27
20,2,2006JJ00,114,50,29,9,10,27
