ID,Periods,TotalEnergySupplyTPES_1,IndigenousProductionTotal_2,IndigenousProductionHardCoal_3,IndigenousProductionLignite_4,Imports_5,Exports_6,Bunkers_7,StockChange_8,PatentFuelOutput_9,OutputTotal_10,ManufactureOfCokeOvenProductsOutput_11,OutputOther_12,OutputByPublicGasWorksCompanies_13,DeliveryByEnergyCompanies_14
204,2006JJ00,12652.0,,,,12526.0,,,126.0,,2174.0,2162.0,12.0,,
205,2007JJ00,13466.0,,,,13586.0,,,-121.0,,2172.0,2163.0,9.0,,
206,2008JJ00,12691.0,,,,12672.0,,,19.0,,2100.0,2086.0,13.0,,
207,2009JJ00,11886.0,,,,11806.0,,,80.0,,1690.0,1683.0,7.0,,
208,2010JJ00,11890.0,,,,12053.0,,,-163.0,,2030.0,2022.0,8.0,,
209,2011JJ00,11709.0,,,,11827.0,,,-118.0,,2015.0,2007.0,8.0,,
210,2012JJ00,12818.0,,,,12772.0,,,46.0,,1883.0,1879.0,5.0,,
211,2013JJ00,13005.0,,,,12934.0,,,72.0,,1985.0,1985.0,,,
212,2014JJ00,14577.0,,,,15012.0,,,-435.0,,2011.0,2011.0,,,
213,2015JJ00,18020.0,,,,17426.0,,,594.0,,2035.0,2035.0,,,
214,2016JJ00,16522.0,,,,16394.0,,,128.0,,2034.0,2034.0,,,
215,2017JJ00,14735.0,,,,14920.0,,,-185.0,,1964.0,1964.0,,,
216,2018JJ00,13102.0,,,,13043.0,,,58.0,,1986.0,1986.0,,,
217,2019JJ00,10182.0,,,,10368.0,,,-187.0,,1988.0,1988.0,,,
218,2020JJ00,6507.0,,,,6048.0,,,459.0,,1879.0,1879.0,,,
219,2021JJ00,8854.0,,,,8728.0,,,125.0,,1885.0,1885.0,,,
220,2022JJ00,8848.0,,,,9066.0,,,-218.0,,1825.0,1825.0,,,
221,2023JJ00,6386.0,,,,6502.0,,,-115.0,,1761.0,1761.0,,,
222,2024JJ00,6364.0,,,,6252.0,,,112.0,,1712.0,1712.0,,,
