ID,HerkomstBestemming,Perioden,NettoEnergieverbruik_1,GebruikVanLeidingwater_2,Afval_3,ZwareMetalenNaarWater_4,NutrientenNaarWater_5,KlimaatveranderingBroeikasgassen_6,VerzuringVerzurendeStoffen_7,Ozonlaagaantasting_8,FijnStof_9,OpbrengstMilieubelastingenHeffingen_10,Milieukosten_11,MilieuInvesteringen_12,ArbeidsvolumeWerkzamePersonen_13,BrutoToegevoegdeWaardeBasisprijzen_14,ArbeidsvolumeWerkzamePersonen_15,ProductieBasisprijzen_16,BrutoToegevoegdeWaardeBasisprijzen_17,InvesteringenInVasteActivaBruto_18
42,300025,2001JJ00,2753.0,,,72.0,22943.0,194534.0,27.1,183.6,40.0,6623.0,,,93.0,7994.0,6636.0,936278.0,433798.0,96197.0
43,300025,2002JJ00,2767.0,,54558.0,68.0,21536.0,194912.0,25.8,162.2,39.3,6470.0,,,96.0,8496.0,6620.0,929216.0,434620.0,94507.0
44,300025,2003JJ00,2839.0,316.8,53883.0,65.0,14917.0,195539.0,25.6,132.6,36.8,6563.0,,,100.0,8987.0,6547.0,923602.0,436743.0,94759.0
45,300025,2004JJ00,2909.0,302.8,53618.0,61.0,18349.0,198271.0,25.6,131.0,36.2,6823.0,,,98.0,9341.0,6480.0,941310.0,446904.0,94336.0
46,300025,2005JJ00,2958.0,295.5,52100.0,52.0,16472.0,195750.0,25.5,130.2,35.9,7625.0,,,100.0,9360.0,6478.0,960793.0,456182.0,99170.0
47,300025,2006JJ00,2847.0,297.3,52942.0,48.0,15591.0,191427.0,23.8,131.2,33.7,8512.0,,,101.0,10405.0,6583.0,995556.0,471376.0,108568.0
48,300025,2007JJ00,2999.0,298.8,53993.0,57.0,20739.0,193558.0,23.5,126.9,33.2,8560.0,,,104.0,11246.0,6728.0,1036132.0,490102.0,116712.0
49,300025,2008JJ00,2930.0,304.8,55383.0,46.0,15903.0,192791.0,22.1,124.4,32.1,9271.0,,,106.0,12139.0,6832.0,1056539.0,500273.0,124191.0
50,300025,2009JJ00,2866.0,304.6,50592.0,44.0,13115.0,188051.0,20.7,118.3,30.4,8625.0,,,108.0,11690.0,6759.0,1017049.0,483757.0,111123.0
51,300025,2010JJ00,3024.0,303.4,49952.0,47.0,15668.0,196457.0,19.4,115.1,29.3,8804.0,,,107.0,13340.0,6719.0,1025466.0,491985.0,104492.0
52,300025,2011JJ00,2857.0,297.3,,,,186996.0,18.4,113.8,27.9,8860.0,,,108.0,13800.0,6753.0,1033557.0,497884.0,109531.0
53,300025,2012JJ00,2887.0,,,,,185519.0,18.1,110.9,26.6,8405.0,,,,,6735.0,1020611.0,492196.0,104493.0
54,301000,1995JJ00,192.0,,,17.0,12182.0,33099.0,13.3,0.0,6.3,105.0,,,1.0,67.0,222.0,20961.0,8105.0,2308.0
55,301000,1996JJ00,210.0,,,17.0,5716.0,33395.0,10.9,0.0,6.6,152.0,,,1.0,78.0,227.0,20892.0,7912.0,2345.0
56,301000,1997JJ00,187.0,,,18.0,7448.0,31657.0,10.6,0.0,6.7,210.0,,,1.0,103.0,228.0,21477.0,8521.0,2977.0
57,301000,1998JJ00,188.0,,,18.0,20338.0,30499.0,9.8,0.0,6.8,216.0,,,2.0,103.0,224.0,21110.0,8004.0,2615.0
58,301000,1999JJ00,184.0,,,18.0,12946.0,29873.0,9.5,0.0,6.9,278.0,,,2.0,109.0,225.0,22045.0,8465.0,3280.0
59,301000,2000JJ00,187.0,,,19.0,13587.0,28975.0,10.5,0.0,6.6,252.0,,,2.0,163.0,223.0,22226.0,8618.0,3240.0
60,301000,2001JJ00,183.0,,,18.0,13301.0,28440.0,10.1,0.0,6.4,235.0,,,2.0,174.0,215.0,21605.0,8193.0,3422.0
61,301000,2002JJ00,171.0,,4061.0,17.0,12319.0,26856.0,9.5,0.0,6.7,230.0,,,3.0,189.0,212.0,21620.0,8048.0,3459.0
62,301000,2003JJ00,171.0,57.6,3858.0,16.0,6304.0,26550.0,9.2,0.0,5.7,224.0,,,3.0,221.0,206.0,21599.0,8401.0,3553.0
63,301000,2004JJ00,173.0,49.9,3868.0,14.0,9976.0,26708.0,9.0,0.0,6.4,240.0,,,3.0,228.0,198.0,22359.0,8872.0,3221.0
64,301000,2005JJ00,171.0,47.6,3752.0,13.0,8257.0,26608.0,8.9,0.0,6.6,341.0,,,3.0,247.0,196.0,22301.0,8826.0,3262.0
65,301000,2006JJ00,153.0,46.5,3999.0,12.0,7940.0,26123.0,8.9,0.0,6.4,377.0,,,3.0,338.0,192.0,22559.0,8747.0,3446.0
66,301000,2007JJ00,156.0,46.0,4513.0,17.0,12686.0,26766.0,8.8,0.0,6.6,347.0,,,3.0,371.0,189.0,23200.0,9088.0,4201.0
