ID,Periods,Beer_1,Bread_2,Butter_3,Cheese_4,Coffee_5,Eggs_6,Margarine_7,Milk_8,PorkSteak_9,Potatoes_10,Rice_11,StewingSteak_12,Sugar_13,Tea_14
62,1862JJ00,0.02,0.07,0.12,0.15,0.2,0.01,,0.03,,0.02,0.09,,0.23,0.09
63,1863JJ00,0.02,0.07,0.12,0.17,0.2,0.01,,0.03,,0.01,0.08,0.25,0.22,0.12
64,1864JJ00,0.02,0.06,0.13,0.2,0.2,0.01,,0.03,,0.01,0.08,0.28,0.23,0.08
65,1865JJ00,0.02,0.06,0.13,0.21,0.2,0.01,,0.03,,0.01,0.08,0.32,0.24,0.06
66,1866JJ00,0.02,0.06,0.13,0.19,0.19,0.01,,0.03,,0.02,0.09,0.29,0.23,0.06
67,1867JJ00,0.02,0.07,0.13,0.21,0.18,0.01,,0.03,,0.02,0.08,0.29,0.23,0.06
68,1868JJ00,0.02,0.07,0.14,0.2,0.16,0.01,,0.03,0.28,0.02,0.08,0.29,0.23,0.08
69,1869JJ00,0.02,0.06,0.14,0.23,0.17,0.01,,0.03,,0.02,0.07,0.26,0.25,0.07
70,1870JJ00,0.02,0.06,0.15,0.19,0.15,0.01,,0.03,0.38,0.02,0.06,0.31,0.25,0.06
71,1871JJ00,0.02,0.07,0.15,0.21,0.16,0.01,,0.03,0.36,0.02,0.07,0.34,0.24,0.06
72,1872JJ00,0.02,0.07,0.14,0.19,0.2,0.02,,0.03,0.36,0.02,0.07,0.37,0.25,0.07
73,1873JJ00,0.02,0.07,0.15,0.21,0.25,0.02,,0.03,0.36,0.02,0.07,0.39,0.25,0.06
74,1874JJ00,0.02,0.07,0.16,0.2,0.28,0.02,,0.03,0.39,0.02,0.07,0.36,0.24,0.06
75,1875JJ00,0.02,0.06,0.16,0.17,0.26,0.02,,0.03,0.35,0.01,0.06,0.35,0.23,0.06
76,1876JJ00,0.02,0.06,0.17,0.19,0.24,0.02,,0.03,0.36,0.02,0.07,0.35,0.22,0.06
