ID,EnergyCommodities,Periods,Amount_1,ChangeYearOnYear_2,PriceIndex_3,ChangeYearOnYear_4
820,c,1997MM04,88.0,10.5,19.6,-7.3
821,c,1997MM05,86.0,-3.1,21.1,5.6
822,c,1997MM06,86.0,4.5,20.3,6.8
823,c,1997KW02,260.0,3.7,20.3,1.4
824,c,1997MM07,82.0,-2.6,21.9,11.0
825,c,1997MM08,76.0,-3.3,22.4,10.2
826,c,1997MM09,82.0,2.8,21.2,-4.6
827,c,1997KW03,241.0,-1.1,21.9,5.2
828,c,1997MM10,85.0,3.0,23.1,-6.2
829,c,1997MM11,83.0,-3.9,21.7,-5.8
830,c,1997MM12,84.0,3.1,20.1,-18.2
831,c,1997KW04,252.0,0.6,21.6,-10.1
832,c,1997JJ00,999.0,0.5,21.7,4.3
833,c,1998MM01,84.0,-7.5,18.5,-25.2
834,c,1998MM02,80.0,5.9,16.7,-27.9
835,c,1998MM03,85.0,5.9,15.9,-25.5
836,c,1998KW01,250.0,1.0,17.0,-26.2
837,c,1998MM04,84.0,-4.6,16.1,-18.2
838,c,1998MM05,84.0,-1.4,16.6,-21.2
839,c,1998MM06,88.0,1.8,13.8,-31.8
840,c,1998KW02,256.0,-1.4,15.5,-23.8
841,c,1998MM07,86.0,5.2,13.9,-36.9
842,c,1998MM08,82.0,8.2,13.4,-40.1
843,c,1998MM09,86.0,4.5,13.9,-34.4
844,c,1998KW03,255.0,5.9,13.7,-37.2
845,c,1998MM10,86.0,1.6,13.4,-41.9
846,c,1998MM11,89.0,7.6,11.7,-45.9
847,c,1998MM12,74.0,-11.3,10.4,-48.1
848,c,1998KW04,250.0,-0.7,11.9,-45.1
849,c,1998JJ00,1010.0,1.1,14.5,-33.1
850,c,1999MM01,83.0,-1.4,12.0,-35.3
851,c,1999MM02,77.0,-3.7,12.0,-28.3
852,c,1999MM03,91.0,6.4,14.3,-10.0
853,c,1999KW01,251.0,0.5,12.7,-25.2
854,c,1999MM04,88.0,4.8,18.2,13.5
855,c,1999MM05,87.0,2.7,18.8,12.9
856,c,1999MM06,95.0,9.0,19.9,44.1
857,c,1999KW02,270.0,5.5,19.0,22.4
858,c,1999MM07,87.0,1.4,24.0,72.9
859,c,1999MM08,83.0,1.3,25.2,87.6
860,c,1999MM09,87.0,1.1,27.1,95.1
861,c,1999KW03,258.0,1.3,25.4,85.2
862,c,1999MM10,75.0,-13.4,27.9,107.7
863,c,1999MM11,88.0,-1.3,31.5,168.4
864,c,1999MM12,97.0,30.9,33.3,219.3
865,c,1999KW04,260.0,4.1,30.9,160.4
866,c,1999JJ00,1039.0,2.9,22.0,51.4
867,c,2000MM01,86.0,3.4,34.0,183.8
868,c,2000MM02,85.0,10.5,38.0,217.9
869,c,2000MM03,85.0,-6.6,37.3,161.3
870,c,2000KW01,256.0,2.0,36.4,186.1
871,c,2000MM04,85.0,-3.5,32.3,76.8
872,c,2000MM05,93.0,6.9,40.0,112.9
873,c,2000MM06,86.0,-10.4,40.4,102.8
874,c,2000KW02,263.0,-2.6,37.5,97.8
875,c,2000MM07,88.0,0.5,38.4,60.5
876,c,2000MM08,93.0,11.8,42.6,69.1
877,c,2000MM09,92.0,5.4,47.7,75.7
878,c,2000KW03,273.0,5.8,42.9,68.7
879,c,2000MM10,93.0,25.0,47.9,71.8
880,c,2000MM11,94.0,6.6,48.5,54.3
881,c,2000MM12,95.0,-2.6,38.8,16.6
882,c,2000KW04,282.0,8.5,45.1,46.0
883,c,2000JJ00,1074.0,3.4,40.5,84.0
884,c,2001MM01,94.0,9.8,37.5,10.3
885,c,2001MM02,86.0,0.7,39.7,4.6
886,c,2001MM03,97.0,14.1,35.1,-5.9
887,c,2001KW01,277.0,8.2,37.5,2.8
888,c,2001MM04,89.0,5.3,41.4,28.4
889,c,2001MM05,98.0,5.8,42.6,6.6
890,c,2001MM06,90.0,4.9,39.8,-1.6
891,c,2001KW02,277.0,5.3,41.3,9.9
892,c,2001MM07,91.0,3.3,33.2,-13.6
893,c,2001MM08,93.0,-0.1,34.3,-19.5
894,c,2001MM09,89.0,-3.1,30.8,-35.4
895,c,2001KW03,273.0,0.0,32.8,-23.6
896,c,2001MM10,94.0,1.2,27.0,-43.5
897,c,2001MM11,90.0,-4.7,23.6,-51.4
898,c,2001MM12,95.0,0.3,25.3,-34.9
899,c,2001KW04,279.0,-1.1,25.3,-43.9
900,c,2001JJ00,1106.0,3.0,34.2,-15.5
901,c,2002MM01,92.0,-2.0,26.6,-29.1
902,c,2002MM02,90.0,4.3,30.3,-23.8
903,c,2002MM03,92.0,-4.9,36.4,3.7
904,c,2002KW01,274.0,-1.1,31.1,-17.0
905,c,2002MM04,91.0,1.4,36.5,-12.0
906,c,2002MM05,92.0,-5.9,33.2,-22.1
907,c,2002MM06,90.0,0.5,31.9,-19.9
908,c,2002KW02,273.0,-1.4,33.8,-18.0
909,c,2002MM07,92.0,1.1,32.1,-3.4
910,c,2002MM08,87.0,-6.6,34.3,0.0
911,c,2002MM09,91.0,2.4,37.1,20.4
912,c,2002KW03,270.0,-1.1,34.5,5.3
913,c,2002MM10,100.0,6.3,34.3,26.9
914,c,2002MM11,97.0,7.9,31.6,34.1
915,c,2002MM12,101.0,6.3,39.7,57.0
916,c,2002KW04,298.0,6.8,35.2,39.2
917,c,2002JJ00,1115.0,0.8,33.7,-1.6
918,c,2003MM01,96.0,4.0,42.3,59.1
919,c,2003MM02,93.0,3.8,46.2,52.6
920,c,2003MM03,88.0,-4.5,38.8,6.6
921,c,2003KW01,277.0,1.1,42.5,36.5
922,c,2003MM04,96.0,6.0,27.7,-24.0
923,c,2003MM05,106.0,14.8,28.6,-13.9
924,c,2003MM06,91.0,1.0,29.9,-6.2
925,c,2003KW02,293.0,7.3,28.7,-15.1
926,c,2003MM07,100.0,9.0,32.3,0.6
927,c,2003MM08,93.0,6.2,33.2,-3.2
928,c,2003MM09,104.0,14.6,32.7,-11.9
929,c,2003KW03,297.0,10.0,32.7,-5.2
930,c,2003MM10,108.0,7.7,33.8,-1.5
931,c,2003MM11,95.0,-1.9,34.9,10.3
932,c,2003MM12,106.0,5.1,36.8,-7.3
933,c,2003KW04,309.0,3.7,35.2,-0.2
934,c,2003JJ00,1177.0,5.6,34.8,3.3
935,c,2004MM01,98.0,2.6,36.2,-14.4
936,c,2004MM02,104.0,11.8,35.6,-22.9
937,c,2004MM03,106.0,21.0,40.1,3.1
938,c,2004KW01,309.0,11.6,37.3,-12.2
939,c,2004MM04,103.0,7.4,41.1,48.5
940,c,2004MM05,100.0,-5.9,46.7,63.5
941,c,2004MM06,103.0,13.3,43.9,46.8
942,c,2004KW02,306.0,4.4,43.9,52.9
943,c,2004MM07,103.0,2.4,46.2,43.1
944,c,2004MM08,99.0,6.9,51.7,55.9
945,c,2004MM09,105.0,0.2,50.9,55.6
946,c,2004KW03,306.0,3.0,49.6,51.6
947,c,2004MM10,93.0,-13.6,57.8,71.1
948,c,2004MM11,91.0,-3.7,49.5,41.9
949,c,2004MM12,102.0,-3.6,41.9,13.8
950,c,2004KW04,287.0,-7.1,49.7,41.4
951,c,2004JJ00,1208.0,2.6,45.1,29.8
952,c,2005MM01,104.0,5.7,46.5,28.4
953,c,2005MM02,97.0,-6.7,48.6,36.4
954,c,2005MM03,111.0,4.1,57.0,42.4
955,c,2005KW01,312.0,1.0,50.7,35.9
956,c,2005MM04,112.0,8.2,56.6,37.5
957,c,2005MM05,107.0,7.5,57.2,22.6
958,c,2005MM06,103.0,0.1,65.0,48.0
959,c,2005KW02,322.0,5.2,59.6,35.7
960,c,2005MM07,96.0,-6.1,71.2,54.1
961,c,2005MM08,102.0,3.0,78.0,50.8
962,c,2005MM09,107.0,2.2,76.7,50.7
963,c,2005KW03,305.0,-0.3,75.3,51.8
964,c,2005MM10,99.0,6.3,73.5,27.1
965,c,2005MM11,109.0,19.4,69.6,40.7
966,c,2005MM12,107.0,4.3,71.8,71.6
967,c,2005KW04,315.0,9.8,71.6,44.1
968,c,2005JJ00,1254.0,3.8,64.3,42.5
969,c,2006MM01,103.0,-1.3,78.4,68.6
970,c,2006MM02,97.0,-0.3,75.9,56.2
971,c,2006MM03,108.0,-2.1,78.5,37.7
972,c,2006KW01,308.0,-1.3,77.6,53.0
973,c,2006MM04,93.0,-16.3,85.1,50.4
974,c,2006MM05,101.0,-5.6,82.6,44.4
975,c,2006MM06,99.0,-4.6,82.0,26.3
976,c,2006KW02,293.0,-9.0,83.2,39.7
977,c,2006MM07,100.0,3.9,86.4,21.4
978,c,2006MM08,101.0,-0.6,86.9,11.4
979,c,2006MM09,104.0,-2.9,76.5,-0.2
980,c,2006KW03,305.0,0.0,83.3,10.6
981,c,2006MM10,105.0,6.0,71.3,-2.9
982,c,2006MM11,108.0,-1.1,70.3,0.9
983,c,2006MM12,104.0,-2.6,71.5,-0.5
984,c,2006KW04,317.0,0.6,71.0,-0.8
985,c,2006JJ00,1224.0,-2.4,78.8,22.5
986,c,2007MM01,111.0,8.2,63.4,-19.1
987,c,2007MM02,104.0,7.0,67.1,-11.6
988,c,2007MM03,105.0,-3.0,73.7,-6.1
989,c,2007KW01,320.0,3.9,68.1,-12.3
990,c,2007MM04,103.0,10.8,76.5,-10.1
991,c,2007MM05,118.0,16.4,77.4,-6.3
992,c,2007MM06,117.0,18.6,81.8,-0.3
993,c,2007KW02,338.0,15.4,78.5,-5.6
994,c,2007MM07,116.0,15.6,87.2,0.9
995,c,2007MM08,116.0,14.1,81.2,-6.5
996,c,2007MM09,114.0,9.8,87.4,14.1
997,c,2007KW03,345.0,13.1,85.2,2.4
998,c,2007MM10,120.0,14.0,88.0,23.3
999,c,2007MM11,117.0,8.9,98.2,39.8
1000,c,2007MM12,113.0,8.4,97.4,36.2
1001,c,2007KW04,350.0,10.4,94.5,33.1
1002,c,2007JJ00,1354.0,10.6,81.6,3.6
1003,c,2008MM01,116.0,4.4,99.7,57.1
1004,c,2008MM02,110.0,6.5,102.2,52.4
1005,c,2008MM03,110.0,4.1,103.3,40.1
1006,c,2008KW01,336.0,5.0,101.7,49.4
1007,c,2008MM04,103.0,-0.1,108.7,42.1
1008,c,2008MM05,110.0,-6.8,121.4,56.9
1009,c,2008MM06,106.0,-9.3,132.7,62.2
1010,c,2008KW02,319.0,-5.6,120.9,54.0
1011,c,2008MM07,113.0,-1.9,133.3,53.0
1012,c,2008MM08,107.0,-7.2,120.7,48.7
1013,c,2008MM09,108.0,-5.6,107.1,22.5
1014,c,2008KW03,328.0,-4.9,120.4,41.2
1015,c,2008MM10,107.0,-10.8,87.5,-0.5
1016,c,2008MM11,93.0,-21.2,67.0,-31.8
1017,c,2008MM12,94.0,-17.0,48.5,-50.1
1018,c,2008KW04,293.0,-16.3,67.7,-28.4
1019,c,2008JJ00,1275.0,-5.8,102.7,25.8
1020,c,2009MM01,98.0,-15.4,52.6,-47.2
1021,c,2009MM02,99.0,-10.2,54.3,-46.9
1022,c,2009MM03,108.0,-1.6,59.4,-42.5
1023,c,2009KW01,305.0,-9.2,55.5,-45.5
1024,c,2009MM04,101.0,-2.2,62.6,-42.4
1025,c,2009MM05,107.0,-2.2,70.5,-41.9
1026,c,2009MM06,100.0,-5.9,81.5,-38.6
1027,c,2009KW02,308.0,-3.4,71.5,-40.8
1028,c,2009MM07,105.0,-7.4,76.1,-42.9
1029,c,2009MM08,101.0,-6.2,83.9,-30.5
1030,c,2009MM09,110.0,2.7,78.3,-26.9
