ID,ZorginstellingenSBI2008,Perioden,Ondernemingen_1,TotaalBedrijfsopbrengsten_2,TotaalNettoOmzet_3,WettelijkBudgetEnOfSubsidies_4,TotaalOverigeNettoOmzet_5,DBCOpbrengstenBSegment_6,TotNietGebudgetteerdeZorgprestaties_7,ZorgprestatiesTussenInstellingen_8,PersoonsgebondenEnVolgendeBudgetten_9,OvNietGebudgetteerdeZorgprestaties_10,OverigeDienstverlening_11,TotaalOverigeBedrijfsopbrengsten_12,WmoSubsidiesHuishoudelijkeHulp_13,OverigeSubsidiesEnBijdragen_14,NietEerderGenoemdeBedrijfsopbrengsten_15,TotaalBedrijfslasten_16,TotaalArbeidskosten_17,LonenEnSalarissen_18,PensioenlastenEnSocialeLasten_19,AfschrijvingenOpVasteActiva_20,BijzondereWaardeverminderingen_21,TotaalOverigeBedrijfslasten_22,TotaalAnderePersoneelskosten_23,KostenUitzendkrachtenEnOverigeInleen_24,OverigePersoneelskosten_25,TotaalNietEerderGenoemdeBedrLasten_26,VoedingEnHotelmatigeKosten_27,AlgemeneKosten_28,ClientEnBewonersgebondenKosten_29,OnderhoudsEnEnergiekosten_30,HuurOperationeleLeasingKapGoederen_31,AndereBedrijfslasten_32,Bedrijfsresultaat_33,FinancieleBaten_34,FinancieleLasten_35,FinancieelResultaat_36,BuitengewoneBaten_37,BuitengewoneLasten_38,BuitengewoonResultaat_39,ResultaatVoorBelastingen_40,TotaalWettelijkBudget_41,ZiekenhEnRevalidZorgExclGGZ_42,GeestelijkeGezondheidszorgGGZ_43,IntramuraleGehandicaptenzorg_44,IntramuraleVerplegingEnVerzorging_45,ZorgThuisEnDagactiviteit_46,OverigeZorg_47,OpbrengstenTerDekkingWettelijkBudget_48,FinancieringsverschilBudgetOpbrengsten_49,TotaalActiva_50,ImmaterieleVasteActiva_51,MaterieleVasteActiva_52,TotaalFinancieleVasteActiva_53,Deelnemingen_54,OverigeLanglopendeVorderingen_55,TotaalVoorradenInclOhwUHVDBCS_56,Voorraden_57,OnderhandenWerkUHVDBCS_58,TotaalKortlVordInclFinTekort_59,TotaalKortlopendeVorderingen_60,VorderingenOpDebiteuren_61,OverigeKortlopendeVorderingen_62,Financieringstekort_63,Effecten_64,LiquideMiddelen_65,TotaalPassiva_66,TotaalEigenVermogen_67,Kapitaal_68,CollectiefGefinGebVermogen_69,NietCollectiefGefinVrijVermogen_70,Voorzieningen_71,LanglopendeSchulden_72,TotKortlSchInclFinOverschot_73,TotaalKortlopendeSchulden_74,SchuldenAanKredietinstellingen_75,Crediteuren_76,AflossingsverplLanglLen_77,OvKortlopendeSchulden_78,Financieringsoverschot_79,BoekwaardePer1Januari_80,Investeringen_81,Herwaarderingen_82,Desinvesteringen_83,Afschrijvingen_84,BijzondereWaardeverminderingen_85,TerugnameAfgeschrevenActiva_86,BoekwaardePer31December_87,TotaalWerknemers_88,TotaalOverheadEnFacilitaireFuncties_89,AlgemeneEnAdministratieveFuncties_90,Hotelfuncties_91,TerreinEnGebouwgebondenFuncties_92,TotaalPatientEnBewonergebFuncties_93,VerpleegkundigEnVerzorgendPersoneel_94,MedischEnSociaalWetenschappFuncties_95,OvPatientEnBewonergebFuncties_96,LeerlingVerpleegkundigEnVerzorgend_97,OverigPersoneelInLoondienst_98,TotaalWerknemers_99,TotaalOverheadEnFacilitaireFuncties_100,AlgemeneEnAdministratieveFuncties_101,Hotelfuncties_102,TerreinEnGebouwgebondenFuncties_103,TotaalPatientEnBewonergebFuncties_104,VerpleegkundigEnVerzorgendPersoneel_105,MedischEnSociaalWetenschappFuncties_106,OvPatientEnBewonergebFuncties_107,LeerlingVerpleegkundigEnVerzorgend_108,OverigPersoneelInLoondienst_109,TotaalWerknemers_110,TotaalOverheadEnFacilitaireFuncties_111,AlgemeneEnAdministratieveFuncties_112,Hotelfuncties_113,TerreinEnGebouwgebondenFuncties_114,TotaalPatientEnBewonergebFuncties_115,VerpleegkundigEnVerzorgendPersoneel_116,MedischEnSociaalWetenschappFuncties_117,OvPatientEnBewonergebFuncties_118,LeerlingVerpleegkundigEnVerzorgend_119,OverigPersoneelInLoondienst_120,BeddenKlinischeDagDeeltijdbehand_121,KlinischeVerpleegdagen_122,DagEnDeeltijdbehandelingen_123,EerstePolikliniekbezoeken_124,KlinischeOpnamen_125,BeddenKlinischeBehandeling_126,PoliklinischeBehandelplaatsen_127,KlinischeVerpleegdagen_128,Revalidatiebehandeluren_129,EersteConsulten_130,BeddenKlinischeEnDeeltijdbehandGGZ_131,KlinischeVerpleegdagenGGZ_132,Deeltijdbehandelingen_133,PoliklinischeFaceToFaceContacten_134,EersteKlinischeOpnamen_135,TotaalGGZZZPExclKindEnJeugd_136,VoortgezetVerblijfInclBHInclDB_137,VoortgezetVerblijfInclBHExclDB_138,BeschutBeschermdWonenExclBHInclDB_139,BeschutBeschermdWonenExclBHExclDB_140,BeddenGGZKJ_141,PlaatsenKleinschaligWonenGGZKJ_142,VerpleegdagenGGZKJ_143,VerzorgDagKleinschaligWonenGGZKJ_144,IntramurPlaatsenMetBehandelingGHZ_145,IntramurPlaatsZonderBehandelingGHZ_146,TotaalGHZZZP_147,TotaalGHZZZPVG_148,MetEnigeBegeleidingInclDB_149,MetEnigeBegeleidingExclDB_150,OverigeZZPInclBHInclDB_151,OverigeZZPInclBHExclDB_152,OverigeZZPExclBHInclDB_153,OverigeZZPExclBHExclDB_154,LichtVerstandelijkGehandicaptenLVG_155,SterkGedragsgestLichtVerstGeh_156,TotaalGHZZZPLG_157,MetEnigeBegelEnEnigeVerz_158,OverigeZZPInclBHInclDB_159,OverigeZZPInclBHExclDB_160,OverigeZZPExclBHInclDB_161,OverigeZZPExclBHExclDB_162,TotaalGHZZZPZG_163,ZintuiglijkGehandicaptenAuditief_164,ZintuiglijkGehandicaptenVisueel_165,IntramurPlaatsenMetBehandelingVPH_166,IntramurPlaatsenZonderBehandelingVZH_167,TotaalVVZZP_168,TotaalVVZZPBeschutWonen_169,BegeleidingEnEnigeVerzorging_170,BegeleidingEnVerzorgingInclBH_171,BegeleidingEnVerzorgingExclBH_172,TotaalVVZZPBeschermdWonen_173,IntensieveDementieZorgInclBH_174,IntensieveDementieZorgExclBH_175,MetNadrukOpLichVerzorgingInclBH_176,MetNadrukOpLichVerzorgingExclBH_177,HerstelgerichteBehandeling_178,IntensiefPalliatiefTerminaleZorg_179,UrenExtramuraleHuishoudelijkeVerz_180,UrenExtramuralePersoonlijkeVerz_181,UrenExtramuraleVerpleging_182,UrenExtramBegeleidingExclDagact_183,UrenExtramuraleBehandeling_184,UrenDagactiviteitGGZ_185,DagdelenDagactiviteitGHZ_186,DagdelenDagactiviteitVV_187,TotaalVPT_188,DagenVPTGGZ_189,DagenVPTGHZ_190,DagenVPTVV_191,Capaciteit_192,Jeugdigen_193,Zorgaanspraken_194,Capaciteit_195,Jeugdigen_196,Zorgaanspraken_197,Capaciteit_198,Jeugdigen_199,Zorgaanspraken_200,Capaciteit_201,Jeugdigen_202,Zorgaanspraken_203,Capaciteit_204,Jeugdigen_205,Zorgaanspraken_206,Capaciteit_207,Jeugdigen_208
0, 1      ,2006JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33898.0,12147.0,3864.0,3966.0,7987.0,5206.0,733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55900.0,11310.0,1483.0,9621.0,1754.0,1790.0,1000.0,466.0,2374.0,38.0,,,1516.0,11055.0,61.0,,,,,,,,,,42670.0,23040.0,,,,,,,,,,,,,,,,,,,,66880.0,103200.0,,,,,,,,,,,,,54015.0,27859.0,12578.0,19072.0,763.0,,,,,,,,,35.0,36.0,,9.0,9.0,,19.0,17.0,,12.0,12.0,,6.0,6.0,0.0,0.0
1, 1      ,2007JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33497.0,11919.0,4134.0,4188.0,8241.0,4278.0,743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55730.0,11271.0,1703.0,10267.0,1780.0,1790.0,1070.0,455.0,2502.0,43.0,,,1549.0,12418.0,62.0,,,,,,,,,,43070.0,24150.0,,,,,,,,,,,,,,,,,,,,68250.0,101150.0,,,,,,,,,,,,,52799.0,30457.0,11540.0,20650.0,745.0,,,,,,,,23.0,38.0,45.0,5.0,9.0,10.0,13.0,20.0,21.0,6.0,12.0,14.0,1.0,7.0,7.0,0.0,0.0
2, 1      ,2008JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34402.0,10824.0,4637.0,4586.0,8908.0,4495.0,955.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55640.0,10766.0,1718.0,10365.0,1823.0,1910.0,1110.0,456.0,2630.0,43.0,,,1377.0,13925.0,63.0,,,,,,,,,,44770.0,25390.0,,,,,,,,,,,,,,,,,,,,71020.0,98270.0,,,,,,,,,,,,,53243.0,34494.0,9025.0,21428.0,875.0,,,,,,,,18.0,43.0,49.0,5.0,9.0,10.0,12.0,17.0,19.0,6.0,11.0,13.0,2.0,10.0,12.0,0.0,0.0
3, 1      ,2009JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35420.0,10402.0,4969.0,5027.0,9534.0,4393.0,1093.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55710.0,10672.0,1901.0,10764.0,1910.0,1900.0,1170.0,468.0,2644.0,47.0,,,1280.0,15738.0,65.0,,,,,,,,,,46200.0,24780.0,,,,,,,,,,,,,,,,,,,,72400.0,95890.0,,,,,,,,,,,,,55350.0,37506.0,7856.0,19694.0,1019.0,,,,,,,,15.0,47.0,,4.0,9.0,,14.0,20.0,,5.0,11.0,,2.0,12.0,,1.0,2.0
4, 1      ,2010JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37578.0,11332.0,5282.0,5107.0,9719.0,4666.0,1468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55680.0,10587.0,2018.0,10996.0,1973.0,1900.0,1240.0,472.0,2975.0,49.0,13580.0,5346.0,1327.0,15862.0,67.0,9280.0,2577.0,550.0,3491.0,2663.0,327.0,434.0,108.0,123.0,49120.0,24340.0,26633.0,21648.0,1108.0,1625.0,12747.0,1191.0,2647.0,2330.0,1226.0,87.0,2834.0,586.0,974.0,209.0,768.0,297.0,839.0,307.0,532.0,78200.0,94020.0,58429.0,27469.0,13099.0,1438.0,12932.0,30960.0,17008.0,2525.0,5532.0,2348.0,3323.0,224.0,56350.0,39627.0,7641.0,18119.0,1856.0,6791.0,8132.0,8516.0,449.0,42.0,130.0,277.0,22.0,50.0,,4.0,9.0,,12.0,18.0,,5.0,12.0,,2.0,11.0,,1.0,3.0
5, 1      ,2011JJ00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,422800  ,2006JJ00,8.0,4699.0,3693.0,3189.0,504.0,,,,,,,1006.0,0.0,844.0,162.0,4554.0,2697.0,2177.0,520.0,209.0,,1647.0,221.0,102.0,119.0,1426.0,131.0,307.0,792.0,125.0,37.0,34.0,145.0,12.0,67.0,-56.0,0.0,0.0,0.0,90.0,3169.0,3077.0,0.0,0.0,0.0,0.0,92.0,3444.0,-274.0,5305.0,78.0,3132.0,33.0,,,684.0,,,1027.0,,,,,3.0,348.0,5305.0,1436.0,,,,267.0,1382.0,2220.0,,,,,,,,395.0,,,,,,3132.0,60490.0,19660.0,14440.0,4400.0,820.0,39870.0,14300.0,13040.0,12530.0,950.0,,47900.0,15010.0,11120.0,3110.0,780.0,31960.0,10950.0,11030.0,9970.0,940.0,,2177.0,564.0,440.0,93.0,32.0,1597.0,433.0,744.0,420.0,16.0,,8050.0,1826.0,174.0,1073.0,220.0,0.0,0.0,0.0,27.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,422800  ,2007JJ00,8.0,5210.0,3772.0,3253.0,520.0,70.0,44.0,26.0,0.0,18.0,406.0,1438.0,0.0,1061.0,377.0,5071.0,2885.0,2340.0,545.0,261.0,,1925.0,229.0,116.0,113.0,1696.0,131.0,378.0,934.0,165.0,28.0,61.0,139.0,24.0,71.0,-47.0,0.0,3.0,-3.0,89.0,2982.0,2871.0,0.0,0.0,0.0,0.0,111.0,3486.0,-503.0,5319.0,2.0,3327.0,36.0,16.0,20.0,664.0,60.0,604.0,932.0,932.0,582.0,350.0,0.0,0.0,358.0,5319.0,1503.0,8.0,1287.0,209.0,305.0,1220.0,2292.0,1516.0,161.0,241.0,106.0,1009.0,776.0,3162.0,461.0,,15.0,280.0,,0.0,3327.0,61870.0,19690.0,14660.0,4130.0,900.0,39900.0,14060.0,13230.0,12620.0,990.0,1300.0,49600.0,14930.0,11140.0,3000.0,790.0,32560.0,10740.0,11630.0,10200.0,890.0,1210.0,2340.0,577.0,450.0,98.0,29.0,1656.0,440.0,823.0,393.0,17.0,90.0,8050.0,1740.0,190.0,1106.0,224.0,0.0,0.0,0.0,29.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,422800  ,2008JJ00,8.0,5841.0,3661.0,2926.0,735.0,166.0,79.0,31.0,0.0,48.0,490.0,2180.0,0.0,1739.0,442.0,5705.0,3218.0,2603.0,614.0,291.0,,2197.0,298.0,158.0,141.0,1898.0,144.0,438.0,1013.0,213.0,38.0,53.0,136.0,25.0,60.0,-35.0,0.0,0.0,0.0,101.0,2906.0,2572.0,195.0,0.0,0.0,0.0,139.0,3168.0,-261.0,5621.0,2.0,3604.0,41.0,8.0,33.0,587.0,64.0,523.0,890.0,888.0,603.0,286.0,1.0,0.0,496.0,5621.0,941.0,13.0,658.0,270.0,394.0,1913.0,2372.0,1567.0,103.0,233.0,82.0,1149.0,806.0,3381.0,560.0,,22.0,316.0,,0.0,3604.0,68220.0,21940.0,16640.0,4440.0,860.0,43950.0,16560.0,14140.0,13250.0,1020.0,1310.0,52790.0,16200.0,12320.0,3110.0,780.0,34480.0,12190.0,11980.0,10310.0,940.0,1170.0,2603.0,662.0,532.0,99.0,31.0,1843.0,515.0,925.0,403.0,18.0,80.0,7980.0,1679.0,187.0,1069.0,235.0,0.0,0.0,0.0,31.0,0.0,,,89.0,578.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,49.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,422800  ,2009JJ00,8.0,6267.0,4057.0,3038.0,1019.0,307.0,83.0,28.0,0.0,55.0,629.0,2211.0,0.0,1849.0,362.0,6157.0,3488.0,2805.0,682.0,296.0,0.0,2374.0,330.0,188.0,142.0,2044.0,148.0,449.0,1088.0,242.0,37.0,79.0,110.0,16.0,57.0,-42.0,1.0,0.0,1.0,69.0,2942.0,2596.0,200.0,0.0,5.0,0.0,142.0,2811.0,132.0,5823.0,3.0,3918.0,41.0,7.0,34.0,649.0,72.0,577.0,949.0,918.0,554.0,364.0,31.0,0.0,264.0,5823.0,1050.0,14.0,722.0,314.0,454.0,2189.0,2129.0,1945.0,342.0,222.0,89.0,1292.0,184.0,3673.0,602.0,0.0,17.0,340.0,0.0,0.0,3918.0,70790.0,23110.0,17640.0,4550.0,920.0,44920.0,16010.0,15200.0,13710.0,1120.0,1640.0,54920.0,16720.0,13000.0,2870.0,840.0,35830.0,12300.0,12760.0,10780.0,980.0,1390.0,2805.0,708.0,578.0,97.0,33.0,1984.0,531.0,1022.0,432.0,23.0,91.0,8310.0,1663.0,217.0,1131.0,246.0,0.0,0.0,0.0,31.0,0.0,,,84.0,690.0,5.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,60.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,53.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
