ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20162018_7,k_31122018_8,k_31122017_9,k_31122016_10,Gemiddelde20162018_11,k_31122018_12,k_31122017_13,k_31122016_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122017_25,PersonenMetBijstand31122018_26,WajongUitkeringen31122017_27,InstroomWerkregelingWajong20122014_28,InstroomWachtlijstWSW20122014_29,InstroomWajongExclWSW20122014_30,PersonenMetLoonkostensubs31122018_31,PsychischMedicijngebruikOuders2018_32
210,GM0171,29990,11330,19290,7260,5500,540,240,230,240,250,320,300,320,330,19300,23800,7100,24200,10600,1200,1200,24,5,19,4840,1060,700,50,40,50,70,460
211,GM0575,27200,8380,19310,6470,4520,530,80,80,80,90,110,110,120,100,19200,26900,6200,28700,7700,700,700,22,4,17,4070,564,770,40,40,40,20,340
212,GM0820,13780,4650,10090,3530,2430,270,80,70,80,90,110,110,120,110,9800,29700,3400,30900,4200,300,300,13,1,10,1960,441,170,20,40,20,20,180
213,GM0302,16870,6540,10750,4230,2990,230,60,60,70,60,80,70,80,70,10800,24600,4000,25400,6000,400,500,13,3,26,2660,326,450,30,50,30,30,310
214,GM0579,15060,5740,10660,3940,3000,280,70,70,60,70,90,80,80,90,10300,32700,3500,34400,4900,300,300,12,1,9,2230,374,250,20,20,20,10,250
215,GM0823,11970,3700,7610,2900,1860,170,20,30,20,20,40,40,40,40,7500,27200,2800,29100,3600,200,200,9,1,16,1440,151,110,10,30,0,20,140
216,GM0824,16040,5280,11160,3940,2680,280,60,60,50,60,90,90,90,80,11300,27700,3900,29500,4800,500,400,13,2,19,2300,338,290,20,50,20,20,210
217,GM1895,23620,7050,18030,5470,3840,470,320,300,320,340,370,360,360,380,18400,21300,5500,22500,6700,1100,1000,18,4,22,5550,1666,980,90,80,90,50,350
218,GM0269,14930,5590,9160,3810,2650,160,60,70,60,60,80,90,90,70,9000,23800,3700,25100,5100,300,400,13,4,29,2270,361,290,30,30,30,30,280
219,GM0173,19390,6810,13960,4890,3480,400,130,120,140,130,160,150,160,160,14200,24300,4900,26100,6700,700,700,16,3,16,2900,668,520,50,50,50,40,230
