ID,RegioS,InwonersVan15Tot65Jaar_1,InwonersTot18Jaar_2,TotaalParticuliereHuishoudens_3,TotaalMetThuiswonendeKinderen_4,MetThuiswondenKinderen0Tot18Jaar_5,Eenouderhuishoudens2OfMeerKinderen_6,Gemiddelde20162018_7,k_31122018_8,k_31122017_9,k_31122016_10,Gemiddelde20162018_11,k_31122018_12,k_31122017_13,k_31122016_14,HuishoudensMetInkomen_15,GemiddeldGestandaardiseerdInkomen_16,TotaalHuishoudensMetKinderen_17,GemiddeldGestandaardiseerdInkomen_18,TotaalMinderjarigeKinderen_19,InHuishoudensTot120SociaalMinimum_20,InHuishoudensMetLaagInkomen_21,TotaalBeroepsbevolking_22,LagerOpgeleiden_23,LagerOpgeleidenPercentage_24,InwonersDoelpopulatie31122017_25,PersonenMetBijstand31122018_26,WajongUitkeringen31122017_27,InstroomWerkregelingWajong20122014_28,InstroomWachtlijstWSW20122014_29,InstroomWajongExclWSW20122014_30,PersonenMetLoonkostensubs31122018_31,PsychischMedicijngebruikOuders2018_32
298,GM0858,18950,5540,14340,4440,3010,370,140,140,140,130,130,140,130,130,14100,25000,4300,26700,5200,600,500,16,3,21,2810,610,330,10,50,10,30,250
299,GM0047,17190,5500,12630,4160,2950,360,230,220,250,240,270,260,270,270,12700,22000,4200,22400,5200,900,800,14,3,23,3980,1108,650,60,110,60,40,310
300,GM0345,41760,15720,27540,10370,7730,810,350,330,350,380,440,390,450,480,26700,24400,9900,25100,14500,1700,1600,34,5,16,6580,1361,930,110,70,110,50,800
301,GM0717,12800,4350,9410,3020,2130,160,40,40,40,50,50,40,50,50,9600,26200,3000,26700,4200,300,300,10,2,17,1950,194,200,10,10,10,10,150
302,GM0861,28790,9070,19890,7050,4900,450,120,120,110,130,170,150,170,190,19700,26500,6700,28300,8300,800,700,24,3,13,4160,611,810,30,70,30,30,380
303,GM0453,44230,13890,30920,11080,7590,970,340,320,350,340,410,400,420,410,30900,25400,10600,27100,12900,1600,1400,36,7,18,6420,1611,820,130,100,130,10,650
304,GM0983,65090,19280,47690,14930,10430,1330,760,720,770,800,850,800,870,880,46700,22900,14600,23700,17700,3100,2700,51,11,22,12290,3538,1350,130,170,130,70,860
305,GM0984,27860,8600,18750,6550,4440,480,200,180,210,220,260,250,270,280,19000,24100,6500,25500,8500,1200,1100,23,4,18,4350,993,690,50,110,50,40,330
306,GM1961,35020,12510,22850,8990,6320,620,190,190,200,200,240,230,250,250,22400,25500,8500,26500,11500,1100,1000,28,6,22,4840,863,610,60,60,50,30,640
307,GM0622,45430,14640,34190,11200,8070,1310,780,730,790,810,860,820,850,910,34700,23200,10600,24100,12700,2600,2400,37,8,21,8940,2792,980,130,90,120,20,600
308,GM0096,810,170,630,130,90,10,0,0,0,0,0,0,0,0,600,24100,100,25600,200,0,0,0,0,33,90,9,0,0,0,0,0,0
309,GM0718,27660,8320,22390,6090,4470,670,470,440,480,490,490,450,510,500,22200,22400,6000,23500,7500,1200,1000,21,4,20,5920,1961,500,40,80,40,30,410
310,GM0986,7440,2250,5600,1880,1220,120,30,30,30,30,40,40,50,40,5500,26600,1800,27300,2100,200,200,6,1,12,1020,142,110,10,10,10,10,90
311,GM0626,15070,5760,11200,4050,3000,320,80,80,90,90,110,110,110,100,11100,30400,4000,31300,5400,500,400,14,1,9,2150,372,210,30,20,30,10,300
312,GM0285,14890,5130,10060,3560,2430,190,60,50,60,70,80,80,80,90,10400,25400,3500,27700,4500,300,300,13,2,15,2200,330,530,30,30,30,20,170
313,GM0865,16350,5840,11180,4100,2990,290,60,50,60,70,70,60,70,80,11800,28300,3900,31600,5200,400,400,12,1,12,2730,327,510,60,70,60,70,190
314,GM1949,28810,9830,20170,6860,4960,490,250,250,250,260,290,280,290,290,20400,22500,6900,23500,9600,1000,1000,23,5,20,4890,1276,630,80,30,80,30,480
315,GM0866,10230,3740,7480,2720,1970,200,50,40,50,50,60,60,60,50,7300,31000,2600,31800,3500,300,300,8,1,11,1420,221,100,10,10,10,10,140
316,GM0867,30700,9620,21610,7400,5190,570,200,180,200,210,220,210,230,230,20900,24600,7000,26000,8800,900,800,25,6,24,4550,861,490,30,90,30,90,430
317,GM0627,17730,6370,11850,4440,3250,280,90,90,90,100,110,110,110,110,10900,26300,3900,27000,5300,400,400,12,2,15,2510,397,380,40,60,40,10,280
318,GM0289,27700,6460,22290,4300,3300,350,160,160,150,170,190,190,200,200,19900,20100,4100,27300,5700,600,600,20,2,8,4700,838,570,60,40,60,20,270
319,GM0629,15070,6040,11540,4090,3020,380,120,110,130,120,130,120,140,130,11400,38700,3800,40500,5100,500,500,11,1,9,3820,465,170,10,20,10,10,190
320,GM0852,10340,3600,7480,2740,1900,190,30,40,30,20,50,50,50,40,7500,29200,2700,32100,3300,200,200,9,1,11,1310,208,110,20,20,20,10,150
321,GM0988,31310,9270,22410,7410,4940,540,200,190,190,220,260,250,260,280,22200,24500,7200,26300,8700,1100,1000,25,4,18,5410,1108,670,50,130,50,60,410
322,GM0457,12270,4010,9040,2880,2180,230,100,90,90,110,120,120,110,130,8800,26300,2700,28600,3500,400,400,10,2,19,1760,448,180,10,10,10,10,160
323,GM1960,32310,11730,20300,8190,5830,490,120,120,120,130,170,160,170,180,19800,27300,7900,28200,11100,800,800,25,5,21,4310,570,470,50,60,50,50,470
324,GM0668,12360,3690,8200,2930,1950,180,40,40,40,50,70,60,70,70,8000,25200,2800,27300,3600,300,300,10,2,17,1680,270,200,10,20,10,10,140
325,GM1969,39380,14340,26240,10040,7300,620,240,220,240,260,280,270,280,280,26100,23800,9900,24700,13800,1200,1100,31,5,17,5920,1187,1060,100,40,100,60,640
326,GM1701,11440,3460,8660,2560,1790,150,50,40,40,50,60,50,50,60,8600,25000,2500,26300,3400,300,300,9,1,17,1980,304,320,20,30,20,10,100
327,GM0293,9830,2930,6690,2420,1660,240,110,100,100,120,140,130,130,150,6600,23900,2500,24000,2800,500,400,8,2,21,1730,428,270,50,20,50,10,160
328,GM1950,15110,4690,11190,3340,2240,260,120,120,130,130,150,150,160,160,11300,21900,3300,22800,4200,600,600,11,2,22,3280,637,500,60,30,60,20,180
329,GM1783,69810,23320,45860,17460,12160,1150,340,330,320,370,450,440,440,460,44700,25900,16500,28500,21100,1900,1800,58,10,17,8740,1497,1110,110,70,110,70,1040
330,GM0098,15860,5200,11280,3760,2640,290,120,120,130,130,130,120,130,140,11400,22700,3700,24000,4900,600,600,14,3,22,2700,565,430,30,30,30,30,210
331,GM0614,8880,2580,6600,2120,1420,140,30,30,30,30,40,40,40,50,6400,31500,2000,33500,2300,200,200,5,1,16,1470,152,110,10,10,10,0,100
332,GM0189,15030,5590,9530,3940,2690,210,50,50,50,50,70,70,80,60,9300,26200,3700,27100,5200,400,400,14,2,15,1800,254,210,20,10,20,30,170
333,GM0296,26100,8560,17620,6560,4550,470,170,170,170,180,200,190,200,200,17500,25500,6500,26600,8500,800,700,22,3,13,3710,857,500,60,50,60,30,360
334,GM1696,14620,4900,10530,3780,2670,240,50,40,40,60,60,60,60,70,10300,29800,3500,31200,4500,400,300,11,2,15,1820,255,150,20,10,10,10,170
335,GM0352,15310,5190,9970,3850,2700,280,70,60,70,70,90,90,90,90,9800,27600,3700,27800,4900,400,300,14,2,14,1860,344,220,20,20,20,10,260
336,GM0294,18020,5760,12770,4260,2980,320,140,140,140,150,160,150,160,170,12900,23100,4200,24200,5600,600,600,16,3,19,3110,702,500,40,30,40,30,250
337,GM0873,13570,4060,9570,3330,2250,210,80,70,80,70,90,90,90,90,9500,25300,3200,26100,3600,400,300,13,2,18,2580,335,190,30,30,30,10,140
338,GM0632,33130,12270,21780,8430,6220,620,130,130,130,130,180,190,180,180,21400,27900,8100,29500,11400,800,800,27,4,15,4020,709,540,50,50,40,20,510
339,GM1690,14840,4960,10140,3580,2480,240,50,40,50,50,70,70,80,70,10000,25200,3500,26700,4700,400,300,14,3,21,1870,301,290,20,10,20,10,150
340,GM0880,10250,3250,7140,2620,1740,220,70,70,70,60,80,70,80,80,6900,26500,2500,27600,3000,300,300,8,1,15,1230,251,150,30,10,30,0,140
341,GM0351,8110,3380,5050,2090,1590,110,20,20,20,30,50,40,40,50,5000,26400,1900,26900,3000,200,200,7,1,16,1070,142,260,10,0,10,10,160
342,GM0479,101740,33300,69960,26140,18460,2720,1260,1160,1280,1330,1320,1200,1360,1400,68600,24000,24400,25000,30200,4500,3800,81,15,18,16270,4414,2120,390,150,390,40,1530
343,GM0297,18110,6870,11610,4550,3310,310,90,80,100,90,110,100,110,110,10900,26200,4400,27000,6500,500,500,14,3,20,2590,368,270,20,50,20,10,350
344,GM0473,10330,2940,8460,2450,1700,260,100,100,100,110,110,100,110,110,8600,25600,2300,27500,2600,400,400,6,1,18,1910,469,200,20,10,20,10,110
345,GM0050,15470,5320,9390,3740,2750,260,80,80,80,90,100,100,100,110,8900,25400,3700,27100,5400,500,500,12,1,12,2050,350,220,20,10,20,10,170
346,GM0355,39350,14520,28880,9500,7280,810,320,310,330,330,390,370,400,400,29400,27700,8600,32500,12500,1500,1400,30,4,14,7180,1591,1310,120,90,120,30,670
347,GM0299,26750,8370,19610,6590,4610,530,230,220,240,240,230,200,240,250,19400,23700,6400,24400,8000,1000,900,23,4,19,4330,1006,690,80,70,80,40,390
348,GM0637,80680,27130,55950,20840,14520,2400,1100,1050,1120,1140,1180,1110,1210,1220,55100,25700,20400,25600,24700,4200,3700,67,10,15,13150,3479,1550,270,80,270,100,1320
349,GM0638,5440,1740,3430,1340,910,90,20,20,20,20,20,20,30,20,3600,27000,1300,29200,1500,100,100,5,1,23,820,64,300,10,10,10,0,90
350,GM1892,27310,9890,17350,7210,5190,550,130,130,130,130,180,190,180,170,16900,28100,6700,29300,8800,600,600,23,4,16,3640,651,450,50,30,50,20,390
351,GM0879,14020,3840,9410,3150,2020,160,40,40,40,40,60,60,70,60,9400,25100,3100,28400,3600,300,300,11,2,21,2150,237,280,20,20,20,10,140
352,GM0301,30040,9950,22120,7120,5210,700,400,390,400,420,440,430,430,470,22000,23100,6900,23600,9500,1500,1200,24,4,16,6290,1822,1180,120,190,110,80,570
353,GM1896,14080,6000,8490,3610,2690,170,60,60,60,60,80,80,80,70,8400,24600,3500,25300,5800,300,400,13,3,26,1930,270,330,40,20,40,30,200
354,GM0642,27340,9310,20060,7010,4890,750,400,400,410,400,440,430,440,440,20200,25000,6800,25200,8400,1400,1300,22,4,20,4840,1304,470,70,60,70,60,510
355,GM0193,84980,28820,59310,18990,14800,1640,840,810,850,860,920,890,930,930,58400,23400,18300,25200,26400,3000,2700,68,7,11,13310,4151,2870,330,120,330,110,1500
