ID,HerkomstBestemming,Perioden,CO2_1,N2O_2,CH4_3,BroeikasgasEquivalent_4,NOx_5,SO2_6,NH3_7,ZuurEquivalent_8,CFK12Equivalent_9,PM10_10,FijnStofEquivalent_11,CO_12,NMVOS_13
1194,60,2004JJ00,,,,,538.2,123.6,77.5,20.1,,8.3,8.3,78.2,11.2
1195,60,2005JJ00,,,,,542.9,126.3,77.5,20.3,,8.6,8.6,81.2,11.1
1196,60,2006JJ00,,,,,514.2,109.3,77.5,19.2,,7.4,7.4,78.4,10.0
1197,60,2007JJ00,,,,,545.1,124.7,77.5,20.3,,8.2,8.2,81.8,10.4
1198,60,2008JJ00,,,,,521.7,93.7,77.5,18.8,,7.5,7.5,78.7,9.9
1199,60,2009JJ00,,,,,511.8,93.3,77.5,18.6,,6.6,6.6,75.6,8.9
1200,61,1990JJ00,,,,,150.7,51.0,0.1,4.9,,8.3,8.3,92.2,20.9
1201,61,1991JJ00,,,,,155.9,49.3,0.2,4.9,,8.4,8.4,99.0,22.2
1202,61,1992JJ00,,,,,164.7,53.2,0.2,5.3,,8.5,8.5,95.1,20.5
1203,61,1993JJ00,,,,,170.6,55.9,0.2,5.5,,8.4,8.4,101.2,21.0
1204,61,1994JJ00,,,,,178.8,59.0,0.3,5.7,,8.9,8.9,108.1,21.6
1205,61,1995JJ00,,,,,181.8,59.7,0.4,5.8,,8.6,8.6,113.3,22.1
1206,61,1996JJ00,,,,,181.5,59.9,0.3,5.8,,8.3,8.3,103.4,19.3
1207,61,1997JJ00,,,,,191.2,61.6,0.4,6.1,,8.6,8.6,111.1,19.7
1208,61,1998JJ00,,,,,200.2,68.7,0.4,6.5,,8.8,8.8,99.8,16.9
1209,61,1999JJ00,,,,,222.1,83.1,0.4,7.4,,9.8,9.8,101.6,16.6
1210,61,2000JJ00,,,,,225.9,81.2,0.4,7.5,,10.0,10.0,100.1,16.3
1211,61,2001JJ00,,,,,222.3,77.2,0.4,7.3,,9.3,9.3,93.4,14.8
1212,61,2002JJ00,,,,,211.5,72.6,0.4,6.9,,8.6,8.6,85.7,13.0
1213,61,2003JJ00,,,,,217.3,77.6,0.4,7.2,,8.6,8.6,83.0,12.3
1214,61,2004JJ00,,,,,223.3,81.9,0.4,7.4,,8.3,8.3,78.2,11.2
1215,61,2005JJ00,,,,,228.0,84.6,0.4,7.6,,8.6,8.6,81.2,11.1
1216,61,2006JJ00,,,,,199.3,67.6,0.4,6.5,,7.4,7.4,78.4,10.0
1217,61,2007JJ00,,,,,230.2,83.0,0.4,7.6,,8.2,8.2,81.8,10.4
1218,61,2008JJ00,,,,,206.8,52.0,0.4,6.1,,7.5,7.5,78.7,9.9
1219,61,2009JJ00,,,,,196.9,51.6,0.4,5.9,,6.6,6.6,75.6,8.9
1220,62,1990JJ00,,,,,492.2,112.7,122.4,21.4,,,,,
1221,62,1991JJ00,,,,,492.2,76.8,122.4,20.3,,,,,
1222,62,1992JJ00,,,,,492.2,76.8,122.4,20.3,,,,,
1223,62,1993JJ00,,,,,492.2,76.8,122.4,20.3,,,,,
1224,62,1994JJ00,,,,,483.0,76.8,107.1,19.2,,,,,
1225,62,1995JJ00,,,,,460.0,76.8,103.7,18.5,,,,,
1226,62,1996JJ00,,,,,431.0,0.0,62.9,13.1,,,,,
1227,62,1997JJ00,,,,,411.7,0.0,34.0,10.9,,,,,
1228,62,1998JJ00,,,,,395.6,0.0,90.1,13.9,,,,,
1229,62,1999JJ00,,,,,374.7,0.0,76.0,12.6,,,,,
1230,62,2000JJ00,,,,,375.5,53.0,70.5,14.0,,,,,
1231,62,2001JJ00,,,,,362.3,54.8,69.2,13.7,,,,,
