ID,Voertuigtype,Perioden,KooldioxideCO2_1,DistikstofoxideN2O_2,MethaanCH4_3,KoolmonoxideCO_4,NMVOS_5,StikstofoxidenNOx_6,RoetElementalCarbon_7,PM10TotaalFijnStof_8,PM10VerbrandingFijnStof_9,PM10SlijtageFijnStof_10,PM25TotaalFijnStof_11,PM25VerbrandingFijnStof_12,PM25SlijtageFijnStof_13,AmmoniakNH3_14,ZwaveldioxideSO2_15,KooldioxideCO2_16,DistikstofoxideN2O_17,MethaanCH4_18,KoolmonoxideCO_19,NMVOS_20,StikstofoxidenNOx_21,RoetElementalCarbon_22,PM10TotaalFijnStof_23,PM10VerbrandingFijnStof_24,PM10SlijtageFijnStof_25,PM25TotaalFijnStof_26,PM25VerbrandingFijnStof_27,PM25SlijtageFijnStof_28,AmmoniakNH3_29,ZwaveldioxideSO2_30
230,A018940,2010JJ00,558.0,0.02,0.06,0.52,0.13,2.66,0.03,0.09,0.05,0.04,0.05,0.05,0.01,0.01,0.0,890.0,0.028,0.089,0.83,0.21,4.24,0.049,0.143,0.072,0.071,0.084,0.072,0.011,0.014,0.005
231,A018940,2011JJ00,557.0,0.02,0.06,0.52,0.13,2.64,0.03,0.09,0.05,0.04,0.05,0.05,0.01,0.01,0.0,889.0,0.029,0.098,0.83,0.21,4.21,0.05,0.145,0.073,0.072,0.085,0.073,0.012,0.013,0.005
232,A018940,2012JJ00,536.0,0.02,0.06,0.55,0.15,2.49,0.03,0.09,0.04,0.04,0.05,0.04,0.01,0.01,0.0,879.0,0.029,0.105,0.9,0.24,4.08,0.049,0.144,0.072,0.072,0.084,0.072,0.012,0.014,0.005
233,A018940,2013JJ00,537.0,0.02,0.08,0.6,0.16,2.35,0.03,0.09,0.04,0.04,0.05,0.04,0.01,0.01,0.0,882.0,0.029,0.136,0.98,0.26,3.86,0.046,0.141,0.068,0.073,0.08,0.068,0.012,0.013,0.005
234,A018940,2014JJ00,518.0,0.02,0.08,0.54,0.16,2.05,0.02,0.08,0.04,0.04,0.04,0.04,0.01,0.01,0.0,874.0,0.03,0.134,0.92,0.27,3.46,0.04,0.135,0.061,0.074,0.073,0.061,0.012,0.012,0.005
235,A018940,2015JJ00,511.0,0.02,0.07,0.51,0.16,1.94,0.02,0.08,0.03,0.04,0.04,0.03,0.01,0.01,0.0,864.0,0.031,0.122,0.86,0.27,3.28,0.037,0.131,0.057,0.074,0.069,0.057,0.012,0.012,0.005
236,A018940,2016JJ00,493.0,0.02,0.07,0.46,0.16,1.7,0.02,0.07,0.03,0.04,0.04,0.03,0.01,0.01,0.0,850.0,0.032,0.122,0.79,0.27,2.93,0.033,0.126,0.051,0.075,0.063,0.051,0.012,0.01,0.005
237,A018940,2017JJ00,523.0,0.02,0.07,0.46,0.17,1.67,0.02,0.08,0.03,0.05,0.04,0.03,0.01,0.01,0.0,842.0,0.032,0.113,0.73,0.27,2.68,0.029,0.122,0.046,0.076,0.058,0.046,0.012,0.009,0.005
238,A018940,2018JJ00,522.0,0.02,0.07,0.45,0.17,1.63,0.02,0.08,0.03,0.05,0.04,0.03,0.01,0.01,0.0,825.0,0.032,0.108,0.71,0.27,2.59,0.028,0.12,0.045,0.076,0.057,0.045,0.012,0.009,0.005
239,A018940,2019JJ00,494.0,0.02,0.07,0.43,0.17,1.41,0.01,0.07,0.02,0.05,0.03,0.02,0.01,0.01,0.0,802.0,0.031,0.111,0.69,0.27,2.29,0.024,0.116,0.039,0.076,0.052,0.039,0.012,0.008,0.004
240,A018940,2020JJ00,383.0,0.01,0.06,0.33,0.13,0.95,0.01,0.05,0.02,0.04,0.02,0.02,0.01,0.0,0.0,775.0,0.03,0.117,0.68,0.26,1.93,0.019,0.109,0.032,0.077,0.045,0.032,0.013,0.007,0.004
241,A018940,2021JJ00,339.0,0.01,0.06,0.32,0.12,0.79,0.01,0.05,0.01,0.04,0.02,0.01,0.01,0.0,0.0,697.0,0.027,0.13,0.65,0.25,1.62,0.015,0.104,0.027,0.077,0.04,0.027,0.013,0.006,0.004
242,A018940,2022JJ00,324.0,0.01,0.06,0.3,0.12,0.72,0.01,0.05,0.01,0.04,0.02,0.01,0.01,0.0,0.0,664.0,0.026,0.13,0.62,0.26,1.47,0.013,0.102,0.025,0.077,0.038,0.025,0.013,0.005,0.004
243,A018940,2023JJ00,312.0,0.01,0.06,0.28,0.12,0.67,0.01,0.05,0.01,0.04,0.02,0.01,0.01,0.0,0.0,649.0,0.026,0.124,0.59,0.25,1.39,0.012,0.101,0.024,0.077,0.036,0.024,0.013,0.005,0.004
244,A018940,2024JJ00,318.0,0.01,0.06,0.28,0.13,0.63,0.01,0.05,0.01,0.04,0.02,0.01,0.01,0.0,0.0,613.0,0.025,0.115,0.54,0.24,1.22,0.01,0.098,0.021,0.077,0.033,0.021,0.013,0.004,0.003
