ID,Voertuigtype,Perioden,KooldioxideCO2_1,DistikstofoxideN2O_2,MethaanCH4_3,KoolmonoxideCO_4,NMVOS_5,StikstofoxidenNOx_6,RoetElementalCarbon_7,PM10TotaalFijnStof_8,PM10VerbrandingFijnStof_9,PM10SlijtageFijnStof_10,PM25TotaalFijnStof_11,PM25VerbrandingFijnStof_12,PM25SlijtageFijnStof_13,AmmoniakNH3_14,ZwaveldioxideSO2_15,KooldioxideCO2_16,DistikstofoxideN2O_17,MethaanCH4_18,KoolmonoxideCO_19,NMVOS_20,StikstofoxidenNOx_21,RoetElementalCarbon_22,PM10TotaalFijnStof_23,PM10VerbrandingFijnStof_24,PM10SlijtageFijnStof_25,PM25TotaalFijnStof_26,PM25VerbrandingFijnStof_27,PM25SlijtageFijnStof_28,AmmoniakNH3_29,ZwaveldioxideSO2_30
64,A018943,2019JJ00,17230.0,0.62,1.53,174.13,11.43,26.73,0.18,2.19,0.39,1.81,0.69,0.39,0.3,3.05,0.1,158.0,0.006,0.014,1.6,0.1,0.25,0.002,0.02,0.004,0.017,0.006,0.004,0.003,0.028,0.001
65,A018943,2020JJ00,14302.0,0.54,1.27,145.03,9.61,19.58,0.12,1.81,0.29,1.52,0.54,0.29,0.25,2.63,0.09,156.0,0.006,0.014,1.58,0.1,0.21,0.001,0.02,0.003,0.017,0.006,0.003,0.003,0.029,0.001
66,A018943,2021JJ00,14874.0,0.55,1.29,142.04,10.04,19.15,0.11,1.9,0.27,1.63,0.54,0.27,0.27,2.73,0.09,153.0,0.006,0.013,1.46,0.1,0.2,0.001,0.02,0.003,0.017,0.006,0.003,0.003,0.028,0.001
67,A018943,2022JJ00,15404.0,0.56,1.31,136.82,10.17,18.91,0.1,2.0,0.26,1.75,0.55,0.26,0.29,2.8,0.09,150.0,0.005,0.013,1.33,0.1,0.18,0.001,0.02,0.002,0.017,0.005,0.002,0.003,0.027,0.001
68,A018943,2023JJ00,15659.0,0.57,1.31,132.14,10.3,18.17,0.09,2.07,0.24,1.83,0.54,0.24,0.3,2.89,0.1,147.0,0.005,0.012,1.24,0.1,0.17,0.001,0.019,0.002,0.017,0.005,0.002,0.003,0.027,0.001
69,A018943,2024JJ00,15660.0,0.56,1.3,125.93,10.35,17.61,0.08,2.13,0.22,1.91,0.54,0.22,0.32,2.93,0.1,143.0,0.005,0.012,1.15,0.09,0.16,0.001,0.019,0.002,0.017,0.005,0.002,0.003,0.027,0.001
70,A018944,1990JJ00,107.0,0.0,0.08,19.57,1.69,0.27,0.0,0.03,0.02,0.01,0.02,0.02,0.0,0.0,0.02,,,,,,,,,,,,,,,
71,A018944,1991JJ00,125.0,0.0,0.09,22.79,1.96,0.32,0.0,0.03,0.02,0.01,0.03,0.02,0.0,0.0,0.02,,,,,,,,,,,,,,,
72,A018944,1992JJ00,149.0,0.0,0.11,27.29,2.33,0.38,0.01,0.04,0.03,0.01,0.03,0.03,0.0,0.0,0.02,,,,,,,,,,,,,,,
73,A018944,1993JJ00,171.0,0.0,0.12,31.13,2.65,0.43,0.01,0.04,0.03,0.01,0.03,0.03,0.0,0.0,0.02,,,,,,,,,,,,,,,
74,A018944,1994JJ00,184.0,0.0,0.13,33.47,2.84,0.47,0.01,0.04,0.03,0.01,0.04,0.03,0.0,0.0,0.02,,,,,,,,,,,,,,,
75,A018944,1995JJ00,194.0,0.0,0.13,35.25,2.98,0.49,0.01,0.05,0.04,0.01,0.04,0.04,0.0,0.0,0.01,,,,,,,,,,,,,,,
76,A018944,1996JJ00,215.0,0.0,0.15,39.07,3.29,0.55,0.01,0.05,0.04,0.01,0.04,0.04,0.0,0.0,0.01,,,,,,,,,,,,,,,
77,A018944,1997JJ00,224.0,0.0,0.15,40.68,3.43,0.57,0.01,0.05,0.04,0.01,0.04,0.04,0.0,0.0,0.01,,,,,,,,,,,,,,,
78,A018944,1998JJ00,233.0,0.0,0.16,42.15,3.54,0.59,0.01,0.05,0.04,0.01,0.04,0.04,0.0,0.0,0.01,,,,,,,,,,,,,,,
79,A018944,1999JJ00,243.0,0.0,0.16,41.95,3.56,0.69,0.01,0.06,0.04,0.01,0.05,0.04,0.0,0.0,0.01,,,,,,,,,,,,,,,
80,A018944,2000JJ00,256.0,0.0,0.16,40.29,3.5,0.85,0.01,0.06,0.05,0.01,0.05,0.05,0.0,0.0,0.01,,,,,,,,,,,,,,,
81,A018944,2001JJ00,268.0,0.0,0.15,39.05,3.47,0.99,0.01,0.06,0.05,0.01,0.05,0.05,0.0,0.0,0.01,,,,,,,,,,,,,,,
82,A018944,2002JJ00,285.0,0.0,0.16,39.02,3.53,1.13,0.01,0.06,0.05,0.01,0.05,0.05,0.0,0.0,0.01,,,,,,,,,,,,,,,
83,A018944,2003JJ00,295.0,0.0,0.16,38.59,3.52,1.2,0.01,0.06,0.05,0.02,0.05,0.05,0.0,0.0,0.01,,,,,,,,,,,,,,,
84,A018944,2004JJ00,303.0,0.0,0.16,38.31,3.51,1.22,0.01,0.06,0.05,0.02,0.05,0.05,0.0,0.0,0.01,125.0,0.002,0.065,15.85,1.45,0.51,0.004,0.027,0.02,0.006,0.021,0.02,0.001,0.002,0.002
85,A018944,2005JJ00,308.0,0.0,0.15,37.65,3.47,1.23,0.01,0.06,0.05,0.02,0.05,0.05,0.0,0.0,0.0,125.0,0.002,0.063,15.36,1.41,0.5,0.004,0.026,0.02,0.006,0.021,0.02,0.001,0.002,0.002
86,A018944,2006JJ00,310.0,0.0,0.15,36.94,3.43,1.23,0.01,0.06,0.05,0.02,0.05,0.05,0.0,0.0,0.0,125.0,0.002,0.061,14.91,1.38,0.5,0.004,0.026,0.02,0.006,0.021,0.02,0.001,0.002,0.002
87,A018944,2007JJ00,311.0,0.01,0.15,36.18,3.37,1.23,0.01,0.06,0.05,0.02,0.05,0.05,0.0,0.01,0.0,124.0,0.002,0.059,14.39,1.34,0.49,0.004,0.026,0.019,0.006,0.02,0.019,0.001,0.002,0.002
88,A018944,2008JJ00,314.0,0.01,0.15,35.33,3.3,1.22,0.01,0.06,0.05,0.02,0.05,0.05,0.0,0.01,0.0,123.0,0.002,0.057,13.81,1.29,0.48,0.004,0.025,0.019,0.006,0.02,0.019,0.001,0.002,0.002
89,A018944,2009JJ00,315.0,0.01,0.14,34.33,3.22,1.2,0.01,0.06,0.05,0.02,0.05,0.05,0.0,0.01,0.0,121.0,0.002,0.055,13.25,1.24,0.46,0.004,0.025,0.018,0.006,0.019,0.018,0.001,0.002,0.002
90,A018944,2010JJ00,313.0,0.01,0.13,32.48,3.07,1.18,0.01,0.06,0.05,0.02,0.05,0.05,0.0,0.01,0.0,120.0,0.002,0.052,12.48,1.18,0.45,0.004,0.024,0.018,0.006,0.019,0.018,0.001,0.002,0.002
91,A018944,2011JJ00,309.0,0.01,0.13,30.84,2.94,1.14,0.01,0.06,0.05,0.02,0.05,0.05,0.0,0.01,0.0,119.0,0.002,0.049,11.85,1.13,0.44,0.003,0.024,0.017,0.006,0.018,0.017,0.001,0.002,0.002
92,A018944,2012JJ00,302.0,0.01,0.12,29.19,2.8,1.1,0.01,0.06,0.04,0.02,0.05,0.04,0.0,0.01,0.0,117.0,0.002,0.047,11.3,1.09,0.43,0.003,0.024,0.017,0.006,0.018,0.017,0.001,0.002,0.002
93,A018944,2013JJ00,293.0,0.01,0.12,27.42,2.66,1.05,0.01,0.06,0.04,0.02,0.05,0.04,0.0,0.01,0.0,115.0,0.002,0.045,10.79,1.05,0.41,0.003,0.023,0.017,0.006,0.018,0.017,0.001,0.002,0.002
94,A018944,2014JJ00,283.0,0.0,0.11,25.7,2.53,0.99,0.01,0.06,0.04,0.02,0.04,0.04,0.0,0.0,0.0,114.0,0.002,0.044,10.32,1.02,0.4,0.003,0.023,0.016,0.006,0.018,0.016,0.001,0.002,0.002
95,A018944,2015JJ00,274.0,0.0,0.1,23.78,2.36,0.94,0.01,0.06,0.04,0.02,0.04,0.04,0.0,0.0,0.0,112.0,0.002,0.041,9.73,0.97,0.38,0.003,0.023,0.016,0.006,0.017,0.016,0.001,0.002,0.002
96,A018944,2016JJ00,270.0,0.0,0.1,22.41,2.26,0.9,0.01,0.05,0.04,0.02,0.04,0.04,0.0,0.0,0.0,110.0,0.002,0.039,9.13,0.92,0.37,0.003,0.022,0.016,0.006,0.017,0.016,0.001,0.002,0.002
97,A018944,2017JJ00,268.0,0.0,0.09,21.13,2.17,0.86,0.01,0.05,0.04,0.02,0.04,0.04,0.0,0.0,0.0,108.0,0.002,0.037,8.53,0.87,0.35,0.003,0.022,0.015,0.006,0.016,0.015,0.001,0.002,0.002
98,A018944,2018JJ00,267.0,0.0,0.09,19.78,2.04,0.82,0.01,0.05,0.04,0.02,0.04,0.04,0.0,0.0,0.0,107.0,0.002,0.034,7.94,0.82,0.33,0.003,0.021,0.014,0.006,0.015,0.014,0.001,0.002,0.002
99,A018944,2019JJ00,269.0,0.01,0.08,18.69,1.96,0.78,0.01,0.05,0.03,0.02,0.04,0.03,0.0,0.01,0.0,106.0,0.002,0.032,7.36,0.77,0.31,0.003,0.02,0.013,0.006,0.014,0.013,0.001,0.002,0.002
100,A018944,2020JJ00,266.0,0.01,0.08,17.25,1.85,0.73,0.01,0.05,0.03,0.02,0.03,0.03,0.0,0.01,0.0,105.0,0.002,0.03,6.79,0.73,0.29,0.003,0.019,0.013,0.006,0.014,0.013,0.001,0.002,0.001
101,A018944,2021JJ00,263.0,0.01,0.07,15.85,1.73,0.67,0.01,0.05,0.03,0.02,0.03,0.03,0.0,0.01,0.0,103.0,0.002,0.027,6.24,0.68,0.26,0.002,0.018,0.012,0.006,0.013,0.012,0.001,0.002,0.001
102,A018944,2022JJ00,260.0,0.01,0.06,14.5,1.62,0.62,0.01,0.04,0.03,0.02,0.03,0.03,0.0,0.01,0.0,102.0,0.002,0.025,5.71,0.64,0.24,0.002,0.017,0.011,0.006,0.012,0.011,0.001,0.002,0.001
103,A018944,2023JJ00,258.0,0.01,0.06,13.32,1.53,0.57,0.01,0.04,0.03,0.02,0.03,0.03,0.0,0.01,0.0,101.0,0.002,0.023,5.24,0.6,0.22,0.002,0.017,0.01,0.006,0.011,0.01,0.001,0.002,0.001
104,A018944,2024JJ00,255.0,0.01,0.05,12.31,1.44,0.52,0.0,0.04,0.02,0.02,0.03,0.02,0.0,0.01,0.0,101.0,0.002,0.021,4.84,0.57,0.21,0.002,0.016,0.009,0.006,0.01,0.009,0.001,0.002,0.001
105,A018934,1990JJ00,119.0,0.0,0.65,13.4,13.07,0.1,0.02,0.19,0.19,0.0,0.19,0.19,0.0,0.0,0.02,,,,,,,,,,,,,,,
106,A018934,1991JJ00,120.0,0.0,0.65,13.5,13.18,0.1,0.02,0.19,0.19,0.0,0.19,0.19,0.0,0.0,0.02,,,,,,,,,,,,,,,
107,A018934,1992JJ00,120.0,0.0,0.65,13.46,13.13,0.1,0.02,0.19,0.19,0.0,0.19,0.19,0.0,0.0,0.01,,,,,,,,,,,,,,,
108,A018934,1993JJ00,118.0,0.0,0.64,13.2,12.89,0.1,0.02,0.19,0.18,0.0,0.18,0.18,0.0,0.0,0.01,,,,,,,,,,,,,,,
109,A018934,1994JJ00,116.0,0.0,0.63,13.05,12.74,0.1,0.02,0.18,0.18,0.0,0.18,0.18,0.0,0.0,0.01,,,,,,,,,,,,,,,
110,A018934,1995JJ00,115.0,0.0,0.62,12.86,12.56,0.09,0.02,0.18,0.18,0.0,0.18,0.18,0.0,0.0,0.01,,,,,,,,,,,,,,,
111,A018934,1996JJ00,113.0,0.0,0.61,12.7,12.4,0.09,0.02,0.18,0.18,0.0,0.18,0.18,0.0,0.0,0.01,,,,,,,,,,,,,,,
112,A018934,1997JJ00,113.0,0.0,0.61,12.71,12.41,0.1,0.02,0.18,0.18,0.0,0.18,0.18,0.0,0.0,0.01,,,,,,,,,,,,,,,
113,A018934,1998JJ00,113.0,0.0,0.61,12.64,12.33,0.1,0.02,0.18,0.18,0.0,0.18,0.18,0.0,0.0,0.01,,,,,,,,,,,,,,,
114,A018934,1999JJ00,110.0,0.0,0.58,12.13,11.67,0.1,0.02,0.17,0.17,0.0,0.17,0.17,0.0,0.0,0.01,,,,,,,,,,,,,,,
115,A018934,2000JJ00,105.0,0.0,0.52,11.24,10.51,0.1,0.02,0.15,0.15,0.0,0.15,0.15,0.0,0.0,0.01,,,,,,,,,,,,,,,
116,A018934,2001JJ00,100.0,0.0,0.47,10.52,9.58,0.1,0.01,0.14,0.14,0.0,0.14,0.14,0.0,0.0,0.0,,,,,,,,,,,,,,,
117,A018934,2002JJ00,95.0,0.0,0.43,9.85,8.78,0.09,0.01,0.14,0.13,0.0,0.13,0.13,0.0,0.0,0.0,,,,,,,,,,,,,,,
118,A018934,2003JJ00,89.0,0.0,0.39,9.15,8.03,0.09,0.01,0.13,0.13,0.0,0.13,0.13,0.0,0.0,0.0,,,,,,,,,,,,,,,
119,A018934,2004JJ00,76.0,0.0,0.33,7.81,6.75,0.08,0.01,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,104.0,0.001,0.451,10.65,9.21,0.11,0.016,0.154,0.152,0.003,0.152,0.152,0.0,0.001,0.002
120,A018934,2005JJ00,75.0,0.0,0.32,7.72,6.58,0.08,0.01,0.11,0.11,0.0,0.11,0.11,0.0,0.0,0.0,101.0,0.001,0.43,10.32,8.8,0.1,0.016,0.153,0.15,0.003,0.151,0.15,0.0,0.001,0.001
121,A018934,2006JJ00,76.0,0.0,0.32,7.78,6.53,0.08,0.01,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.0,97.0,0.001,0.409,9.98,8.37,0.1,0.016,0.152,0.149,0.003,0.149,0.149,0.0,0.001,0.001
122,A018934,2007JJ00,81.0,0.0,0.33,8.29,6.82,0.08,0.01,0.13,0.13,0.0,0.13,0.13,0.0,0.0,0.0,94.0,0.001,0.386,9.61,7.91,0.09,0.015,0.151,0.148,0.003,0.148,0.148,0.0,0.001,0.001
123,A018934,2008JJ00,88.0,0.0,0.35,9.03,7.27,0.09,0.01,0.15,0.14,0.0,0.14,0.14,0.0,0.0,0.0,90.0,0.001,0.36,9.19,7.39,0.09,0.015,0.149,0.146,0.003,0.146,0.146,0.0,0.001,0.001
124,A018934,2009JJ00,98.0,0.0,0.36,10.55,7.47,0.11,0.02,0.15,0.15,0.0,0.15,0.15,0.0,0.0,0.0,85.0,0.001,0.315,9.17,6.49,0.09,0.014,0.133,0.13,0.003,0.13,0.13,0.0,0.001,0.001
125,A018934,2010JJ00,90.0,0.0,0.29,10.67,6.08,0.12,0.01,0.12,0.12,0.0,0.12,0.12,0.0,0.0,0.0,79.0,0.001,0.258,9.37,5.34,0.1,0.011,0.107,0.104,0.003,0.105,0.104,0.0,0.001,0.001
126,A018934,2011JJ00,91.0,0.0,0.27,11.51,5.52,0.13,0.01,0.11,0.1,0.0,0.1,0.1,0.0,0.0,0.0,76.0,0.001,0.221,9.6,4.6,0.11,0.009,0.089,0.086,0.003,0.087,0.086,0.0,0.001,0.001
127,A018934,2012JJ00,89.0,0.0,0.24,11.89,4.97,0.14,0.01,0.09,0.09,0.0,0.09,0.09,0.0,0.0,0.0,73.0,0.001,0.195,9.75,4.08,0.11,0.008,0.077,0.074,0.003,0.074,0.074,0.0,0.001,0.001
128,A018934,2013JJ00,86.0,0.0,0.21,11.96,4.47,0.14,0.01,0.08,0.08,0.0,0.08,0.08,0.0,0.0,0.0,71.0,0.001,0.175,9.86,3.69,0.11,0.007,0.067,0.064,0.003,0.065,0.064,0.0,0.001,0.001
129,A018934,2014JJ00,85.0,0.0,0.2,12.17,4.16,0.14,0.01,0.07,0.07,0.0,0.07,0.07,0.0,0.0,0.0,70.0,0.001,0.161,9.94,3.4,0.12,0.006,0.06,0.057,0.003,0.058,0.057,0.0,0.001,0.001
130,A018934,2015JJ00,83.0,0.0,0.18,12.2,3.78,0.14,0.01,0.06,0.06,0.0,0.06,0.06,0.0,0.0,0.0,68.0,0.001,0.146,9.99,3.1,0.12,0.006,0.053,0.05,0.003,0.05,0.05,0.0,0.001,0.001
131,A018934,2016JJ00,82.0,0.0,0.16,12.33,3.47,0.15,0.01,0.06,0.05,0.0,0.05,0.05,0.0,0.0,0.0,67.0,0.001,0.132,10.05,2.83,0.12,0.005,0.046,0.043,0.003,0.044,0.043,0.0,0.001,0.001
132,A018934,2017JJ00,83.0,0.0,0.15,12.81,3.33,0.15,0.01,0.05,0.05,0.0,0.05,0.05,0.0,0.0,0.0,66.0,0.001,0.122,10.11,2.63,0.12,0.004,0.041,0.038,0.003,0.038,0.038,0.0,0.001,0.001
133,A018934,2018JJ00,81.0,0.0,0.14,12.87,3.0,0.16,0.0,0.04,0.04,0.0,0.04,0.04,0.0,0.0,0.0,64.0,0.001,0.109,10.15,2.37,0.12,0.004,0.035,0.032,0.003,0.032,0.032,0.0,0.001,0.001
134,A018934,2019JJ00,78.0,0.0,0.12,12.06,2.71,0.15,0.0,0.04,0.03,0.0,0.04,0.03,0.0,0.0,0.0,62.0,0.001,0.099,9.62,2.16,0.12,0.003,0.031,0.028,0.003,0.028,0.028,0.0,0.001,0.001
135,A018934,2020JJ00,75.0,0.0,0.11,10.84,2.44,0.14,0.0,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,58.0,0.001,0.086,8.46,1.91,0.11,0.003,0.026,0.023,0.003,0.024,0.023,0.0,0.001,0.001
136,A018934,2021JJ00,73.0,0.0,0.1,9.82,2.3,0.13,0.0,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,55.0,0.001,0.078,7.41,1.73,0.1,0.002,0.024,0.021,0.003,0.021,0.021,0.0,0.001,0.001
137,A018934,2022JJ00,68.0,0.0,0.09,8.6,1.93,0.11,0.0,0.03,0.02,0.0,0.02,0.02,0.0,0.0,0.0,51.0,0.001,0.064,6.45,1.45,0.09,0.002,0.02,0.017,0.003,0.017,0.017,0.0,0.001,0.001
138,A018934,2023JJ00,62.0,0.0,0.07,7.44,1.68,0.1,0.0,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.0,48.0,0.001,0.057,5.78,1.31,0.08,0.002,0.018,0.015,0.003,0.015,0.015,0.0,0.001,0.001
139,A018934,2024JJ00,54.0,0.0,0.06,6.2,1.38,0.09,0.0,0.02,0.01,0.0,0.02,0.01,0.0,0.0,0.0,46.0,0.001,0.051,5.29,1.18,0.07,0.002,0.015,0.013,0.003,0.013,0.013,0.0,0.001,0.001
140,A051769,1990JJ00,2195.0,0.0,0.48,46.91,11.77,20.86,2.02,3.9,3.73,0.17,3.76,3.73,0.03,0.02,1.82,,,,,,,,,,,,,,,
141,A051769,1991JJ00,2246.0,0.01,0.45,43.54,10.89,21.69,1.93,3.73,3.55,0.18,3.58,3.55,0.03,0.02,1.92,,,,,,,,,,,,,,,
142,A051769,1992JJ00,2453.0,0.02,0.42,41.98,9.68,22.32,1.9,3.64,3.44,0.2,3.47,3.44,0.03,0.03,2.14,,,,,,,,,,,,,,,
143,A051769,1993JJ00,2675.0,0.03,0.38,40.52,8.63,22.19,1.81,3.43,3.22,0.21,3.26,3.22,0.04,0.04,2.38,,,,,,,,,,,,,,,
144,A051769,1994JJ00,2724.0,0.04,0.32,35.91,7.2,20.36,1.63,3.03,2.82,0.21,2.86,2.82,0.03,0.05,2.39,,,,,,,,,,,,,,,
145,A051769,1995JJ00,2733.0,0.05,0.26,31.15,5.89,18.58,1.47,2.68,2.48,0.2,2.51,2.48,0.03,0.05,2.23,,,,,,,,,,,,,,,
146,A051769,1996JJ00,2834.0,0.06,0.22,26.97,4.87,17.42,1.39,2.48,2.28,0.21,2.31,2.28,0.03,0.06,1.75,,,,,,,,,,,,,,,
147,A051769,1997JJ00,3041.0,0.07,0.18,23.59,4.13,16.87,1.4,2.41,2.19,0.21,2.23,2.19,0.04,0.07,0.81,,,,,,,,,,,,,,,
148,A051769,1998JJ00,3320.0,0.07,0.16,20.78,3.59,16.98,1.45,2.42,2.2,0.23,2.23,2.2,0.04,0.08,0.9,,,,,,,,,,,,,,,
149,A051769,1999JJ00,3653.0,0.08,0.14,18.42,3.28,17.7,1.56,2.52,2.28,0.24,2.32,2.28,0.04,0.08,1.01,,,,,,,,,,,,,,,
150,A051769,2000JJ00,3693.0,0.09,0.14,16.42,3.01,18.78,1.68,2.66,2.4,0.26,2.44,2.4,0.04,0.09,0.6,,,,,,,,,,,,,,,
151,A051769,2001JJ00,3955.0,0.09,0.14,14.62,2.7,19.36,1.71,2.67,2.39,0.28,2.44,2.39,0.05,0.08,0.1,,,,,,,,,,,,,,,
152,A051769,2002JJ00,4014.0,0.09,0.13,12.89,2.42,19.25,1.64,2.55,2.26,0.28,2.31,2.26,0.05,0.08,0.08,,,,,,,,,,,,,,,
153,A051769,2003JJ00,4115.0,0.09,0.12,11.27,2.03,18.95,1.57,2.42,2.13,0.29,2.18,2.13,0.05,0.08,0.07,,,,,,,,,,,,,,,
154,A051769,2004JJ00,4290.0,0.09,0.11,10.53,1.87,19.33,1.55,2.38,2.08,0.3,2.13,2.08,0.05,0.09,0.09,244.0,0.005,0.006,0.6,0.11,1.1,0.088,0.135,0.118,0.017,0.121,0.118,0.003,0.005,0.005
155,A051769,2005JJ00,4145.0,0.09,0.1,8.8,1.56,19.5,1.43,2.19,1.9,0.3,1.95,1.9,0.05,0.08,0.02,233.0,0.005,0.006,0.49,0.09,1.1,0.081,0.123,0.107,0.017,0.109,0.107,0.003,0.005,0.001
156,A051769,2006JJ00,3868.0,0.09,0.09,7.15,1.26,18.73,1.25,1.91,1.63,0.28,1.67,1.63,0.05,0.08,0.03,225.0,0.005,0.005,0.42,0.07,1.09,0.073,0.111,0.095,0.017,0.098,0.095,0.003,0.004,0.002
157,A051769,2007JJ00,3804.0,0.09,0.08,6.05,1.05,18.95,1.14,1.75,1.46,0.29,1.51,1.46,0.05,0.07,0.03,218.0,0.005,0.004,0.35,0.06,1.08,0.065,0.1,0.083,0.016,0.086,0.083,0.003,0.004,0.001
158,A051769,2008JJ00,3732.0,0.09,0.07,5.12,0.86,19.11,1.03,1.58,1.29,0.29,1.34,1.29,0.05,0.07,0.02,210.0,0.005,0.004,0.29,0.05,1.08,0.058,0.089,0.073,0.016,0.075,0.073,0.003,0.004,0.001
159,A051769,2009JJ00,3507.0,0.09,0.06,4.23,0.66,18.45,0.89,1.36,1.08,0.28,1.12,1.08,0.05,0.07,0.02,202.0,0.005,0.003,0.24,0.04,1.06,0.051,0.078,0.062,0.016,0.065,0.062,0.003,0.004,0.001
160,A051769,2010JJ00,3480.0,0.09,0.07,3.9,0.65,18.34,0.8,1.25,0.97,0.28,1.02,0.97,0.05,0.07,0.02,202.0,0.005,0.004,0.23,0.04,1.07,0.047,0.073,0.057,0.016,0.059,0.057,0.003,0.004,0.001
161,A051769,2011JJ00,3447.0,0.08,0.1,3.52,0.72,18.25,0.69,1.12,0.84,0.28,0.88,0.84,0.05,0.06,0.02,203.0,0.005,0.006,0.21,0.04,1.08,0.041,0.066,0.049,0.016,0.052,0.049,0.003,0.004,0.001
162,A051769,2012JJ00,3381.0,0.08,0.13,3.14,0.78,18.0,0.59,0.99,0.72,0.27,0.76,0.72,0.05,0.06,0.02,204.0,0.005,0.008,0.19,0.05,1.09,0.035,0.06,0.043,0.017,0.046,0.043,0.003,0.004,0.001
163,A051769,2013JJ00,3323.0,0.08,0.14,2.97,0.83,17.71,0.51,0.89,0.62,0.27,0.67,0.62,0.05,0.06,0.02,205.0,0.005,0.009,0.18,0.05,1.09,0.031,0.055,0.038,0.017,0.041,0.038,0.003,0.004,0.001
164,A051769,2014JJ00,3329.0,0.08,0.16,2.79,0.88,17.74,0.45,0.83,0.55,0.27,0.6,0.55,0.05,0.06,0.02,205.0,0.005,0.01,0.17,0.05,1.09,0.028,0.051,0.034,0.017,0.037,0.034,0.003,0.004,0.001
165,A051769,2015JJ00,3385.0,0.08,0.18,2.67,0.93,17.98,0.4,0.78,0.5,0.28,0.54,0.5,0.05,0.06,0.02,206.0,0.005,0.011,0.16,0.06,1.09,0.025,0.047,0.03,0.017,0.033,0.03,0.003,0.004,0.001
166,A051769,2016JJ00,3512.0,0.09,0.2,2.7,1.01,18.05,0.36,0.74,0.45,0.29,0.5,0.45,0.05,0.06,0.02,206.0,0.005,0.012,0.16,0.06,1.06,0.021,0.043,0.026,0.017,0.029,0.026,0.003,0.004,0.001
167,A051769,2017JJ00,3626.0,0.09,0.22,2.78,1.08,17.06,0.33,0.71,0.41,0.3,0.46,0.41,0.05,0.07,0.02,206.0,0.005,0.013,0.16,0.06,0.97,0.019,0.041,0.023,0.017,0.026,0.023,0.003,0.004,0.001
168,A051769,2018JJ00,3737.0,0.09,0.24,2.9,1.13,16.82,0.32,0.71,0.4,0.31,0.45,0.4,0.05,0.07,0.02,206.0,0.005,0.013,0.16,0.06,0.93,0.018,0.039,0.022,0.017,0.025,0.022,0.003,0.004,0.001
169,A051769,2019JJ00,3834.0,0.1,0.26,2.88,1.19,15.55,0.26,0.65,0.33,0.33,0.38,0.33,0.05,0.08,0.02,206.0,0.005,0.014,0.16,0.06,0.84,0.014,0.035,0.018,0.018,0.021,0.018,0.003,0.004,0.001
170,A051769,2020JJ00,3726.0,0.1,0.25,2.87,1.14,12.86,0.2,0.58,0.26,0.32,0.31,0.26,0.05,0.1,0.02,206.0,0.005,0.014,0.16,0.06,0.71,0.011,0.032,0.014,0.018,0.017,0.014,0.003,0.006,0.001
171,A051769,2021JJ00,3889.0,0.11,0.25,3.42,1.16,12.21,0.18,0.57,0.23,0.34,0.29,0.23,0.06,0.15,0.02,207.0,0.006,0.013,0.18,0.06,0.65,0.01,0.03,0.012,0.018,0.015,0.012,0.003,0.008,0.001
172,A051769,2022JJ00,3951.0,0.12,0.24,3.78,1.11,11.26,0.15,0.55,0.2,0.35,0.26,0.2,0.06,0.18,0.02,207.0,0.006,0.013,0.2,0.06,0.59,0.008,0.029,0.011,0.018,0.014,0.011,0.003,0.009,0.001
173,A051769,2023JJ00,3913.0,0.12,0.22,4.05,1.04,10.05,0.13,0.52,0.18,0.35,0.23,0.18,0.06,0.18,0.02,206.0,0.006,0.012,0.21,0.05,0.53,0.007,0.028,0.009,0.018,0.012,0.009,0.003,0.009,0.001
174,A051769,2024JJ00,3931.0,0.13,0.2,4.43,0.96,8.76,0.11,0.5,0.15,0.36,0.21,0.15,0.06,0.18,0.02,204.0,0.007,0.011,0.23,0.05,0.45,0.006,0.026,0.008,0.018,0.011,0.008,0.003,0.009,0.001
175,A051770,1990JJ00,5446.0,0.06,0.36,21.68,8.71,83.13,2.24,4.88,4.43,0.45,4.51,4.43,0.08,0.02,6.19,,,,,,,,,,,,,,,
176,A051770,1991JJ00,5666.0,0.07,0.39,22.7,9.24,85.83,2.39,5.19,4.72,0.47,4.8,4.72,0.08,0.02,6.52,,,,,,,,,,,,,,,
177,A051770,1992JJ00,5917.0,0.07,0.38,23.08,9.15,87.1,2.4,5.19,4.69,0.5,4.78,4.69,0.08,0.02,6.8,,,,,,,,,,,,,,,
178,A051770,1993JJ00,5819.0,0.07,0.35,21.78,8.44,82.24,2.26,4.84,4.35,0.49,4.43,4.35,0.08,0.02,6.69,,,,,,,,,,,,,,,
179,A051770,1994JJ00,5746.0,0.07,0.33,20.6,7.96,77.67,2.17,4.6,4.1,0.49,4.19,4.1,0.08,0.02,6.43,,,,,,,,,,,,,,,
180,A051770,1995JJ00,5895.0,0.07,0.31,19.61,7.42,75.67,2.08,4.34,3.83,0.51,3.92,3.83,0.09,0.02,6.04,,,,,,,,,,,,,,,
181,A051770,1996JJ00,5779.0,0.07,0.28,17.75,6.59,70.89,1.88,3.88,3.38,0.5,3.47,3.38,0.08,0.02,4.41,,,,,,,,,,,,,,,
