ID,BeschikbarePlanklengte,AantalArchiefBewaarPlaatsen_1,TotalePlanklengte_2,NietInGebruik_3,VerhuurdAanDerden_4,TotaalInEigenGebruik_5,NietBeperktOpenbaar_6,WelOpenbaar_7,Overheid_8,PersonenBedrijven_9,OverigEigenPlankgebruik_10,TotaalVloeroppervlak_11,Charters_12,KaartenTekeningen_13,FotoS_14,AudiovisueleCollecties_15,MicrofichesFilms_16,TotaalPlanklengteInEigenGebruik_17,RuimVoldoende_18,RestaurerenNodig_19,ConserverenNodig_20,AantalBezoeken_21,TotaalAantalBezoekers_22,GenealogischOnderzoek_23,OverigOnderzoek_24,AmbtelijkeInformatie_25,TotaleInformatiePerBriefFax_26,GenealogischOnderzoek_27,OverigOnderzoek_28,AmbtelijkeInformatie_29,TotaleInformatiePerEMail_30,GenealogischOnderzoek_31,OverigOnderzoek_32,AmbtelijkeInformatie_33,HeeftEigenWebsite_34,AantalHitsAlgemenePaginaS_35,AantalHitsThemapaginaS_36,RestauratieConserveringsatelier_37,Expositieruimte_38,HistorischeBibliotheek_39,Studiezaal_40,AantalPlaatsenStudiezaal_41,OppervlakteStudiezaal_42,VasteOpeningstijden_43,OokOpAfspraakToegankelijk_44,AlleenOpAfspraakToegankelijk_45,GemiddeldAantalUrenOpenPerWeek_46,ViaInventarislijst_47,ViaPlaatsingslijst_48,NietToegankelijk_49,TotaalMensjaren_50,ArchivistiekA_51,ArchivistiekB_52,ArchiefassistentLBONiveau_53,VVAOokHMDI_54,SODII_55,SODI_56,ArchiefRestaurateurHBONiveau_57,ArchiefRestaurateurMBONiveau_58,ArchiefRestaurateurLBONiveau_59,OverigeOplHBOUniversitairNiveau_60,OverigeOplMBOEnLagerNiveau_61,UitzendKrachten_62,TotaalPersoneel_63,TotaalBezoldigdPersoneel_64,ArchivistiekA_65,ArchivistiekB_66,ArchiefassistentLBONiveau_67,VVAOokHMDI_68,SODII_69,SODI_70,ArchiefRestaurateurHBONiveau_71,ArchiefRestaurateurMBONiveau_72,ArchiefRestaurateurLBONiveau_73,OverigeOplHBOUniversitairNiveau_74,OverigeOplMBOEnLagerNiveau_75,UitzendKrachten_76,Vrijwilligers_77,TotaalPersoneel_78,TotaalBezoldigdPersoneel_79,ArchivistiekA_80,ArchivistiekB_81,ArchiefassistentLBONiveau_82,VVAOokHMDI_83,SODII_84,SODI_85,ArchiefRestaurateurHBONiveau_86,ArchiefRestaurateurMBONiveau_87,ArchiefRestaurateurLBONiveau_88,OverigeOplHBOUniversitairNiveau_89,OverigeOplMBOEnLagerNiveau_90,UitzendKrachten_91,Vrijwilligers_92,TotaleBedrijfsopbrengsten_93,Rijk_94,Provincies_95,Gemeenten_96,Waterschappen_97,Verkoop_98,Leges_99,OverigeBedrijfsopbrengsten_100,TotaleBedrijfslasten_101,PersoneleKosten_102,MaterieleKosten_103,Kapitaalskosten_104,Huisvestingskosten_105,OverigeKosten_106
0,CAP1,329,845,160,40,645,182,462,422,54,169,141.2,389.4,1574.7,7075.4,55.7,3245.8,100,82,6,12,471.3,188.8,99.0,67.0,22.8,35,23,9,2,13,6,5,2,15,2400,170,9,14,42,60,4.3,17.7,79,70,21,23,68,16,16,1190,124,335,84,21,36,28,11,36,10,103,175,226,2419,1529,164,342,103,23,43,51,12,46,22,146,245,332,890,940,879,12,35,15,61,256,345,7,9,5,14,67,55,61,73480,20829,19,45860,2219,1595,430,2528,73480,38236,10604,5896,10278,8466
1,CAP2,49,17,3,0,14,5,8,10,0,4,3.3,44.3,5.8,189.7,2.5,92.2,100,84,5,11,14.1,7.2,2.2,1.0,3.9,1,1,0,0,0,0,0,0,4,1,0,0,0,13,40,0.2,0.8,65,90,35,15,73,13,14,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,2,152,146,1,10,5,9,38,59,0,0,0,1,14,8,6,32,0,0,18,14,0,0,0,32,12,2,2,9,6
2,CAP3,112,84,9,1,73,28,44,51,2,20,15.8,54.2,68.5,622.8,8.9,371.8,100,88,5,7,28.2,17.8,8.2,5.0,4.6,4,2,2,0,2,0,0,1,5,58,6,0,7,23,42,0.5,1.9,73,79,27,19,70,14,15,34,3,12,2,1,5,5,0,0,0,2,1,3,112,59,7,15,3,1,6,17,0,0,1,3,2,5,53,365,352,5,8,5,28,108,141,2,9,2,4,19,22,13,2566,0,0,1907,651,6,3,0,2566,1567,380,115,329,175
3,CAP4,51,62,11,0,51,27,24,33,3,15,8.0,25.4,175.4,308.3,2.5,133.5,100,87,4,9,19.3,10.5,4.4,2.0,3.5,2,1,0,0,0,0,0,0,4,146,0,2,2,28,50,0.2,0.9,70,82,30,18,74,9,17,32,4,13,1,0,2,3,0,0,0,0,4,4,51,42,4,14,3,0,4,6,0,0,0,0,4,5,9,190,183,1,4,2,13,63,66,4,0,2,4,10,14,7,1676,0,0,1623,27,2,3,21,1676,1161,222,64,81,147
4,CAP5,54,104,17,2,84,24,60,52,7,25,13.4,36.2,137.7,821.7,5.4,267.5,100,82,7,11,80.6,26.8,12.1,9.0,5.3,5,3,2,0,1,0,0,0,12,74,8,0,14,61,83,0.8,3.4,89,69,11,27,69,16,15,106,13,46,4,3,3,1,0,0,0,3,3,29,299,125,15,51,5,4,5,4,0,0,0,5,3,34,174,185,161,3,9,4,10,39,60,0,0,0,4,21,11,23,5653,316,0,4060,1013,34,5,225,5653,3718,715,330,491,399
5,CAP6,64,579,120,36,423,97,326,243,99,81,100.7,229.3,1187.3,5132.8,36.4,2380.9,100,69,10,22,329.1,126.5,72.1,49.0,5.5,23,16,5,1,11,6,4,1,54,2120,156,44,48,92,97,2.6,10.7,98,27,2,35,57,26,17,1018,103,263,77,17,25,19,11,36,10,98,168,191,1953,1302,138,260,92,18,29,24,12,46,21,139,236,287,652,49,37,1,5,0,1,7,19,0,0,0,1,2,0,12,63553,20513,19,38252,515,1554,419,2280,63553,31779,9284,5384,9368,7738
