ID,Studierichting,LeeftijdEnHerkomst,Geslacht,Perioden,TotaalVoltijdIngeschrevenen_1,IngeschrevenenZonderBijbaan_2,IngeschrevenenMetBijbaanTotaal_3,TotaalWerknemers_4,k_0105ABLandbouwEnVisserij_5,k_1045CFNijverheid_6,k_5052GHandel_7,k_55HHoreca_8,k_6064IVervoerEnCommunicatie_9,k_6567JFinancieleInstellingen_10,k_7074K1ZakDienstExclUitzendbranch_11,k_745K2Uitzendbranche_12,k_75LOpenbaarBestuur_13,k_80KOnderwijs_14,k_85NGezondheidsEnWelzijnszorg_15,k_90OCultuurEnOvDienstenIncl99_16,k_95PParticuliereHuishoudens_17,BedrijfstakSBIOnbekend_18,TotaalZelfstandigen_19,k_0105ABLandbouwEnVisserij_20,k_1045CFNijverheid_21,k_5052GHandel_22,k_55HHoreca_23,k_6064IVervoerEnCommunicatie_24,k_6567JFinancieleInstellingen_25,k_7074K1ZakDienstExclUitzendbranch_26,k_745K2Uitzendbranche_27,k_75LOpenbaarBestuur_28,k_80KOnderwijs_29,k_85NGezondheidsEnWelzijnszorg_30,k_90OCultuurEnOvDienstenIncl99_31,k_95PParticuliereHuishoudens_32,BedrijfstakSBIOnbekend_33
0,000,00,0,1998SJ00,370990.0,208500.0,162490.0,160580.0,4420.0,8090.0,48070.0,16620.0,8260.0,2430.0,20600.0,24560.0,2380.0,6040.0,12910.0,6210.0,0.0,,1910.0,90.0,100.0,270.0,70.0,40.0,20.0,820.0,10.0,0.0,30.0,50.0,250.0,0.0,160.0
1,000,00,0,1999SJ00,376240.0,181620.0,194620.0,192530.0,4320.0,9900.0,55110.0,21040.0,10840.0,4130.0,25450.0,29760.0,2250.0,6310.0,13600.0,7760.0,0.0,2060.0,2090.0,80.0,110.0,260.0,70.0,50.0,20.0,930.0,10.0,0.0,40.0,40.0,250.0,0.0,220.0
2,000,00,0,2000SJ00,378480.0,174440.0,204040.0,201770.0,4210.0,10090.0,57830.0,21380.0,11610.0,4470.0,30970.0,25570.0,2530.0,6350.0,16060.0,8520.0,10.0,2190.0,2280.0,80.0,100.0,230.0,60.0,40.0,10.0,940.0,0.0,0.0,20.0,60.0,230.0,0.0,510.0
3,000,00,M,1998SJ00,188560.0,106520.0,82040.0,80550.0,2920.0,5370.0,21550.0,7200.0,6060.0,1470.0,11600.0,13040.0,1450.0,3140.0,3860.0,2890.0,0.0,,1490.0,70.0,90.0,220.0,50.0,30.0,20.0,690.0,0.0,0.0,20.0,20.0,170.0,0.0,110.0
4,000,00,M,1999SJ00,189260.0,90830.0,98430.0,96720.0,2810.0,6470.0,25130.0,9060.0,7860.0,2300.0,14350.0,15840.0,1290.0,3170.0,3690.0,3610.0,0.0,1140.0,1710.0,70.0,100.0,210.0,50.0,50.0,10.0,820.0,10.0,0.0,30.0,20.0,190.0,0.0,150.0
5,000,00,M,2000SJ00,188890.0,87590.0,101300.0,99420.0,2810.0,6610.0,26150.0,9180.0,8320.0,2490.0,16930.0,13230.0,1410.0,3080.0,4160.0,3840.0,0.0,1210.0,1880.0,70.0,80.0,180.0,40.0,30.0,10.0,840.0,0.0,0.0,10.0,20.0,170.0,0.0,410.0
6,000,00,V,1998SJ00,182430.0,101980.0,80450.0,80030.0,1490.0,2730.0,26520.0,9420.0,2200.0,970.0,9000.0,11510.0,930.0,2900.0,9040.0,3320.0,0.0,,420.0,20.0,20.0,40.0,20.0,10.0,0.0,140.0,0.0,0.0,10.0,30.0,80.0,0.0,50.0
7,000,00,V,1999SJ00,186990.0,90800.0,96190.0,95810.0,1510.0,3430.0,29980.0,11980.0,2980.0,1830.0,11100.0,13920.0,960.0,3130.0,9910.0,4150.0,0.0,920.0,380.0,10.0,10.0,50.0,20.0,10.0,0.0,110.0,0.0,0.0,0.0,30.0,70.0,0.0,70.0
8,000,00,V,2000SJ00,189590.0,86850.0,102740.0,102340.0,1400.0,3490.0,31680.0,12200.0,3290.0,1980.0,14040.0,12340.0,1120.0,3270.0,11900.0,4680.0,0.0,980.0,400.0,10.0,10.0,50.0,20.0,0.0,0.0,100.0,0.0,0.0,10.0,30.0,60.0,0.0,100.0
9,000,17,0,1998SJ00,10670.0,6340.0,4340.0,4330.0,300.0,200.0,2260.0,490.0,90.0,20.0,240.0,430.0,0.0,0.0,170.0,120.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,000,17,0,1999SJ00,11820.0,5880.0,5940.0,5940.0,340.0,300.0,2800.0,730.0,150.0,60.0,470.0,640.0,10.0,20.0,220.0,150.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,000,17,0,2000SJ00,14130.0,6530.0,7600.0,7590.0,410.0,360.0,3660.0,950.0,200.0,70.0,690.0,600.0,10.0,10.0,370.0,180.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,000,17,M,1998SJ00,4270.0,2720.0,1550.0,1540.0,170.0,90.0,710.0,140.0,60.0,10.0,110.0,180.0,0.0,0.0,40.0,40.0,0.0,,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,000,17,M,1999SJ00,4710.0,2450.0,2260.0,2250.0,190.0,150.0,940.0,210.0,80.0,20.0,190.0,320.0,10.0,10.0,50.0,60.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,000,17,M,2000SJ00,5840.0,2880.0,2960.0,2960.0,240.0,160.0,1260.0,350.0,120.0,30.0,300.0,300.0,10.0,10.0,90.0,60.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
