ID,Perioden,InkomstenTotaal_1,Belastingen_2,WettelijkeSocialeVerzekeringspremies_3,VerkopenVanGoederenEnDiensten_4,Overig_5,UitgavenTotaal_6,BeloningVanWerknemers_7,AankopenGoederenEnDiensten_8,Uitkeringen_9,BrutoInvesteringenInVasteActiva_10,Overig_11,Overheidssaldo_12,OverheidsschuldEMU_13,Overheidsconsumptie_14,Inkomsten_15,Uitgaven_16,Overheidssaldo_17,InkomstenTotaal_18,Belastingen_19,WettelijkeSocialeVerzekeringspremies_20,VerkopenVanGoederenEnDiensten_21,Overig_22,UitgavenTotaal_23,BeloningVanWerknemers_24,AankopenGoederenEnDiensten_25,Uitkeringen_26,BrutoInvesteringenInVasteActiva_27,Overig_28,Overheidssaldo_29,OverheidsschuldEMU_30,Overheidsconsumptie_31,BelastingEnPremiedruk_32,Inkomsten_33,Uitgaven_34,Overheidssaldo_35,VolumegroeiOverheidsconsumptie_36,Arbeidsvolume_37
80,2014KW02,73644.0,41255.0,21423.0,4144.0,6822.0,80765.0,16766.0,10541.0,38758.0,5979.0,8721.0,-7121.0,451195.0,44700.0,73029.0,76801.0,-3772.0,43.8,22.0,14.7,2.6,4.5,46.8,9.2,6.4,21.8,3.6,5.8,-3.0,68.8,26.0,36.7,44.4,46.7,-2.3,0.5,
81,2014KW03,66283.0,34952.0,21905.0,4245.0,5181.0,72476.0,13576.0,10702.0,34330.0,5907.0,7961.0,-6193.0,449463.0,41148.0,72968.0,76302.0,-3334.0,43.7,22.2,14.6,2.6,4.4,46.4,9.1,6.5,21.7,3.6,5.6,-2.7,68.2,26.0,36.8,44.0,46.0,-2.0,0.7,
82,2014KW04,77514.0,34974.0,30707.0,4787.0,7046.0,77175.0,16511.0,11316.0,34916.0,5695.0,8737.0,339.0,450615.0,44535.0,73601.0,76670.0,-3069.0,43.9,22.3,14.9,2.6,4.1,46.2,9.1,6.5,21.6,3.5,5.5,-2.3,68.0,25.9,37.2,43.8,45.6,-1.8,-0.4,
83,2014JJ00,291176.0,147758.0,98616.0,17296.0,27506.0,306204.0,60423.0,42906.0,142889.0,23298.0,36688.0,-15028.0,450615.0,171986.0,,,,43.9,22.3,14.9,2.6,4.1,46.2,9.1,6.5,21.6,3.5,5.5,-2.3,68.0,25.9,37.2,,,,0.3,1005.8
84,2015KW01,75161.0,39832.0,24351.0,4145.0,6833.0,76228.0,13313.0,10161.0,35581.0,5858.0,11315.0,-1067.0,459759.0,41399.0,73004.0,76794.0,-3790.0,43.9,22.7,14.8,2.6,3.9,46.0,9.0,6.4,21.5,3.5,5.5,-2.1,69.0,25.8,37.4,43.3,45.6,-2.2,0.1,
85,2015KW02,72655.0,44165.0,18446.0,4148.0,5896.0,80484.0,16469.0,10274.0,39296.0,6509.0,7936.0,-7829.0,448634.0,44525.0,72113.0,76558.0,-4445.0,43.4,22.9,14.2,2.6,3.7,45.5,8.9,6.3,21.4,3.6,5.3,-2.2,66.7,25.5,37.1,42.3,44.9,-2.6,-0.5,
86,2015KW03,66446.0,35076.0,22336.0,4204.0,4830.0,72556.0,13589.0,10358.0,35128.0,6147.0,7334.0,-6110.0,446603.0,41350.0,72828.0,76341.0,-3513.0,43.0,22.7,14.1,2.5,3.6,45.1,8.8,6.2,21.3,3.6,5.2,-2.2,65.8,25.3,36.8,42.3,44.3,-2.0,0.0,
87,2015KW04,78478.0,37227.0,31293.0,4951.0,5007.0,77491.0,16280.0,11195.0,34957.0,5996.0,9063.0,987.0,441401.0,44403.0,74729.0,77174.0,-2445.0,42.8,22.9,14.1,2.6,3.3,44.9,8.7,6.1,21.2,3.6,5.2,-2.1,64.6,25.1,37.0,43.4,44.8,-1.4,-0.4,
88,2015JJ00,292740.0,156300.0,96426.0,17448.0,22566.0,306759.0,59651.0,41988.0,144962.0,24510.0,35648.0,-14019.0,441401.0,171677.0,,,,42.8,22.9,14.1,2.6,3.3,44.9,8.7,6.1,21.2,3.6,5.2,-2.1,64.6,25.1,37.0,,,,-0.2,970.9
89,2016KW01,76949.0,42068.0,25695.0,4243.0,4943.0,76442.0,13575.0,9829.0,35956.0,5795.0,11287.0,507.0,442068.0,41525.0,74793.0,76830.0,-2037.0,42.8,23.0,14.2,2.6,3.0,44.6,8.7,6.1,21.1,3.6,5.2,-1.8,64.3,25.0,37.3,43.2,44.4,-1.2,0.8,
90,2016KW02,78467.0,44822.0,23730.0,4149.0,5766.0,80543.0,16757.0,10100.0,40352.0,6333.0,7001.0,-2076.0,437712.0,45222.0,77879.0,76732.0,1147.0,43.4,23.0,14.9,2.5,3.0,44.3,8.7,6.0,21.1,3.5,5.0,-1.0,63.2,24.9,37.9,44.6,44.0,0.7,1.3,
91,2016KW03,71530.0,38333.0,24599.0,4197.0,4401.0,73419.0,13991.0,9885.0,35854.0,6224.0,7465.0,-1889.0,428788.0,41720.0,78083.0,77033.0,1050.0,43.8,23.3,15.1,2.5,2.9,44.2,8.7,5.9,21.1,3.5,5.0,-0.4,61.5,24.8,38.4,44.2,43.6,0.6,0.9,
92,2016KW04,80876.0,40411.0,30229.0,5021.0,5215.0,74845.0,16651.0,11052.0,36107.0,6146.0,4889.0,6031.0,434205.0,45215.0,77275.0,74785.0,2490.0,43.8,23.6,14.8,2.5,2.9,43.4,8.7,5.8,21.1,3.5,4.4,0.4,61.8,24.7,38.4,43.4,42.0,1.4,1.6,
93,2016JJ00,307822.0,165634.0,104253.0,17610.0,20325.0,305249.0,60974.0,40866.0,148269.0,24498.0,30642.0,2573.0,434205.0,173682.0,,,,43.8,23.6,14.8,2.5,2.9,43.4,8.7,5.8,21.1,3.5,4.4,0.4,61.8,24.7,38.4,,,,1.2,967.1
94,2017KW01,81534.0,48352.0,24249.0,4274.0,4659.0,76302.0,13889.0,10325.0,36577.0,5781.0,9730.0,5232.0,422638.0,42701.0,79179.0,76511.0,2668.0,44.0,24.2,14.5,2.5,2.8,43.0,8.6,5.8,21.0,3.4,4.1,1.0,59.5,24.6,38.7,44.0,42.5,1.5,1.2,
95,2017KW02,79430.0,45847.0,24478.0,4138.0,4967.0,81013.0,17195.0,10050.0,40936.0,6011.0,6821.0,-1583.0,420688.0,46068.0,78951.0,77338.0,1613.0,43.7,24.1,14.4,2.5,2.7,42.6,8.6,5.8,20.8,3.4,4.0,1.1,58.6,24.5,38.5,43.2,42.3,0.9,1.1,
96,2017KW03,74197.0,39654.0,25751.0,4209.0,4583.0,75362.0,14028.0,10316.0,36771.0,7086.0,7161.0,-1165.0,412391.0,42763.0,80675.0,78820.0,1855.0,43.6,24.0,14.4,2.4,2.7,42.4,8.5,5.8,20.7,3.5,3.9,1.2,56.9,24.4,38.5,43.8,42.8,1.0,1.4,
97,2017KW04,84868.0,46373.0,27780.0,4998.0,5717.0,79338.0,17243.0,10878.0,36512.0,6874.0,7831.0,5530.0,416067.0,46289.0,81296.0,79490.0,1806.0,43.7,24.6,13.9,2.4,2.7,42.6,8.5,5.7,20.6,3.5,4.3,1.1,56.7,24.3,38.5,43.6,42.6,1.0,0.9,
98,2017JJ00,320029.0,180226.0,102258.0,17619.0,19926.0,312015.0,62355.0,41569.0,150796.0,25752.0,31543.0,8014.0,416067.0,177821.0,,,,43.7,24.6,13.9,2.4,2.7,42.6,8.5,5.7,20.6,3.5,4.3,1.1,56.7,24.3,38.5,,,,1.2,
