ID,Perioden,InkomstenTotaal_1,Belastingen_2,WettelijkeSocialeVerzekeringspremies_3,VerkopenVanGoederenEnDiensten_4,Overig_5,UitgavenTotaal_6,BeloningVanWerknemers_7,AankopenGoederenEnDiensten_8,Uitkeringen_9,BrutoInvesteringenInVasteActiva_10,Overig_11,Overheidssaldo_12,OverheidsschuldEMU_13,Overheidsconsumptie_14,Inkomsten_15,Uitgaven_16,Overheidssaldo_17,InkomstenTotaal_18,Belastingen_19,WettelijkeSocialeVerzekeringspremies_20,VerkopenVanGoederenEnDiensten_21,Overig_22,UitgavenTotaal_23,BeloningVanWerknemers_24,AankopenGoederenEnDiensten_25,Uitkeringen_26,BrutoInvesteringenInVasteActiva_27,Overig_28,Overheidssaldo_29,OverheidsschuldEMU_30,Overheidsconsumptie_31,BelastingEnPremiedruk_32,Inkomsten_33,Uitgaven_34,Overheidssaldo_35,VolumegroeiOverheidsconsumptie_36,Arbeidsvolume_37
42,2006KW04,68493.0,39095.0,18716.0,4103.0,6579.0,65180.0,13768.0,9788.0,26097.0,6283.0,9244.0,3313.0,259128.0,35712.0,63495.0,63492.0,3.0,43.2,23.0,13.1,2.7,4.5,43.0,8.7,6.2,18.3,3.9,5.8,0.2,44.7,23.4,36.1,42.9,42.9,0.0,9.7,
43,2006JJ00,250495.0,133147.0,75778.0,15667.0,25903.0,249276.0,50498.0,36040.0,106162.0,22744.0,33832.0,1219.0,259128.0,135492.0,,,,43.2,23.0,13.1,2.7,4.5,43.0,8.7,6.2,18.3,3.9,5.8,0.2,44.7,23.4,36.1,,,,9.3,1024.6
44,2007KW01,63576.0,32060.0,20632.0,3994.0,6890.0,63025.0,11794.0,9176.0,26732.0,5635.0,9688.0,551.0,264356.0,33962.0,63978.0,64046.0,-68.0,43.3,22.9,13.0,2.7,4.7,42.9,8.7,6.2,18.2,3.9,5.9,0.4,45.0,23.3,36.0,42.4,42.5,0.0,3.1,
45,2007KW02,64735.0,35521.0,18876.0,4101.0,6237.0,67560.0,14613.0,9346.0,29628.0,5922.0,8051.0,-2825.0,269984.0,37183.0,64001.0,64510.0,-509.0,42.8,22.9,12.9,2.7,4.4,42.8,8.6,6.2,18.1,3.9,5.9,0.0,45.3,23.3,35.8,42.1,42.5,-0.3,2.5,
46,2007KW03,58902.0,31522.0,18142.0,3656.0,5582.0,61731.0,11827.0,9213.0,26332.0,5669.0,8690.0,-2829.0,267080.0,33999.0,64767.0,65498.0,-731.0,42.3,22.9,12.6,2.6,4.2,42.6,8.6,6.2,18.0,3.9,5.9,-0.3,44.2,23.3,35.5,42.0,42.5,-0.5,4.1,
47,2007KW04,74435.0,42754.0,19422.0,4551.0,7708.0,68034.0,14327.0,10372.0,27193.0,6492.0,9650.0,6401.0,261567.0,37606.0,68753.0,66422.0,2331.0,42.7,23.1,12.6,2.7,4.3,42.5,8.6,6.2,17.9,3.9,5.9,0.2,42.7,23.3,35.7,43.9,42.4,1.5,2.7,
48,2007JJ00,261648.0,141857.0,77072.0,16302.0,26417.0,260350.0,52561.0,38107.0,109885.0,23718.0,36079.0,1298.0,261567.0,142750.0,,,,42.7,23.1,12.6,2.7,4.3,42.5,8.6,6.2,17.9,3.9,5.9,0.2,42.7,23.3,35.7,,,,3.1,1026.2
49,2008KW01,69349.0,33189.0,23221.0,4133.0,8806.0,68232.0,12447.0,9950.0,28321.0,6525.0,10989.0,1117.0,270571.0,36324.0,69043.0,69159.0,-116.0,43.0,23.0,12.8,2.6,4.6,42.7,8.6,6.3,17.9,4.0,6.0,0.3,43.5,23.4,35.8,43.4,43.4,-0.1,3.0,
50,2008KW02,69563.0,37047.0,20718.0,4315.0,7483.0,72160.0,15407.0,10135.0,31253.0,6668.0,8697.0,-2597.0,273726.0,39674.0,69360.0,68958.0,402.0,43.3,23.0,13.0,2.6,4.7,43.0,8.6,6.3,18.0,4.0,6.0,0.3,43.5,23.5,35.9,43.5,43.3,0.3,3.0,
51,2008KW03,63447.0,33907.0,19426.0,3923.0,6191.0,65132.0,12473.0,9998.0,28217.0,5818.0,8626.0,-1685.0,279428.0,36355.0,69986.0,69015.0,971.0,43.6,23.1,13.0,2.7,4.8,43.1,8.6,6.4,18.1,4.0,6.0,0.5,44.0,23.6,36.1,43.6,43.0,0.6,3.9,
