ID,EffectVanDeSamenwerkingOp,GrootteVanHetEffect,BedrijfstakkenBranchesSBI93,Perioden,AantSamenwerkendeBedrijven250Wp_1,PercSamenwerkendeBedrijven250Wp_2
0,  7,  0,       1,2006JJ00  ,1633,100
1,  7,  0,       1,2007JJ00  ,1470,100
2,  7,  0,       1,2008JJ00  ,1398,100
3,  7,  0,       2,2006JJ00  ,406,100
4,  7,  0,       2,2007JJ00  ,379,100
5,  7,  0,       2,2008JJ00  ,377,100
6,  7,  0,       3,2006JJ00  ,201,100
7,  7,  0,       3,2007JJ00  ,178,100
8,  7,  0,       3,2008JJ00  ,187,100
9,  7,  0,       4,2006JJ00  ,91,100
10,  7,  0,       4,2007JJ00  ,100,100
11,  7,  0,       4,2008JJ00  ,78,100
12,  7,  0,       5,2006JJ00  ,60,100
13,  7,  0,       5,2007JJ00  ,54,100
14,  7,  0,       5,2008JJ00  ,46,100
15,  7,  0,       6,2006JJ00  ,291,100
16,  7,  0,       6,2007JJ00  ,234,100
17,  7,  0,       6,2008JJ00  ,224,100
18,  7,  0,       7,2006JJ00  ,585,100
19,  7,  0,       7,2007JJ00  ,525,100
20,  7,  0,       7,2008JJ00  ,485,100
21,  7,  1,       1,2006JJ00  ,109,7
22,  7,  1,       1,2007JJ00  ,127,9
23,  7,  1,       1,2008JJ00  ,129,9
24,  7,  1,       2,2006JJ00  ,39,10
25,  7,  1,       2,2007JJ00  ,43,11
26,  7,  1,       2,2008JJ00  ,42,11
27,  7,  1,       3,2006JJ00  ,23,11
28,  7,  1,       3,2007JJ00  ,35,20
29,  7,  1,       3,2008JJ00  ,39,21
30,  7,  1,       4,2006JJ00  ,11,12
31,  7,  1,       4,2007JJ00  ,9,9
32,  7,  1,       4,2008JJ00  ,10,13
33,  7,  1,       5,2006JJ00  ,2,3
34,  7,  1,       5,2007JJ00  ,2,4
35,  7,  1,       5,2008JJ00  ,4,9
36,  7,  1,       6,2006JJ00  ,12,4
37,  7,  1,       6,2007JJ00  ,12,5
38,  7,  1,       6,2008JJ00  ,10,4
39,  7,  1,       7,2006JJ00  ,23,4
40,  7,  1,       7,2007JJ00  ,26,5
41,  7,  1,       7,2008JJ00  ,24,5
42,  7,  2,       1,2006JJ00  ,176,11
43,  7,  2,       1,2007JJ00  ,144,10
44,  7,  2,       1,2008JJ00  ,173,12
45,  7,  2,       2,2006JJ00  ,72,18
46,  7,  2,       2,2007JJ00  ,56,15
47,  7,  2,       2,2008JJ00  ,69,18
48,  7,  2,       3,2006JJ00  ,43,21
49,  7,  2,       3,2007JJ00  ,29,16
50,  7,  2,       3,2008JJ00  ,37,20
51,  7,  2,       4,2006JJ00  ,6,7
52,  7,  2,       4,2007JJ00  ,10,10
53,  7,  2,       4,2008JJ00  ,10,13
54,  7,  2,       5,2006JJ00  ,0,0
55,  7,  2,       5,2007JJ00  ,3,6
56,  7,  2,       5,2008JJ00  ,5,11
57,  7,  2,       6,2006JJ00  ,20,7
58,  7,  2,       6,2007JJ00  ,16,7
59,  7,  2,       6,2008JJ00  ,6,3
60,  7,  2,       7,2006JJ00  ,36,6
61,  7,  2,       7,2007JJ00  ,31,6
62,  7,  2,       7,2008JJ00  ,47,10
63,  7,  3,       1,2006JJ00  ,672,41
64,  7,  3,       1,2007JJ00  ,731,50
65,  7,  3,       1,2008JJ00  ,739,53
66,  7,  3,       2,2006JJ00  ,176,43
67,  7,  3,       2,2007JJ00  ,191,50
68,  7,  3,       2,2008JJ00  ,194,51
69,  7,  3,       3,2006JJ00  ,66,33
70,  7,  3,       3,2007JJ00  ,75,42
71,  7,  3,       3,2008JJ00  ,70,37
72,  7,  3,       4,2006JJ00  ,45,49
73,  7,  3,       4,2007JJ00  ,51,51
74,  7,  3,       4,2008JJ00  ,39,50
75,  7,  3,       5,2006JJ00  ,18,30
76,  7,  3,       5,2007JJ00  ,29,54
77,  7,  3,       5,2008JJ00  ,27,59
78,  7,  3,       6,2006JJ00  ,105,36
79,  7,  3,       6,2007JJ00  ,101,43
80,  7,  3,       6,2008JJ00  ,117,52
81,  7,  3,       7,2006JJ00  ,263,45
82,  7,  3,       7,2007JJ00  ,283,54
83,  7,  3,       7,2008JJ00  ,292,60
84,  7,  4,       1,2006JJ00  ,676,41
85,  7,  4,       1,2007JJ00  ,468,32
86,  7,  4,       1,2008JJ00  ,357,26
87,  7,  4,       2,2006JJ00  ,119,29
88,  7,  4,       2,2007JJ00  ,89,23
89,  7,  4,       2,2008JJ00  ,72,19
90,  7,  4,       3,2006JJ00  ,69,34
91,  7,  4,       3,2007JJ00  ,39,22
92,  7,  4,       3,2008JJ00  ,41,22
93,  7,  4,       4,2006JJ00  ,29,32
94,  7,  4,       4,2007JJ00  ,30,30
95,  7,  4,       4,2008JJ00  ,19,24
96,  7,  4,       5,2006JJ00  ,40,67
97,  7,  4,       5,2007JJ00  ,20,37
98,  7,  4,       5,2008JJ00  ,10,22
99,  7,  4,       6,2006JJ00  ,154,53
100,  7,  4,       6,2007JJ00  ,105,45
101,  7,  4,       6,2008JJ00  ,91,41
102,  7,  4,       7,2006JJ00  ,263,45
103,  7,  4,       7,2007JJ00  ,185,35
104,  7,  4,       7,2008JJ00  ,122,25
105,  8,  0,       1,2006JJ00  ,1633,100
106,  8,  0,       1,2007JJ00  ,1470,100
107,  8,  0,       1,2008JJ00  ,1398,100
108,  8,  0,       2,2006JJ00  ,406,100
109,  8,  0,       2,2007JJ00  ,379,100
110,  8,  0,       2,2008JJ00  ,377,100
111,  8,  0,       3,2006JJ00  ,201,100
112,  8,  0,       3,2007JJ00  ,178,100
113,  8,  0,       3,2008JJ00  ,187,100
114,  8,  0,       4,2006JJ00  ,91,100
115,  8,  0,       4,2007JJ00  ,100,100
116,  8,  0,       4,2008JJ00  ,78,100
117,  8,  0,       5,2006JJ00  ,60,100
118,  8,  0,       5,2007JJ00  ,54,100
119,  8,  0,       5,2008JJ00  ,46,100
120,  8,  0,       6,2006JJ00  ,291,100
121,  8,  0,       6,2007JJ00  ,234,100
122,  8,  0,       6,2008JJ00  ,224,100
123,  8,  0,       7,2006JJ00  ,585,100
124,  8,  0,       7,2007JJ00  ,525,100
125,  8,  0,       7,2008JJ00  ,485,100
126,  8,  1,       1,2006JJ00  ,193,12
127,  8,  1,       1,2007JJ00  ,202,14
128,  8,  1,       1,2008JJ00  ,208,15
129,  8,  1,       2,2006JJ00  ,59,15
130,  8,  1,       2,2007JJ00  ,56,15
131,  8,  1,       2,2008JJ00  ,45,12
132,  8,  1,       3,2006JJ00  ,23,11
133,  8,  1,       3,2007JJ00  ,15,8
134,  8,  1,       3,2008JJ00  ,32,17
135,  8,  1,       4,2006JJ00  ,17,19
136,  8,  1,       4,2007JJ00  ,29,29
137,  8,  1,       4,2008JJ00  ,14,18
138,  8,  1,       5,2006JJ00  ,6,10
139,  8,  1,       5,2007JJ00  ,14,26
140,  8,  1,       5,2008JJ00  ,21,46
141,  8,  1,       6,2006JJ00  ,32,11
142,  8,  1,       6,2007JJ00  ,42,18
143,  8,  1,       6,2008JJ00  ,45,20
144,  8,  1,       7,2006JJ00  ,55,9
145,  8,  1,       7,2007JJ00  ,45,9
146,  8,  1,       7,2008JJ00  ,52,11
147,  8,  2,       1,2006JJ00  ,288,18
148,  8,  2,       1,2007JJ00  ,228,16
149,  8,  2,       1,2008JJ00  ,260,19
150,  8,  2,       2,2006JJ00  ,116,29
151,  8,  2,       2,2007JJ00  ,74,20
152,  8,  2,       2,2008JJ00  ,106,28
153,  8,  2,       3,2006JJ00  ,26,13
154,  8,  2,       3,2007JJ00  ,20,11
155,  8,  2,       3,2008JJ00  ,26,14
156,  8,  2,       4,2006JJ00  ,18,20
157,  8,  2,       4,2007JJ00  ,12,12
158,  8,  2,       4,2008JJ00  ,19,24
159,  8,  2,       5,2006JJ00  ,15,25
160,  8,  2,       5,2007JJ00  ,8,15
161,  8,  2,       5,2008JJ00  ,10,22
162,  8,  2,       6,2006JJ00  ,50,17
163,  8,  2,       6,2007JJ00  ,49,21
164,  8,  2,       6,2008JJ00  ,26,12
165,  8,  2,       7,2006JJ00  ,64,11
166,  8,  2,       7,2007JJ00  ,65,12
167,  8,  2,       7,2008JJ00  ,73,15
168,  8,  3,       1,2006JJ00  ,410,25
169,  8,  3,       1,2007JJ00  ,413,28
170,  8,  3,       1,2008JJ00  ,355,25
171,  8,  3,       2,2006JJ00  ,109,27
172,  8,  3,       2,2007JJ00  ,132,35
173,  8,  3,       2,2008JJ00  ,117,31
174,  8,  3,       3,2006JJ00  ,25,12
175,  8,  3,       3,2007JJ00  ,26,15
176,  8,  3,       3,2008JJ00  ,29,16
177,  8,  3,       4,2006JJ00  ,8,9
178,  8,  3,       4,2007JJ00  ,21,21
179,  8,  3,       4,2008JJ00  ,10,13
180,  8,  3,       5,2006JJ00  ,11,18
181,  8,  3,       5,2007JJ00  ,6,11
182,  8,  3,       5,2008JJ00  ,4,9
183,  8,  3,       6,2006JJ00  ,81,28
184,  8,  3,       6,2007JJ00  ,55,24
185,  8,  3,       6,2008JJ00  ,55,25
186,  8,  3,       7,2006JJ00  ,177,30
187,  8,  3,       7,2007JJ00  ,173,33
188,  8,  3,       7,2008JJ00  ,141,29
189,  8,  4,       1,2006JJ00  ,742,45
190,  8,  4,       1,2007JJ00  ,627,43
191,  8,  4,       1,2008JJ00  ,575,41
192,  8,  4,       2,2006JJ00  ,122,30
193,  8,  4,       2,2007JJ00  ,117,31
194,  8,  4,       2,2008JJ00  ,109,29
195,  8,  4,       3,2006JJ00  ,127,63
196,  8,  4,       3,2007JJ00  ,117,66
197,  8,  4,       3,2008JJ00  ,100,53
198,  8,  4,       4,2006JJ00  ,48,53
199,  8,  4,       4,2007JJ00  ,38,38
200,  8,  4,       4,2008JJ00  ,35,45
201,  8,  4,       5,2006JJ00  ,28,47
202,  8,  4,       5,2007JJ00  ,26,48
203,  8,  4,       5,2008JJ00  ,11,24
204,  8,  4,       6,2006JJ00  ,128,44
205,  8,  4,       6,2007JJ00  ,88,38
206,  8,  4,       6,2008JJ00  ,98,44
207,  8,  4,       7,2006JJ00  ,289,49
208,  8,  4,       7,2007JJ00  ,242,46
209,  8,  4,       7,2008JJ00  ,219,45
210,  9,  0,       1,2006JJ00  ,1633,100
211,  9,  0,       1,2007JJ00  ,1470,100
212,  9,  0,       1,2008JJ00  ,1398,100
213,  9,  0,       2,2006JJ00  ,406,100
214,  9,  0,       2,2007JJ00  ,379,100
215,  9,  0,       2,2008JJ00  ,377,100
216,  9,  0,       3,2006JJ00  ,201,100
217,  9,  0,       3,2007JJ00  ,178,100
218,  9,  0,       3,2008JJ00  ,187,100
219,  9,  0,       4,2006JJ00  ,91,100
220,  9,  0,       4,2007JJ00  ,100,100
221,  9,  0,       4,2008JJ00  ,78,100
222,  9,  0,       5,2006JJ00  ,60,100
223,  9,  0,       5,2007JJ00  ,54,100
224,  9,  0,       5,2008JJ00  ,46,100
225,  9,  0,       6,2006JJ00  ,291,100
226,  9,  0,       6,2007JJ00  ,234,100
227,  9,  0,       6,2008JJ00  ,224,100
228,  9,  0,       7,2006JJ00  ,585,100
229,  9,  0,       7,2007JJ00  ,525,100
230,  9,  0,       7,2008JJ00  ,485,100
231,  9,  1,       1,2006JJ00  ,128,8
232,  9,  1,       1,2007JJ00  ,172,12
233,  9,  1,       1,2008JJ00  ,131,9
234,  9,  1,       2,2006JJ00  ,26,6
235,  9,  1,       2,2007JJ00  ,33,9
236,  9,  1,       2,2008JJ00  ,22,6
237,  9,  1,       3,2006JJ00  ,28,14
238,  9,  1,       3,2007JJ00  ,32,18
239,  9,  1,       3,2008JJ00  ,31,17
240,  9,  1,       4,2006JJ00  ,9,10
241,  9,  1,       4,2007JJ00  ,12,12
242,  9,  1,       4,2008JJ00  ,12,15
243,  9,  1,       5,2006JJ00  ,12,20
244,  9,  1,       5,2007JJ00  ,20,37
245,  9,  1,       5,2008JJ00  ,18,39
246,  9,  1,       6,2006JJ00  ,16,5
247,  9,  1,       6,2007JJ00  ,44,19
248,  9,  1,       6,2008JJ00  ,21,9
249,  9,  1,       7,2006JJ00  ,37,6
250,  9,  1,       7,2007JJ00  ,30,6
251,  9,  1,       7,2008JJ00  ,27,6
252,  9,  2,       1,2006JJ00  ,235,14
253,  9,  2,       1,2007JJ00  ,184,13
254,  9,  2,       1,2008JJ00  ,181,13
255,  9,  2,       2,2006JJ00  ,65,16
256,  9,  2,       2,2007JJ00  ,44,12
257,  9,  2,       2,2008JJ00  ,51,14
258,  9,  2,       3,2006JJ00  ,36,18
259,  9,  2,       3,2007JJ00  ,30,17
260,  9,  2,       3,2008JJ00  ,33,18
261,  9,  2,       4,2006JJ00  ,15,16
262,  9,  2,       4,2007JJ00  ,25,25
263,  9,  2,       4,2008JJ00  ,12,15
264,  9,  2,       5,2006JJ00  ,17,28
265,  9,  2,       5,2007JJ00  ,12,22
266,  9,  2,       5,2008JJ00  ,12,26
267,  9,  2,       6,2006JJ00  ,63,22
268,  9,  2,       6,2007JJ00  ,34,15
269,  9,  2,       6,2008JJ00  ,44,20
270,  9,  2,       7,2006JJ00  ,39,7
271,  9,  2,       7,2007JJ00  ,40,8
272,  9,  2,       7,2008JJ00  ,29,6
273,  9,  3,       1,2006JJ00  ,597,37
274,  9,  3,       1,2007JJ00  ,434,30
275,  9,  3,       1,2008JJ00  ,448,32
276,  9,  3,       2,2006JJ00  ,155,38
277,  9,  3,       2,2007JJ00  ,112,30
278,  9,  3,       2,2008JJ00  ,124,33
279,  9,  3,       3,2006JJ00  ,65,32
280,  9,  3,       3,2007JJ00  ,38,21
281,  9,  3,       3,2008JJ00  ,37,20
282,  9,  3,       4,2006JJ00  ,20,22
283,  9,  3,       4,2007JJ00  ,31,31
284,  9,  3,       4,2008JJ00  ,13,17
285,  9,  3,       5,2006JJ00  ,13,22
286,  9,  3,       5,2007JJ00  ,8,15
287,  9,  3,       5,2008JJ00  ,10,22
288,  9,  3,       6,2006JJ00  ,118,41
289,  9,  3,       6,2007JJ00  ,71,30
290,  9,  3,       6,2008JJ00  ,86,38
291,  9,  3,       7,2006JJ00  ,228,39
292,  9,  3,       7,2007JJ00  ,174,33
293,  9,  3,       7,2008JJ00  ,177,36
294,  9,  4,       1,2006JJ00  ,673,41
295,  9,  4,       1,2007JJ00  ,680,46
296,  9,  4,       1,2008JJ00  ,638,46
297,  9,  4,       2,2006JJ00  ,160,39
298,  9,  4,       2,2007JJ00  ,190,50
299,  9,  4,       2,2008JJ00  ,180,48
300,  9,  4,       3,2006JJ00  ,72,36
301,  9,  4,       3,2007JJ00  ,78,44
302,  9,  4,       3,2008JJ00  ,86,46
303,  9,  4,       4,2006JJ00  ,47,52
304,  9,  4,       4,2007JJ00  ,32,32
305,  9,  4,       4,2008JJ00  ,41,53
306,  9,  4,       5,2006JJ00  ,18,30
307,  9,  4,       5,2007JJ00  ,14,26
308,  9,  4,       5,2008JJ00  ,6,13
309,  9,  4,       6,2006JJ00  ,94,32
310,  9,  4,       6,2007JJ00  ,85,36
311,  9,  4,       6,2008JJ00  ,73,33
312,  9,  4,       7,2006JJ00  ,281,48
313,  9,  4,       7,2007JJ00  ,281,54
314,  9,  4,       7,2008JJ00  ,252,52
315, 10,  0,       1,2006JJ00  ,1633,100
316, 10,  0,       1,2007JJ00  ,1470,100
317, 10,  0,       1,2008JJ00  ,1398,100
318, 10,  0,       2,2006JJ00  ,406,100
319, 10,  0,       2,2007JJ00  ,379,100
320, 10,  0,       2,2008JJ00  ,377,100
321, 10,  0,       3,2006JJ00  ,201,100
322, 10,  0,       3,2007JJ00  ,178,100
323, 10,  0,       3,2008JJ00  ,187,100
324, 10,  0,       4,2006JJ00  ,91,100
325, 10,  0,       4,2007JJ00  ,100,100
326, 10,  0,       4,2008JJ00  ,78,100
327, 10,  0,       5,2006JJ00  ,60,100
328, 10,  0,       5,2007JJ00  ,54,100
329, 10,  0,       5,2008JJ00  ,46,100
330, 10,  0,       6,2006JJ00  ,291,100
331, 10,  0,       6,2007JJ00  ,234,100
332, 10,  0,       6,2008JJ00  ,224,100
333, 10,  0,       7,2006JJ00  ,585,100
334, 10,  0,       7,2007JJ00  ,525,100
335, 10,  0,       7,2008JJ00  ,485,100
336, 10,  1,       1,2006JJ00  ,246,15
337, 10,  1,       1,2007JJ00  ,268,18
338, 10,  1,       1,2008JJ00  ,245,18
339, 10,  1,       2,2006JJ00  ,55,14
340, 10,  1,       2,2007JJ00  ,53,14
341, 10,  1,       2,2008JJ00  ,48,13
342, 10,  1,       3,2006JJ00  ,29,14
343, 10,  1,       3,2007JJ00  ,32,18
344, 10,  1,       3,2008JJ00  ,32,17
345, 10,  1,       4,2006JJ00  ,35,38
