ID,Zorgaanbieders,Perioden,UitgavenGezondheidsEnWelzijnszorg_1,VolumeIndexcijfers_2,VolumemutatieTOVVoorafgaandJaar_3,Prijsindexcijfers_4,PrijsmutatieTOVVoorafgaandJaar_5,WaardeIndexcijfers_6,WaardemutatieTOVVoorafgaandJaar_7
222,A041730,2020JJ00,12804,112.5,1.5,119.4,8.6,134.3,10.2
223,A041730,2021JJ00,13060,115.1,2.3,119.0,-0.3,137.0,2.0
224,A041730,2022JJ00,13676,119.3,3.6,120.3,1.1,143.5,4.7
225,A041731,1998JJ00,7155,63.5,,85.6,,54.4,
226,A041731,1999JJ00,7826,68.7,8.1,86.6,1.2,59.5,9.4
227,A041731,2000JJ00,8380,70.7,3.0,90.1,4.0,63.7,7.1
228,A041731,2001JJ00,9273,74.9,5.9,94.1,4.5,70.5,10.7
229,A041731,2002JJ00,10296,78.1,4.3,100.2,6.5,78.3,11.0
230,A041731,2003JJ00,10931,79.7,2.1,104.2,4.0,83.1,6.2
231,A041731,2004JJ00,11256,83.4,4.6,102.6,-1.5,85.6,3.0
232,A041731,2005JJ00,11570,85.4,2.4,103.0,0.4,88.0,2.8
233,A041731,2006JJ00,11622,84.9,-0.5,104.1,1.0,88.4,0.4
234,A041731,2007JJ00,12481,90.6,6.6,104.8,0.7,94.9,7.4
235,A041731,2008JJ00,12944,92.8,2.5,106.0,1.2,98.4,3.7
236,A041731,2009JJ00,12958,94.5,1.8,104.2,-1.7,98.5,0.1
237,A041731,2010JJ00,13454,99.9,5.7,102.3,-1.8,102.3,3.8
238,A041731,2011JJ00,13780,102.7,2.8,102.0,-0.3,104.8,2.4
239,A041731,2012JJ00,13327,99.5,-3.1,101.8,-0.2,101.3,-3.3
240,A041731,2013JJ00,12933,98.0,-1.6,100.4,-1.4,98.3,-3.0
241,A041731,2014JJ00,13060,97.9,0.0,101.4,1.0,99.3,1.0
242,A041731,2015JJ00,13154,100.0,2.1,100.0,-1.4,100.0,0.7
243,A041731,2016JJ00,13213,101.3,1.3,99.2,-0.8,100.4,0.4
244,A041731,2017JJ00,13446,105.0,3.7,97.4,-1.8,102.2,1.8
245,A041731,2018JJ00,13626,107.4,2.3,96.5,-0.9,103.6,1.3
246,A041731,2019JJ00,14288,110.6,3.0,98.2,1.8,108.6,4.9
247,A041731,2020JJ00,15756,119.3,7.9,100.4,2.2,119.8,10.3
248,A041731,2021JJ00,20558,156.7,31.3,99.8,-0.7,156.3,30.5
249,A041731,2022JJ00,18303,133.9,-14.5,103.9,4.2,139.1,-11.0
250,A041738,1998JJ00,3442,61.8,,67.3,,41.6,
251,A041738,1999JJ00,4002,70.1,13.6,69.0,2.4,48.4,16.3
252,A041738,2000JJ00,4477,75.7,8.0,71.4,3.6,54.1,11.9
253,A041738,2001JJ00,5055,83.6,10.4,73.0,2.3,61.1,12.9
254,A041738,2002JJ00,5214,81.7,-2.3,77.1,5.5,63.0,3.1
255,A041738,2003JJ00,5513,83.0,1.5,80.3,4.1,66.6,5.7
256,A041738,2004JJ00,5463,78.3,-5.6,84.3,4.9,66.0,-0.9
257,A041738,2005JJ00,5592,78.6,0.4,85.9,2.0,67.6,2.4
258,A041738,2006JJ00,5827,77.2,-1.9,91.3,6.2,70.4,4.2
259,A041738,2007JJ00,6618,88.2,14.3,90.7,-0.7,80.0,13.6
260,A041738,2008JJ00,7533,101.0,14.5,90.1,-0.6,91.0,13.8
261,A041738,2009JJ00,8417,115.0,13.8,88.5,-1.8,101.7,11.7
262,A041738,2010JJ00,8705,114.5,-0.4,91.9,3.8,105.2,3.4
263,A041738,2011JJ00,8670,111.7,-2.5,93.8,2.1,104.8,-0.4
264,A041738,2012JJ00,8552,105.2,-5.8,98.2,4.7,103.3,-1.4
265,A041738,2013JJ00,8162,97.5,-7.3,101.1,3.0,98.6,-4.6
266,A041738,2014JJ00,7866,95.1,-2.5,100.0,-1.1,95.0,-3.6
267,A041738,2015JJ00,8276,100.0,5.2,100.0,0.0,100.0,5.2
268,A041738,2016JJ00,8920,103.4,3.4,104.2,4.2,107.8,7.8
269,A041738,2017JJ00,9147,105.1,1.6,105.2,1.0,110.5,2.5
270,A041738,2018JJ00,9692,109.0,3.8,107.4,2.1,117.1,6.0
271,A041738,2019JJ00,10385,110.8,1.7,113.2,5.4,125.5,7.1
272,A041738,2020JJ00,11146,104.5,-5.7,128.8,13.8,134.7,7.3
273,A041738,2021JJ00,11998,113.4,8.5,127.9,-0.8,145.0,7.6
274,A041738,2022JJ00,14027,129.7,14.4,130.7,2.2,169.5,16.9
275,A041742,1998JJ00,2063,76.2,,68.9,,52.5,
276,A041742,1999JJ00,2197,78.3,2.8,71.4,3.7,55.9,6.5
277,A041742,2000JJ00,2301,79.5,1.5,73.7,3.2,58.5,4.7
278,A041742,2001JJ00,2487,82.1,3.4,77.0,4.6,63.3,8.1
279,A041742,2002JJ00,2703,86.1,4.9,79.9,3.7,68.8,8.7
280,A041742,2003JJ00,2793,86.7,0.6,82.0,2.7,71.1,3.3
281,A041742,2004JJ00,2840,86.5,-0.2,83.6,1.9,72.3,1.7
282,A041742,2005JJ00,3261,98.0,13.3,84.7,1.3,83.0,14.8
283,A041742,2006JJ00,3516,103.5,5.6,86.4,2.1,89.5,7.8
284,A041742,2007JJ00,3691,106.2,2.6,88.4,2.3,93.9,5.0
285,A041742,2008JJ00,3579,99.8,-6.0,91.2,3.2,91.1,-3.0
286,A041742,2009JJ00,3668,100.5,0.7,92.9,1.8,93.4,2.5
287,A041742,2010JJ00,3683,99.4,-1.1,94.3,1.5,93.7,0.4
288,A041742,2011JJ00,3862,103.1,3.7,95.4,1.1,98.3,4.9
289,A041742,2012JJ00,3761,98.4,-4.5,97.3,2.0,95.7,-2.6
290,A041742,2013JJ00,3836,98.7,0.3,98.9,1.7,97.6,2.0
291,A041742,2014JJ00,3945,101.3,2.6,99.1,0.2,100.4,2.9
292,A041742,2015JJ00,3929,100.0,-1.3,100.0,0.9,100.0,-0.4
293,A041742,2016JJ00,3902,98.0,-2.0,101.4,1.4,99.3,-0.7
294,A041742,2017JJ00,3894,96.4,-1.6,102.8,1.4,99.1,-0.2
295,A041742,2018JJ00,4005,97.3,1.0,104.8,1.9,101.9,2.9
296,A041742,2019JJ00,4240,100.2,3.0,107.7,2.8,107.9,5.9
297,A041742,2020JJ00,4700,107.6,7.4,111.2,3.2,119.6,10.9
298,A041742,2021JJ00,4853,108.1,0.4,114.3,2.8,123.5,3.3
299,A041742,2022JJ00,5000,106.7,-1.3,119.3,4.4,127.2,3.0
