ID,Klimaatsectoren,EmissiesNaarLucht,Perioden,EmissieBroeikasgassen_1
492,A050124  ,A052484  ,1992JJ00,0.0
493,A050124  ,A052484  ,1993JJ00,0.0
494,A050124  ,A052484  ,1994JJ00,0.0
495,A050124  ,A052484  ,1995JJ00,0.0
496,A050124  ,A052484  ,1996JJ00,0.0
497,A050124  ,A052484  ,1997JJ00,0.0
498,A050124  ,A052484  ,1998JJ00,0.0
499,A050124  ,A052484  ,1999JJ00,0.0
500,A050124  ,A052484  ,2000JJ00,0.0
501,A050124  ,A052484  ,2001JJ00,0.0
502,A050124  ,A052484  ,2002JJ00,0.0
503,A050124  ,A052484  ,2003JJ00,0.0
504,A050124  ,A052484  ,2004JJ00,0.0
505,A050124  ,A052484  ,2005JJ00,0.0
506,A050124  ,A052484  ,2006JJ00,0.0
507,A050124  ,A052484  ,2007JJ00,0.0
508,A050124  ,A052484  ,2008JJ00,0.0
509,A050124  ,A052484  ,2009JJ00,0.0
510,A050124  ,A052484  ,2010JJ00,0.0
511,A050124  ,A052484  ,2011JJ00,0.0
512,A050124  ,A052484  ,2012JJ00,0.0
513,A050124  ,A052484  ,2013JJ00,0.0
514,A050124  ,A052484  ,2014JJ00,0.0
515,A050124  ,A052484  ,2015JJ00,0.0
516,A050124  ,A052484  ,2016JJ00,0.0
517,A050124  ,A052484  ,2017JJ00,0.0
518,A050124  ,A052484  ,2018JJ00,0.0
519,A050124  ,A052484  ,2019JJ00,0.0
520,A050124  ,A052484  ,2020JJ00,0.0
521,A050124  ,A052484  ,2021JJ00,0.0
522,A050124  ,A052484  ,2022JJ00,0.0
523,A050124  ,A052484  ,2023JJ00,0.0
524,A050124  ,A052484  ,2024JJ00,0.0
525,A050123  ,T001372  ,1990JJ00,87.0
526,A050123  ,T001372  ,1991JJ00,88.3
527,A050123  ,T001372  ,1992JJ00,89.5
528,A050123  ,T001372  ,1993JJ00,85.8
529,A050123  ,T001372  ,1994JJ00,86.7
530,A050123  ,T001372  ,1995JJ00,82.0
531,A050123  ,T001372  ,1996JJ00,84.6
532,A050123  ,T001372  ,1997JJ00,84.2
533,A050123  ,T001372  ,1998JJ00,84.2
534,A050123  ,T001372  ,1999JJ00,76.2
535,A050123  ,T001372  ,2000JJ00,74.6
536,A050123  ,T001372  ,2001JJ00,70.6
537,A050123  ,T001372  ,2002JJ00,69.8
538,A050123  ,T001372  ,2003JJ00,68.6
539,A050123  ,T001372  ,2004JJ00,68.6
540,A050123  ,T001372  ,2005JJ00,66.8
541,A050123  ,T001372  ,2006JJ00,65.3
542,A050123  ,T001372  ,2007JJ00,64.6
543,A050123  ,T001372  ,2008JJ00,60.7
544,A050123  ,T001372  ,2009JJ00,56.7
545,A050123  ,T001372  ,2010JJ00,59.6
546,A050123  ,T001372  ,2011JJ00,58.4
