ID,RegioS,Perioden,InGebruikGenomenWindmolens_1,UitGebruikGenomenWindmolens_2,OpgesteldeWindmolensEindeVanJaar_3,InGebruikGenomenRotoroppervlak_4,UitGebruikGenomenRotoroppervlak_5,OpgesteldRotoroppervlakEindeJaar_6,InGebruikGenomenVermogen_7,UitGebruikGenomenVermogen_8,OpgesteldVermogenEindeJaar_9,GenormaliseerdeProductie_10,NietGenormaliseerdeProductie_11,Productiefactor_12,ProductiePerRotoroppervlak_13,AantalVollasturen_14
103,PV21,2023JJ00,0.0,10.0,360.0,0.0,5.0,1797.0,0.0,3.0,616.0,1687.0,1915.0,35.5,1064.0,3107.0
104,PV21,2024JJ00,1.0,9.0,352.0,5.0,5.0,1797.0,3.0,2.0,617.0,1804.0,1891.0,35.0,1052.0,3071.0
105,PV22,1990JJ00,,,,,,,,,,,,,,
106,PV22,1991JJ00,,,,,,,,,,,,,,
107,PV22,1992JJ00,,,,,,,,,,,,,,
108,PV22,1993JJ00,,,,,,,,,,,,,,
109,PV22,1994JJ00,,,,,,,,,,,,,,
110,PV22,1995JJ00,,,,,,,,,,,,,,
111,PV22,1996JJ00,,,,,,,,,,,,,,
112,PV22,1997JJ00,,,,,,,,,,,,,,
113,PV22,1998JJ00,,,,,,,,,,,,,,
114,PV22,1999JJ00,,,,,,,,,,,,,,
115,PV22,2000JJ00,,,,,,,,,,,,,,
116,PV22,2001JJ00,,,,,,,,,,,,,,
117,PV22,2002JJ00,,,2.0,,,2.0,,,1.0,,,,,
118,PV22,2003JJ00,,,2.0,,,2.0,,,1.0,,,,,
119,PV22,2004JJ00,,,2.0,,,2.0,,,1.0,,,,,
120,PV22,2005JJ00,,,2.0,,,2.0,,,1.0,,,,,
121,PV22,2006JJ00,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,,,,,
122,PV22,2007JJ00,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,,,,,
123,PV22,2008JJ00,,,2.0,,,2.0,,,1.0,,,,,
124,PV22,2009JJ00,,,2.0,,,2.0,,,1.0,,,,,
125,PV22,2010JJ00,,,2.0,,,2.0,,,1.0,,,,,
126,PV22,2011JJ00,1.0,,3.0,7.0,,9.0,2.0,,3.0,,,,,
