ID,RegioS,Perioden,InGebruikGenomenWindmolens_1,UitGebruikGenomenWindmolens_2,OpgesteldeWindmolensEindeVanJaar_3,InGebruikGenomenRotoroppervlak_4,UitGebruikGenomenRotoroppervlak_5,OpgesteldRotoroppervlakEindeJaar_6,InGebruikGenomenVermogen_7,UitGebruikGenomenVermogen_8,OpgesteldVermogenEindeJaar_9,GenormaliseerdeProductie_10,NietGenormaliseerdeProductie_11,Productiefactor_12,ProductiePerRotoroppervlak_13,AantalVollasturen_14
298,PV27,2008JJ00,22.0,20.0,305.0,84.0,19.0,639.0,37.0,8.0,278.0,528.0,578.0,25.8,982.0,2263.0
299,PV27,2009JJ00,11.0,1.0,315.0,23.0,0.0,662.0,9.0,0.0,287.0,549.0,563.0,22.7,863.0,1987.0
300,PV27,2010JJ00,10.0,3.0,322.0,34.0,2.0,693.0,20.0,1.0,306.0,559.0,496.0,19.3,738.0,1691.0
301,PV27,2011JJ00,9.0,12.0,319.0,48.0,10.0,732.0,23.0,4.0,326.0,636.0,685.0,25.1,973.0,2202.0
302,PV27,2012JJ00,10.0,,329.0,38.0,,770.0,21.0,,347.0,689.0,696.0,23.3,918.0,2049.0
303,PV27,2013JJ00,3.0,4.0,328.0,20.0,2.0,787.0,7.0,1.0,353.0,732.0,768.0,25.1,990.0,2199.0
304,PV27,2014JJ00,1.0,,329.0,2.0,,789.0,1.0,,354.0,759.0,757.0,24.5,962.0,2144.0
305,PV27,2015JJ00,28.0,30.0,327.0,74.0,54.0,809.0,28.0,22.0,360.0,764.0,834.0,26.8,1052.0,2344.0
306,PV27,2016JJ00,7.0,28.0,306.0,61.0,54.0,816.0,21.0,23.0,357.0,667.0,652.0,21.0,811.0,1847.0
307,PV27,2017JJ00,10.0,41.0,275.0,32.0,122.0,727.0,11.0,58.0,310.0,611.0,670.0,22.8,863.0,2004.0
308,PV27,2018JJ00,,1.0,274.0,,1.0,726.0,,1.0,310.0,549.0,577.0,21.2,795.0,1861.0
309,PV27,2019JJ00,15.0,29.0,260.0,145.0,108.0,763.0,47.0,44.0,313.0,635.0,678.0,24.0,876.0,2106.0
310,PV27,2020JJ00,95.0,14.0,341.0,999.0,21.0,1741.0,336.0,8.0,641.0,1267.0,1385.0,30.7,1012.0,2696.0
311,PV27,2021JJ00,12.0,37.0,316.0,94.0,39.0,1796.0,26.0,15.0,652.0,1695.0,1631.0,28.6,911.0,2505.0
312,PV27,2022JJ00,20.0,6.0,330.0,146.0,9.0,1932.0,52.0,4.0,700.0,1788.0,1855.0,30.7,974.0,2691.0
313,PV27,2023JJ00,8.0,5.0,333.0,42.0,14.0,1960.0,15.0,5.0,711.0,1846.0,2095.0,33.6,1068.0,2947.0
314,PV27,2024JJ00,2.0,1.0,334.0,4.0,0.0,1964.0,2.0,0.0,713.0,1842.0,1930.0,30.8,982.0,2708.0
315,PV28,1990JJ00,7.0,,40.0,3.0,,16.0,1.0,,8.0,,,,,
316,PV28,1991JJ00,15.0,2.0,53.0,10.0,0.0,26.0,6.0,0.0,13.0,,,,,
317,PV28,1992JJ00,13.0,7.0,59.0,13.0,7.0,32.0,7.0,4.0,16.0,,,,,
318,PV28,1993JJ00,11.0,2.0,68.0,10.0,0.0,41.0,5.0,0.0,21.0,,,,,
319,PV28,1994JJ00,14.0,,82.0,16.0,,57.0,6.0,,27.0,,,,,
320,PV28,1995JJ00,9.0,6.0,85.0,11.0,2.0,66.0,4.0,1.0,31.0,,,,,
321,PV28,1996JJ00,16.0,6.0,95.0,18.0,1.0,82.0,7.0,0.0,37.0,,,,,
322,PV28,1997JJ00,6.0,1.0,100.0,9.0,0.0,91.0,4.0,0.0,41.0,,,,,
323,PV28,1998JJ00,,1.0,99.0,,0.0,91.0,,0.0,41.0,,,,,
324,PV28,1999JJ00,,1.0,98.0,,0.0,91.0,,0.0,41.0,,,,,
325,PV28,2000JJ00,4.0,,102.0,8.0,,99.0,3.0,,44.0,,,,,
326,PV28,2001JJ00,1.0,,103.0,1.0,,100.0,0.0,,45.0,,,,,
327,PV28,2002JJ00,24.0,13.0,114.0,91.0,13.0,179.0,40.0,6.0,79.0,84.0,78.0,18.6,723.0,1632.0
328,PV28,2003JJ00,28.0,4.0,138.0,101.0,1.0,279.0,47.0,0.0,126.0,183.0,178.0,19.9,777.0,1743.0
329,PV28,2004JJ00,15.0,28.0,125.0,70.0,22.0,326.0,35.0,12.0,150.0,244.0,259.0,23.9,944.0,2097.0
330,PV28,2005JJ00,14.0,15.0,124.0,71.0,16.0,381.0,32.0,7.0,175.0,335.0,341.0,23.9,971.0,2095.0
331,PV28,2006JJ00,14.0,1.0,137.0,80.0,0.0,461.0,35.0,0.0,210.0,428.0,461.0,26.4,1055.0,2313.0
332,PV28,2007JJ00,18.0,,155.0,73.0,,534.0,34.0,,244.0,485.0,528.0,26.3,1052.0,2304.0
333,PV28,2008JJ00,1.0,7.0,149.0,6.0,11.0,529.0,3.0,5.0,243.0,524.0,568.0,26.5,1067.0,2330.0
334,PV28,2009JJ00,1.0,,150.0,6.0,,536.0,3.0,,246.0,491.0,503.0,23.6,946.0,2065.0
335,PV28,2010JJ00,,2.0,148.0,,4.0,532.0,,1.0,244.0,482.0,427.0,19.9,801.0,1744.0
336,PV28,2011JJ00,7.0,,155.0,45.0,,576.0,19.0,,263.0,509.0,549.0,24.9,1001.0,2179.0
337,PV28,2012JJ00,,10.0,145.0,,34.0,543.0,,15.0,249.0,506.0,511.0,23.2,933.0,2037.0
338,PV28,2013JJ00,10.0,5.0,150.0,56.0,25.0,574.0,30.0,10.0,269.0,478.0,501.0,22.1,901.0,1938.0
339,PV28,2014JJ00,15.0,8.0,157.0,109.0,30.0,653.0,45.0,15.0,299.0,535.0,534.0,21.9,885.0,1918.0
340,PV28,2015JJ00,15.0,5.0,167.0,131.0,4.0,779.0,44.0,2.0,341.0,674.0,736.0,26.2,1021.0,2294.0
341,PV28,2016JJ00,14.0,9.0,172.0,90.0,16.0,854.0,36.0,8.0,369.0,687.0,671.0,21.2,805.0,1861.0
342,PV28,2017JJ00,1.0,32.0,141.0,10.0,132.0,731.0,3.0,60.0,313.0,613.0,672.0,22.8,856.0,2003.0
343,PV28,2018JJ00,18.0,1.0,158.0,177.0,5.0,904.0,64.0,2.0,375.0,638.0,671.0,23.4,868.0,2047.0
344,PV28,2019JJ00,15.0,2.0,171.0,200.0,3.0,1101.0,64.0,1.0,437.0,956.0,1021.0,27.7,971.0,2425.0
345,PV28,2020JJ00,8.0,7.0,172.0,75.0,9.0,1167.0,26.0,4.0,460.0,1117.0,1220.0,31.7,1103.0,2785.0
346,PV28,2021JJ00,22.0,9.0,185.0,266.0,44.0,1389.0,83.0,23.0,520.0,1103.0,1061.0,24.0,795.0,2098.0
347,PV28,2022JJ00,62.0,23.0,224.0,845.0,73.0,2161.0,282.0,35.0,767.0,1314.0,1363.0,26.4,848.0,2312.0
348,PV28,2023JJ00,2.0,7.0,219.0,21.0,26.0,2156.0,7.0,12.0,762.0,1949.0,2213.0,32.9,1023.0,2885.0
349,PV28,2024JJ00,0.0,6.0,213.0,0.0,25.0,2131.0,0.0,13.0,750.0,1903.0,1995.0,30.2,934.0,2653.0
350,PV29,1990JJ00,17.0,,52.0,8.0,,22.0,4.0,,11.0,,,,,
351,PV29,1991JJ00,9.0,,61.0,4.0,,26.0,2.0,,13.0,,,,,
352,PV29,1992JJ00,30.0,1.0,90.0,17.0,0.0,43.0,8.0,0.0,21.0,,,,,
353,PV29,1993JJ00,11.0,1.0,100.0,6.0,0.0,49.0,3.0,0.0,23.0,,,,,
354,PV29,1994JJ00,4.0,,104.0,2.0,,51.0,1.0,,24.0,,,,,
355,PV29,1995JJ00,30.0,5.0,129.0,36.0,2.0,85.0,14.0,1.0,37.0,,,,,
356,PV29,1996JJ00,5.0,2.0,132.0,4.0,1.0,88.0,1.0,1.0,38.0,,,,,
357,PV29,1997JJ00,17.0,14.0,135.0,13.0,7.0,94.0,5.0,4.0,39.0,,,,,
358,PV29,1998JJ00,,13.0,122.0,,4.0,90.0,,2.0,37.0,,,,,
359,PV29,1999JJ00,12.0,,134.0,17.0,,107.0,7.0,,44.0,,,,,
360,PV29,2000JJ00,4.0,3.0,135.0,7.0,1.0,113.0,3.0,0.0,46.0,,,,,
361,PV29,2001JJ00,3.0,,138.0,5.0,,118.0,2.0,,48.0,,,,,
362,PV29,2002JJ00,10.0,,148.0,21.0,,140.0,9.0,,57.0,99.0,92.0,21.4,764.0,1871.0
363,PV29,2003JJ00,,1.0,147.0,,0.0,139.0,,0.0,57.0,93.0,91.0,18.1,651.0,1586.0
364,PV29,2004JJ00,10.0,,157.0,52.0,,191.0,22.0,,79.0,107.0,113.0,21.2,765.0,1859.0
365,PV29,2005JJ00,2.0,,159.0,4.0,,195.0,4.0,,83.0,142.0,144.0,19.9,738.0,1747.0
366,PV29,2006JJ00,8.0,13.0,154.0,51.0,7.0,239.0,24.0,3.0,103.0,168.0,181.0,22.8,851.0,1994.0
367,PV29,2007JJ00,54.0,7.0,201.0,234.0,6.0,468.0,97.0,2.0,198.0,222.0,242.0,23.2,878.0,2036.0
368,PV29,2008JJ00,13.0,8.0,206.0,29.0,4.0,493.0,12.0,2.0,208.0,383.0,414.0,22.8,845.0,2003.0
369,PV29,2009JJ00,,,206.0,,,493.0,,,208.0,406.0,416.0,22.9,843.0,2003.0
370,PV29,2010JJ00,1.0,1.0,206.0,0.0,0.0,493.0,0.0,0.0,208.0,410.0,364.0,20.0,738.0,1753.0
371,PV29,2011JJ00,9.0,16.0,199.0,48.0,13.0,528.0,21.0,6.0,223.0,452.0,488.0,24.8,916.0,2174.0
372,PV29,2012JJ00,10.0,34.0,175.0,67.0,37.0,557.0,33.0,15.0,241.0,493.0,498.0,24.4,920.0,2141.0
373,PV29,2013JJ00,35.0,,210.0,275.0,,832.0,90.0,,330.0,628.0,658.0,25.5,913.0,2234.0
374,PV29,2014JJ00,4.0,1.0,213.0,29.0,2.0,860.0,13.0,1.0,342.0,737.0,736.0,25.2,880.0,2211.0
375,PV29,2015JJ00,4.0,1.0,216.0,17.0,0.0,877.0,9.0,0.0,351.0,797.0,870.0,28.6,1000.0,2506.0
376,PV29,2016JJ00,2.0,7.0,211.0,13.0,8.0,882.0,5.0,3.0,354.0,761.0,746.0,24.2,853.0,2129.0
377,PV29,2017JJ00,13.0,23.0,201.0,114.0,12.0,984.0,43.0,5.0,391.0,722.0,792.0,25.1,882.0,2198.0
378,PV29,2018JJ00,40.0,2.0,239.0,367.0,4.0,1347.0,116.0,2.0,505.0,951.0,999.0,24.7,827.0,2164.0
379,PV29,2019JJ00,6.0,0.0,245.0,23.0,0.0,1370.0,14.0,0.0,519.0,1189.0,1270.0,28.3,935.0,2479.0
380,PV29,2020JJ00,2.0,1.0,246.0,15.0,36.0,1350.0,8.0,0.0,527.0,1339.0,1463.0,31.8,1089.0,2795.0
381,PV29,2021JJ00,13.0,16.0,243.0,166.0,72.0,1444.0,53.0,31.0,549.0,1220.0,1174.0,25.8,877.0,2263.0
382,PV29,2022JJ00,5.0,0.0,248.0,54.0,0.0,1498.0,17.0,0.0,566.0,1248.0,1295.0,26.2,868.0,2299.0
383,PV29,2023JJ00,10.0,1.0,257.0,131.0,0.0,1629.0,45.0,0.0,610.0,1457.0,1654.0,31.5,1034.0,2757.0
384,PV29,2024JJ00,3.0,6.0,254.0,52.0,38.0,1644.0,18.0,18.0,610.0,1447.0,1517.0,28.7,939.0,2521.0
385,PV30,1990JJ00,1.0,,9.0,0.0,,1.0,0.0,,0.0,,,,,
386,PV30,1991JJ00,8.0,1.0,16.0,7.0,0.0,7.0,4.0,0.0,4.0,,,,,
387,PV30,1992JJ00,,1.0,15.0,,0.0,7.0,,0.0,4.0,,,,,
388,PV30,1993JJ00,11.0,1.0,25.0,11.0,0.0,18.0,6.0,0.0,9.0,,,,,
389,PV30,1994JJ00,6.0,1.0,30.0,8.0,0.0,25.0,3.0,0.0,12.0,,,,,
390,PV30,1995JJ00,10.0,,40.0,12.0,,37.0,6.0,,19.0,,,,,
391,PV30,1996JJ00,5.0,1.0,44.0,10.0,0.0,47.0,4.0,0.0,23.0,,,,,
392,PV30,1997JJ00,,,44.0,,,47.0,,,23.0,,,,,
393,PV30,1998JJ00,4.0,,48.0,6.0,,53.0,2.0,,25.0,,,,,
394,PV30,1999JJ00,2.0,,50.0,4.0,,57.0,2.0,,27.0,,,,,
395,PV30,2000JJ00,,1.0,49.0,,0.0,57.0,,0.0,27.0,,,,,
396,PV30,2001JJ00,,1.0,48.0,,0.0,57.0,,0.0,27.0,,,,,
397,PV30,2002JJ00,4.0,1.0,51.0,9.0,0.0,66.0,4.0,0.0,31.0,33.0,31.0,12.6,514.0,1102.0
398,PV30,2003JJ00,5.0,,56.0,15.0,,81.0,7.0,,37.0,42.0,41.0,12.4,505.0,1090.0
399,PV30,2004JJ00,8.0,27.0,37.0,17.0,26.0,72.0,7.0,13.0,31.0,43.0,45.0,14.5,577.0,1269.0
400,PV30,2005JJ00,16.0,7.0,46.0,47.0,10.0,108.0,17.0,5.0,43.0,56.0,57.0,16.7,609.0,1466.0
401,PV30,2006JJ00,,4.0,42.0,,9.0,99.0,,4.0,39.0,70.0,75.0,22.1,760.0,1936.0
402,PV30,2007JJ00,,1.0,41.0,,0.0,98.0,,0.0,39.0,70.0,76.0,22.5,775.0,1973.0
403,PV30,2008JJ00,5.0,,46.0,25.0,,124.0,10.0,,49.0,72.0,80.0,23.1,798.0,2031.0
404,PV30,2009JJ00,6.0,,52.0,38.0,,162.0,15.0,,64.0,102.0,104.0,20.5,706.0,1792.0
405,PV30,2010JJ00,7.0,,59.0,15.0,,177.0,6.0,,70.0,123.0,110.0,18.1,624.0,1582.0
406,PV30,2011JJ00,6.0,,65.0,37.0,,214.0,12.0,,82.0,138.0,149.0,22.6,776.0,1984.0
407,PV30,2012JJ00,5.0,,70.0,26.0,,240.0,12.0,,93.0,155.0,156.0,21.5,724.0,1886.0
408,PV30,2013JJ00,11.0,,81.0,66.0,,306.0,26.0,,119.0,216.0,226.0,22.4,767.0,1960.0
409,PV30,2014JJ00,10.0,0.0,91.0,51.0,0.0,357.0,19.0,0.0,138.0,253.0,253.0,23.3,793.0,2045.0
410,PV30,2015JJ00,12.0,9.0,94.0,89.0,16.0,430.0,32.0,7.0,164.0,321.0,350.0,27.0,900.0,2363.0
411,PV30,2016JJ00,17.0,0.0,111.0,148.0,0.0,578.0,49.0,0.0,212.0,401.0,394.0,22.7,745.0,1991.0
412,PV30,2017JJ00,0.0,0.0,111.0,0.0,0.0,578.0,0.0,0.0,212.0,413.0,453.0,24.3,784.0,2133.0
413,PV30,2018JJ00,0.0,0.0,111.0,0.0,0.0,578.0,0.0,0.0,212.0,418.0,439.0,23.6,760.0,2067.0
414,PV30,2019JJ00,3.0,0.0,114.0,44.0,0.0,621.0,13.0,0.0,225.0,442.0,472.0,25.3,812.0,2213.0
415,PV30,2020JJ00,10.0,0.0,124.0,84.0,0.0,705.0,34.0,0.0,259.0,541.0,591.0,27.8,898.0,2441.0
416,PV30,2021JJ00,11.0,0.0,135.0,137.0,0.0,842.0,42.0,0.0,301.0,563.0,541.0,22.9,730.0,2008.0
417,PV30,2022JJ00,10.0,1.0,144.0,175.0,1.0,1016.0,53.0,1.0,353.0,594.0,616.0,23.1,719.0,2025.0
418,PV30,2023JJ00,16.0,1.0,159.0,280.0,4.0,1291.0,76.0,2.0,427.0,929.0,1055.0,29.0,845.0,2543.0
419,PV30,2024JJ00,0.0,4.0,155.0,0.0,6.0,1285.0,0.0,2.0,424.0,937.0,982.0,26.3,763.0,2312.0
420,PV31,1990JJ00,,,,,,,,,,,,,,
421,PV31,1991JJ00,,,,,,,,,,,,,,
422,PV31,1992JJ00,,,,,,,,,,,,,,
423,PV31,1993JJ00,,,,,,,,,,,,,,
424,PV31,1994JJ00,,,,,,,,,,,,,,
425,PV31,1995JJ00,,,,,,,,,,,,,,
426,PV31,1996JJ00,,,,,,,,,,,,,,
427,PV31,1997JJ00,,,,,,,,,,,,,,
428,PV31,1998JJ00,,,,,,,,,,,,,,
429,PV31,1999JJ00,,,,,,,,,,,,,,
430,PV31,2000JJ00,,,,,,,,,,,,,,
431,PV31,2001JJ00,,,,,,,,,,,,,,
432,PV31,2002JJ00,,,1.0,,,2.0,,,1.0,,,,,
433,PV31,2003JJ00,,,1.0,,,2.0,,,1.0,,,,,
434,PV31,2004JJ00,,,1.0,,,2.0,,,1.0,,,,,
435,PV31,2005JJ00,,,1.0,,,2.0,,,1.0,,,,,
436,PV31,2006JJ00,2.0,,3.0,13.0,,15.0,5.0,,6.0,,,,,
437,PV31,2007JJ00,,,3.0,,,15.0,,,6.0,,,,,
438,PV31,2008JJ00,,,3.0,,,15.0,,,6.0,,,,,
439,PV31,2009JJ00,,,3.0,,,15.0,,,6.0,,,,,
440,PV31,2010JJ00,,,3.0,,,15.0,,,6.0,,,,,
441,PV31,2011JJ00,,,3.0,,,15.0,,,6.0,,,,,
442,PV31,2012JJ00,4.0,,7.0,21.0,,36.0,9.0,,15.0,,,,,
443,PV31,2013JJ00,,,7.0,,,36.0,,,15.0,,,,,
444,PV31,2014JJ00,,,7.0,,,36.0,,,15.0,,,,,
445,PV31,2015JJ00,1.0,,8.0,4.0,,40.0,3.0,,18.0,,,,,
446,PV31,2016JJ00,,2.0,6.0,,13.0,27.0,,5.0,13.0,,,,,
447,PV31,2017JJ00,,,6.0,,,27.0,,,13.0,,,,,
448,PV31,2018JJ00,,0.0,6.0,,0.0,27.0,,0.0,13.0,,,,,
449,PV31,2019JJ00,0.0,0.0,6.0,0.0,0.0,27.0,0.0,0.0,13.0,,,,,
450,PV31,2020JJ00,2.0,1.0,7.0,25.0,2.0,50.0,9.0,1.0,21.0,,,,,
451,PV31,2021JJ00,12.0,0.0,19.0,189.0,0.0,239.0,52.0,1.0,72.0,83.0,80.0,21.6,622.0,1894.0
452,PV31,2022JJ00,9.0,0.0,28.0,128.0,0.0,367.0,41.0,0.0,114.0,207.0,215.0,27.2,721.0,2381.0
453,PV31,2023JJ00,3.0,0.0,31.0,32.0,0.0,399.0,11.0,0.0,125.0,291.0,331.0,30.5,833.0,2672.0
454,PV31,2024JJ00,0.0,0.0,31.0,0.0,0.0,399.0,0.0,0.0,125.0,285.0,299.0,27.2,747.0,2393.0
