ID,CoalAndCoalProducts,Periods,TotalEnergySupply_1,Production_2,RecoveredProducts_3,ImportsTotal_4,OfWhichFromOutsideEU_5,Exports_6,StocksBeginningOfPeriod_7,StocksEndOfPeriod_8,StockChange_9,StatisticalDifferences_10,TotalConsumption_11,TotalEnergyCompanies_12,CokeOvenPlants_13,IndustryTotal_14,OfWhichIronAndSteel_15,TotalOtherConsumers_16
270,E006461,2005MM03,1075.0,,,1319.0,1319.0,451.0,,,207.0,,1075.0,665.0,262.0,,142.0,6.0
271,E006461,2005KW01,3393.0,,,4727.0,4727.0,1428.0,,,94.0,,3393.0,2204.0,766.0,,401.0,22.0
272,E006461,2005MM04,1077.0,,,1701.0,1701.0,523.0,,,-101.0,,1077.0,681.0,268.0,,124.0,4.0
273,E006461,2005MM05,1077.0,,,2164.0,2164.0,550.0,,,-537.0,,1077.0,685.0,273.0,,116.0,3.0
274,E006461,2005MM06,955.0,,,1173.0,1173.0,750.0,,,532.0,,955.0,576.0,269.0,,107.0,3.0
275,E006461,2005KW02,3109.0,,,5038.0,5038.0,1823.0,,,-106.0,,3109.0,1942.0,810.0,,347.0,10.0
276,E006461,2005MM07,1067.0,,,2889.0,2889.0,462.0,,,-1360.0,,1067.0,681.0,267.0,,116.0,3.0
277,E006461,2005MM08,1138.0,,,1376.0,1376.0,1084.0,,,846.0,,1138.0,730.0,270.0,,135.0,3.0
278,E006461,2005MM09,1083.0,,,1936.0,1936.0,895.0,,,42.0,,1083.0,693.0,269.0,,117.0,4.0
279,E006461,2005KW03,3288.0,,,6201.0,6201.0,2441.0,,,-472.0,,3288.0,2104.0,806.0,,368.0,10.0
280,E006461,2005MM10,1057.0,,,1799.0,1799.0,663.0,,,-79.0,,1057.0,649.0,270.0,,133.0,5.0
281,E006461,2005MM11,1006.0,,,1474.0,1474.0,497.0,,,29.0,,1006.0,617.0,243.0,,138.0,8.0
282,E006461,2005MM12,1164.0,,,1230.0,1230.0,586.0,,,520.0,,1164.0,751.0,262.0,,143.0,8.0
283,E006461,2005KW04,3227.0,,,4503.0,4503.0,1746.0,,,470.0,,3227.0,2017.0,775.0,,414.0,21.0
284,E006461,2006MM01,1199.0,,,1846.0,1846.0,778.0,,,131.0,,1199.0,803.0,253.0,,135.0,8.0
285,E006461,2006MM02,997.0,,,1466.0,1466.0,906.0,,,437.0,,997.0,624.0,230.0,,135.0,8.0
286,E006461,2006MM03,1081.0,,,1737.0,1737.0,1003.0,,,347.0,,1081.0,695.0,258.0,,121.0,7.0
287,E006461,2006KW01,3277.0,,,5049.0,5049.0,2687.0,,,915.0,,3277.0,2122.0,741.0,,391.0,23.0
288,E006461,2006MM04,1020.0,,,1787.0,1787.0,615.0,,,-152.0,,1020.0,626.0,254.0,,134.0,6.0
289,E006461,2006MM05,1109.0,,,1854.0,1854.0,1207.0,,,462.0,,1109.0,698.0,271.0,,136.0,4.0
290,E006461,2006MM06,982.0,,,1798.0,1798.0,1048.0,,,232.0,,982.0,613.0,244.0,,122.0,3.0
291,E006461,2006KW02,3111.0,,,5439.0,5439.0,2870.0,,,542.0,,3111.0,1937.0,769.0,,392.0,13.0
292,E006461,2006MM07,1098.0,,,1712.0,1712.0,1090.0,,,476.0,,1098.0,703.0,257.0,,135.0,3.0
293,E006461,2006MM08,1112.0,,,1603.0,1603.0,461.0,,,-30.0,,1112.0,715.0,258.0,,134.0,5.0
294,E006461,2006MM09,1033.0,,,1992.0,1992.0,511.0,,,-448.0,,1033.0,723.0,248.0,,54.0,8.0
295,E006461,2006KW03,3243.0,,,5307.0,5307.0,2062.0,,,-2.0,,3243.0,2141.0,763.0,,323.0,16.0
296,E006461,2006MM10,989.0,,,1507.0,1507.0,503.0,,,-15.0,,989.0,661.0,263.0,,59.0,6.0
297,E006461,2006MM11,890.0,,,1764.0,1764.0,403.0,,,-471.0,,890.0,572.0,254.0,,58.0,6.0
298,E006461,2006MM12,1164.0,,,1901.0,1901.0,402.0,,,-335.0,,1164.0,795.0,258.0,,104.0,7.0
299,E006461,2006KW04,3043.0,,,5172.0,5172.0,1308.0,,,-821.0,,3043.0,2028.0,775.0,,221.0,19.0
300,E006461,2007MM01,1260.0,,,1840.0,1840.0,730.0,,,150.0,,1260.0,854.0,277.0,,124.0,5.0
301,E006461,2007MM02,1127.0,,,2412.0,2412.0,1428.0,,,143.0,,1127.0,763.0,238.0,,122.0,4.0
302,E006461,2007MM03,1193.0,,,2519.0,2519.0,950.0,,,-376.0,,1193.0,819.0,229.0,,143.0,2.0
303,E006461,2007KW01,3580.0,,,6771.0,6771.0,3108.0,,,-83.0,,3580.0,2436.0,744.0,,389.0,11.0
304,E006461,2007MM04,901.0,,,2092.0,2092.0,1114.0,,,-77.0,,901.0,493.0,252.0,,143.0,13.0
305,E006461,2007MM05,978.0,,,1705.0,1705.0,1088.0,,,361.0,,978.0,591.0,254.0,,122.0,11.0
306,E006461,2007MM06,1005.0,,,1864.0,1864.0,895.0,,,36.0,,1005.0,600.0,264.0,,132.0,9.0
307,E006461,2007KW02,2884.0,,,5661.0,5661.0,3097.0,,,320.0,,2884.0,1684.0,770.0,,397.0,33.0
308,E006461,2007MM07,1145.0,,,2363.0,2363.0,1036.0,,,-182.0,,1145.0,715.0,274.0,,142.0,14.0
309,E006461,2007MM08,1061.0,,,2542.0,2542.0,918.0,,,-563.0,,1061.0,653.0,257.0,,136.0,15.0
310,E006461,2007MM09,1232.0,,,2387.0,2387.0,1513.0,,,358.0,,1232.0,821.0,267.0,,126.0,18.0
311,E006461,2007KW03,3438.0,,,7292.0,7292.0,3467.0,,,-387.0,,3438.0,2189.0,798.0,,404.0,47.0
312,E006461,2007MM10,1267.0,,,2576.0,2576.0,530.0,,,-779.0,,1267.0,846.0,271.0,,138.0,12.0
313,E006461,2007MM11,1160.0,,,1965.0,1965.0,442.0,,,-363.0,,1160.0,766.0,257.0,,125.0,12.0
314,E006461,2007MM12,1176.0,,,1898.0,1898.0,1235.0,,,513.0,,1176.0,755.0,266.0,,143.0,12.0
315,E006461,2007KW04,3603.0,,,6439.0,6439.0,2207.0,,,-629.0,,3603.0,2367.0,794.0,,406.0,36.0
316,E006461,2008MM01,1145.0,,,1807.0,1807.0,678.0,,,16.0,,1145.0,715.0,280.0,,148.0,2.0
317,E006461,2008MM02,1057.0,,,1548.0,1548.0,551.0,,,60.0,,1057.0,686.0,257.0,,112.0,2.0
318,E006461,2008MM03,1218.0,,,1776.0,1776.0,685.0,,,127.0,,1218.0,811.0,274.0,,131.0,2.0
319,E006461,2008KW01,3420.0,,,5131.0,5131.0,1914.0,,,203.0,,3420.0,2212.0,811.0,,391.0,6.0
320,E006461,2008MM04,1146.0,,,1751.0,1751.0,483.0,,,-122.0,,1146.0,738.0,261.0,,143.0,4.0
321,E006461,2008MM05,1150.0,,,1664.0,1664.0,484.0,,,-30.0,,1150.0,712.0,281.0,,151.0,6.0
322,E006461,2008MM06,983.0,,,1431.0,1431.0,500.0,,,52.0,,983.0,585.0,271.0,,120.0,7.0
323,E006461,2008KW02,3279.0,,,4846.0,4846.0,1467.0,,,-100.0,,3279.0,2035.0,813.0,,414.0,17.0
324,E006461,2008MM07,1013.0,,,1154.0,1154.0,542.0,,,401.0,,1013.0,626.0,272.0,,104.0,11.0
325,E006461,2008MM08,960.0,,,955.0,955.0,440.0,,,445.0,,960.0,565.0,278.0,,108.0,9.0
326,E006461,2008MM09,925.0,,,1614.0,1614.0,401.0,,,-288.0,,925.0,526.0,260.0,,131.0,8.0
327,E006461,2008KW03,2898.0,,,3723.0,3723.0,1383.0,,,558.0,,2898.0,1717.0,810.0,,343.0,28.0
328,E006461,2008MM10,1087.0,,,1514.0,1514.0,496.0,,,69.0,,1087.0,718.0,279.0,,87.0,3.0
329,E006461,2008MM11,1063.0,,,2238.0,2238.0,585.0,,,-590.0,,1063.0,731.0,186.0,,142.0,4.0
330,E006461,2008MM12,1049.0,,,1676.0,1676.0,665.0,,,38.0,,1049.0,820.0,164.0,,61.0,4.0
331,E006461,2008KW04,3199.0,,,5428.0,5428.0,1746.0,,,-483.0,,3199.0,2269.0,629.0,,290.0,11.0
332,E006461,2009MM01,1153.0,,,1650.0,1650.0,341.0,,,-156.0,,1153.0,905.0,197.0,,46.0,5.0
333,E006461,2009MM02,972.0,,,1386.0,1386.0,321.0,,,-93.0,,972.0,724.0,177.0,,68.0,3.0
334,E006461,2009MM03,1111.0,,,2249.0,2249.0,416.0,,,-722.0,,1111.0,832.0,195.0,,81.0,3.0
335,E006461,2009KW01,3236.0,,,5285.0,5285.0,1078.0,,,-971.0,,3236.0,2461.0,569.0,,195.0,11.0
336,E006461,2009MM04,985.0,,,2051.0,2051.0,533.0,,,-533.0,,985.0,732.0,197.0,,49.0,7.0
337,E006461,2009MM05,1005.0,,,1729.0,1729.0,383.0,,,-341.0,,1005.0,737.0,204.0,,58.0,6.0
338,E006461,2009MM06,820.0,,,1244.0,1244.0,284.0,,,-140.0,,820.0,577.0,200.0,,37.0,6.0
339,E006461,2009KW02,2810.0,,,5024.0,5024.0,1200.0,,,-1014.0,,2810.0,2046.0,601.0,,144.0,19.0
340,E006461,2009MM07,976.0,,,1388.0,1388.0,290.0,,,-122.0,,976.0,694.0,211.0,,63.0,8.0
341,E006461,2009MM08,982.0,,,1919.0,1919.0,462.0,,,-475.0,,982.0,646.0,212.0,,115.0,9.0
342,E006461,2009MM09,960.0,,,1510.0,1510.0,448.0,,,-102.0,,960.0,625.0,209.0,,116.0,10.0
343,E006461,2009KW03,2918.0,,,4817.0,4817.0,1200.0,,,-699.0,,2918.0,1965.0,632.0,,294.0,27.0
344,E006461,2009MM10,842.0,,,1369.0,1369.0,252.0,,,-275.0,,842.0,524.0,213.0,,102.0,3.0
345,E006461,2009MM11,1008.0,,,1606.0,1606.0,707.0,,,109.0,,1008.0,673.0,221.0,,109.0,5.0
346,E006461,2009MM12,1086.0,,,1842.0,1842.0,294.0,,,-462.0,,1086.0,738.0,247.0,,95.0,6.0
347,E006461,2009KW04,2936.0,,,4817.0,4817.0,1253.0,,,-628.0,,2936.0,1935.0,681.0,,306.0,14.0
348,E006461,2010MM01,1207.0,,,1524.0,1524.0,383.0,,,66.0,,1207.0,853.0,231.0,,119.0,4.0
349,E006461,2010MM02,958.0,,,1372.0,1372.0,441.0,,,27.0,,958.0,675.0,208.0,,72.0,3.0
350,E006461,2010MM03,1040.0,,,2587.0,2587.0,369.0,,,-1178.0,,1040.0,753.0,240.0,,44.0,3.0
351,E006461,2010KW01,3205.0,,,5483.0,5483.0,1193.0,,,-1085.0,,3205.0,2281.0,679.0,,235.0,10.0
352,E006461,2010MM04,800.0,,,1547.0,1547.0,760.0,,,13.0,,800.0,496.0,256.0,,42.0,6.0
353,E006461,2010MM05,886.0,,,1786.0,1786.0,690.0,,,-210.0,,886.0,488.0,269.0,,123.0,6.0
354,E006461,2010MM06,906.0,,,1283.0,1283.0,415.0,,,38.0,,906.0,565.0,250.0,,85.0,6.0
355,E006461,2010KW02,2592.0,,,4616.0,4616.0,1865.0,,,-159.0,,2592.0,1549.0,775.0,,250.0,18.0
356,E006461,2010MM07,892.0,,,1499.0,1499.0,67.0,,,-540.0,,892.0,539.0,264.0,,82.0,7.0
