ID,Periode,Totaal_1,Vetgehalte_2,Eiwitgehalte_3,Room_4,Totaal_5,Vol_6,Halfvol_7,MagerInclKarnemelk_8,Boter_9,Totaal_10,Volvet_11,k_303540_12,k_20EnMinder_13,Kwark_14,Totaal_15,NietMager_16,Mager_17,Totaal_18,MetSuiker_19,ZonderSuiker_20,Koffiemelk_21,Totaal_22,SuikerarmEnOfOntzout_23,NietVerderVerwerkt_24
0,1995MM01,911673,4.58,3.54,2153.0,132787.0,43754.0,55731.0,33302.0,14385.0,58074.0,45771.0,12131.0,173.0,819.0,13201.0,9247.0,3954.0,29399.0,7016.0,15567.0,6816.0,25270.0,12210.0,13060.0
1,1995MM02,837614,4.52,3.48,2318.0,123293.0,40461.0,51014.0,31818.0,12267.0,53422.0,42178.0,11088.0,157.0,893.0,10957.0,8347.0,2610.0,28296.0,7709.0,14697.0,5890.0,24669.0,12220.0,12449.0
2,1995MM03,940080,4.51,3.46,2888.0,136125.0,44354.0,56683.0,35088.0,12703.0,59802.0,45889.0,13700.0,213.0,1041.0,13824.0,11083.0,2742.0,31104.0,8169.0,15806.0,7130.0,27245.0,12732.0,14513.0
3,1995MM04,935334,4.5,3.44,3403.0,132168.0,43930.0,57018.0,31220.0,12706.0,57399.0,43638.0,13523.0,239.0,1036.0,14753.0,12191.0,2563.0,30829.0,7120.0,16901.0,6808.0,26746.0,12668.0,14078.0
4,1995MM05,985105,4.34,3.45,3199.0,136978.0,43117.0,58218.0,35643.0,11983.0,59329.0,45808.0,13307.0,213.0,997.0,17877.0,13526.0,4351.0,31919.0,6979.0,17813.0,7127.0,26828.0,12441.0,14387.0
5,1995MM06,922880,4.26,3.45,2915.0,133752.0,42190.0,55825.0,35737.0,10979.0,54078.0,41474.0,12420.0,183.0,924.0,16663.0,13017.0,3646.0,31016.0,7669.0,17575.0,5771.0,25116.0,13038.0,12078.0
6,1995MM07,936755,4.17,3.39,2635.0,135519.0,39984.0,54314.0,41221.0,11347.0,54379.0,41998.0,12226.0,155.0,900.0,13779.0,10266.0,3513.0,29878.0,8522.0,15420.0,5936.0,24380.0,13174.0,11206.0
7,1995MM08,910401,4.14,3.37,2350.0,142317.0,42560.0,58699.0,41058.0,9482.0,55860.0,42687.0,13022.0,151.0,1029.0,11976.0,9550.0,2426.0,29166.0,5852.0,17072.0,6241.0,26988.0,12498.0,14490.0
8,1995MM09,848163,4.3,3.46,2592.0,135667.0,43041.0,58368.0,34258.0,8814.0,55540.0,42100.0,13255.0,186.0,911.0,8991.0,6831.0,2160.0,30016.0,6794.0,16842.0,6380.0,24379.0,11290.0,13089.0
9,1995MM10,869097,4.39,3.55,2683.0,138915.0,44555.0,59987.0,34373.0,8756.0,59212.0,45160.0,13859.0,193.0,959.0,9647.0,8358.0,1289.0,27017.0,8110.0,12113.0,6794.0,27390.0,12183.0,15207.0
10,1995MM11,839262,4.49,3.59,2663.0,133372.0,43464.0,58348.0,31560.0,8613.0,57993.0,44419.0,13385.0,189.0,939.0,9294.0,7983.0,1311.0,26886.0,7055.0,13262.0,6569.0,25444.0,11522.0,13922.0
11,1995MM12,874602,4.62,3.58,3651.0,127979.0,41713.0,57974.0,28292.0,10310.0,57845.0,44013.0,13650.0,182.0,911.0,12990.0,11456.0,1534.0,27596.0,5699.0,14237.0,7659.0,24423.0,11551.0,12872.0
12,1995JJ00,10810967,4.4,3.48,33452.0,1608876.0,513124.0,682181.0,413571.0,132344.0,682933.0,525135.0,155564.0,2234.0,11358.0,153953.0,121855.0,32097.0,353122.0,86695.0,187306.0,79121.0,308877.0,147526.0,161351.0
13,1996MM01,879467,4.64,3.55,2030.0,132518.0,42289.0,58523.0,31706.0,11480.0,58476.0,45246.0,13055.0,175.0,896.0,11388.0,8993.0,2395.0,27258.0,7285.0,13468.0,6506.0,26149.0,11850.0,14299.0
14,1996MM02,816361,4.63,3.52,2328.0,127462.0,40695.0,56505.0,30262.0,10764.0,55326.0,43805.0,11359.0,162.0,909.0,10191.0,9067.0,1125.0,28362.0,7160.0,15719.0,5484.0,25560.0,12049.0,13511.0
15,1996MM03,865437,4.58,3.47,2840.0,137483.0,42998.0,60240.0,34245.0,11596.0,59032.0,46103.0,12713.0,215.0,1089.0,10722.0,9242.0,1480.0,28269.0,6681.0,14811.0,6777.0,26197.0,12444.0,13753.0
16,1996MM04,919558,4.53,3.41,2755.0,132731.0,40045.0,57826.0,34860.0,13261.0,56763.0,43900.0,12629.0,234.0,1096.0,13840.0,10877.0,2963.0,25986.0,5857.0,14493.0,5635.0,26431.0,12375.0,14056.0
17,1996MM05,978972,4.42,3.4,3010.0,134109.0,40190.0,58523.0,35396.0,14007.0,58804.0,45713.0,12879.0,211.0,1120.0,17580.0,13030.0,4550.0,29053.0,6568.0,16359.0,6127.0,25029.0,12757.0,12272.0
18,1996MM06,935022,4.25,3.42,2639.0,135246.0,38122.0,56613.0,40511.0,11198.0,54955.0,42307.0,12465.0,183.0,1071.0,15229.0,11910.0,3319.0,29962.0,8144.0,15637.0,6181.0,25462.0,12519.0,12943.0
19,1996MM07,963807,4.19,3.42,2030.0,125500.0,37936.0,52260.0,35304.0,12649.0,56140.0,42879.0,13049.0,213.0,1016.0,17761.0,12738.0,5022.0,26918.0,5151.0,16007.0,5760.0,26781.0,13827.0,12954.0
20,1996MM08,905373,4.19,3.4,2193.0,135829.0,40076.0,56839.0,38914.0,9435.0,57846.0,44332.0,13324.0,191.0,1059.0,11664.0,9496.0,2168.0,25526.0,4956.0,14792.0,5779.0,26011.0,14030.0,11981.0
21,1996MM09,843312,4.3,3.5,2668.0,134687.0,40935.0,57531.0,36221.0,6149.0,58447.0,45139.0,13103.0,205.0,1013.0,9272.0,8416.0,856.0,26421.0,4842.0,15657.0,5921.0,25189.0,14464.0,10725.0
22,1996MM10,864811,4.42,3.59,2564.0,139827.0,43140.0,60159.0,36528.0,7655.0,61807.0,48313.0,13294.0,200.0,1030.0,10254.0,8983.0,1271.0,27251.0,6654.0,14209.0,6388.0,26791.0,14405.0,12386.0
23,1996MM11,813902,4.55,3.57,2380.0,134859.0,41581.0,58901.0,34377.0,7850.0,57558.0,45276.0,12061.0,221.0,1028.0,9234.0,8490.0,744.0,26589.0,6763.0,12918.0,6907.0,24664.0,13476.0,11188.0
24,1996MM12,870457,4.63,3.55,3187.0,129951.0,40801.0,58001.0,31149.0,10959.0,56489.0,44228.0,12039.0,222.0,934.0,14111.0,11368.0,2743.0,28094.0,6910.0,14838.0,6346.0,22960.0,12499.0,10461.0
25,1996JJ00,10535200,4.44,3.48,27700.0,1607200.0,484700.0,688700.0,433800.0,127500.0,688100.0,534400.0,151200.0,2400.0,12200.0,152400.0,123500.0,28900.0,327100.0,76800.0,176800.0,73600.0,307100.0,161800.0,145300.0
