ID,SectorBranchesSIC2008,Periods,OutputBasicPrices_1,IntermediateConsumption_2,GrossValueAddedBasicPrices_3,OutputBasicPrices_4,IntermediateConsumption_5,GrossValueAddedBasicPrices_6,OutputBasicPrices_7,IntermediateConsumption_8,GrossValueAddedBasicPrices_9,OutputBasicPrices_10,IntermediateConsumption_11,GrossValueAddedBasicPrices_12,Total_13,WagesAndSalaries_14,EmployersSocialContributions_15,Gross_16,ConsumptionOfFixedCapital_17,Net_18,TaxesLessSubsidies_19,OtherTaxesOnProduction_20,OtherSubsidiesOnProduction_21,GrossValueAddedBasicPrices_22
0,T001081,1995JJ00,594268.0,294994.0,299274.0,846761.0,429648.0,416848.0,,,,70.2,68.7,71.8,165485.0,139141.0,26344.0,132884.0,52442.0,80442.0,905.0,3220.0,2315.0,299274.0
1,T001081,1996JJ00,629836.0,318500.0,311336.0,885890.0,455764.0,430122.0,4.6,6.1,3.2,71.1,69.9,72.4,171905.0,144457.0,27448.0,139347.0,54428.0,84919.0,84.0,3297.0,3213.0,311336.0
2,T001081,1997JJ00,678780.0,345849.0,332931.0,935290.0,486181.0,449279.0,5.6,6.7,4.5,72.6,71.1,74.1,181552.0,153756.0,27796.0,151936.0,56672.0,95264.0,-557.0,3295.0,3852.0,332931.0
3,T001081,1998JJ00,722710.0,367345.0,355365.0,988210.0,518538.0,470044.0,5.7,6.7,4.6,73.1,70.8,75.6,194591.0,155329.0,39262.0,161973.0,59572.0,102401.0,-1199.0,3443.0,4642.0,355365.0
4,T001081,1999JJ00,770165.0,394276.0,375889.0,1040720.0,548894.0,492394.0,5.3,5.9,4.8,74.0,71.8,76.3,209544.0,167029.0,42515.0,168001.0,63554.0,104447.0,-1656.0,3865.0,5521.0,375889.0
5,T001081,2000JJ00,845591.0,439759.0,405832.0,1090567.0,577164.0,514117.0,4.8,5.2,4.4,77.5,76.2,78.9,226691.0,179031.0,47660.0,180596.0,69130.0,111466.0,-1455.0,4152.0,5607.0,405832.0
6,T001081,2001JJ00,896568.0,466160.0,430408.0,1115174.0,589663.0,526221.0,2.3,2.2,2.4,80.4,79.1,81.8,239070.0,191740.0,47330.0,192838.0,74670.0,118168.0,-1500.0,4586.0,6086.0,430408.0
7,T001081,2002JJ00,918460.0,470066.0,448394.0,1112870.0,586216.0,527289.0,-0.2,-0.6,0.2,82.5,80.2,85.0,251061.0,199254.0,51807.0,198663.0,79534.0,119129.0,-1330.0,4789.0,6119.0,448394.0
8,T001081,2003JJ00,931903.0,473287.0,458616.0,1109806.0,582374.0,527938.0,-0.3,-0.7,0.1,84.0,81.3,86.9,257855.0,203442.0,54413.0,202061.0,82760.0,119301.0,-1300.0,4823.0,6123.0,458616.0
9,T001081,2004JJ00,965400.0,492822.0,472578.0,1132087.0,593741.0,538840.0,2.0,2.0,2.1,85.3,83.0,87.7,261594.0,205504.0,56090.0,212691.0,85625.0,127066.0,-1707.0,5025.0,6732.0,472578.0
10,T001081,2005JJ00,1014965.0,523571.0,491394.0,1159922.0,610532.0,550014.0,2.5,2.8,2.1,87.5,85.8,89.3,265786.0,209475.0,56311.0,226522.0,88591.0,137931.0,-914.0,5405.0,6319.0,491394.0
11,T001081,2006JJ00,1075215.0,554629.0,520586.0,1201074.0,633330.0,568437.0,3.5,3.7,3.3,89.5,87.6,91.6,274630.0,219149.0,55481.0,247133.0,92481.0,154652.0,-1177.0,5475.0,6652.0,520586.0
