ID,Perioden,OutputBasisprijzen_1,IntermediairVerbruik_2,Totaal_3,ALandbouwBosbouwEnVisserij_4,BENijverheidGeenBouwEnEnergie_5,BDelfstoffenwinning_6,CIndustrie_7,DEnergievoorziening_8,EWaterbedrijvenEnAfvalbeheer_9,FBouwnijverheid_10,GIHandelVervoerEnHoreca_11,JInformatieEnCommunicatie_12,KFinancieleDienstverlening_13,LVerhuurEnHandelVanOnroerendGoed_14,MNZakelijkeDienstverlening_15,OQOverheidEnZorg_16,RUCultuurRecreatieOverigeDiensten_17,Saldo_18,ProductgebondenBelastingen_19,ProductgebondenSubsidies_20,VerschilToegerekendeEnAfgedragenBtw_21,BrutoBinnenlandsProduct_22,OutputBasisprijzen_23,IntermediairVerbruik_24,Totaal_25,ALandbouwBosbouwEnVisserij_26,BENijverheidGeenBouwEnEnergie_27,BDelfstoffenwinning_28,CIndustrie_29,DEnergievoorziening_30,EWaterbedrijvenEnAfvalbeheer_31,FBouwnijverheid_32,GIHandelVervoerEnHoreca_33,JInformatieEnCommunicatie_34,KFinancieleDienstverlening_35,LVerhuurEnHandelVanOnroerendGoed_36,MNZakelijkeDienstverlening_37,OQOverheidEnZorg_38,RUCultuurRecreatieOverigeDiensten_39,Saldo_40,ProductgebondenBelastingen_41,ProductgebondenSubsidies_42,VerschilToegerekendeEnAfgedragenBtw_43,BrutoBinnenlandsProduct_44,OutputBasisprijzen_45,IntermediairVerbruik_46,TotaalBrutoToegevoegdeWaarde_47,ALandbouwBosbouwEnVisserij_48,BENijverheidGeenBouwEnEnergie_49,BDelfstoffenwinning_50,CIndustrie_51,DEnergievoorziening_52,EWaterbedrijvenEnAfvalbeheer_53,FBouwnijverheid_54,GIHandelVervoerEnHoreca_55,JInformatieEnCommunicatie_56,KFinancieleDienstverlening_57,LVerhuurEnHandelVanOnroerendGoed_58,MNZakelijkeDienstverlening_59,OQOverheidEnZorg_60,RUCultuurRecreatieOverigeDiensten_61,Saldo_62,ProductgebondenBelastingen_63,ProductgebondenSubsidies_64,VerschilToegerekendeEnAfgedragenBtw_65,BrutoBinnenlandsProduct_66,OutputBasisprijzen_67,IntermediairVerbruik_68,TotaalBrutoToegevoegdeWaarde_69,ALandbouwBosbouwEnVisserij_70,BENijverheidGeenBouwEnEnergie_71,BDelfstoffenwinning_72,CIndustrie_73,DEnergievoorziening_74,EWaterbedrijvenEnAfvalbeheer_75,FBouwnijverheid_76,GIHandelVervoerEnHoreca_77,JInformatieEnCommunicatie_78,KFinancieleDienstverlening_79,LVerhuurEnHandelVanOnroerendGoed_80,MNZakelijkeDienstverlening_81,OQOverheidEnZorg_82,RUCultuurRecreatieOverigeDiensten_83,Saldo_84,ProductgebondenBelastingen_85,ProductgebondenSubsidies_86,VerschilToegerekendeEnAfgedragenBtw_87,BrutoBinnenlandsProduct_88,Totaal_89,Lonen_90,SocialePremiesTLVWerkgevers_91,Saldo_92,BelastingenOpProductieEnInvoer_93,Subsidies_94,Bruto_95,VerbruikVanVasteActiva_96,Netto_97,BrutoBinnenlandsProduct_98,Totaal_99,Lonen_100,SocialePremiesTLVWerkgevers_101,Saldo_102,BelastingenOpProductieEnInvoer_103,Subsidies_104,Bruto_105,VerbruikVanVasteActiva_106,Netto_107,BrutoBinnenlandsProduct_108,Totaal_109,Lonen_110,SocialePremiesTLVWerkgevers_111,Saldo_112,BelastingenOpProductieEnInvoer_113,Subsidies_114,Bruto_115,VerbruikVanVasteActiva_116,Netto_117,BrutoBinnenlandsProduct_118,Totaal_119,Lonen_120,SocialePremiesTLVWerkgevers_121,Saldo_122,BelastingenOpProductieEnInvoer_123,Subsidies_124,Bruto_125,VerbruikVanVasteActiva_126,Netto_127,BrutoBinnenlandsProduct_128,Totaal_129,Totaal_130,Huishoudens_131,Overheid_132,Totaal_133,BedrijvenEnHuishoudens_134,Overheid_135,VeranderingInVoorraden_136,Totaal_137,Goederen_138,Diensten_139,Totaal_140,Goederen_141,Diensten_142,BrutoBinnenlandsProduct_143,Totaal_144,Totaal_145,Huishoudens_146,Overheid_147,Totaal_148,BedrijvenEnHuishoudens_149,Overheid_150,VeranderingInVoorraden_151,Totaal_152,Goederen_153,Diensten_154,Totaal_155,Goederen_156,Diensten_157,BrutoBinnenlandsProduct_158,Totaal_159,Totaal_160,Huishoudens_161,Overheid_162,Totaal_163,BedrijvenEnHuishoudens_164,Overheid_165,VeranderingInVoorraden_166,Totaal_167,Goederen_168,Diensten_169,Totaal_170,Goederen_171,Diensten_172,BrutoBinnenlandsProduct_173,Totaal_174,Totaal_175,Huishoudens_176,Overheid_177,Totaal_178,BedrijvenEnHuishoudens_179,Overheid_180,VeranderingInVoorraden_181,Totaal_182,Goederen_183,Diensten_184,Totaal_185,Goederen_186,Diensten_187,BrutoBinnenlandsProduct_188
0,1969JJ00,100566.0,51109.0,49457.0,2882.0,14595.0,866.0,12652.0,849.0,228.0,4385.0,10234.0,1147.0,1675.0,1776.0,2976.0,8814.0,973.0,4122.0,4936.0,814.0,353.0,53932.0,386803.0,186905.0,200109.0,1768.0,43502.0,11936.0,27742.0,2670.0,1430.0,43036.0,32822.0,3549.0,7982.0,7554.0,16730.0,54637.0,7380.0,27379.0,28433.0,1637.0,450.0,226785.0,,,,,,,,,,,,,,,,,,,,,,,26.0,27.3,24.7,163.0,33.5,7.3,45.6,31.8,15.9,10.2,31.2,32.3,21.0,23.5,17.8,16.1,13.2,15.1,17.4,49.7,,23.8,28901.0,22564.0,6337.0,4329.0,5348.0,1019.0,20702.0,6303.0,14399.0,53932.0,,,,28193.0,29991.0,3029.0,,26130.0,,226785.0,,,,,,,,,,,,,,15.4,17.8,33.6,,24.1,,23.8,53634.0,37973.0,28434.0,9539.0,14620.0,11342.0,3278.0,1041.0,21155.0,16387.0,4768.0,20857.0,17212.0,3645.0,53932.0,232702.0,167779.0,117166.0,50105.0,60810.0,47464.0,13221.0,2792.0,56272.0,39590.0,18458.0,58092.0,42235.0,15842.0,226785.0,,,,,,,,,,,,,,,,23.0,22.6,24.3,19.0,24.0,23.9,24.8,,37.6,41.4,25.8,35.9,40.8,23.0,23.8
1,1970JJ00,114597.0,58949.0,55648.0,2974.0,16095.0,1094.0,13685.0,1059.0,257.0,4970.0,11582.0,1270.0,1967.0,2008.0,3523.0,10187.0,1072.0,4770.0,5810.0,1040.0,73.0,60491.0,414511.0,202228.0,212304.0,1960.0,45714.0,14527.0,28665.0,3060.0,1487.0,43086.0,35426.0,3701.0,8988.0,8341.0,18333.0,57141.0,7448.0,29006.0,30155.0,1746.0,479.0,240586.0,7.2,8.2,6.1,10.8,5.1,21.7,3.3,14.6,3.9,0.1,7.9,4.3,12.6,10.4,9.6,4.6,0.9,5.9,6.1,6.6,,6.1,27.6,29.1,26.2,151.8,35.2,7.5,47.7,34.6,17.3,11.5,32.7,34.3,21.9,24.1,19.2,17.8,14.4,16.4,19.3,59.6,,25.1,33111.0,25826.0,7285.0,4960.0,6248.0,1288.0,22420.0,7336.0,15084.0,60491.0,,,,29625.0,31752.0,3308.0,,28020.0,,240586.0,,,,5.1,5.9,9.2,,7.2,,6.1,,,,16.7,19.7,38.9,,26.2,,25.1,60887.0,42700.0,31765.0,10935.0,17453.0,13753.0,3700.0,734.0,25174.0,19609.0,5565.0,25570.0,21157.0,4413.0,60491.0,247567.0,178131.0,124662.0,52857.0,66733.0,52833.0,13790.0,1459.0,63662.0,45220.0,20193.0,66231.0,48318.0,17767.0,240586.0,6.4,6.2,6.4,5.5,9.7,11.3,4.3,,13.1,14.2,9.4,14.0,14.4,12.2,6.1,24.6,24.0,25.5,20.7,26.2,26.0,26.8,,39.5,43.4,27.6,38.6,43.8,24.8,25.1
2,1971JJ00,128306.0,65503.0,62803.0,3136.0,17857.0,1338.0,14924.0,1307.0,288.0,5697.0,12862.0,1415.0,2310.0,2201.0,4057.0,12081.0,1187.0,5718.0,6647.0,929.0,218.0,68739.0,435121.0,212955.0,222113.0,2206.0,47716.0,17316.0,29354.0,3496.0,1574.0,41751.0,37060.0,3788.0,9760.0,8474.0,19795.0,60327.0,7671.0,30046.0,31453.0,1878.0,486.0,251496.0,5.0,5.3,4.6,12.6,4.4,19.2,2.4,14.3,5.8,-3.1,4.6,2.4,8.6,1.6,8.0,5.6,3.0,3.6,4.3,7.6,,4.5,29.5,30.8,28.3,142.2,37.4,7.7,50.8,37.4,18.3,13.6,34.7,37.4,23.7,26.0,20.5,20.0,15.5,19.0,21.1,49.5,,27.3,38097.0,29460.0,8637.0,5910.0,7124.0,1214.0,24732.0,8708.0,16024.0,68739.0,,,,30599.0,33094.0,3568.0,,30044.0,,251496.0,,,,3.3,4.2,7.8,,7.2,,4.5,,,,19.3,21.5,34.0,,29.0,,27.3,68491.0,48277.0,35327.0,12950.0,19947.0,15654.0,4293.0,267.0,28427.0,22026.0,6401.0,28179.0,23315.0,4864.0,68739.0,253670.0,184276.0,127750.0,56173.0,68526.0,54000.0,14405.0,-107.0,69523.0,49622.0,21677.0,69018.0,50396.0,18436.0,251496.0,2.5,3.4,2.5,6.3,2.7,2.2,4.5,,9.2,9.7,7.3,4.2,4.3,3.8,4.5,27.0,26.2,27.7,23.1,29.1,29.0,29.8,,40.9,44.4,29.5,40.8,46.3,26.4,27.3
3,1972JJ00,139779.0,68907.0,70872.0,3429.0,20127.0,1533.0,16556.0,1712.0,326.0,6249.0,13894.0,1630.0,2822.0,2642.0,4567.0,14150.0,1362.0,6348.0,7494.0,1146.0,125.0,77345.0,445268.0,214961.0,230513.0,2255.0,51139.0,20409.0,30937.0,4122.0,1590.0,39281.0,38204.0,3853.0,10753.0,9275.0,20293.0,62140.0,7884.0,30803.0,32323.0,1959.0,499.0,260734.0,2.3,0.9,3.8,2.2,7.2,17.9,5.4,17.9,1.0,-5.9,3.1,1.7,10.2,9.5,2.5,3.0,2.8,2.5,2.8,4.3,,3.7,31.4,32.1,30.7,152.1,39.4,7.5,53.5,41.5,20.5,15.9,36.4,42.3,26.2,28.5,22.5,22.8,17.3,20.6,23.2,58.5,,29.7,42737.0,32848.0,9889.0,6605.0,8074.0,1469.0,28003.0,10010.0,17993.0,77345.0,,,,31443.0,34116.0,3735.0,,31866.0,,260734.0,,,,2.8,3.1,4.7,,6.1,,3.7,,,,21.0,23.7,39.3,,31.4,,29.7,74795.0,54146.0,39054.0,15092.0,20825.0,16532.0,4293.0,-176.0,32006.0,25159.0,6847.0,29456.0,24279.0,5177.0,77345.0,255485.0,190860.0,131942.0,58628.0,65720.0,52569.0,13056.0,-1474.0,76286.0,55448.0,22283.0,70806.0,51883.0,18595.0,260734.0,0.7,3.6,3.3,4.4,-4.1,-2.7,-9.4,,9.7,11.7,2.8,2.6,3.0,0.9,3.7,29.3,28.4,29.6,25.7,31.7,31.4,32.9,,42.0,45.4,30.7,41.6,46.8,27.8,29.7
4,1973JJ00,160274.0,79304.0,80970.0,3861.0,22729.0,1673.0,18718.0,1957.0,381.0,6860.0,15762.0,1904.0,3528.0,3130.0,5260.0,16393.0,1543.0,6848.0,8429.0,1581.0,658.0,88476.0,469790.0,226728.0,243282.0,2403.0,54732.0,21460.0,33166.0,4423.0,1673.0,38734.0,40255.0,4195.0,12350.0,10233.0,21594.0,64147.0,8121.0,31628.0,33315.0,2062.0,507.0,274549.0,5.5,5.5,5.5,6.6,7.0,5.2,7.2,7.3,5.2,-1.4,5.4,8.9,14.8,10.3,6.4,3.2,3.0,2.7,3.1,5.2,,5.3,34.1,35.0,33.3,160.7,41.5,7.8,56.4,44.2,22.8,17.7,39.2,45.4,28.6,30.6,24.4,25.6,19.0,21.7,25.3,76.7,,32.2,49558.0,37369.0,12189.0,7176.0,9110.0,1934.0,31742.0,11351.0,20391.0,88476.0,,,,32405.0,35248.0,3903.0,,33544.0,,274549.0,,,,3.1,3.3,4.5,,5.3,,5.3,,,,22.1,25.8,49.6,,33.8,,32.2,84886.0,61979.0,44733.0,17246.0,22695.0,18199.0,4496.0,212.0,38698.0,30935.0,7763.0,35108.0,29097.0,6011.0,88476.0,265240.0,199193.0,138499.0,60271.0,66120.0,53618.0,12439.0,-441.0,85429.0,63395.0,23032.0,77041.0,56873.0,19525.0,274549.0,3.8,4.4,5.0,2.8,0.6,2.0,-4.7,,12.0,14.3,3.4,8.8,9.6,5.0,5.3,32.0,31.1,32.3,28.6,34.3,33.9,36.1,,45.3,48.8,33.7,45.6,51.2,30.8,32.2
5,1974JJ00,189927.0,97430.0,92497.0,3910.0,26290.0,2191.0,21477.0,2196.0,426.0,7216.0,17771.0,2161.0,4180.0,3587.0,6131.0,19480.0,1771.0,7165.0,8893.0,1728.0,797.0,100459.0,486682.0,234605.0,252320.0,2653.0,57836.0,23244.0,35048.0,4631.0,1655.0,36346.0,40789.0,4297.0,13018.0,11260.0,22842.0,66530.0,8474.0,31166.0,33201.0,2154.0,501.0,283551.0,3.6,3.5,3.7,10.4,5.7,8.3,5.7,4.7,-1.0,-6.2,1.3,2.4,5.4,10.0,5.8,3.7,4.3,-1.5,-0.3,4.5,,3.3,39.0,41.5,36.7,147.4,45.5,9.4,61.3,47.4,25.7,19.9,43.6,50.3,32.1,31.9,26.8,29.3,20.9,23.0,26.8,80.2,,35.4,57562.0,43185.0,14377.0,7533.0,9673.0,2140.0,35364.0,13280.0,22084.0,100459.0,,,,31976.0,35252.0,4097.0,,35101.0,,283551.0,,,,-1.3,0.0,5.0,,4.6,,3.3,,,,23.6,27.4,52.2,,37.8,,35.4,97045.0,71136.0,50566.0,20570.0,23974.0,19030.0,4944.0,1935.0,50713.0,41685.0,9028.0,47299.0,39875.0,7424.0,100459.0,271574.0,205184.0,141846.0,63008.0,62630.0,50304.0,12237.0,3277.0,87769.0,64887.0,24017.0,77449.0,56281.0,21114.0,283551.0,2.4,3.0,2.4,4.5,-5.3,-6.2,-1.6,,2.7,2.4,4.3,0.5,-1.0,8.1,3.3,35.7,34.7,35.6,32.6,38.3,37.8,40.4,,57.8,64.2,37.6,61.1,70.9,35.2,35.4
6,1975JJ00,204112.0,101885.0,102227.0,4493.0,27673.0,3751.0,21224.0,2209.0,489.0,7639.0,19078.0,2417.0,4828.0,4075.0,6846.0,23162.0,2016.0,8154.0,10090.0,1936.0,739.0,111120.0,481980.0,229784.0,252775.0,3021.0,55667.0,25142.0,33016.0,4787.0,1679.0,33842.0,39981.0,4281.0,13675.0,12110.0,22850.0,69846.0,8531.0,31357.0,33585.0,2228.0,508.0,284174.0,-1.0,-2.1,0.2,13.9,-3.8,8.2,-5.8,3.4,1.4,-6.9,-2.0,-0.4,5.0,7.6,0.0,5.0,0.7,0.6,1.2,3.4,,0.2,42.3,44.3,40.4,148.7,49.7,14.9,64.3,46.1,29.1,22.6,47.7,56.5,35.3,33.6,30.0,33.2,23.6,26.0,30.0,86.9,,39.1,65226.0,48942.0,16284.0,8446.0,10886.0,2440.0,37448.0,15377.0,22071.0,111120.0,,,,32031.0,35686.0,4300.0,,36512.0,,284174.0,,,,0.2,1.2,5.0,,4.0,,0.2,,,,26.4,30.5,56.7,,42.1,,39.1,107563.0,81085.0,56819.0,24266.0,26118.0,20092.0,6026.0,360.0,52132.0,42408.0,9724.0,48575.0,40569.0,8006.0,111120.0,273303.0,212121.0,145975.0,65865.0,61491.0,47819.0,13484.0,101.0,84404.0,62311.0,23248.0,74916.0,54220.0,20866.0,284174.0,0.6,3.4,2.9,4.5,-1.8,-4.9,10.2,,-3.8,-4.0,-3.2,-3.3,-3.7,-1.2,0.2,39.4,38.2,38.9,36.8,42.5,42.0,44.7,,61.8,68.1,41.8,64.8,74.8,38.4,39.1
7,1976JJ00,232526.0,116338.0,116188.0,5170.0,31706.0,4922.0,23792.0,2414.0,578.0,8478.0,21141.0,2739.0,5596.0,4673.0,8124.0,26247.0,2314.0,9282.0,12039.0,2757.0,1153.0,126623.0,505001.0,241627.0,263898.0,3402.0,58918.0,26201.0,35138.0,4932.0,1771.0,33568.0,41295.0,4476.0,14335.0,12497.0,24469.0,72198.0,8586.0,32500.0,34877.0,2333.0,528.0,296511.0,4.8,5.2,4.4,12.6,5.8,4.2,6.4,3.0,5.5,-0.8,3.3,4.6,4.8,3.2,7.1,3.4,0.6,3.6,3.8,4.7,,4.3,46.0,48.1,44.0,152.0,53.8,18.8,67.7,48.9,32.6,25.3,51.2,61.2,39.0,37.4,33.2,36.4,27.0,28.6,34.5,118.2,,42.7,72630.0,54215.0,18415.0,9615.0,13055.0,3440.0,44378.0,17427.0,26951.0,126623.0,,,,32861.0,37148.0,4700.0,,37835.0,,296511.0,,,,2.6,4.1,9.3,,3.6,,4.3,,,,29.3,35.1,73.2,,46.1,,42.7,122170.0,92687.0,65137.0,27550.0,28808.0,21968.0,6840.0,675.0,60991.0,50176.0,10815.0,56538.0,47223.0,9315.0,126623.0,283708.0,221470.0,153048.0,68094.0,62051.0,47902.0,13938.0,673.0,92566.0,69549.0,23523.0,81566.0,59386.0,22031.0,296511.0,3.8,4.4,4.8,3.4,0.9,0.2,3.4,,9.7,11.6,1.2,8.9,9.5,5.6,4.3,43.1,41.9,42.6,40.5,46.4,45.9,49.1,,65.9,72.1,46.0,69.3,79.5,42.3,42.7
8,1977JJ00,250581.0,125524.0,125057.0,4706.0,33158.0,5574.0,24464.0,2490.0,630.0,8913.0,23124.0,3042.0,6224.0,5132.0,9220.0,28978.0,2560.0,10938.0,14203.0,3265.0,900.0,136895.0,515298.0,246717.0,269099.0,3456.0,58745.0,26441.0,35039.0,4842.0,1689.0,32198.0,43730.0,4673.0,14971.0,12764.0,25095.0,74426.0,8263.0,33977.0,36401.0,2421.0,551.0,302981.0,2.0,2.1,2.0,1.6,-0.3,0.9,-0.3,-1.8,-4.7,-4.1,5.9,4.4,4.4,2.1,2.6,3.1,-3.8,4.5,4.4,3.8,,2.2,48.6,50.9,46.5,136.2,56.4,21.1,69.8,51.4,37.3,27.7,52.9,65.1,41.6,40.2,36.7,38.9,31.0,32.2,39.0,134.9,,45.2,79385.0,59601.0,19784.0,11541.0,15411.0,3870.0,45969.0,19160.0,26809.0,136895.0,,,,34912.0,38838.0,4692.0,,39211.0,,302981.0,,,,6.2,4.5,-0.2,,3.6,,2.2,,,,33.1,39.7,82.5,,48.9,,45.2,135300.0,102373.0,71626.0,30747.0,32584.0,25798.0,6786.0,343.0,62408.0,51228.0,11180.0,60813.0,50570.0,10243.0,136895.0,294873.0,229570.0,158006.0,71258.0,65918.0,52883.0,12942.0,-92.0,91599.0,69072.0,22885.0,83598.0,60804.0,22694.0,302981.0,3.9,3.7,3.2,4.6,6.2,10.4,-7.1,,-1.0,-0.7,-2.7,2.5,2.4,3.0,2.2,45.9,44.6,45.3,43.1,49.4,48.8,52.4,,68.1,74.2,48.9,72.7,83.2,45.1,45.2
9,1978JJ00,267657.0,132396.0,135261.0,5004.0,34106.0,5290.0,25526.0,2604.0,686.0,9609.0,25104.0,3348.0,7234.0,5854.0,10402.0,31768.0,2832.0,11622.0,15259.0,3637.0,957.0,147840.0,531442.0,255377.0,276512.0,3799.0,59096.0,24069.0,35876.0,5035.0,1729.0,30406.0,45786.0,4944.0,16400.0,13722.0,26399.0,75777.0,8357.0,35030.0,37698.0,2544.0,572.0,311434.0,3.1,3.5,2.8,9.9,0.6,-9.0,2.4,4.0,2.4,-5.6,4.7,5.8,9.5,7.5,5.2,1.8,1.1,3.1,3.6,5.1,,2.8,50.4,51.8,48.9,131.7,57.7,22.0,71.2,51.7,39.7,31.6,54.8,67.7,44.1,42.7,39.4,41.9,33.9,33.2,40.5,142.9,,47.5,86211.0,64741.0,21470.0,12181.0,16531.0,4350.0,49448.0,21129.0,28319.0,147840.0,,,,35810.0,40209.0,4991.0,,40660.0,,311434.0,,,,2.6,3.5,6.4,,3.7,,2.8,,,,34.0,41.1,87.2,,52.0,,47.5,147537.0,111836.0,78038.0,33798.0,35427.0,28014.0,7413.0,274.0,64385.0,52294.0,12091.0,64082.0,52799.0,11283.0,147840.0,304373.0,237807.0,164072.0,73397.0,67409.0,54024.0,13285.0,-211.0,93904.0,70674.0,23667.0,86498.0,63109.0,23121.0,311434.0,3.2,3.6,3.8,3.0,2.3,2.2,2.7,,2.5,2.3,3.4,3.5,3.8,1.9,2.8,48.5,47.0,47.6,46.0,52.6,51.9,55.8,,68.6,74.0,51.1,74.1,83.7,48.8,47.5
