ID,Sources,Periods,Total_1,UrbanRoads_2,RuralRoads_3,Motorways_4,Total_5,UrbanRoads_6,RuralRoads_7,Motorways_8,Total_9,UrbanRoads_10,RuralRoads_11,Motorways_12,Total_13,UrbanRoads_14,RuralRoads_15,Motorways_16,Total_17,UrbanRoads_18,RuralRoads_19,Motorways_20,Total_21,UrbanRoads_22,RuralRoads_23,Motorways_24,Total_25,UrbanRoads_26,RuralRoads_27,Motorways_28,Total_29,UrbanRoads_30,RuralRoads_31,Motorways_32,Total_33,UrbanRoads_34,RuralRoads_35,Motorways_36,Total_37,UrbanRoads_38,RuralRoads_39,Motorways_40,Total_41,UrbanRoads_42,RuralRoads_43,Motorways_44,Total_45,UrbanRoads_46,RuralRoads_47,Motorways_48,Total_49,UrbanRoads_50,RuralRoads_51,Motorways_52,Total_53,UrbanRoads_54,RuralRoads_55,Motorways_56,Total_57,UrbanRoads_58,RuralRoads_59,Motorways_60,Total_61,UrbanRoads_62,RuralRoads_63,Motorways_64,Total_65,UrbanRoads_66,RuralRoads_67,Motorways_68
0,Totot,1980JJ00,1132.5,614.5,252.0,265.9,257.45,166.57,53.93,36.96,209.45,123.14,51.53,34.78,277.42,78.99,87.13,111.29,23.82,13.64,6.03,4.14,15.35,6.31,4.64,4.4,19980,8091,6548,5340.0,0.53,0.18,0.2,0.15,9.91,5.87,2.43,1.62,15.3,25.3,8.5,13.3,2.83,5.07,1.73,1.74,3.7,3.3,2.9,5.6,0.322,0.562,0.203,0.207,0.207,0.26,0.156,0.219,270,333,220,266.0,0.007,0.007,0.007,0.008,0.134,0.242,0.082,0.081
1,Totot,1985JJ00,949.3,536.0,183.5,229.8,231.83,153.02,42.97,35.83,185.58,111.25,40.66,33.66,271.28,77.17,80.14,113.97,19.87,10.56,5.09,4.21,11.26,4.48,3.33,3.45,20901,8711,6231,5959.0,0.58,0.2,0.2,0.18,8.68,5.28,1.88,1.53,11.6,18.7,6.2,9.7,2.27,3.88,1.38,1.42,3.3,2.7,2.7,4.8,0.243,0.369,0.173,0.178,0.138,0.157,0.113,0.145,256,304,212,251.0,0.007,0.007,0.007,0.008,0.106,0.184,0.064,0.065
2,Totot,1990JJ00,710.4,402.4,148.2,159.8,192.97,121.01,42.66,29.3,156.43,93.58,37.19,25.67,255.12,70.37,71.25,113.51,15.25,7.11,4.33,3.81,12.78,4.48,3.76,4.54,23938,9074,7068,7796.0,0.31,0.14,0.1,0.08,7.61,4.67,1.77,1.17,7.2,13.4,4.2,4.8,1.58,3.11,1.04,0.77,2.6,2.3,2.0,3.4,0.154,0.236,0.121,0.115,0.129,0.149,0.105,0.137,242,302,198,235.0,0.003,0.005,0.003,0.002,0.077,0.155,0.05,0.035
3,Totot,1991JJ00,615.3,315.6,140.9,158.9,164.26,98.13,37.98,28.15,131.46,73.5,33.07,24.89,246.28,62.05,68.3,115.94,14.55,6.31,4.15,4.09,13.02,4.23,3.81,4.97,24063,8169,7201,8693.0,0.41,0.16,0.13,0.11,6.44,3.69,1.6,1.15,6.2,12.1,3.9,4.3,1.33,2.83,0.92,0.68,2.5,2.4,1.9,3.1,0.147,0.243,0.115,0.111,0.132,0.163,0.106,0.135,244,314,200,236.0,0.004,0.006,0.004,0.003,0.065,0.142,0.044,0.031
4,Totot,1992JJ00,591.4,300.9,140.4,150.1,153.75,91.97,35.95,25.83,123.56,69.3,31.43,22.83,239.45,60.17,66.29,112.99,14.07,5.9,4.0,4.17,13.5,4.27,3.9,5.33,25220,8426,7504,9290.0,0.53,0.21,0.17,0.14,6.13,3.52,1.54,1.07,5.7,11.1,3.7,3.8,1.19,2.57,0.83,0.58,2.3,2.2,1.8,2.9,0.136,0.218,0.106,0.107,0.13,0.158,0.104,0.136,243,312,199,238.0,0.005,0.008,0.005,0.004,0.059,0.13,0.041,0.027
5,Totot,1993JJ00,544.2,268.4,139.4,136.4,138.75,82.2,33.82,22.73,111.73,61.91,29.78,20.04,221.71,54.87,62.45,104.39,12.94,5.26,3.72,3.97,13.34,4.08,3.85,5.4,25187,8129,7682,9377.0,0.61,0.24,0.21,0.16,5.61,3.17,1.49,0.95,5.2,10.3,3.6,3.5,1.08,2.39,0.77,0.52,2.1,2.1,1.6,2.7,0.125,0.203,0.096,0.102,0.129,0.157,0.099,0.139,243,313,197,241.0,0.006,0.009,0.005,0.004,0.054,0.122,0.038,0.024
6,Totot,1994JJ00,512.5,250.8,135.4,126.3,128.25,76.11,31.67,20.47,103.61,57.6,27.98,18.03,206.63,50.92,58.07,97.63,12.01,4.75,3.46,3.81,12.91,3.83,3.69,5.39,25522,8099,7764,9659.0,0.7,0.27,0.24,0.19,5.27,2.98,1.42,0.86,4.8,9.6,3.4,3.2,0.98,2.21,0.71,0.45,2.0,2.0,1.5,2.4,0.114,0.182,0.087,0.095,0.122,0.147,0.093,0.135,242,311,196,241.0,0.007,0.011,0.006,0.005,0.05,0.115,0.036,0.022
7,Totot,1995JJ00,489.5,249.2,123.1,117.2,117.42,71.32,27.79,18.31,95.71,55.01,24.55,16.16,193.51,49.23,51.8,92.48,11.05,4.31,3.06,3.68,11.9,3.45,3.26,5.19,25499,8323,7239,9937.0,0.76,0.32,0.24,0.21,4.99,2.92,1.28,0.79,4.7,9.1,3.4,2.9,0.91,2.02,0.67,0.39,1.8,1.8,1.4,2.3,0.105,0.158,0.084,0.09,0.113,0.127,0.089,0.126,243,305,198,242.0,0.007,0.012,0.007,0.005,0.048,0.107,0.035,0.019
8,Totot,1996JJ00,472.4,233.0,125.7,113.7,108.3,64.91,26.58,16.81,89.15,50.52,23.72,14.91,182.41,45.49,49.09,87.84,10.12,3.79,2.82,3.52,8.91,2.46,2.43,4.02,25754,8068,7407,10279.0,0.79,0.32,0.25,0.22,4.74,2.73,1.27,0.74,4.4,8.8,3.3,2.7,0.84,1.91,0.63,0.35,1.7,1.7,1.3,2.1,0.095,0.143,0.074,0.083,0.083,0.093,0.064,0.095,241,305,195,243.0,0.007,0.012,0.007,0.005,0.044,0.103,0.034,0.017
9,Totot,1997JJ00,447.3,214.3,122.8,110.1,98.78,58.73,24.77,15.29,81.87,46.02,22.24,13.61,172.12,42.02,45.68,84.43,9.36,3.35,2.55,3.46,4.18,1.12,1.13,1.93,26288,7860,7481,10946.0,0.81,0.33,0.26,0.23,4.45,2.53,1.23,0.69,4.1,8.3,3.2,2.4,0.75,1.78,0.58,0.3,1.6,1.6,1.2,1.9,0.085,0.129,0.066,0.077,0.038,0.043,0.029,0.043,240,304,195,242.0,0.007,0.013,0.007,0.005,0.041,0.098,0.032,0.015
