ID,RegioS,ContactMetHuisarts_1,ContactMetSpecialist_2,ContactMetTandarts_3,ContactMetFysiotherapeut_4,ContactMetAlternatieveGenezer_5,ContactMetRIAGG_6,MedicijngebruikVoorgeschreven_7,MedicijngebruikNietVoorgeschreven_8,TotaalMannenVrouwen20JaarEnOuder_9,Mannen20JaarEnOuder_10,Vrouwen20JaarEnOuder_11,TotaalMannenVrouwen20JaarEnOuder_12,Mannen20JaarEnOuder_13,Vrouwen20JaarEnOuder_14,TotaalMannenVrouwen20JaarEnOuder_15,Mannen20JaarEnOuder_16,Vrouwen20JaarEnOuder_17,TotaalMannenVrouwen20JaarEnOuder_18,Mannen20JaarEnOuder_19,Vrouwen20JaarEnOuder_20,ZeerGoedeGezondheid_21,GoedeGezondheid_22,MinderGoedeGezondheid_23,Rokers12JaarEnOuder_24,RokersMannen12JaarEnOuder_25,RokersVrouwen12JaarEnOuder_26,ZwareRokers12JaarEnOuder_27,ZwareRokersMannen12JaarEnOuder_28,ZwareRokersVrouwen12JaarEnOuder_29,ContactMetHuisarts_30,ContactMetSpecialist_31,ContactMetTandarts_32,ContactMetFysiotherapeut_33,ContactMetAlternatieveGenezer_34,ContactMetRIAGG_35,MedicijngebruikVoorgeschreven_36,MedicijngebruikNietVoorgeschreven_37,TotaalMannenVrouwen20JaarEnOuder_38,Mannen20JaarEnOuder_39,Vrouwen20JaarEnOuder_40,TotaalMannenVrouwen20JaarEnOuder_41,Mannen20JaarEnOuder_42,Vrouwen20JaarEnOuder_43,TotaalMannenVrouwen20JaarEnOuder_44,Mannen20JaarEnOuder_45,Vrouwen20JaarEnOuder_46,TotaalMannenVrouwen20JaarEnOuder_47,Mannen20JaarEnOuder_48,Vrouwen20JaarEnOuder_49,ZeerGoedeGezondheid_50,GoedeGezondheid_51,MinderGoedeGezondheid_52,Rokers12JaarEnOuder_53,RokersMannen12JaarEnOuder_54,RokersVrouwen12JaarEnOuder_55,ZwareRokers12JaarEnOuder_56,ZwareRokersMannen12JaarEnOuder_57,ZwareRokersVrouwen12JaarEnOuder_58
19,110 ,75,37,80,19,6,1,35,35,1,1,1,49,44,54,50,55,45,11,10,12,27,53,19,33,37,28,9,11,7,75,37,80,19,6,1,35,35,1,1,1,49,44,54,50,55,45,11,10,12,28,53,19,33,37,28,9,11,6
20,140 ,73,37,80,15,5,2,36,38,1,1,2,54,49,58,45,50,39,9,8,10,25,57,18,30,34,26,8,9,7,73,37,80,15,5,2,35,38,2,1,2,54,50,59,44,49,39,9,8,10,26,57,17,31,35,27,8,9,7
21,160 ,70,36,79,16,7,1,36,44,3,1,6,49,44,55,48,56,39,6,5,7,30,52,18,29,34,25,6,10,2,71,36,78,17,7,1,37,45,3,1,5,50,45,54,47,54,41,7,6,7,30,52,18,30,36,25,6,11,2
22,180 ,75,40,79,17,8,1,37,37,1,0,2,48,42,53,51,58,45,10,10,10,23,55,22,30,34,24,7,10,4,75,39,81,17,7,1,36,38,1,1,2,49,44,54,49,56,43,10,10,10,24,55,21,30,34,25,7,10,5
23,190 ,73,34,77,16,6,1,35,39,2,2,2,54,51,57,44,47,40,10,8,12,27,54,19,33,36,30,8,10,7,73,34,78,16,6,1,35,39,2,2,2,54,51,57,44,47,40,10,8,11,27,54,18,33,36,30,9,10,7
24,200 ,77,37,80,16,5,1,36,35,2,1,2,47,43,51,52,56,47,14,11,17,25,55,20,32,38,26,9,11,8,78,39,77,16,4,1,39,35,1,1,2,46,41,50,53,57,48,16,12,20,23,55,22,31,38,25,9,11,7
25,210 ,73,37,84,15,8,2,30,35,1,2,1,59,53,65,40,46,34,7,6,7,25,57,19,34,36,32,8,11,6,73,37,83,15,8,2,32,35,1,1,1,58,51,64,41,48,35,7,7,7,24,56,19,34,36,32,8,11,6
26,220 ,72,37,82,16,8,0,30,33,3,2,4,53,48,57,44,50,39,9,7,10,26,56,18,30,35,25,9,10,8,73,38,79,17,8,0,33,33,3,3,4,52,47,56,45,50,40,9,7,11,24,56,20,29,34,24,10,11,9
27,230 ,72,32,81,18,8,2,33,39,2,2,2,60,57,62,38,41,36,8,7,8,28,53,19,32,36,29,8,8,8,72,33,80,19,9,2,36,39,2,2,2,59,56,61,39,42,37,8,7,8,27,53,19,32,35,29,8,8,8
28,240 ,77,41,76,19,7,1,33,40,2,1,3,62,57,66,37,43,31,9,8,11,27,53,20,33,36,30,8,10,7,77,43,74,19,7,1,34,38,1,0,2,59,55,62,40,44,36,11,9,12,27,51,22,33,35,31,9,10,8
29,270 ,76,33,76,16,10,1,31,37,1,2,0,51,47,56,48,52,44,9,7,10,21,62,17,34,38,29,7,5,8,75,33,76,15,9,1,30,37,1,2,0,51,46,56,48,52,44,9,7,10,21,62,17,33,38,29,7,5,8
30,280 ,74,34,76,16,6,2,33,34,2,1,3,60,53,65,38,47,32,6,7,6,28,56,16,31,35,27,7,7,7,73,34,75,17,6,2,33,33,2,1,3,58,53,64,40,46,34,6,7,6,28,55,17,31,35,27,7,7,7
31,290 ,71,38,82,17,9,1,33,38,1,1,2,59,59,60,39,40,38,7,7,8,26,55,18,29,33,25,6,8,4,72,38,82,17,9,1,33,38,1,1,2,59,59,60,39,40,38,7,6,8,27,55,18,29,33,25,6,8,5
32,300 ,78,41,80,22,7,2,38,39,1,1,1,54,47,60,45,52,39,9,9,8,24,55,21,33,36,29,11,12,10,78,40,82,22,7,2,36,39,1,1,1,55,49,61,44,51,38,8,9,8,24,55,20,33,36,30,11,13,10
33,340 ,77,42,72,19,6,3,38,37,2,0,3,57,55,59,41,45,38,10,7,13,21,56,23,34,39,29,12,12,12,77,42,72,19,6,2,39,37,2,0,3,57,54,59,42,46,38,10,8,13,21,56,23,34,38,29,11,11,12
34,350 ,81,42,81,16,8,3,36,41,1,2,0,57,57,57,42,42,43,10,9,12,32,53,15,32,35,28,8,8,8,81,42,80,16,8,3,35,40,1,2,1,57,56,58,42,42,42,10,8,12,32,53,15,32,36,28,9,9,8
35,360 ,75,43,79,21,11,1,37,50,2,1,3,57,49,63,42,50,34,9,10,8,27,52,21,33,40,28,9,14,6,75,42,80,21,10,1,34,50,2,1,3,57,52,63,41,48,33,8,9,7,29,52,19,34,40,29,10,15,6
