ID,SITCEnergy,Countries,Periods,ImportValue_1,ExportValue_2
0,T001082,T001047,1917JJ00,440.0,373.0
1,T001082,T001047,1918JJ00,280.0,175.0
2,T001082,T001047,1919JJ00,1476.0,747.0
3,T001082,T001047,1920JJ00,1518.0,781.0
4,T001082,T001047,1921JJ00,1029.0,628.0
5,T001082,T001047,1922JJ00,922.0,558.0
6,T001082,T001047,1923JJ00,915.0,595.0
7,T001082,T001047,1924JJ00,1074.0,766.0
8,T001082,T001047,1925JJ00,1114.0,821.0
9,T001082,T001047,1926JJ00,1109.0,794.0
10,T001082,T001047,1927JJ00,1157.0,862.0
11,T001082,T001047,1928JJ00,1220.0,903.0
12,T001082,T001047,1929JJ00,1255.0,910.0
13,T001082,T001047,1930JJ00,1101.0,784.0
14,T001082,T001047,1931JJ00,860.0,597.0
15,T001082,T001047,1932JJ00,593.0,386.0
16,T001082,T001047,1933JJ00,569.0,342.0
17,T001082,T001047,1934JJ00,490.0,334.0
18,T001082,T001047,1935JJ00,444.0,323.0
19,T001082,T001047,1936JJ00,486.0,361.0
20,T001082,T001047,1937JJ00,728.0,546.0
21,T001082,T001047,1938JJ00,663.0,490.0
22,T001082,T001047,1939JJ00,708.0,457.0
23,T001082,T001047,1940JJ00,464.0,295.0
24,T001082,T001047,1941JJ00,338.0,288.0
25,T001082,T001047,1942JJ00,219.0,280.0
26,T001082,T001047,1943JJ00,191.0,291.0
27,T001082,T001047,1944JJ00,,
28,T001082,T001047,1945JJ00,,
29,T001082,T001047,1946JJ00,1001.0,370.0
30,T001082,T001047,1947JJ00,1942.0,859.0
31,T001082,T001047,1948JJ00,2253.0,1234.0
32,T001082,T001047,1949JJ00,2420.0,1748.0
33,T001082,T001047,1950JJ00,3544.0,2436.0
34,T001082,T001047,1951JJ00,4402.0,3362.0
35,T001082,T001047,1952JJ00,3834.0,3637.0
36,T001082,T001047,1953JJ00,4096.0,3712.0
37,T001082,T001047,1954JJ00,4928.0,4162.0
38,T001082,T001047,1955JJ00,5532.0,4634.0
39,T001082,T001047,1956JJ00,6424.0,4935.0
40,T001082,T001047,1957JJ00,7079.0,5341.0
41,T001082,T001047,1958JJ00,6250.0,5548.0
