ID,BronTechniek,Energietoepassingen,Perioden,BrutoEindverbruik_1,BrutoEindverbruikRelatief_2,VermedenVerbruik_3,VermedenVerbruikRelatief_4,VermedenEmissie_5,VermedenEmissieRelatief_6
0,T001028 ,E007022 ,1990JJ00,21772.0,1.2,16708.0,0.59,1051.0,0.64
1,T001028 ,E007022 ,1991JJ00,22528.0,1.16,18291.0,0.62,1142.0,0.67
2,T001028 ,E007022 ,1992JJ00,23188.0,1.21,19060.0,0.65,1181.0,0.69
3,T001028 ,E007022 ,1993JJ00,23930.0,1.2,20182.0,0.67,1255.0,0.73
4,T001028 ,E007022 ,1994JJ00,24303.0,1.24,20875.0,0.7,1322.0,0.75
5,T001028 ,E007022 ,1995JJ00,25459.0,1.25,22579.0,0.73,1452.0,0.84
6,T001028 ,E007022 ,1996JJ00,27993.0,1.27,26629.0,0.82,1721.0,0.94
7,T001028 ,E007022 ,1997JJ00,30871.0,1.46,29603.0,0.94,1932.0,1.1
8,T001028 ,E007022 ,1998JJ00,31932.0,1.51,31685.0,1.01,2071.0,1.17
9,T001028 ,E007022 ,1999JJ00,33301.0,1.6,34480.0,1.11,2243.0,1.31
10,T001028 ,E007022 ,2000JJ00,34689.0,1.62,37811.0,1.21,2521.0,1.46
11,T001028 ,E007022 ,2001JJ00,36562.0,1.68,42342.0,1.32,2920.0,1.65
12,T001028 ,E007022 ,2002JJ00,40076.0,1.85,49790.0,1.54,3508.0,1.99
13,T001028 ,E007022 ,2003JJ00,40600.0,1.84,51012.0,1.53,,
14,T001028 ,E007022 ,2004JJ00,47422.0,2.04,62982.0,1.86,,
15,T001028 ,E007022 ,2005JJ00,57143.0,2.48,83761.0,2.5,,
16,T001028 ,E007022 ,2006JJ00,63478.0,2.78,91560.0,2.78,,
17,T001028 ,E007022 ,2007JJ00,74123.0,3.3,97307.0,2.95,,
18,T001028 ,E007022 ,2008JJ00,82081.0,3.6,114329.0,3.5,,
19,T001028 ,E007022 ,2009JJ00,93660.0,4.27,131753.0,4.07,8930.0,5.24
20,T001028 ,E007022 ,2010JJ00,92411.0,3.92,133191.0,3.84,9310.0,5.1
