ID,Toepassingsgroepen,SectorenEnGewassen,Perioden,BedrijvenMetGebruik_1,OppervlakteMetGebruik_2,GebruikGeheleJaar_3,GebruikPerHectare_4,GebruikInJanuari_5,GebruikInFebruari_6,GebruikInMaart_7,GebruikInApril_8,GebruikInMei_9,GebruikInJuni_10,GebruikInJuli_11,GebruikInAugustus_12,GebruikInSeptember_13,GebruikInOktober_14,GebruikInNovember_15,GebruikInDecember_16,MinimaalGebruik_17,GemiddeldLaagGebruik_18,GemiddeldGebruik_19,GemiddeldHoogGebruik_20,MaximaalGebruik_21
0,TOTAAL,TOT,1995JJ00,0,782099,5981638,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,TOTAAL,TOT,1998JJ00,0,823198,6025799,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,TOTAAL,TOT,2000JJ00,0,804256,5346278,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,TOTAAL,TOT,2004JJ00,0,827108,5497255,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,TOTAAL,AKK,1995JJ00,0,709142,4105466,5.8,1.0,0.0,0.0,11.7,16.6,22.0,27.2,15.5,5.1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,TOTAAL,AKK,1998JJ00,0,736096,4240241,5.8,2.3,0.0,0.0,9.2,21.8,28.1,22.5,11.4,4.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TOTAAL,AKK,2000JJ00,0,719441,3709646,5.2,1.4,0.0,0.0,11.2,19.7,29.0,24.6,11.2,2.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,TOTAAL,AKK,2004JJ00,0,736255,3632037,4.9,1.5,0.0,0.0,11.5,15.7,32.9,25.2,9.5,2.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,TOTAAL,GRO,1995JJ00,0,37210,164378,4.4,0.6,0.0,0.0,4.5,18.6,16.1,19.2,19.9,14.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,TOTAAL,GRO,1998JJ00,0,34165,181632,5.3,1.3,0.0,0.0,5.1,14.0,14.5,21.4,24.4,14.8,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,TOTAAL,GRO,2000JJ00,0,28186,158098,5.6,0.7,0.0,0.0,4.0,17.7,20.9,17.2,21.2,13.3,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,TOTAAL,GRO,2004JJ00,0,32131,152581,4.7,1.2,0.0,0.0,5.8,14.6,17.8,22.3,18.0,12.4,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,TOTAAL,PIT,1995JJ00,0,21183,629172,29.7,9.7,0.0,0.0,20.7,24.3,12.8,8.6,7.7,5.2,4.9,5.4,0.8,0.0,0.0,0.0,0.0,0.0
13,TOTAAL,PIT,1998JJ00,0,18150,505769,27.9,11.7,0.0,0.0,17.9,17.9,15.6,11.4,9.7,5.7,3.5,5.7,1.0,0.0,0.0,0.0,0.0,0.0
14,TOTAAL,PIT,2000JJ00,0,18858,336153,17.8,7.2,0.0,0.0,12.8,19.3,15.9,11.9,15.1,7.9,4.4,4.2,1.4,0.0,0.0,0.0,0.0,0.0
15,TOTAAL,PIT,2004JJ00,0,16710,489779,29.3,14.7,0.0,0.0,13.0,17.6,14.4,13.5,12.2,4.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,TOTAAL,BOO,1995JJ00,0,8510,58966,6.9,1.6,2.7,3.2,5.8,14.6,17.7,19.4,17.4,10.0,5.7,0.9,1.0,0.0,0.0,0.0,0.0,0.0
17,TOTAAL,BOO,1998JJ00,0,10082,39406,3.9,3.0,3.0,3.1,8.6,11.0,17.5,16.2,13.0,10.0,9.8,2.1,2.7,0.0,0.0,0.0,0.0,0.0
18,TOTAAL,BOO,2000JJ00,0,11973,77167,6.4,3.1,1.5,4.0,9.6,23.8,15.3,15.7,11.2,7.7,4.6,2.7,0.7,0.0,0.0,0.0,0.0,0.0
19,TOTAAL,BOO,2004JJ00,0,13992,111559,8.0,0.4,1.6,6.7,7.9,13.3,23.6,14.4,10.0,15.2,5.6,0.7,0.5,0.0,0.0,0.0,0.0,0.0
20,TOTAAL,BOL,1995JJ00,0,16279,787427,48.4,7.2,0.0,0.0,6.9,16.1,13.7,13.4,13.3,12.0,12.4,3.9,1.1,0.0,0.0,0.0,0.0,0.0
21,TOTAAL,BOL,1998JJ00,0,17318,832151,48.1,10.4,0.0,0.0,12.8,18.1,14.4,11.9,11.5,10.7,7.2,1.9,1.2,0.0,0.0,0.0,0.0,0.0
22,TOTAAL,BOL,2000JJ00,0,18422,860840,46.7,10.3,0.0,0.0,9.7,17.7,12.5,10.7,11.6,9.5,11.8,4.6,1.5,0.0,0.0,0.0,0.0,0.0
23,TOTAAL,BOL,2004JJ00,0,20399,933545,45.8,8.1,0.0,0.0,11.9,16.7,17.0,15.4,13.5,10.1,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,TOTAAL,GRG,1995JJ00,0,3025,52255,17.3,3.3,2.5,4.1,6.2,9.0,10.4,16.5,18.1,15.3,7.2,3.5,3.8,0.0,0.0,0.0,0.0,0.0
25,TOTAAL,GRG,1998JJ00,0,3027,72445,23.9,2.6,7.5,8.6,8.9,11.0,13.0,17.9,13.9,8.3,5.6,1.8,0.9,0.0,0.0,0.0,0.0,0.0
26,TOTAAL,GRG,2000JJ00,0,2951,54720,18.5,5.9,5.3,9.1,9.3,10.4,8.1,8.1,6.3,4.7,5.6,18.9,8.4,0.0,0.0,0.0,0.0,0.0
27,TOTAAL,GRG,2004JJ00,0,3289,41136,12.5,3.9,3.5,4.5,6.3,7.1,9.0,10.6,12.1,10.3,7.4,15.8,9.3,0.0,0.0,0.0,0.0,0.0
28,TOTAAL,BLO,1995JJ00,0,2920,133682,45.8,4.9,5.6,8.8,9.4,8.5,9.0,9.6,11.5,11.0,9.5,6.7,5.6,0.0,0.0,0.0,0.0,0.0
29,TOTAAL,BLO,1998JJ00,0,4144,119089,28.7,5.5,6.2,7.3,8.2,8.4,9.9,12.5,11.6,10.4,8.3,6.3,5.4,0.0,0.0,0.0,0.0,0.0
30,TOTAAL,BLO,2000JJ00,0,4330,123025,28.4,7.8,7.2,7.3,7.7,8.2,9.6,11.7,11.1,10.1,7.8,6.6,4.8,0.0,0.0,0.0,0.0,0.0
31,TOTAAL,BLO,2004JJ00,0,4247,123758,29.1,6.3,7.5,8.8,9.5,8.9,12.6,8.1,8.1,8.9,7.9,6.8,6.6,0.0,0.0,0.0,0.0,0.0
32,TOTAAL,CHS,1995JJ00,704,109,50292,461.4,8.1,7.8,8.1,7.6,8.3,7.3,8.6,9.5,9.8,8.7,9.0,7.1,0.0,0.0,0.0,0.0,0.0
33,TOTAAL,CHS,1998JJ00,591,98,35066,357.8,7.1,7.3,5.6,6.3,5.9,8.5,7.9,11.4,11.6,10.8,10.6,7.1,0.0,0.0,0.0,0.0,0.0
34,TOTAAL,CHS,2000JJ00,517,95,26628,280.3,7.6,5.2,4.7,5.5,6.3,7.4,9.7,11.8,11.4,10.9,12.5,7.0,0.0,0.0,0.0,0.0,0.0
35,TOTAAL,CHS,2004JJ00,331,85,12860,151.3,8.7,7.7,8.7,9.7,6.8,7.4,7.5,7.4,9.4,8.8,8.5,9.3,0.0,0.0,0.0,0.0,0.0
36,TOTAAL,WTA,1995JJ00,12354,125599,336308,2.7,4.4,0.0,0.0,40.7,30.4,19.3,3.1,0.4,0.2,1.5,0.0,0.0,0.1,0.8,2.7,4.8,9.8
37,TOTAAL,WTA,1998JJ00,11763,128276,404308,3.2,15.8,0.0,0.0,44.6,29.0,10.0,0.3,0.0,0.2,0.0,0.0,0.0,0.3,1.0,3.2,5.4,9.1
38,TOTAAL,WTA,2000JJ00,11553,120510,328333,2.7,8.1,0.0,0.0,51.5,29.0,7.6,1.8,0.9,0.1,1.0,0.0,0.0,0.3,1.2,2.7,4.6,6.9
39,TOTAAL,WTA,2004JJ00,10038,117224,369355,3.2,7.7,0.0,0.0,44.5,21.7,5.7,1.2,0.9,0.4,17.9,0.0,0.0,0.3,1.1,3.150844,5.3,7.0
40,TOTAAL,ZTA,1995JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,TOTAAL,ZTA,1998JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,TOTAAL,ZTA,2000JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,TOTAAL,ZTA,2004JJ00,3607,20864,38445,1.8,0.3,0.0,0.0,1.5,70.4,25.3,0.8,1.6,0.0,0.0,0.0,0.0,0.1,0.8,1.842624,3.0,4.7
44,TOTAAL,ZOM,1995JJ00,6907,32480,51184,1.6,0.2,0.0,0.0,6.4,68.1,19.8,4.6,0.7,0.0,0.2,0.0,0.0,0.1,0.5,1.6,2.8,6.5
45,TOTAAL,ZOM,1998JJ00,6626,36658,45252,1.2,0.7,0.0,0.0,5.9,74.5,16.4,0.4,0.0,2.0,0.0,0.0,0.0,0.1,0.5,1.2,2.1,3.0
46,TOTAAL,ZOM,2000JJ00,3113,43537,59749,1.4,0.1,0.0,0.0,3.2,62.5,31.8,1.1,0.3,0.0,1.0,0.0,0.0,0.0,0.6,1.4,2.8,4.2
47,TOTAAL,ZOM,2004JJ00,6518,44781,59279,1.3,0.0,0.0,0.0,9.1,72.0,16.8,2.0,0.1,0.0,0.0,0.0,0.0,0.0,0.6,1.323749,2.5,4.5
48,TOTAAL,ZOZ,1995JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,TOTAAL,ZOZ,1998JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,TOTAAL,ZOZ,2000JJ00,0,0,59071,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,TOTAAL,ZOZ,2004JJ00,0,0,59279,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,TOTAAL,BRU,1995JJ00,716,2221,5213,2.3,0.7,0.0,0.0,7.5,47.8,27.8,16.2,0.0,0.0,0.0,0.0,0.0,0.2,0.9,2.4,3.9,6.4
53,TOTAAL,BRU,1998JJ00,589,1956,4973,2.5,0.0,0.0,0.0,12.5,39.2,23.7,21.3,3.2,0.0,0.0,0.0,0.0,0.5,0.8,2.5,4.4,7.2
54,TOTAAL,BRU,2000JJ00,309,1126,4506,4.0,0.0,0.0,0.0,2.1,28.6,19.7,31.1,15.5,3.0,0.0,0.0,0.0,0.6,1.2,4.0,8.7,14.9
55,TOTAAL,BRU,2004JJ00,496,2223,4514,2.0,0.6,0.0,0.0,15.5,36.2,21.8,22.9,0.8,2.2,0.0,0.0,0.0,0.1,0.8,2.030635,3.4,5.6
56,TOTAAL,VEL,1995JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,TOTAAL,VEL,1998JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,TOTAAL,VEL,2000JJ00,147,679,1828,2.7,8.5,0.0,0.0,9.0,15.9,13.7,24.7,15.5,12.7,0.0,0.0,0.0,0.7,1.0,2.7,5.4,6.2
59,TOTAAL,VEL,2004JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,TOTAAL,ERG,1995JJ00,1229,7131,13171,1.8,4.1,0.0,0.0,19.1,36.7,36.7,3.4,0.0,0.0,0.0,0.0,0.0,0.3,0.6,1.9,3.7,5.0
61,TOTAAL,ERG,1998JJ00,785,4589,8488,1.8,2.0,0.0,0.0,25.6,28.6,35.4,8.4,0.0,0.0,0.0,0.0,0.0,0.4,0.8,1.8,2.9,3.8
62,TOTAAL,ERG,2000JJ00,934,5867,11566,2.0,3.2,0.0,0.0,27.3,36.4,26.1,7.1,0.0,0.0,0.0,0.0,0.0,0.6,0.9,2.0,3.4,4.1
63,TOTAAL,ERG,2004JJ00,765,4861,9191,1.9,1.1,0.0,0.0,31.0,35.0,25.5,7.4,0.0,0.0,0.0,0.0,0.0,0.1,0.6,1.890675,3.6,5.0
64,TOTAAL,KOO,1995JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,TOTAAL,KOO,1998JJ00,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
