ID,Energiedragers,BedrijfstakkenBranchesSBI2008,Perioden,TotaalEnergieverbruik_1,FinaalEnergieverbruik_2,NietEnergetischGebruik_3,SaldoInzetProductieEnergie_4,InzetEnergieVoorOmzetting_5,ProductieEnergieUitOmzetting_6,TotaalEnergieverbruik_7,Winning_8,EnergieAanvoer_9,EnergieAflevering_10,Voorraadmutatie_11
0,E006458   ,300025,2011JJ00,2325.5,1223.0,573.4,529.0,4256.6,3727.6,2325.5,2687.9,16138.5,16633.2,132.4
1,E006458   ,300025,2012JJ00,2318.7,1211.7,592.2,514.9,4317.8,3802.9,2318.7,2701.2,16641.0,16974.6,-48.9
2,E006458   ,300025,2013JJ00,2283.1,1202.6,582.8,497.7,4251.6,3753.9,2283.1,2893.3,16494.3,17073.2,-31.5
3,E006458   ,300025,2014JJ00,2263.1,1139.5,586.5,537.0,4393.1,3856.0,2263.1,2530.7,16774.7,16894.0,-148.6
4,E006458   ,300025,2015JJ00,2296.3,1170.8,562.3,563.1,4675.4,4112.3,2296.3,2132.7,20182.6,19732.0,-287.0
5,E006458   ,300025,2016JJ00,2305.0,1195.1,565.2,544.7,4842.3,4297.6,2305.1,1999.3,20413.4,20209.3,101.7
6,E006458   ,301000,2011JJ00,166.3,151.9,,14.4,110.6,96.2,166.3,9.1,191.4,34.2,
7,E006458   ,301000,2012JJ00,168.0,155.0,,13.0,105.7,92.8,168.0,9.1,190.6,31.7,
8,E006458   ,301000,2013JJ00,168.4,156.0,,12.4,103.4,90.9,168.4,9.7,189.3,30.5,
9,E006458   ,301000,2014JJ00,156.5,146.1,,10.5,86.8,76.4,156.5,11.4,169.3,24.1,
10,E006458   ,301000,2015JJ00,164.3,153.3,,11.0,92.0,81.0,164.3,13.1,176.0,24.8,
11,E006458   ,301000,2016JJ00,167.1,156.8,,10.3,84.2,73.9,167.1,13.2,176.6,22.8,
12,E006458   ,301100,2011JJ00,157.7,143.3,,14.4,110.6,96.2,157.7,9.1,182.8,34.2,
13,E006458   ,301100,2012JJ00,160.5,147.5,,13.0,105.7,92.8,160.5,9.1,183.1,31.7,
14,E006458   ,301100,2013JJ00,160.1,147.7,,12.4,103.4,90.9,160.1,9.7,181.0,30.5,
15,E006458   ,301100,2014JJ00,148.2,137.7,,10.5,86.8,76.4,148.2,11.4,160.9,24.1,
16,E006458   ,301100,2015JJ00,156.5,145.5,,11.0,92.0,81.0,156.5,13.1,168.3,24.8,
17,E006458   ,301100,2016JJ00,159.5,149.2,,10.3,84.2,73.9,159.5,13.2,169.0,22.8,
18,E006458   ,304300,2011JJ00,,,,,,,,,,,
19,E006458   ,304300,2012JJ00,,,,,,,,,,,
20,E006458   ,304300,2013JJ00,,,,,,,,,,,
21,E006458   ,304300,2014JJ00,,,,,,,,,,,
22,E006458   ,304300,2015JJ00,,,,,,,,,,,
23,E006458   ,304300,2016JJ00,,,,,,,,,,,
24,E006458   ,305000,2011JJ00,8.5,8.5,,,,,8.5,,8.5,,
25,E006458   ,305000,2012JJ00,7.5,7.5,,,,,7.5,,7.5,,
26,E006458   ,305000,2013JJ00,8.3,8.3,,,,,8.3,,8.3,,
27,E006458   ,305000,2014JJ00,8.3,8.3,,,,,8.3,,8.3,,
28,E006458   ,305000,2015JJ00,7.8,7.8,,,,,7.8,,7.8,,
29,E006458   ,305000,2016JJ00,7.6,7.6,,,,,7.6,,7.6,,
30,E006458   ,300002,2011JJ00,1839.8,768.4,562.6,508.8,3780.0,3271.2,1839.8,2658.5,8569.1,9456.1,68.4
31,E006458   ,300002,2012JJ00,1820.3,744.6,581.7,493.9,3712.0,3218.0,1820.3,2645.5,8593.9,9375.2,-43.9
32,E006458   ,300002,2013JJ00,1781.1,735.3,572.0,473.7,3617.3,3143.6,1781.1,2816.6,8357.7,9412.0,18.6
33,E006458   ,300002,2014JJ00,1807.5,716.9,576.0,514.6,3730.1,3215.5,1807.5,2451.1,8477.4,9022.1,-99.2
