ID,Mineralen,Perioden,TotaalExcretie_1,TotaalVervluchtiging_2,StalMestopslagEnBeweiding_3,Aanwending_4,OverigeStikstofvervluchtiging_5,NettoExportDierlijkeMest_6,AanvoerDierlijkeMestNaarBodem_7,TotaalKunstmest_8,Ammoniakvervluchtiging_9,AanvoerKunstmestNaarBodem_10,TotaalOverigeAanvoer_11,TotaalRetourstroom_12,Schuimaarde_13,CompostExclGFTCompost_14,Champost_15,ZaaiEnPootgoed_16,Conserveringsverlies_17,TotaalOverigeBronnen_18,Zuiveringsslib_19,Bestrijdingsmiddelen_20,BiologischeStikstofbinding_21,GFTCompost_22,SubtotaalAanvoerNaarBodem_23,TotaalAfvoerGewassen_24,TotaalAkkerbouwgewassen_25,Snijmais_26,Tarwe_27,Aardappelen_28,Suikerbieten_29,OverigeAkkerbouwgewassen_30,TotaalGraslandgewassen_31,Hooi_32,Kuilgras_33,Weidegras_34,TotaalTuinbouwgewassen_35,GroenteEnFruit_36,OverigeTuinbouwgewassen_37,EmissieNaarBodemEnWater_38,TotaalDepositie_39,BijdrageVanDeLandbouw_40,BijdrageVanNietLandbouw_41,BrutoBelasting_42,TotaalNettoBelasting_43,EmissieNaarWater_44,UitEnAfspoeling_45,TotaalAccumulatieEnAfvoerDenitrif_46,AfvoerVanN2ODoorDenitrificatie_47,AfvoerVanOverigeNDoorDenitrificatie_48,AccumulatieInDeBodem_49,NettoNVerliesDoorVervluchtiging_50,OverschotLandbouwgrond_51
10,N,2004JJ00,467,99.0,56.0,43.0,8.0,21,338,283,12.0,271,41,23,1.3,2.0,4.2,2.5,13.0,18,1.1,1.0,13.0,2.9,651,393,113.8,38.6,21.8,24.0,11.3,18.1,267.9,13.2,155.3,99.4,11.6,7.8,3.8,257,57,26,31,708,314,4.0,55.0,255.0,13.0,,,107.0,421
11,N,2005JJ00,479,98.0,56.0,42.0,9.0,19,353,262,11.0,251,40,22,1.2,2.0,4.1,2.5,12.0,18,1.2,1.0,13.0,2.9,644,380,110.8,40.4,20.9,21.7,10.7,17.1,257.7,9.2,138.6,109.9,11.2,7.4,3.8,264,56,25,31,700,320,4.0,47.0,269.0,13.0,,,105.0,425
12,N,2006JJ00,471,99.0,55.0,43.0,9.0,24,340,270,12.0,258,34,18,1.1,2.0,,2.5,12.0,16,1.1,,13.0,2.3,632,394,106.1,41.8,21.1,20.0,9.2,14.0,274.9,10.6,140.7,123.6,12.8,9.0,3.8,238,58,27,31,690,296,4.0,43.0,250.0,13.0,,,104.0,401
13,N,2007JJ00,480,100.0,56.0,44.0,9.0,37,333,240,10.0,230,35,18,0.6,2.0,,2.5,13.0,17,1.0,,12.0,3.6,598,391,102.7,38.9,18.1,22.0,9.4,14.3,275.1,8.4,151.1,115.6,13.1,9.3,3.8,207,57,27,30,655,264,4.0,78.0,182.0,12.0,,,105.0,369
14,N,2008JJ00,491,93.0,58.0,35.0,9.0,46,343,221,8.0,212,35,18,0.8,2.0,,2.5,13.0,16,1.0,,12.0,3.3,590,397,117.5,47.9,24.3,22.4,8.9,14.0,266.7,3.4,160.9,102.4,13.2,9.3,3.9,193,57,27,30,647,250,4.0,50.0,196.0,12.0,,,96.0,346
15,N,2009JJ00,484,91.0,57.0,34.0,9.0,53,331,211,8.0,203,36,20,0.9,2.0,,3.0,14.0,17,0.9,,12.0,3.7,570,385,120.4,46.7,25.0,23.0,9.7,16.0,251.1,4.9,165.9,80.3,13.2,9.3,3.9,186,48,20,28,618,234,3.0,33.0,197.0,11.0,,,103.0,336
16,N,2010JJ00,490,90.0,55.0,35.0,9.0,63,327,205,8.0,197,36,20,0.9,2.0,,3.2,14.0,16,0.9,,12.0,3.4,560,385,113.6,44.7,24.4,21.9,9.0,13.6,258.8,4.2,169.8,84.8,12.6,8.6,4.0,175,48,20,28,608,223,3.0,54.0,166.0,11.0,,,101.0,325
17,N,2011JJ00,477,85.0,51.0,34.0,9.0,65,317,200,9.0,192,36,20,1.0,2.0,,2.8,14.0,16,0.8,,12.0,3.2,545,379,112.0,43.4,20.9,23.5,10.0,14.2,253.0,4.0,171.4,77.6,13.7,9.6,4.1,166,52,24,28,596,218,3.0,50.0,164.0,11.0,,,93.0,311
18,N,2012JJ00,461,79.0,48.0,31.0,9.0,70,302,200,11.0,188,37,20,1.0,2.0,,3.4,14.0,17,0.8,,12.0,3.8,528,361,108.6,40.3,23.2,21.7,9.7,13.7,239.4,5.1,172.8,61.5,12.7,8.7,4.0,167,45,21,25,573,212,3.0,54.0,155.0,10.0,,,93.0,305
19,N,2013JJ00,473,78.0,45.0,33.0,9.0,68,318,192,11.0,180,36,19,1.0,2.0,,2.2,14.0,17,1.2,,12.0,3.8,535,383,108.6,40.5,23.8,21.0,9.7,13.6,261.1,4.8,182.7,73.6,13.2,9.3,4.0,152,40,18,22,575,192,3.0,42.0,147.0,10.0,,,94.0,286
20,N,2014JJ00,488,81.0,47.0,35.0,10.0,68,329,192,11.0,180,36,19,1.0,2.0,,2.2,14.0,17,1.2,,12.0,3.8,546,425,108.9,38.1,23.2,22.7,11.6,13.3,302.0,3.9,212.8,85.2,13.6,9.8,3.8,121,40,18,22,586,162,3.0,42.0,116.0,11.0,,,98.0,260
21,P,1990JJ00,100,,,,,1,99,32,,32,7,3,1.5,0.5,1.0,0.2,,3,3.0,0.0,,0.0,138,65,20.5,5.4,3.6,4.2,4.3,3.0,41.7,1.3,17.3,23.1,2.6,2.6,,73,1,0,1,139,74,1.0,3.0,69.0,,,71.0,,74
22,P,1995JJ00,94,,,,,5,89,26,,26,5,3,1.5,0.5,1.1,0.4,,1,0.4,0.0,,0.4,120,57,18.3,4.1,4.0,3.7,3.2,3.3,35.3,1.2,13.9,20.2,3.4,2.8,0.6,63,0,0,0,120,63,1.0,4.0,58.0,,,59.0,,63
23,P,1996JJ00,86,,,,,3,83,28,,28,4,3,1.5,0.5,0.8,0.4,,1,0.4,0.0,,0.5,115,54,19.0,4.7,4.3,4.0,2.6,3.4,31.1,0.8,12.6,17.7,3.4,2.8,0.6,62,0,0,0,115,62,1.0,4.0,57.0,,,57.0,,62
24,P,1997JJ00,86,,,,,3,83,27,,27,4,3,1.5,0.5,0.8,0.4,,1,0.3,0.0,,0.6,114,62,19.8,5.8,3.6,4.0,2.6,3.8,39.0,1.1,17.4,20.5,3.5,2.8,0.7,51,0,0,0,114,51,1.0,4.0,46.0,,,48.0,,51
25,P,1998JJ00,85,,,,,4,78,30,,30,4,3,1.4,0.5,0.8,0.4,,1,0.3,0.0,,0.5,115,56,16.4,5.1,3.6,2.6,2.2,2.9,35.8,0.8,19.5,15.5,3.5,2.8,0.7,59,0,0,0,115,59,1.0,4.0,54.0,,,52.0,,59
26,P,1999JJ00,87,,,,,6,84,27,,27,4,3,1.3,0.5,0.8,0.4,,1,0.3,0.0,,0.6,112,59,19.3,6.3,2.9,4.1,2.9,3.1,36.2,0.9,16.2,19.1,3.5,2.8,0.7,53,0,0,0,112,53,1.0,4.0,48.0,,,52.0,,53
27,P,2000JJ00,83,,,,,7,76,26,,26,5,4,1.6,0.5,1.1,0.4,,1,0.5,0.0,,0.6,107,60,19.5,5.5,3.9,4.1,2.7,3.3,37.0,0.9,19.1,17.0,3.5,2.8,0.7,47,0,0,0,107,47,1.0,5.0,41.0,,,42.0,,47
28,P,2001JJ00,81,,,,,8,73,22,,22,4,3,1.5,0.5,1.0,0.4,,1,0.4,0.0,,0.6,98,57,18.5,5.6,3.4,3.5,2.4,3.6,34.6,0.9,16.0,17.7,3.5,2.8,0.7,42,0,0,0,98,42,1.0,5.0,36.0,,,37.0,,42
29,P,2002JJ00,75,,,,,8,67,20,,20,4,3,1.4,0.5,1.0,0.4,,1,0.4,0.0,,0.4,91,61,18.9,5.9,3.6,3.6,2.5,3.3,38.4,1.1,20.0,17.3,3.5,2.8,0.7,30,0,0,0,91,30,1.0,5.0,24.0,,,25.0,,30
30,P,2003JJ00,72,,,,,5,67,22,,22,5,3,1.6,0.5,1.0,0.4,,1,0.5,0.0,,0.6,94,49,18.1,5.4,3.6,3.2,2.5,3.4,28.5,1.2,14.5,12.8,2.4,1.7,0.7,45,0,0,0,94,45,1.0,2.0,42.0,,,43.0,,45
31,P,2004JJ00,71,,,,,7,64,17,,17,5,3,1.5,0.5,1.1,0.4,,1,0.4,0.0,,0.6,86,55,19.2,5.8,3.9,3.7,2.5,3.3,33.5,1.6,18.3,13.6,2.6,1.9,0.7,30,0,0,0,86,30,1.0,3.0,26.0,,,28.0,,30
32,P,2005JJ00,74,,,,,7,67,20,,20,5,3,1.4,0.5,1.1,0.4,,1,0.5,0.0,,0.6,92,55,18.8,6.2,3.8,3.4,2.4,3.0,33.5,1.1,17.3,15.1,2.5,1.8,0.7,37,0,0,0,92,37,1.0,3.0,33.0,,,34.0,,37
33,P,2006JJ00,74,,,,,8,66,20,,20,3,2,1.3,0.5,,0.4,,1,0.5,0.0,,0.5,88,53,18.0,6.6,3.7,3.1,2.2,2.4,32.5,1.1,15.6,15.8,2.7,2.0,0.7,35,0,0,0,88,35,1.0,3.0,32.0,,,33.0,,35
34,P,2007JJ00,74,,,,,13,61,15,,15,3,2,0.6,0.5,,0.4,,1,0.3,0.0,,0.8,79,56,17.9,6.7,3.2,3.4,2.2,2.4,35.0,1.3,18.2,15.5,2.8,2.1,0.7,23,0,0,0,79,23,1.0,5.0,17.0,,,18.0,,23
