ID,Perioden,AantalVestigingenOpenbareBibliotheken_1,OmvangBibliotheekcollecties_2,IngeschrevenBibliotheekbezoekers_3,AantalUitleningen_4,TotaalTitelproductieVanBoeken_5,NieuweUitgaven_6,Herdrukken_7,AantalOpengesteldeMusea_8,AantalMuseabezoeken_9,AantalBezoekenPer100Inwoners_10,AantalMonumenten_11,VerstrektSubsidiebedrag_12,HerleideTotaleBouwkosten_13,TotaalBezoekenPodiumkunsten_14,TotaalRijksgesubsidieerdeGezelschappen_15,Toneel_16,Mime_17,Concert_18,OperaEnOperette_19,BalletEnDans_20,Bioscoopbezoeken_21,BesteedBedragPerBezoek_22,BrutoRecette_23,BioscoopbezoekenPer100Inwoners_24,FilmhuisbezoekenPer100Inwoners_25,TotaleOverheid_26,Rijk_27,Provincies_28,Gemeenten_29,TotaalOverheidsuitgaven_30,Bibliotheken_31,UitvoerendeKunsten_32,Vorming_33,Jeugdwerk_34,Sport_35,Musea_36,Monumentenzorg_37,OpenluchtrecrEnNatuurbescherming_38,AlgemeenBeheerCultuurEnRecreatie_39,TotaalLasten_40,PTTKosten_41,CommissariaatVoorDeMediaED_42,DepartementaalMediabeleid_43,TotaalBestedingen_44,NOSNOBRegionaleEnWereldomroep_45,GroteZendgemachtigden_46,NOTTeleacSterReclameraadEnRVD_47,OverigeZendgemachtigden_48,AfdrachtUitgeversPersorganen_49,DotatieAanReservesEnFondsen_50,BatigSaldo_51,TotaalBaten_52,Omroepbijdragen_53,Reclamegelden_54,RentebatenAlgemeneReserve_55,OnttrekkingUitReserve_56,NadeligSaldo_57,OpbrengstenKijkLuisterReclamegeld_58
57,1985JJ00,953.0,41235.0,4161.0,172089.0,12629.0,9219.0,3410.0,538.0,15879.0,110.0,43.1,84.0,152.0,,2756.0,891.0,59.0,1292.0,222.0,292.0,15319.0,4.58,70.4,106.0,,2634.3,826.7,114.0,1693.7,2250.6,274.0,272.9,50.9,187.6,488.2,127.9,177.2,671.9,,486.0,17.0,1.0,,443.0,276.0,149.0,9.0,10.0,,15.0,11.0,486.0,329.0,139.0,18.0,0.0,,468.4
58,1986JJ00,1162.0,42098.0,4182.0,175617.0,13368.0,9356.0,4012.0,572.0,17699.0,122.0,43.2,44.0,80.0,,2252.0,580.0,43.0,1185.0,197.0,247.0,14864.0,4.72,70.4,102.0,,2700.1,790.4,119.2,1790.5,2291.5,285.0,275.9,67.2,193.6,505.2,143.3,138.4,683.1,,503.0,17.0,1.0,,450.0,282.0,148.0,10.0,10.0,,21.0,14.0,503.0,336.0,151.0,16.0,,,486.6
59,1987JJ00,1169.0,43675.0,4220.0,179882.0,13329.0,9299.0,4030.0,615.0,19847.0,136.0,42.6,52.0,93.0,,2470.0,553.0,150.0,1281.0,273.0,213.0,15473.0,4.86,75.2,106.0,,2762.7,863.5,116.0,1783.1,2337.2,306.1,291.2,79.3,189.3,494.3,137.5,135.5,704.0,,513.0,18.0,1.0,,468.0,299.0,148.0,10.0,11.0,,25.0,,513.0,344.0,83.0,16.0,4.0,66.0,426.7
60,1988JJ00,1170.0,43780.0,4246.0,185443.0,14370.0,10183.0,4187.0,633.0,19880.0,135.0,43.6,41.0,78.0,12172.0,2417.0,413.0,239.0,1248.0,222.0,295.0,14838.0,5.08,75.2,101.0,,2782.8,815.3,119.2,1848.3,2378.2,307.0,272.0,60.6,223.3,552.9,121.1,146.1,695.1,,619.0,19.0,4.0,,528.0,250.0,236.0,26.0,16.0,13.0,20.0,36.0,619.0,348.0,202.0,11.0,58.0,,550.0
61,1989JJ00,1188.0,43940.0,4261.0,184946.0,15392.0,11111.0,4281.0,667.0,20042.0,135.0,43.8,34.0,68.0,12324.0,2490.0,432.0,111.0,1436.0,221.0,290.0,15615.0,5.08,79.0,105.0,4.0,2732.1,705.5,135.7,1890.9,2306.4,296.0,297.0,82.5,192.8,474.2,140.7,122.3,700.8,,609.0,19.0,2.0,0.0,527.0,240.0,246.0,27.0,14.0,18.0,9.0,34.0,609.0,370.0,222.0,12.0,5.0,,592.3
62,1990JJ00,1165.0,44525.0,4346.0,185724.0,13691.0,9761.0,3930.0,697.0,22042.0,148.0,43.8,40.0,81.0,12819.0,2513.0,551.0,21.0,1436.0,242.0,263.0,14636.0,5.22,76.2,98.0,3.0,2628.7,692.5,135.0,1801.3,2203.3,295.7,276.0,71.0,178.4,444.5,138.4,134.5,664.9,,608.0,19.0,3.0,6.0,540.0,246.0,251.0,29.0,14.0,15.0,18.0,7.0,608.0,382.0,212.0,13.0,,,594.5
63,1991JJ00,1167.0,44526.0,4378.0,183500.0,16017.0,11344.0,4673.0,735.0,21806.0,145.0,43.8,54.0,101.0,13707.0,2620.0,533.0,21.0,1561.0,232.0,273.0,14863.0,5.54,82.5,99.0,4.0,2897.7,759.8,141.0,1996.9,2411.3,312.1,310.1,66.7,185.1,509.1,159.0,136.6,732.7,,609.0,22.0,3.0,9.0,560.0,255.0,259.0,32.0,15.0,,14.0,,608.0,396.0,172.0,11.0,4.0,26.0,567.2
64,1992JJ00,1190.0,44807.0,4512.0,185145.0,15997.0,11500.0,4497.0,723.0,22559.0,149.0,42.9,63.0,115.0,14497.0,2564.0,526.0,25.0,1501.0,252.0,260.0,13683.0,5.49,75.0,90.0,5.0,,,,,,,,,,,,,,,670.0,24.0,3.0,10.0,602.0,275.0,275.0,34.0,18.0,,14.0,17.0,670.0,445.0,212.0,11.0,2.0,,657.2
65,1993JJ00,1161.0,44593.0,4555.0,184937.0,16510.0,12107.0,4403.0,732.0,22993.0,151.0,43.4,61.0,122.0,14206.0,3032.0,727.0,56.0,1561.0,275.0,413.0,15871.0,5.4,85.4,104.0,5.0,,,,,,,,,,,,,,,695.0,27.0,3.0,9.0,605.0,266.0,286.0,34.0,18.0,,13.0,38.0,695.0,472.0,212.0,11.0,,,684.3
66,1994JJ00,1145.0,44487.0,4587.0,182716.0,18001.0,12660.0,5341.0,741.0,21582.0,141.0,44.1,55.0,104.0,14242.0,2859.0,695.0,48.0,1486.0,220.0,410.0,15983.0,5.35,85.4,104.0,5.0,3018.9,762.2,150.2,2106.5,2520.0,328.0,319.0,62.4,167.7,493.9,180.2,141.8,827.0,,741.0,27.0,3.0,8.0,619.0,273.0,291.0,36.0,18.0,,14.0,71.0,741.0,493.0,238.0,10.0,,,
67,1995JJ00,1151.0,44229.0,4549.0,179566.0,18123.0,12704.0,5419.0,744.0,21921.0,141.0,44.6,48.0,93.0,16020.0,2981.0,760.0,43.0,1541.0,236.0,401.0,17182.0,5.22,89.7,111.0,5.0,,,,,,,,,,,,,,,741.0,38.0,3.0,10.0,670.0,257.0,354.0,39.0,20.0,,13.0,6.0,741.0,506.0,222.0,13.0,,,
68,1996JJ00,,,,,17544.0,12054.0,5490.0,,,,43.5,47.0,91.0,15100.0,2942.0,830.0,46.0,1467.0,238.0,359.0,16783.0,5.45,91.7,108.0,6.0,,,,,,,,,,,,,,,766.0,44.0,3.0,12.0,655.0,232.0,355.0,44.0,23.0,,52.0,,766.0,535.0,174.0,11.0,,44.0,
69,1997JJ00,,,,,17235.0,12139.0,5096.0,942.0,20266.0,129.0,44.2,52.0,101.0,14917.0,2803.0,751.0,29.0,1414.0,253.0,356.0,18934.0,5.58,105.7,122.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,1998JJ00,,,,,,,,,,,44.8,56.0,116.0,15607.0,3045.0,914.0,39.0,1441.0,247.0,404.0,19023.0,5.81,116.6,122.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1999JJ00,,,,,,,,902.0,20679.0,,45.7,57.0,118.0,13851.0,,,,,,,,,,,,3131.0,605.0,158.0,2368.0,,377.0,224.0,179.0,,649.0,259.0,158.0,856.0,,,,,,,,,,,,,,,,,,,,
72,2000JJ00,,,,,,,,,,,46.8,59.0,122.0,14368.0,,,,,,,,,,,,4114.0,1334.0,199.0,2581.0,,393.0,226.0,188.0,,725.0,320.0,203.0,928.0,,,,,,,,,,,,,,,,,,,,
73,2001JJ00,,,,,,,,873.0,20767.0,,48.5,73.0,152.0,15653.0,,,,,,,,,,,,,1393.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2002JJ00,,,,,,,,,,,50.7,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
