ID,EigendomWoning,Bouwjaar,RegioS,Perioden,TotaalWoningenMetEnergielabel_1,WoningenMetEnergielabelAEnB_2,WoningenMetEnergielabelCEnD_3,WoningenMetEnergielabelEFG_4
84,4,11,SG06,2011JJ00,41865,4652,25694,11519
85,4,11,SG07,2011JJ00,41893,5705,25700,10488
86,4,11,SG08,2011JJ00,20972,4893,10553,5526
87,4,11,SG09,2011JJ00,77966,13405,42997,21564
88,4,11,SG10,2011JJ00,205617,27963,112533,65121
89,4,11,SG11,2011JJ00,44627,5518,20522,18587
90,4,11,SG12,2011JJ00,38086,4368,21062,12656
91,4,11,SG13,2011JJ00,155161,18268,81133,55760
92,4,11,SG14,2011JJ00,175581,17313,108611,49657
93,4,11,SG15,2011JJ00,43519,4419,22756,16344
94,4,11,SG16,2011JJ00,31252,3812,16989,10451
95,4,11,SG17,2011JJ00,42188,5091,26160,10937
96,4,11,SG18,2011JJ00,28930,4977,16617,7336
97,4,11,SG19,2011JJ00,67301,6411,39387,21503
98,4,11,SG20,2011JJ00,19014,2874,9286,6854
99,4,11,SG21,2011JJ00,38182,3669,21099,13414
100,4,11,SG22,2011JJ00,26157,2312,14996,8849
101,4, 1,NL01,2011JJ00,18039,2218,8313,7508
102,4, 1,LD01,2011JJ00,1956,146,938,872
103,4, 1,LD02,2011JJ00,1770,199,680,891
104,4, 1,LD03,2011JJ00,12935,1701,6204,5030
105,4, 1,LD04,2011JJ00,1378,172,491,715
106,4, 1,PV20,2011JJ00,661,59,383,219
107,4, 1,PV21,2011JJ00,1137,63,484,590
108,4, 1,PV22,2011JJ00,158,24,71,63
109,4, 1,PV23,2011JJ00,463,44,167,252
110,4, 1,PV24,2011JJ00,1,0,0,1
111,4, 1,PV25,2011JJ00,1306,155,513,638
112,4, 1,PV26,2011JJ00,1125,68,381,676
113,4, 1,PV27,2011JJ00,6505,1232,2592,2681
114,4, 1,PV28,2011JJ00,4926,365,3118,1443
115,4, 1,PV29,2011JJ00,379,36,113,230
116,4, 1,PV30,2011JJ00,800,113,333,354
117,4, 1,PV31,2011JJ00,578,59,158,361
118,4, 1,CR01,2011JJ00,43,8,13,22
119,4, 1,CR02,2011JJ00,20,2,8,10
120,4, 1,CR03,2011JJ00,598,49,362,187
121,4, 1,CR04,2011JJ00,946,42,408,496
122,4, 1,CR05,2011JJ00,136,15,50,71
123,4, 1,CR06,2011JJ00,55,6,26,23
124,4, 1,CR07,2011JJ00,106,13,51,42
125,4, 1,CR08,2011JJ00,26,7,12,7
126,4, 1,CR09,2011JJ00,26,4,8,14
127,4, 1,CR10,2011JJ00,240,21,91,128
128,4, 1,CR11,2011JJ00,91,5,27,59
129,4, 1,CR12,2011JJ00,132,18,49,65
130,4, 1,CR13,2011JJ00,220,14,64,142
131,4, 1,CR14,2011JJ00,289,53,122,114
132,4, 1,CR15,2011JJ00,639,72,261,306
133,4, 1,CR16,2011JJ00,158,16,66,76
134,4, 1,CR17,2011JJ00,1125,68,381,676
135,4, 1,CR18,2011JJ00,106,19,43,44
136,4, 1,CR19,2011JJ00,109,5,39,65
137,4, 1,CR20,2011JJ00,21,1,8,12
138,4, 1,CR21,2011JJ00,477,21,175,281
139,4, 1,CR22,2011JJ00,67,4,13,50
140,4, 1,CR23,2011JJ00,5554,1171,2239,2144
141,4, 1,CR24,2011JJ00,171,11,75,85
142,4, 1,CR25,2011JJ00,347,35,142,170
143,4, 1,CR26,2011JJ00,995,22,568,405
144,4, 1,CR27,2011JJ00,150,9,45,96
145,4, 1,CR28,2011JJ00,100,8,29,63
146,4, 1,CR29,2011JJ00,3053,251,2234,568
147,4, 1,CR30,2011JJ00,281,40,100,141
148,4, 1,CR31,2011JJ00,63,1,15,47
149,4, 1,CR32,2011JJ00,316,35,98,183
150,4, 1,CR33,2011JJ00,202,27,51,124
151,4, 1,CR34,2011JJ00,143,18,54,71
152,4, 1,CR35,2011JJ00,362,50,199,113
153,4, 1,CR36,2011JJ00,93,18,29,46
154,4, 1,CR37,2011JJ00,111,19,37,55
155,4, 1,CR38,2011JJ00,80,14,32,34
156,4, 1,CR39,2011JJ00,387,26,89,272
157,4, 1,CR40,2011JJ00,1,0,0,1
158,4, 1,GA01,2011JJ00,494,35,331,128
159,4, 1,GA02,2011JJ00,696,21,323,352
160,4, 1,GA03,2011JJ00,80,3,32,45
161,4, 1,GA04,2011JJ00,22,7,6,9
162,4, 1,GA05,2011JJ00,66,2,12,52
163,4, 1,GA06,2011JJ00,354,43,157,154
164,4, 1,GA07,2011JJ00,121,17,59,45
165,4, 1,GA08,2011JJ00,185,10,69,106
166,4, 1,GA09,2011JJ00,718,27,240,451
167,4, 1,GA10,2011JJ00,5579,1173,2234,2172
168,4, 1,GA11,2011JJ00,451,21,174,256
169,4, 1,GA12,2011JJ00,323,34,129,160
170,4, 1,GA13,2011JJ00,989,22,565,402
171,4, 1,GA14,2011JJ00,2935,247,2195,493
172,4, 1,GA15,2011JJ00,95,2,40,53
173,4, 1,GA16,2011JJ00,79,2,12,65
174,4, 1,GA17,2011JJ00,84,8,35,41
175,4, 1,GA18,2011JJ00,199,24,125,50
176,4, 1,GA19,2011JJ00,27,4,7,16
177,4, 1,GA20,2011JJ00,84,8,16,60
178,4, 1,GA21,2011JJ00,26,3,7,16
179,4, 1,GA22,2011JJ00,152,6,42,104
180,4, 1,SG01,2011JJ00,544,40,342,162
181,4, 1,SG02,2011JJ00,752,27,337,388
182,4, 1,SG03,2011JJ00,107,6,39,62
183,4, 1,SG04,2011JJ00,61,12,25,24
184,4, 1,SG05,2011JJ00,76,4,14,58
185,4, 1,SG06,2011JJ00,462,47,178,237
186,4, 1,SG07,2011JJ00,140,19,64,57
187,4, 1,SG08,2011JJ00,198,11,72,115
188,4, 1,SG09,2011JJ00,787,36,260,491
189,4, 1,SG10,2011JJ00,5609,1176,2246,2187
190,4, 1,SG11,2011JJ00,498,22,183,293
191,4, 1,SG12,2011JJ00,329,34,134,161
192,4, 1,SG13,2011JJ00,1145,31,613,501
193,4, 1,SG14,2011JJ00,2982,250,2211,521
194,4, 1,SG15,2011JJ00,119,9,47,63
195,4, 1,SG16,2011JJ00,99,11,15,73
196,4, 1,SG17,2011JJ00,88,8,38,42
197,4, 1,SG18,2011JJ00,222,28,133,61
198,4, 1,SG19,2011JJ00,29,4,9,16
199,4, 1,SG20,2011JJ00,102,8,30,64
200,4, 1,SG21,2011JJ00,61,4,12,45
201,4, 1,SG22,2011JJ00,179,9,46,124
202,4, 2,NL01,2011JJ00,93197,5927,38001,49269
203,4, 2,LD01,2011JJ00,9064,1070,4640,3354
204,4, 2,LD02,2011JJ00,16603,811,7153,8639
205,4, 2,LD03,2011JJ00,54841,3643,21538,29660
206,4, 2,LD04,2011JJ00,12689,403,4670,7616
207,4, 2,PV20,2011JJ00,5278,708,3080,1490
208,4, 2,PV21,2011JJ00,3028,308,1113,1607
209,4, 2,PV22,2011JJ00,758,54,447,257
210,4, 2,PV23,2011JJ00,8110,602,3909,3599
211,4, 2,PV24,2011JJ00,10,0,9,1
212,4, 2,PV25,2011JJ00,8483,209,3235,5039
213,4, 2,PV26,2011JJ00,5969,184,1538,4247
214,4, 2,PV27,2011JJ00,25443,2054,8770,14619
215,4, 2,PV28,2011JJ00,22079,1260,10552,10267
216,4, 2,PV29,2011JJ00,1350,145,678,527
217,4, 2,PV30,2011JJ00,8711,258,3406,5047
218,4, 2,PV31,2011JJ00,3978,145,1264,2569
219,4, 2,CR01,2011JJ00,380,12,84,284
220,4, 2,CR02,2011JJ00,102,2,25,75
221,4, 2,CR03,2011JJ00,4796,694,2971,1131
222,4, 2,CR04,2011JJ00,2253,247,848,1158
223,4, 2,CR05,2011JJ00,264,11,107,146
