ID,GoodsAndServices,Periods,ValueChangesConsHouseholds_1,VolumeChangesConsOfHouseholds_2,ShoppingDayAdjustedVolumeCh_3,ValueIndicesConsHouseholds_4,VolumeIndicesConsOfHouseholds_5,ShareInDomesticConsOfHouseholds_6,ValuesConsumptionOfHouseholds_7,ValueChangesActIndConsHouseh_8,VolumeChangesActIndConsHouseh_9,ValueIndicesActIndConsHouseh_10,VolumeIndicesActIndConsHouseh_11,ShareInDomesticConsActIndConsH_12,ValuesActIndConsOfHouseholds_13
0,      8000,1995MM01,,,,97.5,98.4,,,,,97.2,98.0,,
1,      8000,1995MM02,,,,92.0,92.6,,,,,92.7,93.3,,
2,      8000,1995MM03,,,,101.3,101.3,,,,,100.4,100.5,,
3,      8000,1995KW01,,,,96.9,97.4,,,,,96.8,97.3,,
4,      8000,1995MM04,,,,98.3,98.2,,,,,100.0,100.1,,
5,      8000,1995MM05,,,,100.4,100.5,,,,,101.8,102.0,,
6,      8000,1995MM06,,,,102.9,103.1,,,,,104.1,104.4,,
7,      8000,1995KW02,,,,100.5,100.6,,,,,101.9,102.2,,
8,      8000,1995MM07,,,,97.8,98.2,,,,,97.8,98.2,,
9,      8000,1995MM08,,,,98.3,98.4,,,,,98.1,98.1,,
10,      8000,1995MM09,,,,101.5,100.7,,,,,100.8,100.0,,
11,      8000,1995KW03,,,,99.2,99.1,,,,,98.9,98.8,,
12,      8000,1995MM10,,,,101.4,100.8,,,,,100.8,100.1,,
13,      8000,1995MM11,,,,103.3,102.7,,,,,102.4,101.7,,
14,      8000,1995MM12,,,,105.3,105.1,,,,,103.9,103.5,,
15,      8000,1995KW04,,,,103.4,102.9,,,,,102.4,101.8,,
16,      8000,1995JJ00,4.2,2.9,,100.0,100.0,100.0,145955.0,,,100.0,100.0,100.0,183649.0
17,      8000,1996MM01,5.8,4.0,3.0,103.1,102.4,,,4.4,2.7,101.4,100.7,,
18,      8000,1996MM02,8.0,6.1,4.7,99.4,98.2,,,6.1,4.3,98.3,97.3,,
19,      8000,1996MM03,4.4,2.4,3.2,105.8,103.7,,,3.2,1.4,103.7,101.9,,
20,      8000,1996KW01,6.0,4.1,3.6,102.8,101.5,,,4.5,2.8,101.1,100.0,,
21,      8000,1996MM04,5.5,3.3,3.7,103.7,101.5,,,4.2,2.2,104.2,102.3,,
22,      8000,1996MM05,7.8,5.8,4.1,108.3,106.3,,,6.1,4.1,108.0,106.2,,
23,      8000,1996MM06,3.4,1.8,3.4,106.4,105.0,,,2.4,0.9,106.6,105.3,,
24,      8000,1996KW02,5.6,3.6,3.7,106.1,104.3,,,4.2,2.4,106.3,104.6,,
25,      8000,1996MM07,7.0,5.1,4.8,104.6,103.2,,,5.4,3.8,103.1,101.9,,
26,      8000,1996MM08,7.6,6.1,4.6,105.8,104.4,,,5.9,4.6,103.9,102.6,,
27,      8000,1996MM09,3.1,1.6,4.1,104.7,102.3,,,2.4,1.0,103.2,101.1,,
28,      8000,1996KW03,5.9,4.3,4.5,105.0,103.3,,,4.6,3.1,103.4,101.9,,
29,      8000,1996MM10,8.7,6.7,4.8,110.2,107.5,,,6.8,5.2,107.7,105.3,,
30,      8000,1996MM11,6.4,4.4,3.8,110.0,107.3,,,5.0,3.5,107.5,105.2,,
31,      8000,1996MM12,4.5,2.2,4.2,110.1,107.5,,,3.5,1.6,107.5,105.2,,
32,      8000,1996KW04,6.5,4.4,4.2,110.1,107.4,,,5.1,3.4,107.6,105.2,,
33,      8000,1996JJ00,6.0,4.1,4.0,106.0,104.1,100.0,154711.0,4.6,2.9,104.6,102.9,100.0,192092.0
34,      8000,1997MM01,6.9,4.9,3.3,110.3,107.5,,,6.7,5.0,108.2,105.7,,
35,      8000,1997MM02,2.6,0.8,2.2,102.0,99.0,,,3.2,1.6,101.5,98.9,,
36,      8000,1997MM03,3.7,2.1,2.8,109.7,105.9,,,4.1,2.6,107.9,104.6,,
37,      8000,1997KW01,4.4,2.6,2.8,107.3,104.1,,,4.7,3.1,105.8,103.1,,
38,      8000,1997MM04,5.5,4.1,3.9,109.3,105.6,,,5.6,4.3,110.1,106.7,,
39,      8000,1997MM05,5.6,3.8,3.4,114.4,110.4,,,5.7,4.1,114.2,110.5,,
40,      8000,1997MM06,4.2,2.5,3.4,111.0,107.6,,,4.8,3.1,111.7,108.6,,
41,      8000,1997KW02,5.1,3.5,3.6,111.6,107.9,,,5.4,3.8,112.0,108.6,,
42,      8000,1997MM07,6.7,4.7,4.0,111.6,108.1,,,6.7,4.7,110.1,106.7,,
43,      8000,1997MM08,3.7,1.2,2.5,109.7,105.6,,,4.3,1.8,108.4,104.5,,
44,      8000,1997MM09,6.5,4.0,3.3,111.5,106.4,,,6.6,4.1,110.0,105.2,,
45,      8000,1997KW03,5.7,3.3,3.3,110.9,106.7,,,5.9,3.5,109.5,105.5,,
46,      8000,1997MM10,7.6,5.2,4.2,118.7,113.1,,,7.5,5.1,115.8,110.7,,
47,      8000,1997MM11,4.0,1.4,3.1,114.3,108.9,,,4.5,2.0,112.4,107.3,,
48,      8000,1997MM12,6.0,3.5,2.3,116.7,111.2,,,6.2,3.8,114.1,109.1,,
49,      8000,1997KW04,5.9,3.4,3.2,116.6,111.1,,,6.1,3.6,114.1,109.1,,
50,      8000,1997JJ00,5.3,3.2,3.2,111.6,107.4,100.0,162877.0,5.5,3.5,110.4,106.5,100.0,202673.0
51,      8000,1998MM01,6.8,4.5,4.2,117.8,112.3,,,6.7,4.1,115.4,110.1,,
52,      8000,1998MM02,6.5,3.9,3.9,108.6,102.9,,,6.4,3.7,108.0,102.6,,
53,      8000,1998MM03,5.2,2.7,3.9,115.4,108.8,,,5.2,2.7,113.5,107.4,,
54,      8000,1998KW01,6.2,3.7,4.0,113.9,108.0,,,6.1,3.5,112.3,106.7,,
55,      8000,1998MM04,8.4,5.8,4.8,118.5,111.8,,,7.9,5.4,118.7,112.5,,
56,      8000,1998MM05,6.2,4.1,5.5,121.5,114.9,,,6.1,4.0,121.1,115.0,,
57,      8000,1998MM06,7.0,4.9,4.3,118.7,112.9,,,6.7,4.6,119.2,113.6,,
58,      8000,1998KW02,7.2,4.9,4.8,119.6,113.2,,,6.9,4.7,119.7,113.7,,
59,      8000,1998MM07,8.3,6.4,5.3,120.9,115.0,,,7.9,5.9,118.7,113.0,,
60,      8000,1998MM08,5.4,3.8,4.8,115.6,109.6,,,5.5,3.8,114.4,108.5,,
61,      8000,1998MM09,6.3,4.7,4.2,118.5,111.3,,,6.2,4.5,116.9,109.9,,
62,      8000,1998KW03,6.7,4.9,4.8,118.3,112.0,,,6.5,4.8,116.7,110.5,,
63,      8000,1998MM10,6.4,5.2,4.8,126.3,119.0,,,6.3,4.9,123.1,116.1,,
64,      8000,1998MM11,5.7,4.7,5.5,120.8,113.9,,,5.7,4.5,118.8,112.2,,
65,      8000,1998MM12,7.0,6.0,5.3,124.8,117.8,,,6.8,5.7,121.9,115.3,,
66,      8000,1998KW04,6.4,5.3,5.2,124.0,116.9,,,6.3,5.0,121.3,114.5,,
67,      8000,1998JJ00,6.6,4.7,4.7,119.0,112.5,100.0,173619.0,6.4,4.5,117.5,111.4,100.0,215730.0
68,      8000,1999MM01,4.9,3.4,4.7,123.5,116.1,,,5.1,3.2,121.2,113.6,,
69,      8000,1999MM02,7.0,5.6,5.6,116.3,108.6,,,7.0,4.9,115.5,107.6,,
70,      8000,1999MM03,9.0,7.4,6.0,125.8,116.8,,,8.6,6.4,123.3,114.3,,
71,      8000,1999KW01,7.0,5.4,5.4,121.9,113.8,,,6.9,4.8,120.0,111.9,,
