ID,SoortCijfers,Perioden,BUEnGWWWerken_1,InvesteringenUitProductieBouw_2,ProductieBinnenland_3,ProductieTotaal_4,TotaalBU_5,TotaalWoningen_6,Nieuwbouw_7,GrootOnderhoud_8,TotaalBedrijfsgebouwen_9,Nieuwbouw_10,GrootOnderhoud_11,GrondWegEnWaterbouwkundigeWerken_12,MachinesEnOverigeInvesteringen_13,TotaalKleinOnderhoudEnOverigeActiv_14,Woningen_15,Bedrijfsgebouwen_16,GWWWerken_17,OverigeProductenEnDiensten_18,ExterneOnderaanneming_19,InterneLeveringen_20,HandelsEnVervoersmarges_21,UitvoerVanDiensten_22,TotaalBedrijfsgebouwen_23,OverheidSocialeVerzDefensie_24,GesubsidieerdOnderwijs_25,OverigeBestemmingen_26,TotaalGWWWerken_27,OverheidSocialeVerzDefensie_28,HetRijk_29,OverigOverheidsbestuur_30,OverigeBestemmingen_31
0,1,1987JJ00, 16510, 16645, 29107, 29242, 13278,  7470,  4845,  2625,  5808,  4064,  1744,  3232,   135,  4788,  1712,  1432,  1449,   195,   882,  6557,   235,   135,  5808,   617,   571,  4620,  3232,  1885,     .,     .,  1347
1,1,1988JJ00, 18661, 18842, 32902, 33066, 15128,  8531,  5525,  3006,  6597,  4606,  1991,  3533,   181,  5377,  1920,  1657,  1594,   206,  1012,  7402,   269,   164,  6597,   800,   517,  5280,  3533,  1995,     .,     .,  1538
2,1,1989JJ00, 19656, 19875, 34979, 35226, 16010,  8701,  5628,  3073,  7309,  5064,  2245,  3646,   219,  5705,  2076,  1693,  1721,   215,  1091,  8028,   280,   247,  7309,   932,   487,  5890,  3646,  1888,     .,     .,  1758
3,1,1990JJ00, 20204, 20369, 36332, 36754, 16389,  8700,  5627,  3073,  7689,  5343,  2346,  3815,   165,  6043,  2157,  1705,  1942,   239,  1131,  8481,   308,   422,  7689,   959,   597,  6133,  3815,  2111,     .,     .,  1704
4,1,1991JJ00, 20629, 20886, 37695, 38205, 16752,  8699,  5707,  2992,  8053,  5506,  2547,  3877,   257,  6296,  2322,  1784,  1949,   241,  1146,  9044,   323,   510,  8053,   965,   593,  6495,  3877,  2058,     .,     .,  1819
5,1,1992JJ00, 21773, 22009, 38785, 39367, 17353,  9449,  6143,  3306,  7904,  5465,  2439,  4420,   236,  6419,  2386,  1839,  1950,   244,  1170,  8833,   354,   582,  7904,  1090,   627,  6187,  4420,  2115,     .,     .,  2305
6,1,1993JJ00, 21570, 21816, 38552, 39244, 16966,  9586,  6201,  3385,  7380,  5140,  2240,  4604,   246,  6662,  2460,  1860,  2098,   244,  1149,  8583,   342,   692,  7380,  1046,   611,  5723,  4604,  2144,     .,     .,  2460
7,1,1994JJ00, 22356, 22611, 40101, 40938, 17782, 10484,  6838,  3646,  7298,  5014,  2284,  4574,   255,  7107,  2772,  1884,  2198,   253,  1189,  8854,   340,   837,  7298,  1130,   690,  5478,  4574,  2280,     .,     .,  2294
8,1,1995JJ00, 23288, 23506, 41570, 42535, 18352, 10849,  7077,  3772,  7503,  5135,  2368,  4936,   218,  7207,  2834,  1917,  2223,   233,  1266,  9239,   352,   965,  7503,  1019,   833,  5651,  4936,  2054,   516,  1538,  2882
9,1,1996JJ00, 24179, 24447, 44125, 45140, 18939, 11359,  7400,  3959,  7580,  5156,  2424,  5240,   268,  7818,  2932,  2002,  2609,   275,  1399, 10068,   393,  1015,  7580,  1035,   855,  5690,  5240,  2531,   606,  1925,  2709
10,1,1997JJ00, 25140, 25455, 45805, 47146, 20148, 12201,  8106,  4095,  7947,  5419,  2528,  4992,   315,  8294,  3060,  2043,  2819,   372,  1426, 10266,   364,  1341,  7947,  1061,   414,  6472,  4992,  2336,   610,  1726,  2656
11,1,1998JJ00, 26512, 26957, 48684, 50147, 21444, 12687,  8241,  4446,  8757,  5947,  2810,  5068,   445,  8784,  3155,  2134,  3120,   375,  1545, 10949,   449,  1463,  8757,  1215,   366,  7176,  5068,  2448,   636,  1812,  2620
12,1,1999JJ00, 29120, 29748, 53361, 54992, 23393, 13454,  8765,  4689,  9939,  6760,  3179,  5727,   628,  9500,  3361,  2369,  3400,   370,  1702, 12075,   336,  1631,  9939,  1218,   439,  8282,  5727,  2733,   718,  2015,  2994
13,1,2000JJ00, 32006, 32587, 58611, 60252, 25493, 14673,  9582,  5091, 10820,  7389,  3431,  6513,   581, 10258,  3574,  2606,  3672,   406,  1918, 13497,   351,  1641, 10820,  1573,   506,  8741,  6513,  3238,   812,  2426,  3275
14,1,2001JJ00, 33787, 34285, 62740, 64623, 26950, 15443,  9820,  5623, 11507,  7862,  3645,  6837,   498, 11222,  3854,  2878,  4050,   440,  2121, 14768,   344,  1883, 11507,  1542,   593,  9372,  6837,  3534,  1073,  2461,  3303
15,1,2002JJ00, 33343, 33818, 63198, 64854, 26640, 15170,  9668,  5502, 11470,  7671,  3799,  6703,   475, 12020,  4156,  3002,  4418,   444,  2216, 14783,   361,  1656, 11470,  1841,   716,  8913,  6703,  3838,  1152,  2686,  2865
16,1,2003JJ00, 32494, 32837, 62063, 63609, 26067, 15060,  9687,  5373, 11007,  7186,  3821,  6427,   343, 12332,  4287,  3050,  4558,   437,  2160, 14380,   354,  1546, 11007,  2122,   629,  8256,  6427,  3823,  1456,  2367,  2604
17,1,2004JJ00, 32216, 32581, 62005, 63642, 26429, 16159, 10663,  5496, 10270,  6689,  3581,  5787,   365, 12533,  4385,  3042,  4664,   442,  2145, 14366,   380,  1637, 10270,  1795,   472,  8003,  5787,  3326,  1172,  2154,  2461
18,1,2005JJ00, 33936, 34302, 64690, 66616, 27590, 17424, 11559,  5865, 10166,  6590,  3576,  6346,   366, 12852,  4553,  3138,  4724,   437,  2192, 14972,   372,  1926, 10166,  1877,   510,  7779,  6346,  3507,   887,  2620,  2839
19,1,2006JJ00, 36802, 37204, 69765, 71534, 29921, 19256, 12884,  6372, 10665,  6921,  3744,  6881,   402, 13504,  4677,  3345,  5019,   463,  2346, 16322,   389,  1769, 10665,  2039,   618,  8008,  6881,  3771,   941,  2830,  3110
20,1,2007JJ00, 40318, 40713, 76349, 78177, 33176, 20696, 13658,  7038, 12480,  8206,  4274,  7142,   395, 14515,  4978,  3634,  5404,   499,  2584, 18107,   430,  1828, 12480,  2241,   689,  9550,  7142,  4049,  1031,  3018,  3093
21,1,2008JJ00, 44526, 44906, 83505, 85634, 36833, 22083, 14555,  7528, 14750,  9736,  5014,  7693,   380, 15477,  5319,  3851,  5773,   534,  2741, 19919,   462,  2129, 14750,  2321,   799, 11630,  7693,  4661,  1412,  3249,  3032
22,1,2009JJ00, 42331, 42703, 80707, 82745, 34534, 20344, 13271,  7073, 14190,  9437,  4753,  7797,   372, 15671,  5298,  3901,  5949,   523,  2581, 19320,   432,  2038, 14190,  2519,   808, 10863,  7797,  5146,  1400,  3746,  2651
23,2,1987JJ00,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .,     .
