ID,Regio,SoortCijfer,ErvarenGezondheidZeerGoed_1,ContactMetDeHuisartsIn1Jaar_2,ContactMetEenSpecialistIn1Jaar_3,ZiekenhuisopnamenIn1Jaar_4,ContactMetDeFysiotherapeutIn1Jaar_5,Mannen_6,Vrouwen_7,BuitengewoonZeerTevredenMetLeven_8,ErgGelukkigMens_9,WekelijksContactVrienden_10,WekelijksContactFamilie_11,WekelijksCafebezoek_12,BeslistGeenVerhuiswens_13,MaandelijksActiefBinnenVereniging_14,Koopwoning_15,Huurwoning_16
0,NL00  ,1,80.7,4.0,1.8,6.9,2.8,19.4,58.2,42.7,89.0,78.9,83.9,12.5,71.7,45.2,59.1,40.9
1,NL00  ,2,0.2,0.1,0.0,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2
2,LD01  ,1,81.8,3.9,1.7,7.0,2.3,20.8,61.2,41.1,90.1,76.6,85.1,11.5,73.4,47.0,65.0,35.0
3,LD01  ,2,0.6,0.2,0.1,0.5,0.1,0.5,0.7,0.5,0.3,0.5,0.4,0.3,0.5,0.5,0.5,0.5
4,LD02  ,1,81.4,3.7,1.6,6.2,2.8,18.8,58.3,43.1,89.7,77.8,85.0,11.0,72.0,47.1,63.9,36.1
5,LD02  ,2,0.4,0.1,0.1,0.3,0.1,0.4,0.5,0.4,0.2,0.3,0.3,0.2,0.4,0.4,0.4,0.4
6,LD03  ,1,81.0,4.0,1.9,6.8,2.9,19.7,56.6,42.3,88.3,78.7,82.3,11.9,69.4,42.2,53.4,46.6
7,LD03  ,2,0.3,0.1,0.1,0.2,0.1,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3
8,LD04  ,1,78.9,4.2,1.8,7.6,2.7,18.8,60.4,43.9,89.5,81.5,85.6,15.6,75.3,48.7,63.8,36.2
9,LD04  ,2,0.4,0.1,0.1,0.4,0.1,0.3,0.5,0.4,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4
10,PV20  ,1,81.9,4.1,1.7,8.1,2.2,21.5,57.8,39.9,88.6,77.8,83.7,13.1,69.4,44.8,60.5,39.5
11,PV20  ,2,0.9,0.3,0.2,1.0,0.2,0.9,1.2,0.9,0.6,0.8,0.7,0.6,0.9,0.9,0.9,0.9
12,PV21  ,1,82.0,3.7,1.6,6.0,2.6,20.8,63.5,41.7,91.9,77.4,86.3,12.1,75.4,48.0,66.5,33.5
13,PV21  ,2,0.9,0.3,0.2,0.7,0.3,0.9,1.1,0.9,0.5,0.7,0.6,0.6,0.8,0.9,0.9,0.9
14,PV22  ,1,81.3,4.0,1.7,7.1,2.0,20.0,62.3,41.7,89.6,74.0,85.1,8.7,75.6,48.6,68.7,31.3
