ID,Kenmerken,Perioden,TotaalAantalDagtochten_1,TotaalZonnenZwemmenEnDergelijke_2,OpStrandBijDeZee_3,OpStrandBijMeerPlas_4,InOpenluchtzwembad_5,NietAanHetWater_6,InBinnenbad_7,TotaalSportEnSportieveRecreatie_8,Wandelen_9,Fietsen_10,Golfen_11,Watersport_12,Vissen_13,Paardrijden_14,TrimmenHardlopenFitnessED_15,Schaatsen_16,OverigeBinnensport_17,OverigeBuitensport_18,ToeschouwerBegeleiderBijSport_19,Toeren_20,TotaalBezoekAttractiepuntED_21,TotaalBezoekAttractiepunt_22,BezoekSpeeltuinUitspanning_23,BezoekPretparkED_24,BezoekAanDierentuinVogelparkED_25,BezoekKinderboerderijHeemtuinED_26,TotaalBezoekBezienswaardigheid_27,BezoekOudeStadDorp_28,BezoekMuseum_29,BezoekMonumentenED_30,TotaalBezoekEvenement_31,BezoekJaarmarktBraderieCorsoED_32,BezoekBeursTentoonstellingShow_33,BezoekOverigeEvenementen_34,RecreatiefWinkelen_35,TotaalUitgaan_36,TotaalFilmToneelConcertED_37,NaarDeFilm_38,NaarToneelConcertBalletED_39,TotaalOverigUitgaan_40,TerrasjeZittenKoffieDrinkenED_41,UitEtenGaan_42,BarCafebezoek_43,KermisCircus_44,DiscoBowling_45,OverigUitgaan_46,TotaalOverigeDagtochten_47,BezoekDenksportActiviteit_48,VerenigingsactiviteitenHobbyclubsED_49,BezoekKinderactiviteiten_50,BezoekVolkstuin_51,BezoekNatuurEnOverigeActiviteiten_52,TotaalAantalDagtochten_53,TotaalZonnenEnDergelijke_54,OpStrandBijDeZee_55,OpStrandBijMeerPlas_56,InOpenluchtzwembad_57,NietAanHetWater_58,InBinnenbad_59,TotaalSportEnSportieveRecreatie_60,Wandelen_61,Fietsen_62,Golfen_63,Watersport_64,Vissen_65,Paardrijden_66,TrimmenHardlopenFitnessED_67,Schaatsen_68,OverigeBinnensport_69,OverigeBuitensport_70,ToeschouwerBegeleiderBijSport_71,Toeren_72,TotaalBezoekAttractiepuntED_73,TotaalBezoekAttractiepunt_74,BezoekSpeeltuinUitspanning_75,BezoekPretparkED_76,BezoekAanDierentuinVogelparkED_77,BezoekKinderboerderijHeemtuinED_78,TotaalBezoekBezienswaardigheid_79,BezoekOudeStadDorp_80,BezoekMuseum_81,BezoekMonumentenED_82,TotaalBezoekEvenement_83,BezoekJaarmarktBraderieCorsoED_84,BezoekBeursTentoonstellingShow_85,BezoekOverigeEvenementen_86,RecreatiefWinkelen_87,TotaalUitgaan_88,TotaalFilmToneelConcertED_89,NaarDeFilm_90,NaarToneelConcertBalletED_91,TotaalOverigUitgaan_92,TerrasjeZittenKoffieDrinkenED_93,UitEtenGaan_94,BarCafebezoek_95,KermisCircus_96,DiscoBowling_97,OverigUitgaan_98,TotaalOverigeDagtochten_99,BezoekDenksportActiviteit_100,VerenigingsactiviteitenHobbyclubsED_101,BezoekKinderactiviteiten_102,BezoekVolkstuin_103,BezoekNatuurEnOverigeActiviteiten_104
232,59,1990SJ00,178524.0,7309.0,1268.0,424.0,377.0,880.0,4360.0,55420.0,16878.0,13311.0,1341.0,1582.0,1416.0,567.0,3788.0,1270.0,8384.0,6882.0,5884.0,5705.0,16307.0,2754.0,284.0,609.0,773.0,1088.0,7280.0,2009.0,2980.0,2291.0,6273.0,2641.0,2693.0,939.0,29278.0,24507.0,6097.0,770.0,5328.0,18410.0,1123.0,9275.0,2113.0,574.0,1676.0,3649.0,34114.0,4738.0,24640.0,85.0,2552.0,2100.0,21.0,12.0,14.0,5.0,4.0,22.0,15.0,21.0,28.0,35.0,70.0,23.0,24.0,6.0,21.0,9.0,14.0,13.0,22.0,28.0,20.0,10.0,5.0,9.0,10.0,15.0,29.0,32.0,28.0,27.0,22.0,21.0,27.0,16.0,23.0,15.0,17.0,6.0,25.0,14.0,18.0,23.0,7.0,6.0,7.0,21.0,29.0,49.0,27.0,1.0,48.0,36.0
233,59,1995SJ00,213439.0,6898.0,1229.0,379.0,422.0,559.0,4309.0,69558.0,18678.0,17049.0,2136.0,1040.0,1466.0,509.0,6596.0,2022.0,11936.0,8125.0,7938.0,5302.0,19687.0,3297.0,278.0,610.0,1185.0,1225.0,8615.0,2522.0,3414.0,2679.0,7775.0,2720.0,3918.0,1137.0,33640.0,32472.0,9034.0,1833.0,7201.0,23438.0,1278.0,11464.0,4169.0,619.0,1317.0,4591.0,37945.0,4393.0,28047.0,314.0,1933.0,3258.0,23.0,13.0,14.0,8.0,7.0,13.0,15.0,23.0,31.0,40.0,57.0,19.0,25.0,4.0,21.0,12.0,19.0,14.0,24.0,31.0,22.0,10.0,5.0,7.0,13.0,14.0,34.0,39.0,35.0,30.0,24.0,20.0,33.0,17.0,26.0,17.0,22.0,11.0,30.0,16.0,27.0,27.0,9.0,6.0,8.0,24.0,29.0,43.0,29.0,4.0,47.0,35.0
234,59,2001SJ00,231016.0,8594.0,1888.0,1145.0,610.0,955.0,3995.0,76751.0,22307.0,18940.0,3711.0,1702.0,1268.0,834.0,7837.0,850.0,11149.0,8122.0,9449.0,7519.0,25333.0,5894.0,612.0,995.0,1722.0,2565.0,10015.0,2596.0,3972.0,3447.0,9397.0,2983.0,4089.0,2270.0,28638.0,39483.0,13272.0,3312.0,9960.0,26211.0,1916.0,13951.0,3868.0,1095.0,1074.0,4307.0,35250.0,3462.0,26264.0,392.0,1155.0,3930.0,24.0,15.0,18.0,18.0,9.0,20.0,14.0,25.0,34.0,40.0,60.0,24.0,34.0,7.0,23.0,15.0,19.0,13.0,26.0,35.0,23.0,13.0,5.0,9.0,16.0,20.0,35.0,40.0,35.0,31.0,27.0,23.0,41.0,21.0,25.0,18.0,23.0,13.0,31.0,16.0,20.0,25.0,7.0,6.0,13.0,23.0,31.0,43.0,31.0,5.0,33.0,33.0
235,59,2006SJ00,229131.0,4972.0,1066.0,249.0,219.0,672.0,2684.0,70098.0,17597.0,14293.0,4235.0,1718.0,1079.0,908.0,10463.0,725.0,11330.0,7114.0,10644.0,3459.0,26135.0,5309.0,565.0,1094.0,2117.0,1533.0,10361.0,3327.0,4199.0,2836.0,10340.0,4138.0,3312.0,2699.0,38454.0,47123.0,14536.0,4373.0,10163.0,32587.0,2016.0,19469.0,3749.0,1129.0,1191.0,4930.0,28248.0,2716.0,19278.0,514.0,1005.0,4222.0,25.0,12.0,16.0,9.0,7.0,14.0,11.0,28.0,37.0,41.0,63.0,24.0,32.0,12.0,37.0,19.0,24.0,12.0,28.0,32.0,22.0,11.0,4.0,11.0,15.0,15.0,32.0,40.0,33.0,26.0,28.0,27.0,36.0,22.0,29.0,22.0,26.0,18.0,32.0,20.0,24.0,31.0,9.0,8.0,15.0,24.0,29.0,32.0,32.0,6.0,53.0,28.0
236,60,1990SJ00,86359.0,2928.0,434.0,341.0,44.0,305.0,1804.0,22647.0,9949.0,6543.0,221.0,299.0,545.0,13.0,363.0,119.0,3551.0,1044.0,941.0,5317.0,8125.0,1454.0,57.0,213.0,716.0,468.0,4624.0,1368.0,2226.0,1030.0,2047.0,591.0,1207.0,249.0,14460.0,11106.0,2609.0,277.0,2332.0,8496.0,771.0,3800.0,382.0,63.0,868.0,2612.0,20836.0,3583.0,14275.0,15.0,1816.0,1148.0,10.0,5.0,5.0,4.0,0.0,8.0,6.0,9.0,17.0,17.0,11.0,4.0,9.0,0.0,2.0,1.0,6.0,2.0,3.0,26.0,10.0,5.0,1.0,3.0,9.0,6.0,18.0,22.0,21.0,12.0,7.0,5.0,12.0,4.0,11.0,7.0,7.0,2.0,11.0,6.0,12.0,9.0,1.0,3.0,1.0,15.0,18.0,37.0,16.0,0.0,34.0,20.0
237,60,1995SJ00,98293.0,3348.0,319.0,105.0,22.0,558.0,2344.0,27450.0,9703.0,8832.0,575.0,322.0,704.0,35.0,674.0,142.0,5124.0,1340.0,1823.0,3922.0,9025.0,1448.0,43.0,166.0,397.0,843.0,4899.0,1570.0,2225.0,1103.0,2679.0,973.0,1342.0,363.0,15552.0,11587.0,3381.0,377.0,3004.0,8206.0,503.0,4201.0,728.0,151.0,426.0,2198.0,25585.0,4265.0,17266.0,101.0,1723.0,2231.0,11.0,6.0,4.0,2.0,0.0,13.0,8.0,9.0,16.0,21.0,15.0,6.0,12.0,0.0,2.0,1.0,8.0,2.0,6.0,23.0,10.0,4.0,1.0,2.0,4.0,10.0,19.0,24.0,23.0,12.0,8.0,7.0,11.0,5.0,12.0,6.0,8.0,2.0,13.0,6.0,10.0,10.0,2.0,2.0,2.0,12.0,20.0,42.0,18.0,1.0,42.0,24.0
238,60,2001SJ00,100914.0,4054.0,1033.0,295.0,247.0,273.0,2206.0,28432.0,8825.0,8400.0,934.0,245.0,529.0,37.0,1560.0,129.0,5395.0,2380.0,1136.0,4755.0,12267.0,2851.0,147.0,543.0,696.0,1465.0,6291.0,1513.0,2918.0,1860.0,3125.0,1092.0,1493.0,540.0,11595.0,13431.0,4345.0,579.0,3766.0,9086.0,840.0,4877.0,313.0,147.0,298.0,2612.0,25243.0,3965.0,16406.0,0.0,1750.0,3121.0,10.0,7.0,10.0,5.0,4.0,6.0,7.0,9.0,13.0,18.0,15.0,3.0,14.0,0.0,5.0,2.0,9.0,4.0,3.0,22.0,11.0,6.0,1.0,5.0,6.0,11.0,22.0,23.0,26.0,17.0,9.0,8.0,15.0,5.0,10.0,6.0,7.0,2.0,12.0,5.0,9.0,9.0,1.0,2.0,2.0,14.0,22.0,49.0,20.0,0.0,51.0,26.0
239,60,2006SJ00,117543.0,3075.0,432.0,62.0,0.0,449.0,2095.0,34480.0,8787.0,11658.0,1357.0,671.0,981.0,35.0,2196.0,243.0,5139.0,3208.0,2082.0,2950.0,15331.0,2483.0,370.0,203.0,854.0,1056.0,8449.0,2351.0,3620.0,2478.0,4367.0,1900.0,1671.0,656.0,17712.0,18600.0,4585.0,985.0,3600.0,14015.0,1710.0,7240.0,1295.0,292.0,342.0,2877.0,23313.0,4911.0,14007.0,80.0,381.0,3409.0,13.0,7.0,6.0,2.0,0.0,9.0,9.0,14.0,18.0,33.0,20.0,9.0,29.0,0.0,8.0,6.0,11.0,5.0,5.0,27.0,13.0,5.0,2.0,2.0,6.0,11.0,26.0,28.0,29.0,22.0,12.0,12.0,18.0,5.0,13.0,9.0,8.0,4.0,11.0,9.0,21.0,11.0,3.0,2.0,4.0,14.0,24.0,58.0,23.0,1.0,20.0,23.0
240,61,1990SJ00,106825.0,3792.0,1116.0,538.0,114.0,193.0,1832.0,27682.0,8118.0,4975.0,180.0,798.0,383.0,529.0,2200.0,704.0,5696.0,4099.0,2021.0,3347.0,9421.0,1531.0,141.0,410.0,586.0,395.0,4655.0,1025.0,2338.0,1292.0,3235.0,956.0,1397.0,882.0,14729.0,25349.0,6769.0,2498.0,4271.0,18580.0,1477.0,6749.0,5919.0,233.0,2218.0,1985.0,20483.0,3374.0,15101.0,101.0,791.0,1115.0,12.0,6.0,12.0,6.0,1.0,5.0,6.0,10.0,14.0,13.0,9.0,12.0,6.0,6.0,12.0,5.0,10.0,8.0,7.0,16.0,12.0,6.0,3.0,6.0,8.0,5.0,18.0,17.0,22.0,15.0,12.0,8.0,14.0,15.0,11.0,15.0,19.0,18.0,20.0,14.0,23.0,17.0,19.0,8.0,3.0,11.0,17.0,35.0,16.0,2.0,15.0,19.0
241,61,1995SJ00,135910.0,4334.0,1023.0,460.0,209.0,322.0,2319.0,37218.0,8634.0,5882.0,579.0,824.0,472.0,1403.0,5881.0,1044.0,8127.0,4373.0,3434.0,2731.0,10068.0,1680.0,65.0,410.0,661.0,545.0,4674.0,1072.0,2316.0,1286.0,3714.0,1257.0,1771.0,686.0,16774.0,36479.0,8609.0,3638.0,4971.0,27871.0,1255.0,8759.0,11589.0,362.0,3061.0,2846.0,24872.0,3059.0,18893.0,213.0,793.0,1915.0,15.0,8.0,12.0,9.0,4.0,7.0,8.0,13.0,15.0,14.0,15.0,15.0,8.0,12.0,19.0,6.0,13.0,8.0,10.0,16.0,11.0,5.0,1.0,5.0,7.0,6.0,19.0,17.0,24.0,14.0,12.0,9.0,15.0,10.0,13.0,20.0,21.0,21.0,21.0,19.0,26.0,20.0,24.0,14.0,5.0,15.0,19.0,30.0,19.0,3.0,19.0,21.0
242,61,2001SJ00,151019.0,7210.0,1940.0,1288.0,364.0,558.0,3060.0,40445.0,8889.0,7263.0,1041.0,941.0,256.0,332.0,5998.0,573.0,9836.0,5315.0,2573.0,3842.0,13119.0,2175.0,85.0,337.0,728.0,1025.0,5756.0,1414.0,2892.0,1449.0,5189.0,1654.0,2056.0,1479.0,15278.0,43544.0,11769.0,4374.0,7395.0,31775.0,2843.0,10702.0,11670.0,413.0,2630.0,3517.0,25008.0,3715.0,18326.0,174.0,315.0,2478.0,15.0,12.0,18.0,21.0,5.0,12.0,10.0,13.0,13.0,15.0,17.0,13.0,7.0,3.0,18.0,10.0,17.0,8.0,7.0,18.0,12.0,5.0,1.0,3.0,7.0,8.0,20.0,22.0,26.0,13.0,15.0,13.0,20.0,13.0,14.0,19.0,20.0,17.0,23.0,19.0,30.0,19.0,21.0,14.0,5.0,18.0,22.0,46.0,22.0,2.0,9.0,21.0
243,61,2006SJ00,105175.0,2966.0,885.0,189.0,0.0,293.0,1544.0,28222.0,6286.0,4379.0,1002.0,1663.0,488.0,1210.0,3546.0,592.0,5172.0,3691.0,2902.0,2530.0,10339.0,1747.0,114.0,125.0,925.0,583.0,4927.0,1470.0,2249.0,1208.0,3606.0,1312.0,1176.0,945.0,12811.0,29928.0,6579.0,2805.0,3774.0,23349.0,2399.0,9019.0,7648.0,32.0,1570.0,2547.0,15477.0,2491.0,9993.0,148.0,96.0,2487.0,12.0,7.0,13.0,7.0,0.0,6.0,7.0,11.0,13.0,13.0,15.0,23.0,15.0,16.0,12.0,16.0,11.0,6.0,8.0,23.0,9.0,4.0,1.0,1.0,7.0,6.0,15.0,18.0,18.0,11.0,10.0,8.0,13.0,8.0,10.0,14.0,12.0,11.0,12.0,15.0,29.0,14.0,18.0,10.0,0.0,12.0,16.0,29.0,17.0,2.0,5.0,16.0
244,62,1990SJ00,29654.0,2147.0,244.0,344.0,199.0,95.0,1265.0,8277.0,2042.0,855.0,12.0,62.0,81.0,508.0,658.0,342.0,1739.0,1979.0,988.0,668.0,2317.0,1057.0,275.0,296.0,204.0,282.0,601.0,149.0,210.0,242.0,659.0,402.0,168.0,89.0,5023.0,6907.0,1344.0,723.0,621.0,5563.0,246.0,1148.0,1550.0,255.0,1791.0,573.0,3326.0,183.0,2567.0,513.0,,63.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,6.0,3.0,3.0,3.0,2.0,3.0,8.0,,1.0
245,62,1995SJ00,33607.0,2799.0,529.0,319.0,234.0,159.0,1558.0,9558.0,1658.0,610.0,40.0,45.0,112.0,1204.0,798.0,1206.0,1690.0,2195.0,1022.0,290.0,3521.0,1675.0,365.0,420.0,349.0,540.0,670.0,76.0,295.0,299.0,1177.0,458.0,431.0,287.0,4787.0,7638.0,1474.0,828.0,646.0,6163.0,232.0,1095.0,2604.0,434.0,1140.0,660.0,3993.0,278.0,2866.0,446.0,87.0,316.0,4.0,5.0,6.0,7.0,4.0,4.0,5.0,3.0,3.0,1.0,1.0,1.0,2.0,10.0,3.0,7.0,3.0,4.0,3.0,2.0,4.0,5.0,6.0,5.0,4.0,6.0,3.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,5.0,2.0,3.0
246,62,2001SJ00,36271.0,3028.0,561.0,381.0,600.0,210.0,1248.0,10217.0,2416.0,833.0,56.0,366.0,142.0,573.0,1607.0,499.0,1838.0,1886.0,997.0,445.0,4376.0,2297.0,867.0,525.0,598.0,307.0,927.0,203.0,265.0,459.0,1125.0,434.0,452.0,239.0,3991.0,10212.0,2532.0,1218.0,1314.0,7680.0,316.0,1982.0,2906.0,421.0,1306.0,749.0,3006.0,0.0,2219.0,227.0,103.0,457.0,4.0,5.0,5.0,6.0,9.0,4.0,4.0,3.0,4.0,2.0,1.0,5.0,4.0,5.0,5.0,9.0,3.0,3.0,3.0,2.0,4.0,5.0,7.0,5.0,5.0,2.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,2.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,7.0,5.0,4.0,3.0,0.0,3.0,3.0,3.0,4.0
247,62,2006SJ00,40236.0,2246.0,425.0,229.0,245.0,255.0,1046.0,9763.0,1434.0,572.0,131.0,48.0,51.0,286.0,1477.0,260.0,2641.0,2863.0,1175.0,283.0,5364.0,2870.0,1025.0,868.0,504.0,473.0,925.0,365.0,337.0,222.0,1533.0,614.0,186.0,679.0,5990.0,10813.0,2803.0,1946.0,857.0,8010.0,434.0,1868.0,2581.0,490.0,1613.0,887.0,4602.0,343.0,2568.0,333.0,324.0,885.0,4.0,5.0,6.0,8.0,8.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,4.0,5.0,7.0,5.0,5.0,3.0,3.0,5.0,6.0,7.0,9.0,4.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,2.0,6.0,4.0,5.0,5.0,8.0,3.0,5.0,5.0,3.0,6.0,10.0,6.0,4.0,5.0,4.0,4.0,4.0,17.0,6.0
248,63,1990SJ00,224551.0,8753.0,1859.0,1055.0,552.0,1003.0,4283.0,72779.0,21681.0,13891.0,1157.0,1726.0,1774.0,1667.0,6011.0,1423.0,14659.0,8791.0,5104.0,7924.0,18344.0,3707.0,248.0,745.0,1503.0,1211.0,7786.0,2254.0,3378.0,2154.0,6851.0,2980.0,2924.0,948.0,37930.0,38727.0,8002.0,2016.0,5986.0,30725.0,1563.0,14002.0,5997.0,817.0,3187.0,5158.0,34989.0,4026.0,25785.0,111.0,2777.0,2291.0,26.0,15.0,20.0,12.0,6.0,26.0,15.0,28.0,36.0,37.0,60.0,25.0,30.0,18.0,33.0,11.0,25.0,17.0,19.0,39.0,23.0,13.0,4.0,10.0,20.0,17.0,31.0,36.0,32.0,25.0,24.0,24.0,30.0,16.0,29.0,23.0,23.0,15.0,28.0,23.0,24.0,35.0,19.0,12.0,10.0,29.0,30.0,42.0,28.0,2.0,52.0,39.0
249,63,1995SJ00,262342.0,8460.0,1530.0,557.0,511.0,820.0,5041.0,84279.0,22066.0,17458.0,1843.0,1311.0,1806.0,1746.0,8940.0,1632.0,17806.0,9670.0,7534.0,7154.0,21925.0,3966.0,210.0,764.0,1471.0,1522.0,8909.0,3076.0,3618.0,2215.0,9050.0,3444.0,4389.0,1217.0,43145.0,46901.0,11968.0,4119.0,7849.0,34933.0,1147.0,15877.0,9658.0,690.0,2270.0,5291.0,42944.0,4601.0,32018.0,282.0,2812.0,3232.0,28.0,16.0,18.0,11.0,9.0,18.0,17.0,28.0,37.0,41.0,49.0,24.0,30.0,14.0,29.0,10.0,28.0,17.0,23.0,41.0,24.0,12.0,3.0,9.0,16.0,17.0,35.0,48.0,37.0,24.0,28.0,26.0,37.0,18.0,33.0,25.0,29.0,24.0,33.0,24.0,24.0,37.0,20.0,10.0,9.0,28.0,33.0,45.0,33.0,3.0,68.0,35.0
250,63,2001SJ00,264570.0,7712.0,2070.0,706.0,526.0,679.0,3732.0,93053.0,23794.0,19916.0,4012.0,2326.0,977.0,2959.0,10532.0,642.0,16622.0,11230.0,7056.0,9570.0,25967.0,6949.0,588.0,1576.0,1854.0,2931.0,9728.0,2910.0,3688.0,3131.0,9289.0,3195.0,3622.0,2409.0,32464.0,52523.0,13840.0,4904.0,8936.0,38683.0,2402.0,20626.0,8335.0,1214.0,1840.0,4266.0,36225.0,3260.0,25803.0,261.0,2663.0,4217.0,27.0,13.0,20.0,11.0,8.0,14.0,13.0,31.0,36.0,42.0,64.0,32.0,26.0,26.0,31.0,11.0,28.0,18.0,19.0,45.0,24.0,15.0,5.0,15.0,17.0,23.0,34.0,45.0,33.0,28.0,27.0,25.0,36.0,22.0,29.0,23.0,24.0,19.0,28.0,23.0,25.0,37.0,15.0,10.0,15.0,22.0,31.0,40.0,31.0,3.0,77.0,35.0
251,63,2006SJ00,259548.0,5049.0,1074.0,183.0,0.0,983.0,2694.0,79443.0,18568.0,18058.0,2944.0,1901.0,1523.0,1294.0,9991.0,416.0,13638.0,10582.0,7577.0,3997.0,28887.0,5934.0,749.0,1155.0,2267.0,1763.0,11523.0,3156.0,4587.0,3781.0,11304.0,4346.0,3759.0,2989.0,41689.0,59391.0,16957.0,5158.0,11799.0,42434.0,2590.0,22863.0,7939.0,807.0,1984.0,5933.0,33516.0,4687.0,21679.0,548.0,953.0,4838.0,29.0,12.0,16.0,7.0,0.0,20.0,11.0,32.0,39.0,52.0,43.0,26.0,45.0,17.0,35.0,11.0,28.0,18.0,20.0,37.0,24.0,12.0,5.0,12.0,17.0,18.0,36.0,38.0,36.0,34.0,30.0,28.0,41.0,25.0,31.0,27.0,30.0,21.0,37.0,27.0,31.0,36.0,18.0,13.0,11.0,29.0,35.0,55.0,36.0,6.0,51.0,32.0
252,64,1990SJ00,498732.0,44537.0,5706.0,6832.0,8247.0,2637.0,21116.0,153236.0,27321.0,17671.0,573.0,4172.0,3643.0,6776.0,9109.0,10948.0,35342.0,37680.0,19034.0,8373.0,50468.0,21229.0,4904.0,5675.0,5225.0,5426.0,12080.0,2697.0,4628.0,4755.0,17159.0,8080.0,5224.0,3855.0,70072.0,94038.0,18657.0,7986.0,10670.0,75381.0,2993.0,18131.0,17416.0,6881.0,20332.0,9628.0,58974.0,2000.0,47426.0,5518.0,1741.0,2290.0,57.0,75.0,63.0,78.0,90.0,67.0,74.0,58.0,46.0,47.0,30.0,61.0,62.0,71.0,50.0,81.0,61.0,71.0,70.0,41.0,62.0,77.0,88.0,80.0,68.0,74.0,48.0,44.0,44.0,56.0,61.0,65.0,53.0,67.0,54.0,56.0,53.0,59.0,49.0,57.0,47.0,45.0,55.0,73.0,84.0,55.0,50.0,21.0,52.0,88.0,33.0,39.0
253,64,1995SJ00,495754.0,37466.0,5484.0,3511.0,4801.0,3133.0,20537.0,164723.0,26604.0,18705.0,1316.0,3209.0,3532.0,7788.0,15479.0,13018.0,34794.0,40278.0,20950.0,7166.0,53725.0,25325.0,5504.0,6793.0,6904.0,6124.0,10661.0,2170.0,3358.0,5133.0,17738.0,8163.0,5145.0,4430.0,63378.0,91894.0,18608.0,8485.0,10123.0,73286.0,1982.0,17016.0,22470.0,6341.0,15499.0,9978.0,56452.0,2098.0,42616.0,7515.0,362.0,3862.0,53.0,70.0,64.0,72.0,83.0,70.0,70.0,55.0,45.0,44.0,35.0,60.0,59.0,64.0,50.0,77.0,55.0,71.0,63.0,41.0,60.0,77.0,90.0,80.0,73.0,70.0,42.0,34.0,35.0,57.0,56.0,61.0,44.0,67.0,49.0,49.0,45.0,49.0,42.0,51.0,41.0,39.0,47.0,70.0,80.0,53.0,44.0,21.0,44.0,89.0,9.0,41.0
254,64,2001SJ00,523567.0,39893.0,5987.0,3717.0,5379.0,3333.0,21378.0,159170.0,30350.0,19603.0,1116.0,3533.0,2406.0,7681.0,14989.0,3832.0,30941.0,44441.0,25458.0,7593.0,66046.0,35045.0,10497.0,8050.0,7785.0,8713.0,12345.0,1933.0,4363.0,6049.0,18494.0,7658.0,3921.0,6799.0,60251.0,114913.0,29292.0,15486.0,13805.0,85622.0,3842.0,21187.0,30751.0,6149.0,13308.0,10385.0,50244.0,1126.0,37083.0,6828.0,366.0,4774.0,53.0,69.0,56.0,60.0,78.0,70.0,73.0,52.0,46.0,41.0,18.0,49.0,64.0,67.0,45.0,68.0,52.0,71.0,70.0,35.0,60.0,75.0,87.0,76.0,71.0,67.0,43.0,30.0,39.0,54.0,54.0,59.0,39.0,62.0,53.0,51.0,50.0,59.0,43.0,52.0,40.0,38.0,57.0,69.0,74.0,54.0,44.0,14.0,44.0,91.0,11.0,40.0
255,64,2006SJ00,494227.0,31033.0,4277.0,2181.0,2901.0,3374.0,18150.0,131898.0,21568.0,11818.0,2697.0,3598.0,1299.0,4866.0,13350.0,2459.0,26229.0,42505.0,25983.0,4001.0,73444.0,38006.0,13322.0,7774.0,9839.0,7072.0,14289.0,3125.0,5385.0,5780.0,20850.0,9081.0,4082.0,7291.0,72521.0,113724.0,29485.0,14481.0,15003.0,84240.0,2832.0,28742.0,24409.0,6224.0,10461.0,11266.0,41623.0,965.0,24772.0,8163.0,510.0,6854.0,55.0,75.0,63.0,78.0,92.0,69.0,77.0,53.0,45.0,34.0,40.0,50.0,39.0,64.0,47.0,65.0,55.0,70.0,68.0,37.0,62.0,78.0,88.0,78.0,72.0,71.0,45.0,38.0,43.0,52.0,55.0,59.0,44.0,61.0,54.0,53.0,52.0,58.0,47.0,53.0,34.0,45.0,57.0,66.0,82.0,54.0,43.0,11.0,41.0,89.0,27.0,45.0
256,65,1990SJ00,7731.0,302.0,151.0,20.0,0.0,0.0,131.0,2431.0,623.0,124.0,0.0,107.0,19.0,12.0,323.0,101.0,449.0,674.0,125.0,147.0,553.0,137.0,0.0,0.0,117.0,20.0,252.0,64.0,69.0,120.0,164.0,41.0,112.0,11.0,926.0,2474.0,607.0,425.0,182.0,1866.0,106.0,554.0,836.0,9.0,163.0,198.0,773.0,0.0,679.0,20.0,0.0,73.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
257,65,1995SJ00,8155.0,155.0,38.0,30.0,0.0,26.0,61.0,1952.0,421.0,316.0,0.0,0.0,30.0,,143.0,83.0,498.0,461.0,201.0,38.0,555.0,141.0,0.0,58.0,50.0,33.0,258.0,53.0,77.0,127.0,157.0,89.0,40.0,28.0,981.0,3283.0,647.0,380.0,267.0,2635.0,202.0,459.0,1345.0,102.0,312.0,216.0,990.0,120.0,761.0,33.0,62.0,14.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0
258,65,2001SJ00,6197.0,207.0,39.0,110.0,0.0,0.0,58.0,1618.0,458.0,240.0,0.0,0.0,0.0,0.0,320.0,115.0,331.0,154.0,217.0,22.0,321.0,73.0,0.0,73.0,0.0,0.0,134.0,0.0,28.0,105.0,114.0,59.0,0.0,55.0,803.0,2454.0,606.0,272.0,334.0,1848.0,100.0,634.0,645.0,90.0,192.0,188.0,554.0,0.0,406.0,36.0,0.0,112.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
