ID,Kenmerken,Perioden,TotaalAantalDagtochten_1,TotaalZonnenZwemmenEnDergelijke_2,OpStrandBijDeZee_3,OpStrandBijMeerPlas_4,InOpenluchtzwembad_5,NietAanHetWater_6,InBinnenbad_7,TotaalSportEnSportieveRecreatie_8,Wandelen_9,Fietsen_10,Golfen_11,Watersport_12,Vissen_13,Paardrijden_14,TrimmenHardlopenFitnessED_15,Schaatsen_16,OverigeBinnensport_17,OverigeBuitensport_18,ToeschouwerBegeleiderBijSport_19,Toeren_20,TotaalBezoekAttractiepuntED_21,TotaalBezoekAttractiepunt_22,BezoekSpeeltuinUitspanning_23,BezoekPretparkED_24,BezoekAanDierentuinVogelparkED_25,BezoekKinderboerderijHeemtuinED_26,TotaalBezoekBezienswaardigheid_27,BezoekOudeStadDorp_28,BezoekMuseum_29,BezoekMonumentenED_30,TotaalBezoekEvenement_31,BezoekJaarmarktBraderieCorsoED_32,BezoekBeursTentoonstellingShow_33,BezoekOverigeEvenementen_34,RecreatiefWinkelen_35,TotaalUitgaan_36,TotaalFilmToneelConcertED_37,NaarDeFilm_38,NaarToneelConcertBalletED_39,TotaalOverigUitgaan_40,TerrasjeZittenKoffieDrinkenED_41,UitEtenGaan_42,BarCafebezoek_43,KermisCircus_44,DiscoBowling_45,OverigUitgaan_46,TotaalOverigeDagtochten_47,BezoekDenksportActiviteit_48,VerenigingsactiviteitenHobbyclubsED_49,BezoekKinderactiviteiten_50,BezoekVolkstuin_51,BezoekNatuurEnOverigeActiviteiten_52,TotaalAantalDagtochten_53,TotaalZonnenEnDergelijke_54,OpStrandBijDeZee_55,OpStrandBijMeerPlas_56,InOpenluchtzwembad_57,NietAanHetWater_58,InBinnenbad_59,TotaalSportEnSportieveRecreatie_60,Wandelen_61,Fietsen_62,Golfen_63,Watersport_64,Vissen_65,Paardrijden_66,TrimmenHardlopenFitnessED_67,Schaatsen_68,OverigeBinnensport_69,OverigeBuitensport_70,ToeschouwerBegeleiderBijSport_71,Toeren_72,TotaalBezoekAttractiepuntED_73,TotaalBezoekAttractiepunt_74,BezoekSpeeltuinUitspanning_75,BezoekPretparkED_76,BezoekAanDierentuinVogelparkED_77,BezoekKinderboerderijHeemtuinED_78,TotaalBezoekBezienswaardigheid_79,BezoekOudeStadDorp_80,BezoekMuseum_81,BezoekMonumentenED_82,TotaalBezoekEvenement_83,BezoekJaarmarktBraderieCorsoED_84,BezoekBeursTentoonstellingShow_85,BezoekOverigeEvenementen_86,RecreatiefWinkelen_87,TotaalUitgaan_88,TotaalFilmToneelConcertED_89,NaarDeFilm_90,NaarToneelConcertBalletED_91,TotaalOverigUitgaan_92,TerrasjeZittenKoffieDrinkenED_93,UitEtenGaan_94,BarCafebezoek_95,KermisCircus_96,DiscoBowling_97,OverigUitgaan_98,TotaalOverigeDagtochten_99,BezoekDenksportActiviteit_100,VerenigingsactiviteitenHobbyclubsED_101,BezoekKinderactiviteiten_102,BezoekVolkstuin_103,BezoekNatuurEnOverigeActiviteiten_104
222,56,2001SJ00,179117.0,24145.0,2728.0,1782.0,4503.0,1705.0,13408.0,60833.0,11579.0,6171.0,0.0,1895.0,1021.0,4631.0,481.0,2061.0,10565.0,22357.0,5401.0,2093.0,33206.0,22778.0,8209.0,4829.0,4546.0,5193.0,4494.0,570.0,1999.0,1925.0,5839.0,2941.0,775.0,2092.0,16891.0,22058.0,8121.0,5172.0,2950.0,13937.0,707.0,4188.0,800.0,3413.0,1471.0,3358.0,14490.0,171.0,7576.0,5408.0,296.0,1038.0,18.0,42.0,26.0,29.0,66.0,36.0,45.0,20.0,18.0,13.0,0.0,26.0,27.0,40.0,1.0,36.0,18.0,35.0,15.0,10.0,30.0,49.0,68.0,46.0,41.0,40.0,16.0,9.0,18.0,17.0,17.0,23.0,8.0,19.0,15.0,10.0,14.0,20.0,9.0,8.0,7.0,8.0,1.0,8.0,41.0,18.0,13.0,2.0,9.0,72.0,9.0,9.0
223,56,2006SJ00,177749.0,19779.0,1536.0,1547.0,2342.0,2312.0,11997.0,53380.0,9306.0,2833.0,72.0,958.0,645.0,2906.0,1180.0,1617.0,9264.0,24141.0,6267.0,814.0,38664.0,25727.0,10800.0,4675.0,5636.0,4616.0,5829.0,627.0,2668.0,2534.0,6904.0,3749.0,727.0,2212.0,18976.0,23608.0,8093.0,5225.0,2868.0,15515.0,514.0,5112.0,583.0,3504.0,2254.0,3524.0,16261.0,496.0,6784.0,6184.0,304.0,2471.0,20.0,48.0,23.0,56.0,74.0,47.0,51.0,21.0,19.0,8.0,1.0,13.0,19.0,38.0,4.0,43.0,19.0,40.0,16.0,7.0,32.0,53.0,71.0,47.0,41.0,46.0,18.0,8.0,21.0,23.0,18.0,24.0,8.0,18.0,14.0,11.0,14.0,21.0,9.0,10.0,6.0,8.0,1.0,14.0,46.0,17.0,17.0,6.0,11.0,67.0,16.0,16.0
224,57,1990SJ00,182610.0,9865.0,2080.0,2375.0,1481.0,251.0,3678.0,50053.0,4576.0,3034.0,16.0,1793.0,647.0,2856.0,4386.0,3045.0,14643.0,15056.0,5384.0,2299.0,8962.0,2063.0,50.0,783.0,807.0,424.0,2653.0,619.0,909.0,1125.0,4246.0,1833.0,1267.0,1146.0,24793.0,62459.0,10166.0,5880.0,4285.0,52293.0,2450.0,6458.0,18457.0,2215.0,19120.0,3593.0,18795.0,108.0,16999.0,974.0,25.0,689.0,21.0,17.0,23.0,27.0,16.0,6.0,13.0,19.0,8.0,8.0,1.0,26.0,11.0,30.0,24.0,23.0,25.0,28.0,20.0,11.0,11.0,7.0,1.0,11.0,11.0,6.0,10.0,10.0,9.0,13.0,15.0,15.0,13.0,20.0,19.0,37.0,29.0,43.0,20.0,40.0,38.0,16.0,58.0,69.0,27.0,20.0,16.0,1.0,19.0,16.0,0.0,12.0
225,57,1995SJ00,163076.0,5414.0,1274.0,1265.0,453.0,438.0,1985.0,45198.0,3026.0,2027.0,179.0,1204.0,1460.0,2791.0,6992.0,1972.0,11308.0,14240.0,4623.0,1782.0,9259.0,2767.0,202.0,1021.0,674.0,871.0,2128.0,549.0,492.0,1087.0,4363.0,1832.0,1104.0,1427.0,19426.0,60449.0,8534.0,5643.0,2891.0,51915.0,1316.0,5658.0,24062.0,1850.0,15410.0,3619.0,16924.0,131.0,15527.0,664.0,0.0,601.0,17.0,10.0,15.0,26.0,8.0,10.0,7.0,15.0,5.0,5.0,5.0,22.0,25.0,23.0,22.0,12.0,18.0,25.0,14.0,10.0,10.0,8.0,3.0,12.0,7.0,10.0,8.0,9.0,5.0,12.0,14.0,14.0,9.0,21.0,15.0,32.0,21.0,32.0,12.0,36.0,27.0,13.0,50.0,69.0,23.0,19.0,13.0,1.0,16.0,8.0,0.0,6.0
226,57,2001SJ00,159704.0,5782.0,1077.0,1194.0,352.0,547.0,2588.0,43394.0,3685.0,2654.0,124.0,631.0,294.0,2125.0,7916.0,487.0,10876.0,14548.0,4226.0,1606.0,9527.0,2549.0,35.0,1110.0,661.0,743.0,2383.0,330.0,631.0,1422.0,4595.0,1506.0,544.0,2544.0,15748.0,66174.0,11745.0,8366.0,3379.0,54429.0,3020.0,6878.0,27976.0,1164.0,12726.0,2664.0,13246.0,24.0,11739.0,659.0,0.0,825.0,16.0,10.0,10.0,19.0,5.0,11.0,9.0,14.0,6.0,6.0,2.0,9.0,8.0,18.0,24.0,9.0,18.0,23.0,12.0,7.0,9.0,5.0,0.0,11.0,6.0,6.0,8.0,5.0,6.0,13.0,13.0,12.0,5.0,23.0,14.0,30.0,20.0,32.0,11.0,33.0,32.0,12.0,52.0,66.0,14.0,14.0,12.0,0.0,14.0,9.0,0.0,7.0
227,57,2006SJ00,144494.0,3567.0,778.0,424.0,259.0,358.0,1703.0,36846.0,1925.0,1015.0,231.0,1689.0,130.0,1794.0,5158.0,409.0,9180.0,14804.0,6386.0,1315.0,8769.0,2039.0,0.0,737.0,793.0,509.0,2030.0,578.0,534.0,917.0,4700.0,923.0,886.0,2758.0,19591.0,56796.0,12320.0,7785.0,4534.0,44476.0,1411.0,7342.0,21597.0,882.0,9257.0,3710.0,11224.0,113.0,8881.0,691.0,33.0,1194.0,16.0,9.0,12.0,15.0,8.0,7.0,7.0,15.0,4.0,3.0,3.0,23.0,4.0,23.0,18.0,11.0,19.0,25.0,17.0,12.0,7.0,4.0,0.0,7.0,6.0,5.0,6.0,7.0,4.0,8.0,13.0,6.0,10.0,23.0,15.0,26.0,22.0,31.0,14.0,28.0,17.0,12.0,50.0,59.0,12.0,18.0,12.0,1.0,15.0,8.0,2.0,8.0
228,58,1990SJ00,279212.0,15848.0,3339.0,2893.0,1755.0,1169.0,6692.0,88026.0,18918.0,10208.0,320.0,2377.0,1661.0,1824.0,9584.0,4366.0,21898.0,16870.0,11767.0,5111.0,26622.0,8408.0,1200.0,2353.0,2744.0,2110.0,7544.0,1638.0,3198.0,2707.0,10671.0,4601.0,3774.0,2296.0,43057.0,55935.0,12913.0,4685.0,8228.0,43022.0,1816.0,18099.0,10363.0,2274.0,4668.0,5803.0,32846.0,1004.0,28696.0,721.0,895.0,1530.0,32.0,27.0,37.0,33.0,19.0,30.0,23.0,33.0,32.0,27.0,17.0,35.0,28.0,19.0,52.0,32.0,38.0,32.0,43.0,25.0,33.0,30.0,22.0,33.0,36.0,29.0,30.0,26.0,30.0,32.0,38.0,37.0,38.0,40.0,33.0,33.0,36.0,34.0,38.0,33.0,28.0,45.0,33.0,17.0,28.0,33.0,28.0,10.0,31.0,12.0,17.0,26.0
229,58,1995SJ00,296624.0,13006.0,2768.0,1242.0,978.0,1432.0,6586.0,95161.0,18100.0,10149.0,758.0,1437.0,1278.0,4203.0,15918.0,4664.0,23680.0,14974.0,14046.0,4722.0,26614.0,9614.0,1606.0,2577.0,3062.0,2370.0,5731.0,1423.0,1925.0,2383.0,11268.0,4894.0,4338.0,2037.0,43255.0,65774.0,15396.0,6595.0,8801.0,50378.0,1493.0,18594.0,18032.0,2179.0,3601.0,6479.0,34045.0,1101.0,29083.0,964.0,314.0,2583.0,32.0,24.0,32.0,25.0,17.0,32.0,22.0,32.0,30.0,24.0,20.0,27.0,21.0,35.0,51.0,27.0,38.0,26.0,42.0,27.0,30.0,29.0,26.0,31.0,32.0,27.0,23.0,22.0,20.0,26.0,35.0,36.0,37.0,31.0,34.0,35.0,37.0,38.0,37.0,35.0,31.0,43.0,38.0,16.0,27.0,34.0,26.0,11.0,30.0,11.0,8.0,28.0
230,58,2001SJ00,310873.0,15474.0,3870.0,1787.0,1156.0,1299.0,7278.0,95092.0,19510.0,11690.0,1456.0,2693.0,670.0,3918.0,15653.0,2135.0,21583.0,15620.0,16089.0,5501.0,29496.0,12467.0,3033.0,3083.0,3340.0,3011.0,5707.0,1451.0,1717.0,2539.0,11256.0,4478.0,3149.0,3536.0,39913.0,82500.0,20555.0,8827.0,11729.0,61945.0,3019.0,25238.0,21348.0,2467.0,3707.0,6166.0,26808.0,478.0,21851.0,1066.0,246.0,3125.0,32.0,27.0,37.0,29.0,17.0,27.0,25.0,31.0,30.0,24.0,23.0,38.0,18.0,34.0,47.0,38.0,36.0,25.0,44.0,26.0,27.0,27.0,25.0,29.0,30.0,23.0,20.0,22.0,15.0,23.0,33.0,34.0,31.0,32.0,35.0,37.0,35.0,34.0,37.0,37.0,32.0,46.0,39.0,19.0,30.0,32.0,23.0,6.0,26.0,14.0,7.0,26.0
231,58,2006SJ00,237725.0,9980.0,2929.0,500.0,327.0,1114.0,4956.0,55992.0,10487.0,5029.0,878.0,2208.0,525.0,2013.0,9429.0,762.0,13105.0,11135.0,12613.0,2380.0,30116.0,13264.0,3475.0,3242.0,4257.0,2290.0,5365.0,1419.0,1637.0,2310.0,11258.0,4736.0,2607.0,3682.0,39554.0,70170.0,17148.0,6564.0,10583.0,53022.0,2657.0,24148.0,15851.0,1745.0,2737.0,5652.0,16921.0,249.0,10776.0,1722.0,160.0,3804.0,26.0,24.0,43.0,18.0,10.0,23.0,21.0,22.0,22.0,14.0,13.0,30.0,16.0,26.0,33.0,20.0,27.0,18.0,33.0,22.0,25.0,27.0,23.0,33.0,31.0,23.0,17.0,17.0,13.0,21.0,30.0,31.0,28.0,31.0,29.0,32.0,30.0,26.0,33.0,33.0,32.0,38.0,37.0,17.0,23.0,27.0,18.0,3.0,18.0,19.0,9.0,25.0
