ID,RegioS,BronEnTechniek,Perioden,OpgesteldElektrischVermogen_1,NietGenormaliseerdeProductie_2,GenormaliseerdeProductie_3
0,NL01  ,E006590 ,2018JJ00,4609.0,3693.0,3693.0
1,NL01  ,E006590 ,2019JJ00,7226.0,5399.0,5399.0
2,NL01  ,E006590 ,2020JJ00,11108.0,8567.0,8567.0
3,NL01  ,E006590 ,2021JJ00,14823.0,11304.0,11304.0
4,NL01  ,E006590 ,2022JJ00,19536.0,16659.0,16659.0
5,NL01  ,E006590 ,2023JJ00,24712.0,19607.0,19607.0
6,NL01  ,E006590 ,2024JJ00,27980.0,21822.0,21822.0
7,NL01  ,A050176 ,2018JJ00,2480.0,2154.0,2154.0
8,NL01  ,A050176 ,2019JJ00,3473.0,2806.0,2806.0
9,NL01  ,A050176 ,2020JJ00,4677.0,3931.0,3931.0
10,NL01  ,A050176 ,2021JJ00,6069.0,4831.0,4831.0
11,NL01  ,A050176 ,2022JJ00,8336.0,7032.0,7032.0
12,NL01  ,A050176 ,2023JJ00,10808.0,8701.0,8701.0
13,NL01  ,A050176 ,2024JJ00,12109.0,10044.0,10044.0
14,NL01  ,A050177 ,2018JJ00,2129.0,1539.0,1539.0
15,NL01  ,A050177 ,2019JJ00,3753.0,2593.0,2593.0
16,NL01  ,A050177 ,2020JJ00,6431.0,4636.0,4636.0
17,NL01  ,A050177 ,2021JJ00,8754.0,6473.0,6473.0
18,NL01  ,A050177 ,2022JJ00,11200.0,9626.0,9626.0
19,NL01  ,A050177 ,2023JJ00,13904.0,10906.0,10906.0
20,NL01  ,A050177 ,2024JJ00,15871.0,11778.0,11778.0
21,NL01  ,E006637 ,2018JJ00,3436.0,6918.0,6578.0
22,NL01  ,E006637 ,2019JJ00,3527.0,7935.0,7429.0
23,NL01  ,E006637 ,2020JJ00,4188.0,9794.0,8962.0
24,NL01  ,E006637 ,2021JJ00,5186.0,10058.0,10454.0
25,NL01  ,E006637 ,2022JJ00,6131.0,13440.0,12957.0
26,NL01  ,E006637 ,2023JJ00,6692.0,17842.0,15717.0
27,NL01  ,E006637 ,2024JJ00,6955.0,18021.0,17198.0
28,PV20  ,E006590 ,2018JJ00,272.0,233.0,233.0
29,PV20  ,E006590 ,2019JJ00,492.0,304.0,304.0
30,PV20  ,E006590 ,2020JJ00,943.0,594.0,594.0
31,PV20  ,E006590 ,2021JJ00,1156.0,901.0,901.0
32,PV20  ,E006590 ,2022JJ00,1335.0,1182.0,1182.0
33,PV20  ,E006590 ,2023JJ00,1668.0,1342.0,1342.0
34,PV20  ,E006590 ,2024JJ00,1877.0,1469.0,1469.0
35,PV20  ,A050176 ,2018JJ00,127.0,111.0,111.0
36,PV20  ,A050176 ,2019JJ00,161.0,130.0,130.0
37,PV20  ,A050176 ,2020JJ00,213.0,171.0,171.0
38,PV20  ,A050176 ,2021JJ00,276.0,211.0,211.0
39,PV20  ,A050176 ,2022JJ00,359.0,288.0,288.0
40,PV20  ,A050176 ,2023JJ00,463.0,369.0,369.0
41,PV20  ,A050176 ,2024JJ00,519.0,425.0,425.0
42,PV20  ,A050177 ,2018JJ00,146.0,122.0,122.0
43,PV20  ,A050177 ,2019JJ00,330.0,175.0,175.0
44,PV20  ,A050177 ,2020JJ00,730.0,423.0,423.0
45,PV20  ,A050177 ,2021JJ00,881.0,689.0,689.0
46,PV20  ,A050177 ,2022JJ00,976.0,894.0,894.0
47,PV20  ,A050177 ,2023JJ00,1205.0,973.0,973.0
48,PV20  ,A050177 ,2024JJ00,1358.0,1045.0,1045.0
49,PV20  ,E006637 ,2018JJ00,447.0,975.0,927.0
50,PV20  ,E006637 ,2019JJ00,450.0,1054.0,986.0
