ID,VehicleCategory,YearOfConstructionOfVehicle,RoadType,CO_1,VOC_2,NOx_3,PM10_4
94,PaLPG,2000 ,2,2.85,0.19,0.27,0.003
95,PaLPG,2000 ,3,1.16,0.02,0.31,0.003
96,PaLPG,2001 ,1,2.58,0.4,0.39,0.005
97,PaLPG,2001 ,2,2.57,0.17,0.2,0.002
98,PaLPG,2001 ,3,1.0,0.01,0.15,0.002
99,PaLPG,2002 ,1,2.58,0.4,0.39,0.005
100,PaLPG,2002 ,2,2.57,0.17,0.2,0.002
101,PaLPG,2002 ,3,1.0,0.01,0.15,0.002
102,PaLPG,2003 ,1,2.25,0.4,0.27,0.005
103,PaLPG,2003 ,2,2.19,0.16,0.13,0.002
104,PaLPG,2003 ,3,0.9,0.01,0.09,0.002
105,PaLPG,2004 ,1,2.09,0.4,0.21,0.005
106,PaLPG,2004 ,2,2.01,0.15,0.1,0.002
107,PaLPG,2004 ,3,0.85,0.01,0.05,0.002
108,PaLPG,2005 ,1,1.92,0.39,0.15,0.005
109,PaLPG,2005 ,2,1.82,0.15,0.06,0.002
110,PaLPG,2005 ,3,0.8,0.01,0.02,0.002
111,PaLPG,2006 ,1,1.92,0.39,0.15,0.005
112,PaLPG,2006 ,2,1.82,0.15,0.06,0.002
113,PaLPG,2006 ,3,0.8,0.01,0.02,0.002
114,PaLPG,2007 ,1,1.92,0.39,0.15,0.005
115,PaLPG,2007 ,2,1.82,0.15,0.06,0.002
116,PaLPG,2007 ,3,0.8,0.01,0.02,0.002
117,PaLPG,2008 ,1,1.92,0.39,0.15,0.005
118,PaLPG,2008 ,2,1.82,0.15,0.06,0.002
119,PaLPG,2008 ,3,0.8,0.01,0.02,0.002
120,Baben,-1999,1,10.76,1.55,1.26,0.023
121,Baben,-1999,2,6.99,0.65,1.27,0.013
122,Baben,-1999,3,5.0,0.44,1.8,0.014
123,Baben,2000 ,1,2.83,0.23,0.2,0.006
124,Baben,2000 ,2,1.34,0.04,0.12,0.003
125,Baben,2000 ,3,1.3,0.04,0.06,0.003
126,Baben,2001 ,1,1.78,0.22,0.1,0.004
127,Baben,2001 ,2,0.94,0.02,0.02,0.001
128,Baben,2001 ,3,0.63,0.01,0.04,0.001
129,Baben,2002 ,1,1.78,0.22,0.1,0.004
130,Baben,2002 ,2,0.94,0.02,0.02,0.001
131,Baben,2002 ,3,0.63,0.01,0.04,0.001
132,Baben,2003 ,1,1.58,0.21,0.08,0.004
133,Baben,2003 ,2,0.59,0.01,0.03,0.001
134,Baben,2003 ,3,0.54,0.01,0.03,0.001
