ID,GWW,Periods,InputPriceIndices_1,ChangesComparedTo1YearEarlier_2
91,A048123,2021MM10,103.8,3.8
92,A048123,2021MM11,104.3,4.1
93,A048123,2021MM12,104.6,3.9
94,A048123,2022MM01,108.1,6.8
95,A048123,2022MM02,109.0,7.3
96,A048123,2022MM03,112.1,9.9
97,A048123,2022MM04,113.0,11.5
98,A048123,2022MM05,114.2,11.4
99,A048123,2022MM06,115.8,12.8
100,A048123,2022MM07,116.0,13.0
101,A048123,2022MM08,116.5,13.5
102,A048123,2022MM09,116.5,13.4
103,A048123,2022MM10,118.5,14.2
104,A048123,2022MM11,117.5,12.7
105,A048123,2022MM12,116.1,11.0
106,A048123,2023MM01,121.3,12.2
107,A048123,2023MM02,120.0,10.1
108,A048123,2023MM03,122.0,8.8
109,A048123,2023MM04,122.8,8.7
110,A048123,2023MM05,122.9,7.6
111,A048123,2023MM06,122.8,6.1
112,A048123,2023MM07,124.2,7.1
113,A048123,2023MM08,125.5,7.7
114,A048123,2023MM09,126.4,8.5
115,A048123,2023MM10,125.9,6.3
116,A048123,2023MM11,125.3,6.6
117,A048123,2023MM12,124.9,7.6
118,A048123,2024MM01,127.5,5.2
119,A048123,2024MM02,127.9,6.6
120,A048123,2024MM03,128.2,5.0
121,A048123,2024MM04,127.9,4.2
122,A048123,2024MM05,127.5,3.8
123,A048123,2024MM06,127.3,3.6
124,A048123,2024MM07,129.5,4.2
125,A048123,2024MM08,129.1,2.9
126,A048123,2024MM09,128.5,1.6
127,A048123,2024MM10,129.5,2.8
128,A048123,2024MM11,129.7,3.5
129,A048123,2024MM12,129.5,3.6
130,A048123,2025MM01,130.7,2.5
131,A048123,2025MM02,131.0,2.4
132,A048123,2025MM03,131.7,2.7
133,A048123,2025MM04,131.3,2.6
134,A048123,2025MM05,132.1,3.6
135,A048123,2025MM06,132.4,4.1
136,A048123,2025MM07,133.5,3.1
137,A048123,2025MM08,133.2,3.1
138,A048123,2025MM09,133.4,3.8
139,A048123,2025MM10,134.3,3.7
140,A048124,2020MM01,106.4,
141,A048124,2020MM02,105.9,
142,A048124,2020MM03,102.5,
143,A048124,2020MM04,95.2,
144,A048124,2020MM05,92.4,
145,A048124,2020MM06,95.3,
146,A048124,2020MM07,101.9,
147,A048124,2020MM08,102.5,
148,A048124,2020MM09,102.0,
149,A048124,2020MM10,99.2,
150,A048124,2020MM11,98.4,
151,A048124,2020MM12,98.3,
152,A048124,2021MM01,100.6,-5.4
153,A048124,2021MM02,102.8,-2.9
154,A048124,2021MM03,107.0,4.4
155,A048124,2021MM04,109.8,15.3
156,A048124,2021MM05,110.5,19.6
157,A048124,2021MM06,111.2,16.6
158,A048124,2021MM07,113.5,11.5
159,A048124,2021MM08,113.9,11.1
160,A048124,2021MM09,114.2,12.0
161,A048124,2021MM10,118.3,19.3
162,A048124,2021MM11,124.1,26.2
163,A048124,2021MM12,120.9,23.0
164,A048124,2022MM01,121.8,21.0
165,A048124,2022MM02,130.3,26.7
166,A048124,2022MM03,139.0,29.9
167,A048124,2022MM04,159.5,45.2
168,A048124,2022MM05,157.0,42.1
169,A048124,2022MM06,162.2,46.0
170,A048124,2022MM07,156.7,38.0
171,A048124,2022MM08,151.5,33.0
