ID,ConsumptionByHouseholds,Periods,Indices_1,VolumeChanges_2,VolumeChangesShoppingdayAdjusted_3,Indices_4,ValueChanges_5,PriceChanges_6
5251,A048213,2016MM06,113.0,-0.3,,115.2,2.2,2.5
5252,A048213,2016KW02,109.8,-1.8,,111.8,0.4,2.2
5253,A048213,2016MM07,105.7,-0.6,,107.8,1.7,2.3
5254,A048213,2016MM08,101.4,-0.5,,103.4,2.3,2.8
5255,A048213,2016MM09,99.6,1.8,,101.0,3.9,2.1
5256,A048213,2016KW03,102.2,0.2,,104.0,2.6,2.4
5257,A048213,2016MM10,90.7,-1.3,,91.8,0.8,2.1
5258,A048213,2016MM11,95.5,6.7,,95.9,7.8,1.0
5259,A048213,2016MM12,118.1,2.4,,118.6,2.3,-0.1
5260,A048213,2016KW04,101.4,2.5,,102.1,3.5,1.0
5261,A048213,2017MM01,90.4,1.2,,90.9,1.2,0.0
5262,A048213,2017MM02,81.8,-1.0,,83.8,-0.8,0.2
5263,A048213,2017MM03,96.7,4.3,,98.0,3.4,-0.8
5264,A048213,2017KW01,89.7,1.6,,90.9,1.4,-0.2
5265,A048213,2017MM04,109.5,2.0,,111.1,2.3,0.3
5266,A048213,2017MM05,115.4,5.9,,118.1,5.8,-0.1
5267,A048213,2017MM06,115.2,1.9,,119.1,3.4,1.5
5268,A048213,2017KW02,113.3,3.3,,116.1,3.9,0.6
5269,A048213,2017MM07,107.3,1.6,,109.1,1.2,-0.3
5270,A048213,2017MM08,104.9,3.5,,106.8,3.3,-0.1
5271,A048213,2017MM09,103.6,4.0,,105.0,3.9,-0.1
5272,A048213,2017KW03,105.3,3.0,,107.0,2.8,-0.2
5273,A048213,2017MM10,90.4,-0.3,,92.0,0.2,0.5
5274,A048213,2017MM11,99.2,3.8,,100.9,5.3,1.4
5275,A048213,2017MM12,116.8,-1.1,,119.2,0.5,1.6
5276,A048213,2017KW04,102.1,0.7,,104.0,1.9,1.2
5277,A048213,2018MM01,93.4,3.3,,96.7,6.3,2.9
5278,A048213,2018MM02,83.6,2.2,,87.4,4.2,2.0
5279,A048213,2018MM03,97.9,1.2,,102.5,4.6,3.3
5280,A048213,2018KW01,91.7,2.2,,95.5,5.1,2.8
5281,A048213,2018MM04,107.6,-1.8,,112.2,1.0,2.8
5282,A048213,2018MM05,116.1,0.6,,121.6,3.0,2.4
5283,A048213,2018MM06,118.6,3.0,,123.4,3.6,0.6
5284,A048213,2018KW02,114.1,0.6,,119.0,2.6,1.9
5285,A048213,2018MM07,106.6,-0.7,,110.5,1.3,2.0
5286,A048213,2018MM08,104.6,-0.2,,109.3,2.3,2.6
