ID,Geslacht,Leeftijd,TypeZorg,Herkomstgroepering,Perioden,AantalInVerslagjaar_1,PercentageInVerslagjaar_2,TotaalUrenInVerslagjaar_3,GemiddeldPerPersoonInVerslagjaar_4,GemiddeldInBevolkingInVerslagjaar_5
0,0,0, 0,0,2004JJ00,608095,4.77,89515,147,7.02
1,0,0, 0,0,2005JJ00,595375,4.66,90493,152,7.08
2,0,0, 0,0,2006JJ00,607575,4.74,95031,156,7.42
3,0,0, 0,0,2007JJ00,610180,4.76,95279,156,7.43
4,0,0, 0,0,2008JJ00,620190,4.79,96447,156,7.44
5,0,0, 0,0,2009JJ00,620890,4.76,99194,160,7.6
6,0,0, 0,0,2010JJ00,629155,4.79,101725,162,7.74
7,0,0, 0,1,2004JJ00,540110,5.15,80354,149,7.66
8,0,0, 0,1,2005JJ00,527695,5.03,81086,154,7.72
9,0,0, 0,1,2006JJ00,537485,5.12,84845,158,8.07
10,0,0, 0,1,2007JJ00,538580,5.12,84925,158,8.08
11,0,0, 0,1,2008JJ00,545340,5.16,85735,157,8.12
12,0,0, 0,1,2009JJ00,544755,5.14,87944,161,8.3
13,0,0, 0,1,2010JJ00,549320,5.17,89575,163,8.43
14,0,0, 0,2,2004JJ00,67985,3.01,9162,135,4.05
15,0,0, 0,2,2005JJ00,67675,2.96,9407,139,4.11
16,0,0, 0,2,2006JJ00,70090,3.04,10186,145,4.42
17,0,0, 0,2,2007JJ00,71600,3.09,10354,145,4.47
18,0,0, 0,2,2008JJ00,74850,3.13,10712,143,4.47
19,0,0, 0,2,2009JJ00,76135,3.1,11251,148,4.58
20,0,0, 0,2,2010JJ00,79835,3.18,12150,152,4.84
21,0,0, 0,3,2004JJ00,51055,4.37,7248,142,6.2
22,0,0, 0,3,2005JJ00,50465,4.3,7391,146,6.3
23,0,0, 0,3,2006JJ00,51770,4.41,7850,152,6.68
24,0,0, 0,3,2007JJ00,52050,4.44,7828,150,6.67
25,0,0, 0,3,2008JJ00,53630,4.46,8058,150,6.7
26,0,0, 0,3,2009JJ00,54085,4.42,8367,155,6.84
27,0,0, 0,3,2010JJ00,55370,4.47,8729,158,7.05
28,0,0, 0,4,2004JJ00,16930,1.55,1913,113,1.75
29,0,0, 0,4,2005JJ00,17215,1.55,2017,117,1.81
30,0,0, 0,4,2006JJ00,18320,1.62,2336,127,2.07
31,0,0, 0,4,2007JJ00,19550,1.71,2526,129,2.2
32,0,0, 0,4,2008JJ00,21220,1.78,2654,125,2.23
33,0,0, 0,4,2009JJ00,22050,1.79,2883,131,2.33
34,0,0, 0,4,2010JJ00,24465,1.92,3421,140,2.69
35,0,0, 0,5,2004JJ00,1785,0.94,146,82,0.77
36,0,0, 0,5,2005JJ00,1845,0.94,179,97,0.92
37,0,0, 0,5,2006JJ00,2245,1.12,301,134,1.5
38,0,0, 0,5,2007JJ00,2630,1.29,387,147,1.9
39,0,0, 0,5,2008JJ00,2860,1.36,383,134,1.82
40,0,0, 0,5,2009JJ00,3005,1.39,451,150,2.09
41,0,0, 0,5,2010JJ00,3475,1.57,576,166,2.59
42,0,0, 0,6,2004JJ00,3245,1.42,267,82,1.16
43,0,0, 0,6,2005JJ00,3235,1.38,282,87,1.2
44,0,0, 0,6,2006JJ00,3450,1.44,345,100,1.44
45,0,0, 0,6,2007JJ00,3720,1.52,388,104,1.59
46,0,0, 0,6,2008JJ00,4090,1.62,411,101,1.63
47,0,0, 0,6,2009JJ00,4230,1.62,449,106,1.72
48,0,0, 0,6,2010JJ00,4825,1.81,543,112,2.03
49,0,0, 0,7,2004JJ00,7110,3.04,993,140,4.25
50,0,0, 0,7,2005JJ00,7165,3.01,1026,143,4.3
51,0,0, 0,7,2006JJ00,7510,3.11,1109,148,4.59
52,0,0, 0,7,2007JJ00,7715,3.15,1122,145,4.59
53,0,0, 0,7,2008JJ00,8110,3.23,1165,144,4.64
54,0,0, 0,7,2009JJ00,8230,3.21,1206,147,4.71
55,0,0, 0,7,2010JJ00,8745,3.36,1358,155,5.22
56,0,0, 0,8,2004JJ00,1280,1.51,138,108,1.63
57,0,0, 0,8,2005JJ00,1365,1.6,152,111,1.79
58,0,0, 0,8,2006JJ00,1425,1.67,173,121,2.03
59,0,0, 0,8,2007JJ00,1480,1.72,180,121,2.09
60,0,0, 0,8,2008JJ00,1595,1.76,197,123,2.17
61,0,0, 0,8,2009JJ00,1685,1.81,213,126,2.29
62,0,0, 0,8,2010JJ00,1870,1.96,257,137,2.69
63,0,0, 0,9,2004JJ00,3505,0.99,369,105,1.05
64,0,0, 0,9,2005JJ00,3605,1.01,378,105,1.05
65,0,0, 0,9,2006JJ00,3690,1.02,408,110,1.12
66,0,0, 0,9,2007JJ00,4000,1.09,448,112,1.22
67,0,0, 0,9,2008JJ00,4565,1.18,498,109,1.29
68,0,0, 0,9,2009JJ00,4900,1.2,564,115,1.38
69,0,0, 0,9,2010JJ00,5545,1.3,689,124,1.61
70,0,0, 1,0,2004JJ00,169795,1.33,16552,97,1.3
71,0,0, 1,0,2005JJ00,219245,1.71,24001,109,1.88
72,0,0, 1,0,2006JJ00,234270,1.83,26167,112,2.04
73,0,0, 1,0,2007JJ00,237020,1.85,26770,113,2.09
74,0,0, 1,0,2008JJ00,240110,1.85,27481,114,2.12
75,0,0, 1,0,2009JJ00,243535,1.87,28900,119,2.21
76,0,0, 1,0,2010JJ00,242320,1.84,29442,122,2.24
77,0,0, 1,1,2004JJ00,151265,1.44,14798,98,1.41
78,0,0, 1,1,2005JJ00,192595,1.83,21145,110,2.01
79,0,0, 1,1,2006JJ00,204775,1.95,22927,112,2.18
80,0,0, 1,1,2007JJ00,206525,1.96,23404,113,2.23
81,0,0, 1,1,2008JJ00,207975,1.97,23937,115,2.27
82,0,0, 1,1,2009JJ00,209620,1.98,25024,119,2.36
83,0,0, 1,1,2010JJ00,206970,1.95,25290,122,2.38
84,0,0, 1,2,2004JJ00,18530,0.82,1754,95,0.78
85,0,0, 1,2,2005JJ00,26645,1.17,2856,107,1.25
86,0,0, 1,2,2006JJ00,29495,1.28,3239,110,1.41
87,0,0, 1,2,2007JJ00,30495,1.32,3366,110,1.45
88,0,0, 1,2,2008JJ00,32135,1.34,3544,110,1.48
89,0,0, 1,2,2009JJ00,33915,1.38,3876,114,1.58
90,0,0, 1,2,2010JJ00,35350,1.41,4152,117,1.65
91,0,0, 1,3,2004JJ00,14410,1.23,1390,96,1.19
92,0,0, 1,3,2005JJ00,19260,1.64,2101,109,1.79
93,0,0, 1,3,2006JJ00,20865,1.78,2336,112,1.99
94,0,0, 1,3,2007JJ00,21095,1.8,2378,113,2.03
95,0,0, 1,3,2008JJ00,21695,1.81,2487,115,2.07
96,0,0, 1,3,2009JJ00,22360,1.83,2647,118,2.17
97,0,0, 1,3,2010JJ00,22330,1.8,2710,121,2.19
98,0,0, 1,4,2004JJ00,4120,0.38,364,88,0.33
99,0,0, 1,4,2005JJ00,7385,0.66,755,102,0.68
100,0,0, 1,4,2006JJ00,8630,0.76,903,105,0.8
101,0,0, 1,4,2007JJ00,9405,0.82,988,105,0.86
102,0,0, 1,4,2008JJ00,10435,0.87,1057,101,0.89
103,0,0, 1,4,2009JJ00,11560,0.94,1229,106,1.0
104,0,0, 1,4,2010JJ00,13020,1.02,1442,111,1.13
105,0,0, 1,5,2004JJ00,270,0.14,20,72,0.1
106,0,0, 1,5,2005JJ00,530,0.27,45,86,0.23
107,0,0, 1,5,2006JJ00,725,0.36,69,95,0.34
108,0,0, 1,5,2007JJ00,875,0.43,90,103,0.44
109,0,0, 1,5,2008JJ00,1035,0.49,102,99,0.48
110,0,0, 1,5,2009JJ00,1210,0.56,131,108,0.61
111,0,0, 1,5,2010JJ00,1445,0.65,165,114,0.74
112,0,0, 1,6,2004JJ00,805,0.35,59,73,0.26
113,0,0, 1,6,2005JJ00,1390,0.59,122,88,0.52
114,0,0, 1,6,2006JJ00,1580,0.66,145,92,0.6
115,0,0, 1,6,2007JJ00,1695,0.69,164,96,0.67
116,0,0, 1,6,2008JJ00,1860,0.74,164,88,0.65
117,0,0, 1,6,2009JJ00,2060,0.79,193,93,0.74
118,0,0, 1,6,2010JJ00,2445,0.92,238,97,0.89
119,0,0, 1,7,2004JJ00,1945,0.83,191,98,0.81
120,0,0, 1,7,2005JJ00,3515,1.48,409,116,1.71
121,0,0, 1,7,2006JJ00,4080,1.69,473,116,1.96
122,0,0, 1,7,2007JJ00,4295,1.76,490,114,2.0
123,0,0, 1,7,2008JJ00,4585,1.83,510,111,2.03
124,0,0, 1,7,2009JJ00,4890,1.91,559,114,2.18
125,0,0, 1,7,2010JJ00,5225,2.01,628,120,2.41
126,0,0, 1,8,2004JJ00,290,0.34,24,84,0.29
127,0,0, 1,8,2005JJ00,525,0.62,45,87,0.53
128,0,0, 1,8,2006JJ00,585,0.68,55,95,0.65
129,0,0, 1,8,2007JJ00,635,0.74,58,91,0.67
130,0,0, 1,8,2008JJ00,705,0.78,67,94,0.74
131,0,0, 1,8,2009JJ00,825,0.89,81,98,0.87
132,0,0, 1,8,2010JJ00,935,0.98,99,106,1.03
133,0,0, 1,9,2004JJ00,810,0.23,71,87,0.2
134,0,0, 1,9,2005JJ00,1425,0.4,134,94,0.37
135,0,0, 1,9,2006JJ00,1665,0.46,161,97,0.44
136,0,0, 1,9,2007JJ00,1905,0.52,186,98,0.51
137,0,0, 1,9,2008JJ00,2250,0.58,215,96,0.56
138,0,0, 1,9,2009JJ00,2570,0.63,265,103,0.65
139,0,0, 1,9,2010JJ00,2970,0.69,313,105,0.73
140,0,0, 2,0,2004JJ00,39710,0.31,6533,165,0.51
141,0,0, 2,0,2005JJ00,29425,0.23,4735,161,0.37
142,0,0, 2,0,2006JJ00,31910,0.25,4035,126,0.31
143,0,0, 2,0,2007JJ00,48000,0.37,4672,97,0.36
144,0,0, 2,0,2008JJ00,67705,0.52,5904,87,0.46
145,0,0, 2,0,2009JJ00,80775,0.62,7040,87,0.54
146,0,0, 2,0,2010JJ00,94740,0.72,7909,83,0.6
147,0,0, 2,1,2004JJ00,34885,0.33,6067,174,0.58
148,0,0, 2,1,2005JJ00,26270,0.25,4472,170,0.43
149,0,0, 2,1,2006JJ00,28705,0.27,3796,132,0.36
150,0,0, 2,1,2007JJ00,42960,0.41,4323,101,0.41
151,0,0, 2,1,2008JJ00,60300,0.57,5359,89,0.51
152,0,0, 2,1,2009JJ00,71605,0.68,6313,88,0.6
153,0,0, 2,1,2010JJ00,83625,0.79,6975,83,0.66
154,0,0, 2,2,2004JJ00,4830,0.21,466,97,0.21
155,0,0, 2,2,2005JJ00,3155,0.14,263,83,0.12
156,0,0, 2,2,2006JJ00,3210,0.14,239,75,0.1
157,0,0, 2,2,2007JJ00,5045,0.22,348,69,0.15
158,0,0, 2,2,2008JJ00,7405,0.31,546,74,0.23
159,0,0, 2,2,2009JJ00,9170,0.37,727,79,0.3
160,0,0, 2,2,2010JJ00,11120,0.44,934,84,0.37
161,0,0, 2,3,2004JJ00,3340,0.29,386,116,0.33
162,0,0, 2,3,2005JJ00,2360,0.2,221,93,0.19
163,0,0, 2,3,2006JJ00,2545,0.22,194,76,0.17
164,0,0, 2,3,2007JJ00,3915,0.33,274,70,0.23
165,0,0, 2,3,2008JJ00,5500,0.46,400,73,0.33
166,0,0, 2,3,2009JJ00,6745,0.55,522,77,0.43
167,0,0, 2,3,2010JJ00,8105,0.65,627,77,0.51
168,0,0, 2,4,2004JJ00,1485,0.14,80,54,0.07
169,0,0, 2,4,2005JJ00,795,0.07,42,53,0.04
170,0,0, 2,4,2006JJ00,660,0.06,45,68,0.04
171,0,0, 2,4,2007JJ00,1130,0.1,74,66,0.06
172,0,0, 2,4,2008JJ00,1905,0.16,146,77,0.12
173,0,0, 2,4,2009JJ00,2430,0.2,204,84,0.17
174,0,0, 2,4,2010JJ00,3015,0.24,307,102,0.24
175,0,0, 2,5,2004JJ00,220,0.12,10,45,0.05
176,0,0, 2,5,2005JJ00,115,0.06,7,64,0.04
177,0,0, 2,5,2006JJ00,145,0.07,16,112,0.08
178,0,0, 2,5,2007JJ00,270,0.13,31,116,0.15
179,0,0, 2,5,2008JJ00,400,0.19,45,114,0.22
180,0,0, 2,5,2009JJ00,445,0.21,60,135,0.28
181,0,0, 2,5,2010JJ00,655,0.29,105,161,0.47
182,0,0, 2,6,2004JJ00,345,0.15,17,48,0.07
183,0,0, 2,6,2005JJ00,165,0.07,7,44,0.03
184,0,0, 2,6,2006JJ00,145,0.06,9,61,0.04
185,0,0, 2,6,2007JJ00,250,0.1,15,59,0.06
186,0,0, 2,6,2008JJ00,490,0.19,39,80,0.15
187,0,0, 2,6,2009JJ00,625,0.24,54,86,0.21
188,0,0, 2,6,2010JJ00,725,0.27,61,85,0.23
189,0,0, 2,7,2004JJ00,450,0.19,26,57,0.11
190,0,0, 2,7,2005JJ00,240,0.1,14,59,0.06
191,0,0, 2,7,2006JJ00,165,0.07,11,66,0.05
192,0,0, 2,7,2007JJ00,290,0.12,15,51,0.06
193,0,0, 2,7,2008JJ00,450,0.18,30,67,0.12
194,0,0, 2,7,2009JJ00,585,0.23,41,70,0.16
195,0,0, 2,7,2010JJ00,730,0.28,66,91,0.25
196,0,0, 2,8,2004JJ00,115,0.13,6,52,0.07
197,0,0, 2,8,2005JJ00,75,0.09,3,38,0.03
198,0,0, 2,8,2006JJ00,35,0.04,1,33,0.01
199,0,0, 2,8,2007JJ00,85,0.1,3,40,0.04
200,0,0, 2,8,2008JJ00,130,0.14,6,48,0.07
201,0,0, 2,8,2009JJ00,165,0.18,7,42,0.08
202,0,0, 2,8,2010JJ00,205,0.21,15,71,0.15
203,0,0, 2,9,2004JJ00,355,0.1,22,61,0.06
204,0,0, 2,9,2005JJ00,190,0.05,10,54,0.03
205,0,0, 2,9,2006JJ00,175,0.05,8,47,0.02
206,0,0, 2,9,2007JJ00,235,0.06,10,43,0.03
207,0,0, 2,9,2008JJ00,435,0.11,25,57,0.06
208,0,0, 2,9,2009JJ00,605,0.15,42,69,0.1
209,0,0, 2,9,2010JJ00,700,0.16,59,85,0.14
210,0,0, 3,0,2004JJ00,66325,0.52,1629,25,0.13
211,0,0, 3,0,2005JJ00,58795,0.46,976,17,0.08
212,0,0, 3,0,2006JJ00,59755,0.47,974,16,0.08
213,0,0, 3,0,2007JJ00,55040,0.43,951,17,0.07
214,0,0, 3,0,2008JJ00,50005,0.39,873,17,0.07
215,0,0, 3,0,2009JJ00,41205,0.32,719,17,0.06
216,0,0, 3,0,2010JJ00,37405,0.28,638,17,0.05
217,0,0, 3,1,2004JJ00,57905,0.55,1434,25,0.14
218,0,0, 3,1,2005JJ00,50835,0.48,837,16,0.08
219,0,0, 3,1,2006JJ00,51545,0.49,835,16,0.08
220,0,0, 3,1,2007JJ00,47275,0.45,807,17,0.08
221,0,0, 3,1,2008JJ00,42675,0.4,738,17,0.07
222,0,0, 3,1,2009JJ00,35205,0.33,608,17,0.06
223,0,0, 3,1,2010JJ00,31850,0.3,527,17,0.05
224,0,0, 3,2,2004JJ00,8420,0.37,195,23,0.09
225,0,0, 3,2,2005JJ00,7960,0.35,139,18,0.06
226,0,0, 3,2,2006JJ00,8210,0.36,139,17,0.06
227,0,0, 3,2,2007JJ00,7765,0.33,144,19,0.06
228,0,0, 3,2,2008JJ00,7330,0.31,136,19,0.06
229,0,0, 3,2,2009JJ00,6000,0.24,111,19,0.05
230,0,0, 3,2,2010JJ00,5560,0.22,111,20,0.04
231,0,0, 3,3,2004JJ00,5975,0.51,150,25,0.13
232,0,0, 3,3,2005JJ00,5320,0.45,92,17,0.08
233,0,0, 3,3,2006JJ00,5450,0.46,89,16,0.08
234,0,0, 3,3,2007JJ00,5015,0.43,88,18,0.08
235,0,0, 3,3,2008JJ00,4710,0.39,83,18,0.07
236,0,0, 3,3,2009JJ00,3825,0.31,63,16,0.05
237,0,0, 3,3,2010JJ00,3515,0.28,61,17,0.05
238,0,0, 3,4,2004JJ00,2445,0.22,46,19,0.04
239,0,0, 3,4,2005JJ00,2640,0.24,47,18,0.04
240,0,0, 3,4,2006JJ00,2760,0.24,51,18,0.04
241,0,0, 3,4,2007JJ00,2750,0.24,56,20,0.05
242,0,0, 3,4,2008JJ00,2620,0.22,53,20,0.04
243,0,0, 3,4,2009JJ00,2175,0.18,48,22,0.04
244,0,0, 3,4,2010JJ00,2045,0.16,51,25,0.04
245,0,0, 3,5,2004JJ00,480,0.25,10,21,0.05
246,0,0, 3,5,2005JJ00,500,0.25,10,19,0.05
247,0,0, 3,5,2006JJ00,530,0.27,9,17,0.05
248,0,0, 3,5,2007JJ00,565,0.28,13,22,0.06
249,0,0, 3,5,2008JJ00,510,0.24,11,22,0.05
250,0,0, 3,5,2009JJ00,440,0.2,12,27,0.05
251,0,0, 3,5,2010JJ00,425,0.19,13,30,0.06
252,0,0, 3,6,2004JJ00,560,0.24,9,17,0.04
253,0,0, 3,6,2005JJ00,635,0.27,9,14,0.04
254,0,0, 3,6,2006JJ00,680,0.28,10,15,0.04
255,0,0, 3,6,2007JJ00,720,0.29,14,19,0.06
256,0,0, 3,6,2008JJ00,665,0.26,13,19,0.05
257,0,0, 3,6,2009JJ00,570,0.22,12,21,0.05
258,0,0, 3,6,2010JJ00,545,0.2,12,22,0.04
259,0,0, 3,7,2004JJ00,570,0.24,9,16,0.04
260,0,0, 3,7,2005JJ00,635,0.27,12,19,0.05
261,0,0, 3,7,2006JJ00,670,0.28,16,24,0.07
262,0,0, 3,7,2007JJ00,585,0.24,13,22,0.05
263,0,0, 3,7,2008JJ00,575,0.23,12,21,0.05
264,0,0, 3,7,2009JJ00,475,0.19,10,22,0.04
265,0,0, 3,7,2010JJ00,425,0.16,11,25,0.04
266,0,0, 3,8,2004JJ00,205,0.24,6,32,0.08
267,0,0, 3,8,2005JJ00,225,0.27,6,28,0.08
268,0,0, 3,8,2006JJ00,230,0.27,4,18,0.05
269,0,0, 3,8,2007JJ00,215,0.25,4,18,0.05
270,0,0, 3,8,2008JJ00,210,0.23,4,20,0.05
271,0,0, 3,8,2009JJ00,180,0.19,4,21,0.04
272,0,0, 3,8,2010JJ00,155,0.16,4,25,0.04
273,0,0, 3,9,2004JJ00,625,0.18,11,17,0.03
274,0,0, 3,9,2005JJ00,645,0.18,10,16,0.03
275,0,0, 3,9,2006JJ00,650,0.18,11,17,0.03
276,0,0, 3,9,2007JJ00,665,0.18,13,19,0.04
277,0,0, 3,9,2008JJ00,660,0.17,13,19,0.03
278,0,0, 3,9,2009JJ00,510,0.12,10,20,0.02
279,0,0, 3,9,2010JJ00,495,0.12,11,23,0.03
280,0,0, 4,0,2004JJ00,119180,0.94,17583,148,1.38
281,0,0, 4,0,2005JJ00,66675,0.52,11314,170,0.89
282,0,0, 4,0,2006JJ00,56665,0.44,10637,188,0.83
283,0,0, 4,0,2007JJ00,59540,0.46,12262,206,0.96
284,0,0, 4,0,2008JJ00,80850,0.62,18501,229,1.43
285,0,0, 4,0,2009JJ00,98100,0.75,24419,249,1.87
286,0,0, 4,0,2010JJ00,107350,0.82,28174,262,2.14
287,0,0, 4,1,2004JJ00,104075,0.99,15458,149,1.47
288,0,0, 4,1,2005JJ00,58970,0.56,10092,171,0.96
289,0,0, 4,1,2006JJ00,50655,0.48,9558,189,0.91
290,0,0, 4,1,2007JJ00,53595,0.51,11044,206,1.05
291,0,0, 4,1,2008JJ00,72910,0.69,16678,229,1.58
292,0,0, 4,1,2009JJ00,88190,0.83,21949,249,2.07
293,0,0, 4,1,2010JJ00,96075,0.9,25239,263,2.38
294,0,0, 4,2,2004JJ00,15105,0.67,2125,141,0.94
295,0,0, 4,2,2005JJ00,7705,0.34,1223,159,0.53
296,0,0, 4,2,2006JJ00,6010,0.26,1079,180,0.47
297,0,0, 4,2,2007JJ00,5945,0.26,1218,205,0.53
298,0,0, 4,2,2008JJ00,7940,0.33,1823,230,0.76
299,0,0, 4,2,2009JJ00,9905,0.4,2470,249,1.0
300,0,0, 4,2,2010JJ00,11270,0.45,2935,260,1.17
301,0,0, 4,3,2004JJ00,10310,0.88,1508,146,1.29
302,0,0, 4,3,2005JJ00,5720,0.49,953,167,0.81
303,0,0, 4,3,2006JJ00,4685,0.4,858,183,0.73
304,0,0, 4,3,2007JJ00,4935,0.42,1014,205,0.86
305,0,0, 4,3,2008JJ00,6560,0.55,1519,232,1.26
306,0,0, 4,3,2009JJ00,8140,0.67,2039,250,1.67
307,0,0, 4,3,2010JJ00,8975,0.73,2354,262,1.9
308,0,0, 4,4,2004JJ00,4795,0.44,617,129,0.57
309,0,0, 4,4,2005JJ00,1985,0.18,269,136,0.24
310,0,0, 4,4,2006JJ00,1325,0.12,221,167,0.2
311,0,0, 4,4,2007JJ00,1010,0.09,205,202,0.18
312,0,0, 4,4,2008JJ00,1380,0.12,304,221,0.25
313,0,0, 4,4,2009JJ00,1765,0.14,431,244,0.35
314,0,0, 4,4,2010JJ00,2300,0.18,582,253,0.46
315,0,0, 4,5,2004JJ00,375,0.2,46,123,0.24
316,0,0, 4,5,2005JJ00,200,0.1,26,129,0.13
317,0,0, 4,5,2006JJ00,145,0.07,27,187,0.14
318,0,0, 4,5,2007JJ00,115,0.06,25,218,0.12
319,0,0, 4,5,2008JJ00,155,0.07,39,252,0.18
320,0,0, 4,5,2009JJ00,225,0.1,67,298,0.31
321,0,0, 4,5,2010JJ00,280,0.13,84,303,0.38
322,0,0, 4,6,2004JJ00,925,0.4,94,102,0.41
323,0,0, 4,6,2005JJ00,320,0.14,36,112,0.15
324,0,0, 4,6,2006JJ00,210,0.09,33,156,0.14
325,0,0, 4,6,2007JJ00,175,0.07,33,191,0.14
326,0,0, 4,6,2008JJ00,205,0.08,41,198,0.16
327,0,0, 4,6,2009JJ00,230,0.09,49,215,0.19
328,0,0, 4,6,2010JJ00,355,0.13,83,232,0.31
329,0,0, 4,7,2004JJ00,2340,1.0,333,143,1.42
330,0,0, 4,7,2005JJ00,895,0.37,127,142,0.53
331,0,0, 4,7,2006JJ00,575,0.24,95,166,0.39
332,0,0, 4,7,2007JJ00,430,0.18,89,206,0.36
333,0,0, 4,7,2008JJ00,615,0.25,139,226,0.55
334,0,0, 4,7,2009JJ00,795,0.31,198,250,0.77
335,0,0, 4,7,2010JJ00,995,0.38,260,261,1.0
336,0,0, 4,8,2004JJ00,310,0.36,37,121,0.44
337,0,0, 4,8,2005JJ00,140,0.16,21,149,0.25
338,0,0, 4,8,2006JJ00,105,0.12,19,182,0.23
339,0,0, 4,8,2007JJ00,85,0.1,17,206,0.2
340,0,0, 4,8,2008JJ00,115,0.12,25,219,0.27
341,0,0, 4,8,2009JJ00,150,0.16,38,249,0.4
342,0,0, 4,8,2010JJ00,190,0.2,47,245,0.49
343,0,0, 4,9,2004JJ00,850,0.24,107,126,0.3
344,0,0, 4,9,2005JJ00,430,0.12,60,140,0.17
345,0,0, 4,9,2006JJ00,285,0.08,46,160,0.13
346,0,0, 4,9,2007JJ00,210,0.06,41,194,0.11
347,0,0, 4,9,2008JJ00,290,0.07,61,209,0.16
348,0,0, 4,9,2009JJ00,365,0.09,78,214,0.19
349,0,0, 4,9,2010JJ00,480,0.11,108,225,0.25
350,0,0, 5,0,2004JJ00,19675,0.15,2444,124,0.19
351,0,0, 5,0,2005JJ00,24720,0.19,3210,130,0.25
352,0,0, 5,0,2006JJ00,26990,0.21,3671,136,0.29
353,0,0, 5,0,2007JJ00,20795,0.16,2983,143,0.23
354,0,0, 5,0,2008JJ00,14650,0.11,2137,146,0.16
355,0,0, 5,0,2009JJ00,11585,0.09,1750,151,0.13
356,0,0, 5,0,2010JJ00,9995,0.08,1557,156,0.12
357,0,0, 5,1,2004JJ00,17580,0.17,2192,125,0.21
358,0,0, 5,1,2005JJ00,21725,0.21,2819,130,0.27
359,0,0, 5,1,2006JJ00,23700,0.23,3222,136,0.31
360,0,0, 5,1,2007JJ00,18130,0.17,2595,143,0.25
361,0,0, 5,1,2008JJ00,12725,0.12,1860,146,0.18
362,0,0, 5,1,2009JJ00,10115,0.1,1528,151,0.14
363,0,0, 5,1,2010JJ00,8680,0.08,1346,155,0.13
364,0,0, 5,2,2004JJ00,2095,0.09,252,120,0.11
365,0,0, 5,2,2005JJ00,2995,0.13,391,131,0.17
366,0,0, 5,2,2006JJ00,3285,0.14,450,137,0.2
367,0,0, 5,2,2007JJ00,2665,0.11,388,146,0.17
368,0,0, 5,2,2008JJ00,1925,0.08,278,144,0.12
369,0,0, 5,2,2009JJ00,1470,0.06,222,151,0.09
370,0,0, 5,2,2010JJ00,1315,0.05,210,160,0.08
371,0,0, 5,3,2004JJ00,1700,0.15,212,125,0.18
372,0,0, 5,3,2005JJ00,2175,0.19,280,129,0.24
373,0,0, 5,3,2006JJ00,2375,0.2,322,136,0.27
374,0,0, 5,3,2007JJ00,1850,0.16,265,143,0.23
375,0,0, 5,3,2008JJ00,1335,0.11,189,141,0.16
376,0,0, 5,3,2009JJ00,1015,0.08,153,151,0.13
377,0,0, 5,3,2010JJ00,885,0.07,135,152,0.11
378,0,0, 5,4,2004JJ00,400,0.04,41,102,0.04
379,0,0, 5,4,2005JJ00,825,0.07,111,134,0.1
380,0,0, 5,4,2006JJ00,910,0.08,127,140,0.11
381,0,0, 5,4,2007JJ00,815,0.07,123,151,0.11
382,0,0, 5,4,2008JJ00,585,0.05,89,151,0.07
383,0,0, 5,4,2009JJ00,455,0.04,69,153,0.06
384,0,0, 5,4,2010JJ00,430,0.03,76,176,0.06
385,0,0, 5,5,2004JJ00,40,0.02,3,73,0.02
386,0,0, 5,5,2005JJ00,70,0.03,8,114,0.04
387,0,0, 5,5,2006JJ00,90,0.05,14,150,0.07
388,0,0, 5,5,2007JJ00,85,0.04,14,166,0.07
389,0,0, 5,5,2008JJ00,60,0.03,9,155,0.04
390,0,0, 5,5,2009JJ00,55,0.03,7,127,0.03
391,0,0, 5,5,2010JJ00,45,0.02,8,177,0.04
392,0,0, 5,6,2004JJ00,75,0.03,7,90,0.03
393,0,0, 5,6,2005JJ00,135,0.06,15,108,0.06
394,0,0, 5,6,2006JJ00,145,0.06,17,115,0.07
395,0,0, 5,6,2007JJ00,110,0.04,15,137,0.06
396,0,0, 5,6,2008JJ00,80,0.03,10,123,0.04
397,0,0, 5,6,2009JJ00,65,0.03,9,142,0.04
398,0,0, 5,6,2010JJ00,65,0.03,10,155,0.04
399,0,0, 5,7,2004JJ00,180,0.08,21,118,0.09
400,0,0, 5,7,2005JJ00,375,0.16,58,156,0.24
401,0,0, 5,7,2006JJ00,415,0.17,61,147,0.25
402,0,0, 5,7,2007JJ00,390,0.16,56,145,0.23
403,0,0, 5,7,2008JJ00,275,0.11,42,153,0.17
404,0,0, 5,7,2009JJ00,200,0.08,31,158,0.12
405,0,0, 5,7,2010JJ00,190,0.07,32,168,0.12
406,0,0, 5,8,2004JJ00,35,0.04,3,89,0.03
407,0,0, 5,8,2005JJ00,80,0.1,11,130,0.12
408,0,0, 5,8,2006JJ00,85,0.1,10,124,0.12
409,0,0, 5,8,2007JJ00,75,0.09,12,163,0.14
410,0,0, 5,8,2008JJ00,65,0.07,10,154,0.11
411,0,0, 5,8,2009JJ00,35,0.04,6,168,0.07
412,0,0, 5,8,2010JJ00,50,0.05,9,181,0.09
413,0,0, 5,9,2004JJ00,70,0.02,7,97,0.02
414,0,0, 5,9,2005JJ00,165,0.05,19,117,0.05
415,0,0, 5,9,2006JJ00,170,0.05,25,146,0.07
416,0,0, 5,9,2007JJ00,155,0.04,25,160,0.07
417,0,0, 5,9,2008JJ00,110,0.03,18,165,0.05
418,0,0, 5,9,2009JJ00,95,0.02,15,157,0.04
419,0,0, 5,9,2010JJ00,80,0.02,17,208,0.04
420,0,0, 6,0,2004JJ00,66680,0.52,8566,128,0.67
