ID,Perioden,TotaalConsumptie_1,Totaal_2,VoedingEnNietAlcoholischeDranken_3,AlcoholischeDrankenTabak_4,KledingEnSchoeisel_5,HuisvestingWaterEnEnergie_6,WoninginrichtingEnHuishouding_7,Gezondheid_8,Vervoer_9,Communicatie_10,RecreatieEnCultuur_11,Onderwijs_12,Horeca_13,SocialeBescherming_14,OverigeVerbruiksfuncties_15,ConsumptieBuitenlandersInNederland_16,ConsumptieHuishoudensInBuitenland_17,Totaal_18,VoedingEnNietAlcoholischeDranken_19,AlcoholischeDrankenTabak_20,KledingEnSchoeisel_21,HuisvestingWaterEnEnergie_22,WoninginrichtingEnHuishouding_23,Gezondheid_24,Vervoer_25,Communicatie_26,RecreatieEnCultuur_27,Onderwijs_28,Horeca_29,SocialeBescherming_30,OverigeVerbruiksfuncties_31,ConsumptieBuitenlandersInNederland_32,ConsumptieHuishoudensInBuitenland_33,Totaal_34,Huisvesting_35,Gezondheid_36,RecreatieEnCultuur_37,Onderwijs_38,SocialeBescherming_39,CollectieveConsumptieDoorDeOverheid_40,TotaalConsumptie_41,Totaal_42,VoedingEnNietAlcoholischeDranken_43,AlcoholischeDrankenTabak_44,KledingEnSchoeisel_45,HuisvestingWaterEnEnergie_46,WoninginrichtingEnHuishouding_47,Gezondheid_48,Vervoer_49,Communicatie_50,RecreatieEnCultuur_51,Onderwijs_52,Horeca_53,SocialeBescherming_54,OverigeVerbruiksfuncties_55,ConsumptieBuitenlandersInNederland_56,ConsumptieHuishoudensInBuitenland_57,Totaal_58,VoedingEnNietAlcoholischeDranken_59,AlcoholischeDrankenTabak_60,KledingEnSchoeisel_61,HuisvestingWaterEnEnergie_62,WoninginrichtingEnHuishouding_63,Gezondheid_64,Vervoer_65,Communicatie_66,RecreatieEnCultuur_67,Onderwijs_68,Horeca_69,SocialeBescherming_70,OverigeVerbruiksfuncties_71,ConsumptieBuitenlandersInNederland_72,ConsumptieHuishoudensInBuitenland_73,Totaal_74,Huisvesting_75,Gezondheid_76,RecreatieEnCultuur_77,Onderwijs_78,SocialeBescherming_79,CollectieveConsumptieDoorDeOverheid_80,TotaalConsumptie_81,Totaal_82,VoedingEnNietAlcoholischeDranken_83,AlcoholischeDrankenTabak_84,KledingEnSchoeisel_85,HuisvestingWaterEnEnergie_86,WoninginrichtingEnHuishouding_87,Gezondheid_88,Vervoer_89,Communicatie_90,RecreatieEnCultuur_91,Onderwijs_92,Horeca_93,SocialeBescherming_94,OverigeVerbruiksfuncties_95,ConsumptieBuitenlandersInNederland_96,ConsumptieHuishoudensInBuitenland_97,Totaal_98,VoedingEnNietAlcoholischeDranken_99,AlcoholischeDrankenTabak_100,KledingEnSchoeisel_101,HuisvestingWaterEnEnergie_102,WoninginrichtingEnHuishouding_103,Gezondheid_104,Vervoer_105,Communicatie_106,RecreatieEnCultuur_107,Onderwijs_108,Horeca_109,SocialeBescherming_110,OverigeVerbruiksfuncties_111,ConsumptieBuitenlandersInNederland_112,ConsumptieHuishoudensInBuitenland_113,Totaal_114,Huisvesting_115,Gezondheid_116,RecreatieEnCultuur_117,Onderwijs_118,SocialeBescherming_119,CollectieveConsumptieDoorDeOverheid_120,TotaalConsumptie_121,Totaal_122,VoedingEnNietAlcoholischeDranken_123,AlcoholischeDrankenTabak_124,KledingEnSchoeisel_125,HuisvestingWaterEnEnergie_126,WoninginrichtingEnHuishouding_127,Gezondheid_128,Vervoer_129,Communicatie_130,RecreatieEnCultuur_131,Onderwijs_132,Horeca_133,SocialeBescherming_134,OverigeVerbruiksfuncties_135,ConsumptieBuitenlandersInNederland_136,ConsumptieHuishoudensInBuitenland_137,Totaal_138,VoedingEnNietAlcoholischeDranken_139,AlcoholischeDrankenTabak_140,KledingEnSchoeisel_141,HuisvestingWaterEnEnergie_142,WoninginrichtingEnHuishouding_143,Gezondheid_144,Vervoer_145,Communicatie_146,RecreatieEnCultuur_147,Onderwijs_148,Horeca_149,SocialeBescherming_150,OverigeVerbruiksfuncties_151,ConsumptieBuitenlandersInNederland_152,ConsumptieHuishoudensInBuitenland_153,Totaal_154,Huisvesting_155,Gezondheid_156,RecreatieEnCultuur_157,Onderwijs_158,SocialeBescherming_159,CollectieveConsumptieDoorDeOverheid_160
0,1969JJ00,37436,31811,,,,,,,,,,,,,,903,1049,27594,5250,1628,2945,3679,2039,1003,3205,305,2978,148,1611,179,2478,903,1049,4217,,,,,,5625,155944,,,,,,,,,,,,,,,3961,6802,109390,,,,,,,,,,,,,,3961,6802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,22.8,15.4,25.2,,,,,,,,,,,,,,22.8,15.4,,,,,,,
1,1970JJ00,42064,36036,,,,,,,,,,,,,,1096,1224,30799,5606,1742,3334,4094,2391,1253,3572,342,3386,165,1717,229,2840,1096,1224,5237,,,,,,6028,165467,,,,,,,,,,,,,,,4619,7327,116303,,,,,,,,,,,,,,4619,7327,,,,,,,,6.1,,,,,,,,,,,,,,,16.6,7.7,6.3,,,,,,,,,,,,,,16.6,7.7,,,,,,,,25.4,,,,,,,,,,,,,,,23.7,16.7,26.5,,,,,,,,,,,,,,23.7,16.7,,,,,,,
2,1971JJ00,47499,40503,,,,,,,,,,,,,,1482,1387,34161,6363,1842,3574,4624,2594,1459,4108,404,3753,185,1850,274,3226,1482,1387,6342,,,,,,6996,170994,,,,,,,,,,,,,,,5820,7908,118860,,,,,,,,,,,,,,5820,7908,,,,,,,,3.3,,,,,,,,,,,,,,,26.0,7.9,2.2,,,,,,,,,,,,,,26.0,7.9,,,,,,,,27.8,,,,,,,,,,,,,,,25.5,17.5,28.7,,,,,,,,,,,,,,25.5,17.5,,,,,,,
3,1972JJ00,53023,45062,,,,,,,,,,,,,,1747,1506,37623,6771,1958,3769,5346,2877,1618,4421,526,4194,216,2061,304,3803,1747,1506,7439,,,,,,7961,176466,,,,,,,,,,,,,,,6440,8119,122444,,,,,,,,,,,,,,6440,8119,,,,,,,,3.2,,,,,,,,,,,,,,,10.7,2.7,3.0,,,,,,,,,,,,,,10.7,2.7,,,,,,,,30.0,,,,,,,,,,,,,,,27.1,18.6,30.7,,,,,,,,,,,,,,27.1,18.6,,,,,,,
4,1973JJ00,60612,51596,,,,,,,,,,,,,,1986,1724,43080,7488,2177,4153,6096,3341,2055,5014,645,4975,244,2280,391,4483,1986,1724,8516,,,,,,9016,183907,,,,,,,,,,,,,,,6754,8393,128416,,,,,,,,,,,,,,6754,8393,,,,,,,,4.2,,,,,,,,,,,,,,,4.9,3.4,4.9,,,,,,,,,,,,,,4.9,3.4,,,,,,,,33.0,,,,,,,,,,,,,,,29.4,20.5,33.5,,,,,,,,,,,,,,29.4,20.5,,,,,,,
5,1974JJ00,69339,58704,,,,,,,,,,,,,,2025,1928,48589,8185,2453,4551,6746,3794,2536,5783,703,5558,280,2506,498,5093,2025,1928,10115,,,,,,10635,188823,,,,,,,,,,,,,,,6325,8588,131200,,,,,,,,,,,,,,6325,8588,,,,,,,,2.7,,,,,,,,,,,,,,,-6.3,2.3,2.2,,,,,,,,,,,,,,-6.3,2.3,,,,,,,,36.7,,,,,,,,,,,,,,,32.0,22.4,37.0,,,,,,,,,,,,,,32.0,22.4,,,,,,,
6,1975JJ00,79405,67024,,,,,,,,,,,,,,2089,2239,54948,9012,2538,4844,7765,4231,3217,6512,810,6374,314,2763,646,5772,2089,2239,12076,,,,,,12381,195849,,,,,,,,,,,,,,,6038,9016,135420,,,,,,,,,,,,,,6038,9016,,,,,,,,3.7,,,,,,,,,,,,,,,-4.5,5.0,3.2,,,,,,,,,,,,,,-4.5,5.0,,,,,,,,40.5,,,,,,,,,,,,,,,34.6,24.8,40.6,,,,,,,,,,,,,,34.6,24.8,,,,,,,
7,1976JJ00,91023,76958,,,,,,,,,,,,,,2152,2789,63138,10269,2994,5462,9087,4711,3676,7281,926,7254,347,3155,747,6592,2152,2789,13820,,,,,,14065,205184,,,,,,,,,,,,,,,5610,10087,142077,,,,,,,,,,,,,,5610,10087,,,,,,,,4.8,,,,,,,,,,,,,,,-7.1,11.9,4.9,,,,,,,,,,,,,,-7.1,11.9,,,,,,,,44.4,,,,,,,,,,,,,,,38.4,27.6,44.4,,,,,,,,,,,,,,38.4,27.6,,,,,,,
8,1977JJ00,100516,84819,,,,,,,,,,,,,,2231,3240,69399,10963,3154,5896,9802,5201,3976,8098,1032,7955,409,3572,803,7529,2231,3240,15420,,,,,,15697,212794,,,,,,,,,,,,,,,5428,10807,146737,,,,,,,,,,,,,,5428,10807,,,,,,,,3.7,,,,,,,,,,,,,,,-3.3,7.1,3.3,,,,,,,,,,,,,,-3.3,7.1,,,,,,,,47.2,,,,,,,,,,,,,,,41.1,30.0,47.3,,,,,,,,,,,,,,41.1,30.0,,,,,,,
9,1978JJ00,109800,92644,,,,,,,,,,,,,,2234,3863,75658,11405,3202,6408,10864,5657,4332,8861,1084,8690,445,3879,876,8326,2234,3863,16986,,,,,,17156,221188,,,,,,,,,,,,,,,5216,11987,153063,,,,,,,,,,,,,,5216,11987,,,,,,,,3.9,,,,,,,,,,,,,,,-3.9,10.9,4.3,,,,,,,,,,,,,,-3.9,10.9,,,,,,,,49.6,,,,,,,,,,,,,,,42.8,32.2,49.4,,,,,,,,,,,,,,42.8,32.2,,,,,,,
