ID,Bedrijfstype,RegioS,Perioden,TotaalMestproductie_1,DunneMestInDeStal_2,DunneMestInDeWei_3,VasteMestInDeStal_4,Stikstofuitscheiding_5,TotaalGasvormigeStikstofverliezen_6,TotaalVerliezenInStalEnOpslag_7,AmmoniakUitgedruktInN_8,OverigeStikstofverliezen_9,AmmoniakverliesTijdensBeweidingN_10,StikstofInGeproduceerdeMestN_11,FosfaatuitscheidingP205_12,PlaatsingsruimteStikstofN_13,PlaatsingsruimteFosfaatP205_14,AandeelBedrijvenZonderOverproductie_15,ResterendePlaatsingsruimteStikstof_16,ResterendePlaatsingsruimteFosfaat_17,AandeelBedrijvenMetOverproductie_18,Stikstofoverschot_19,Fosfaatoverschot_20,SaldoPlaatsingsruimteStikstof_21,SaldoPlaatsingsruimteStikstofPerHa_22,SaldoPlaatsingsruimteFosfaat_23,SaldoPlaatsingsruimteFosfaatPerHa_24
2168,T20,PV21  ,2011JJ00,215.0,113.0,7.0,95.0,5360.0,770.0,770.0,720.0,50.0,0.0,4580.0,2140.0,400.0,180.0,3.0,10.0,10.0,97.0,4200.0,1980.0,-4200.0,-1941.0,-1980.0,-915.0
2169,T20,PV21  ,2012JJ00,220.0,116.0,8.0,97.0,5120.0,740.0,740.0,690.0,50.0,0.0,4380.0,1940.0,400.0,160.0,1.0,0.0,0.0,99.0,4020.0,1790.0,-4010.0,-1910.0,-1790.0,-850.0
2170,T20,PV21  ,2013JJ00,213.0,113.0,7.0,94.0,5020.0,630.0,630.0,580.0,50.0,0.0,4390.0,1940.0,410.0,160.0,1.0,0.0,0.0,99.0,4010.0,1790.0,-4010.0,-1840.0,-1790.0,-823.0
2171,T20,PV21  ,2014JJ00,214.0,113.0,6.0,95.0,4720.0,590.0,590.0,540.0,50.0,0.0,4130.0,1900.0,390.0,150.0,1.0,0.0,0.0,99.0,3780.0,1760.0,-3780.0,-1819.0,-1760.0,-846.0
2172,T20,PV21  ,2015JJ00,217.0,108.0,8.0,101.0,5340.0,640.0,630.0,580.0,50.0,0.0,4700.0,2110.0,430.0,160.0,1.0,0.0,0.0,99.0,4330.0,1960.0,-4330.0,-1912.0,-1960.0,-866.0
2173,T20,PV21  ,2016JJ00,214.0,115.0,6.0,92.0,5010.0,590.0,580.0,530.0,50.0,0.0,4430.0,2020.0,350.0,130.0,0.0,0.0,0.0,100.0,4110.0,1890.0,-4110.0,-2313.0,-1890.0,-1065.0
2174,T20,PV21  ,2017JJ00,199.0,104.0,6.0,89.0,4750.0,490.0,490.0,440.0,50.0,0.0,4260.0,1890.0,320.0,120.0,0.0,0.0,0.0,100.0,3960.0,1770.0,-3960.0,-2449.0,-1770.0,-1097.0
2175,T20,PV22  ,1990JJ00,375.0,316.0,22.0,38.0,4950.0,1160.0,1140.0,1060.0,80.0,20.0,3810.0,2210.0,,520.0,12.0,,50.0,88.0,2830.0,1740.0,,,-1680.0,-785.0
2176,T20,PV22  ,1994JJ00,338.0,278.0,18.0,41.0,4620.0,1090.0,1080.0,1000.0,70.0,10.0,3540.0,2000.0,,330.0,5.0,,10.0,95.0,2830.0,1680.0,,,-1670.0,-864.0
2177,T20,PV22  ,1995JJ00,343.0,279.0,18.0,46.0,4830.0,1100.0,1090.0,1010.0,70.0,10.0,3740.0,1910.0,,270.0,2.0,,0.0,98.0,3090.0,1650.0,,,-1650.0,-821.0
