ID,BankenSBI2008,Perioden,Ondernemingen_1,LokaleBedrijfseenheid_2,TotaalWerkzamePersonen_3,WerkzameVrouwen_4,WerkzameMannen_5,NoordNederland_6,OostNederland_7,WestNederland_8,ZuidNederland_9,WerknemersInVTE_10,AantalGelduitgifteautomaten_11,TotaalBaten_12,TotaalRenteEnSoortgelijkeBaten_13,RenteBatenVastRentendeWaardepapieren_14,OverigeRenteEnSoortgelijkeBaten_15,TotaalOpbrengstenUitWaardepapieren_16,OpbrengstenUitAandelen_17,OverigeOpbrengstenUitWaardepapieren_18,Provisiebaten_19,ResultaatUitFinancieleTransacties_20,OverigeBaten_21,TotaalLasten_22,TotaalRenteEnSoortgelijkeLasten_23,RenteEnSoortgelLastenUitgegevenObl_24,OverigeRenteEnSoortgelijkeLasten_25,Provisielasten_26,TotaalAlgemeneAdministratieveUitgaven_27,OverigeAdministratieveUitgaven_28,TotaalPersoneelskosten_29,LonenEnSalarissen_30,SocialeLasten_31,OverigeBedrijfslasten_32,WaardeverVanVordEnToevOnttr_33,OverigeWaardeveranderingen_34,ResultaatUitGewoneActiviteiten_35,ResultaatBuitengewoneBatenEnLasten_36,Belastingen_37,WinstVerliesBoekjaar_38,Productiewaarde_39,ToegevoegdeWaardeTegenBasisprijzen_40,BrutoInvesteringenInMaterieleActiva_41,TotaleAankoopVanGoederenEnDiensten_42
25,6411  ,2003JJ00,1.0,5.0,1793.0,603.0,1190.0,,,,,,,,,,,,,,,,,,,,,,,,182.0,95.0,87.0,,,,,,,,1437.0,1302.0,30.0,135.0
26,6411  ,2004JJ00,1.0,6.0,1872.0,642.0,1230.0,,,,,,,,,,,,,,,,,,,,,,,,127.0,91.0,36.0,,,,,,,,885.0,788.0,45.0,97.0
27,6411  ,2005JJ00,1.0,6.0,1792.0,628.0,1164.0,,,,,,,,,,,,,,,,,,,,,,,,168.0,118.0,50.0,,,,,,,,2152.0,2063.0,16.0,89.0
28,6411  ,2006JJ00,1.0,6.0,1744.0,628.0,1116.0,,,,,,,,,,,,,,,,,,,,,,,,146.0,123.0,23.0,,,,,,,,1839.0,1762.0,24.0,77.0
29,6411  ,2007JJ00,1.0,3.0,1661.0,590.0,1071.0,,,,,1566.0,,,,,,,,,,,,,,,,,,,169.0,128.0,41.0,,,,,,,,2041.0,1958.0,32.0,83.0
30,6411  ,2008JJ00,1.0,3.0,1614.0,579.0,1035.0,,,,,1498.0,,,,,,,,,,,,,,,,,,,124.0,120.0,4.0,,,,,,,,1955.0,1843.0,31.0,112.0
31,6411  ,2009JJ00,1.0,3.0,1640.0,594.0,1046.0,,,,,1513.0,,,,,,,,,,,,,,,,,,,125.0,122.0,3.0,,,,,,,,1934.0,1824.0,61.0,111.0
32,6411  ,2010JJ00,1.0,2.0,1676.0,,,,,,,1538.0,,,,,,,,,,,,,,,,,,,169.0,126.0,43.0,,,,,,,,2063.0,1935.0,42.0,128.0
33,6411  ,2011JJ00,1.0,2.0,1725.0,,,,,,,1589.0,,,,,,,,,,,,,,,,,,,184.0,130.0,54.0,,,,,,,,1690.0,1596.0,30.0,95.0
34,6411  ,2012JJ00,1.0,2.0,1755.0,,,,,,,1625.0,,,,,,,,,,,,,,,,,,,186.0,134.0,52.0,,,,,,,,2375.0,2273.0,27.0,102.0
