ID,FormeleOpvang,Perioden,TotaalHuishoudensMetFormeleOpvang_1
0,16,2005JJ00,283
1,16,2007JJ00,364
2,16,2009JJ00,446
3,16,2011JJ00,463
4,16,2013JJ00,449
5,11,2005JJ00,56
6,11,2007JJ00,76
7,11,2009JJ00,88
8,11,2011JJ00,103
9,11,2013JJ00,118
10,12,2005JJ00,118
11,12,2007JJ00,156
12,12,2009JJ00,180
13,12,2011JJ00,188
14,12,2013JJ00,187
15,13,2005JJ00,77
16,13,2007JJ00,90
17,13,2009JJ00,119
18,13,2011JJ00,120
19,13,2013JJ00,105
20,14,2005JJ00,27
21,14,2007JJ00,35
22,14,2009JJ00,53
23,14,2011JJ00,42
24,14,2013JJ00,34
25,15,2005JJ00,5
26,15,2007JJ00,6
27,15,2009JJ00,5
28,15,2011JJ00,8
29,15,2013JJ00,5
30,17,2005JJ00,112
31,17,2007JJ00,144
32,17,2009JJ00,140
33,17,2011JJ00,161
34,17,2013JJ00,205
35,18,2005JJ00,74
36,18,2007JJ00,92
37,18,2009JJ00,104
38,18,2011JJ00,107
39,18,2013JJ00,93
40,19,2005JJ00,57
41,19,2007JJ00,76
42,19,2009JJ00,91
43,19,2011JJ00,82
44,19,2013JJ00,79
45,20,2005JJ00,25
46,20,2007JJ00,28
47,20,2009JJ00,48
48,20,2011JJ00,40
49,20,2013JJ00,33
50,21,2005JJ00,10
51,21,2007JJ00,16
52,21,2009JJ00,59
53,21,2011JJ00,65
54,21,2013JJ00,33
55,22,2005JJ00,5
56,22,2007JJ00,8
57,22,2009JJ00,5
58,22,2011JJ00,8
59,22,2013JJ00,5
