ID,Zorgtype,FinancieringsvormenZorg,Perioden,UitgavenGezondheidsEnWelzijnszorg_1
0,T001698,T001103,2021JJ00,128928.0
1,T001698,T001103,2022JJ00,132683.0
2,T001698,T001103,2023JJ00,142239.0
3,T001698,T001103,2024JJ00,154933.0
4,T001698,A019151,2021JJ00,32866.0
5,T001698,A019151,2022JJ00,31582.0
6,T001698,A019151,2023JJ00,32736.0
7,T001698,A019151,2024JJ00,36355.0
8,T001698,A019154,2021JJ00,26510.0
9,T001698,A019154,2022JJ00,28216.0
10,T001698,A019154,2023JJ00,30940.0
11,T001698,A019154,2024JJ00,34279.0
12,T001698,A019155,2021JJ00,
13,T001698,A019155,2022JJ00,
14,T001698,A019155,2023JJ00,
15,T001698,A019155,2024JJ00,
16,T001698,A019156,2021JJ00,49603.0
17,T001698,A019156,2022JJ00,51224.0
18,T001698,A019156,2023JJ00,54889.0
19,T001698,A019156,2024JJ00,59122.0
20,T001698,A019158,2021JJ00,4127.0
21,T001698,A019158,2022JJ00,4136.0
22,T001698,A019158,2023JJ00,4303.0
23,T001698,A019158,2024JJ00,4359.0
24,T001698,A019163,2021JJ00,13555.0
25,T001698,A019163,2022JJ00,15229.0
26,T001698,A019163,2023JJ00,16817.0
27,T001698,A019163,2024JJ00,18029.0
28,T001698,A019164,2021JJ00,8095.0
29,T001698,A019164,2022JJ00,9542.0
30,T001698,A019164,2023JJ00,10942.0
31,T001698,A019164,2024JJ00,11922.0
32,T001698,A019165,2021JJ00,5460.0
33,T001698,A019165,2022JJ00,5687.0
34,T001698,A019165,2023JJ00,5875.0
35,T001698,A019165,2024JJ00,6107.0
36,T001698,A044427,2021JJ00,2267.0
37,T001698,A044427,2022JJ00,2296.0
38,T001698,A044427,2023JJ00,2554.0
39,T001698,A044427,2024JJ00,2789.0
40,A052900,T001103,2021JJ00,9425.0
41,A052900,T001103,2022JJ00,9378.0
42,A052900,T001103,2023JJ00,9884.0
43,A052900,T001103,2024JJ00,10580.0
44,A052900,A019151,2021JJ00,0.0
45,A052900,A019151,2022JJ00,0.0
46,A052900,A019151,2023JJ00,0.0
47,A052900,A019151,2024JJ00,0.0
48,A052900,A019154,2021JJ00,0.0
49,A052900,A019154,2022JJ00,0.0
50,A052900,A019154,2023JJ00,0.0
51,A052900,A019154,2024JJ00,0.0
52,A052900,A019155,2021JJ00,
53,A052900,A019155,2022JJ00,
54,A052900,A019155,2023JJ00,
55,A052900,A019155,2024JJ00,
56,A052900,A019156,2021JJ00,8794.0
57,A052900,A019156,2022JJ00,8742.0
58,A052900,A019156,2023JJ00,9221.0
59,A052900,A019156,2024JJ00,9899.0
60,A052900,A019158,2021JJ00,0.0
61,A052900,A019158,2022JJ00,0.0
62,A052900,A019158,2023JJ00,1.0
63,A052900,A019158,2024JJ00,1.0
64,A052900,A019163,2021JJ00,632.0
65,A052900,A019163,2022JJ00,636.0
66,A052900,A019163,2023JJ00,662.0
67,A052900,A019163,2024JJ00,681.0
68,A052900,A019164,2021JJ00,0.0
69,A052900,A019164,2022JJ00,0.0
70,A052900,A019164,2023JJ00,0.0
71,A052900,A019164,2024JJ00,0.0
72,A052900,A019165,2021JJ00,632.0
73,A052900,A019165,2022JJ00,636.0
74,A052900,A019165,2023JJ00,662.0
75,A052900,A019165,2024JJ00,681.0
76,A052900,A044427,2021JJ00,0.0
77,A052900,A044427,2022JJ00,0.0
78,A052900,A044427,2023JJ00,0.0
79,A052900,A044427,2024JJ00,0.0
80,A052901,T001103,2021JJ00,2420.0
81,A052901,T001103,2022JJ00,2664.0
82,A052901,T001103,2023JJ00,2936.0
83,A052901,T001103,2024JJ00,3176.0
84,A052901,A019151,2021JJ00,0.0
85,A052901,A019151,2022JJ00,0.0
86,A052901,A019151,2023JJ00,0.0
87,A052901,A019151,2024JJ00,0.0
88,A052901,A019154,2021JJ00,0.0
89,A052901,A019154,2022JJ00,0.0
90,A052901,A019154,2023JJ00,0.0
91,A052901,A019154,2024JJ00,0.0
92,A052901,A019155,2021JJ00,
93,A052901,A019155,2022JJ00,
94,A052901,A019155,2023JJ00,
95,A052901,A019155,2024JJ00,
96,A052901,A019156,2021JJ00,2247.0
97,A052901,A019156,2022JJ00,2476.0
98,A052901,A019156,2023JJ00,2734.0
99,A052901,A019156,2024JJ00,2969.0
100,A052901,A019158,2021JJ00,3.0
101,A052901,A019158,2022JJ00,4.0
102,A052901,A019158,2023JJ00,3.0
103,A052901,A019158,2024JJ00,3.0
104,A052901,A019163,2021JJ00,170.0
105,A052901,A019163,2022JJ00,185.0
106,A052901,A019163,2023JJ00,199.0
107,A052901,A019163,2024JJ00,204.0
108,A052901,A019164,2021JJ00,0.0
109,A052901,A019164,2022JJ00,0.0
110,A052901,A019164,2023JJ00,0.0
111,A052901,A019164,2024JJ00,0.0
112,A052901,A019165,2021JJ00,170.0
113,A052901,A019165,2022JJ00,185.0
114,A052901,A019165,2023JJ00,199.0
115,A052901,A019165,2024JJ00,204.0
116,A052901,A044427,2021JJ00,0.0
117,A052901,A044427,2022JJ00,0.0
118,A052901,A044427,2023JJ00,0.0
119,A052901,A044427,2024JJ00,0.0
120,A052902,T001103,2021JJ00,8011.0
121,A052902,T001103,2022JJ00,8397.0
122,A052902,T001103,2023JJ00,9158.0
123,A052902,T001103,2024JJ00,9907.0
124,A052902,A019151,2021JJ00,0.0
125,A052902,A019151,2022JJ00,0.0
126,A052902,A019151,2023JJ00,0.0
127,A052902,A019151,2024JJ00,0.0
128,A052902,A019154,2021JJ00,0.0
129,A052902,A019154,2022JJ00,0.0
130,A052902,A019154,2023JJ00,0.0
131,A052902,A019154,2024JJ00,0.0
132,A052902,A019155,2021JJ00,
133,A052902,A019155,2022JJ00,
134,A052902,A019155,2023JJ00,
135,A052902,A019155,2024JJ00,
136,A052902,A019156,2021JJ00,7445.0
137,A052902,A019156,2022JJ00,7812.0
138,A052902,A019156,2023JJ00,8536.0
139,A052902,A019156,2024JJ00,9267.0
140,A052902,A019158,2021JJ00,4.0
141,A052902,A019158,2022JJ00,2.0
142,A052902,A019158,2023JJ00,2.0
143,A052902,A019158,2024JJ00,2.0
144,A052902,A019163,2021JJ00,562.0
145,A052902,A019163,2022JJ00,583.0
146,A052902,A019163,2023JJ00,620.0
147,A052902,A019163,2024JJ00,637.0
148,A052902,A019164,2021JJ00,0.0
149,A052902,A019164,2022JJ00,0.0
150,A052902,A019164,2023JJ00,0.0
151,A052902,A019164,2024JJ00,0.0
152,A052902,A019165,2021JJ00,562.0
153,A052902,A019165,2022JJ00,583.0
154,A052902,A019165,2023JJ00,620.0
155,A052902,A019165,2024JJ00,637.0
156,A052902,A044427,2021JJ00,0.0
157,A052902,A044427,2022JJ00,0.0
158,A052902,A044427,2023JJ00,0.0
159,A052902,A044427,2024JJ00,0.0
160,A052903,T001103,2021JJ00,4065.0
161,A052903,T001103,2022JJ00,4506.0
162,A052903,T001103,2023JJ00,5112.0
163,A052903,T001103,2024JJ00,5478.0
164,A052903,A019151,2021JJ00,1232.0
165,A052903,A019151,2022JJ00,1132.0
166,A052903,A019151,2023JJ00,1168.0
167,A052903,A019151,2024JJ00,1308.0
168,A052903,A019154,2021JJ00,0.0
169,A052903,A019154,2022JJ00,0.0
170,A052903,A019154,2023JJ00,0.0
171,A052903,A019154,2024JJ00,0.0
172,A052903,A019155,2021JJ00,
173,A052903,A019155,2022JJ00,
174,A052903,A019155,2023JJ00,
175,A052903,A019155,2024JJ00,
176,A052903,A019156,2021JJ00,1771.0
177,A052903,A019156,2022JJ00,1995.0
178,A052903,A019156,2023JJ00,2266.0
179,A052903,A019156,2024JJ00,2341.0
180,A052903,A019158,2021JJ00,18.0
181,A052903,A019158,2022JJ00,27.0
182,A052903,A019158,2023JJ00,35.0
183,A052903,A019158,2024JJ00,35.0
184,A052903,A019163,2021JJ00,989.0
185,A052903,A019163,2022JJ00,1276.0
186,A052903,A019163,2023JJ00,1566.0
