ID,RegioS,Perioden,AantalLandbouwbedrijvenTotaal_1,GrondgebruikTotaal_2,Cultuurgrond_3,NietCultuurgrond_4,AantalBedrijvenMetGrondgebruik_5,AkkerbouwTotaal_6,Granen_7,Peulvruchten_8,Aardappelen_9,Suikerbieten_10,Voederbieten_11,Akkerbouwgroenten_12,Groenvoedergewassen_13,Zaden_14,Handelsgewassen_15,OverigeAkkerbouwgewassen_16,Braak_17,AantalBedrijvenMetAkkerbouw_18,TuinbouwOpenGrondTotaal_19,Tuinbouwgroenten_20,BloemenEnSierplantenTotaal_21,BloembollenEnKnollen_22,Bloemkwekerijgewassen_23,VastePlanten_24,BlijvendeTeeltTotaal_25,Fruit_26,Boomkwekerijgewassen_27,AantalBedrijvenMetTuinbouwOpenGrond_28,TuinbouwOnderGlasTotaal_29,Glasgroenten_30,BloemenEnSierplantenTotaal_31,Snijbloemen_32,Potplanten_33,OverigeBloemenEnSierplanten_34,Hyacintenbroei_35,Narcissenbroei_36,Tulpenbroei_37,BlijvendeTeeltTotaal_38,FruitOnderGlas_39,BoomkwekerijEnVastePlanten_40,AantalBedrijvenMetTuinbouwOnderGlas_41,Champignons_42,OverigeEetbarePaddenstoelen_43,AantalBedrijvenMetPaddenstoelenteelt_44,PaardenEnPonyS_45,RundveeTotaal_46,MelkEnFokveeTotaal_47,MelkEnKalfVleesEnWeidekoeien_48,OverigMelkEnFokvee_49,VleesEnWeideveeTotaal_50,Vleeskalveren_51,OverigVleesEnWeidevee_52,Schapen_53,Geiten_54,BlijvendEnNatuurlijkGrasland_55,AantalBedrMetGraasdierenOfGrasland_56,VarkensTotaal_57,Biggen_58,Vleesvarkens_59,Fokvarkens_60,KippenTotaal_61,VleeskuikensInclusiefOuderdieren_62,LeghennenInclusiefOuderdieren_63,OverigPluimvee_64,OverigeHokdieren_65,AantalBedrijvenMetHokdieren_66,Vleeskalveren_67,Vleesvarkens20KgEnMeer_68,Kippen_69,Vleeskalveren_70,Vleesvarkens20KgEnMeer_71,Kippen_72
0,NL1   ,2000JJ00,97390.0,214521565.0,197674272.0,16847293.0,97390.0,95830636.0,22578577.0,294529.0,18016160.0,11094644.0,89094.0,4599339.0,32191704.0,2298062.0,1150575.0,1070187.0,2447765.0,58712.0,8004018.0,2190840.0,2609760.0,2251266.0,237842.0,120652.0,3203418.0,2059960.0,1143458.0,16457.0,105208811.0,42002283.0,59220425.0,37269042.0,12610874.0,9340509.0,,3421.0,1021031.0,3986103.0,298925.0,3687178.0,11432.0,950250.0,122410.0,546.0,117497.0,4068817.0,2906952.0,1571533.0,1335419.0,1161865.0,782735.0,379130.0,1305037.0,178571.0,92787530.0,68756.0,13117814.0,5102434.0,6504537.0,1510843.0,104014665.0,59978265.0,44036400.0,2798543.0,981930.0,18258.0,926668.0,8691300.0,108101395.0,3605.0,15073.0,4849.0
1,NL1   ,2001JJ00,92647.0,207711643.0,194613178.0,13098465.0,92647.0,95604441.0,23665893.0,371720.0,16388079.0,10911830.0,79960.0,4608005.0,32305757.0,2051196.0,1224922.0,1026825.0,2970254.0,55462.0,7888811.0,2151020.0,2607199.0,2261773.0,237840.0,107586.0,3130592.0,1970974.0,1159618.0,15100.0,105240265.0,42705598.0,58451046.0,36059970.0,12825380.0,9565696.0,,3784.0,1017449.0,4083621.0,321732.0,3761889.0,10671.0,967590.0,134671.0,503.0,119658.0,4045351.0,2955733.0,1605918.0,1349815.0,1089618.0,712429.0,377189.0,1292975.0,220753.0,90067523.0,65892.0,13072980.0,5432817.0,6229728.0,1410435.0,100333709.0,57607929.0,42725780.0,2621822.0,1002539.0,16322.0,924698.0,7795549.0,106186371.0,3507.0,13105.0,4558.0
2,NL1   ,2002JJ00,89479.0,209973386.0,196407461.0,13565925.0,89479.0,95894249.0,23529010.0,385480.0,16515568.0,10889367.0,73104.0,4854605.0,32860575.0,1857440.0,1173483.0,719298.0,3036319.0,51640.0,8338131.0,2351110.0,2819413.0,2422107.0,268438.0,128868.0,3167608.0,1956359.0,1211249.0,14947.0,105383335.0,42872961.0,58234210.0,35779883.0,12722546.0,9731781.0,66544.0,3153.0,1073099.0,4276164.0,378762.0,3897402.0,10280.0,926362.0,44460.0,462.0,120631.0,3856589.0,2808540.0,1540847.0,1267693.0,1048049.0,713323.0,334726.0,1183452.0,254548.0,91121248.0,63471.0,11647677.0,4744505.0,5591044.0,1312128.0,101051852.0,62163272.0,38888580.0,2598752.0,994635.0,15186.0,936960.0,7441934.0,102886380.0,3504.0,11902.0,4057.0
3,NL1   ,2003JJ00,85408.0,209745968.0,194564993.0,15180975.0,85408.0,103531712.0,22771417.0,574272.0,15862063.0,10278460.0,63584.0,5112348.0,41792392.0,2239827.0,1262425.0,645759.0,2929165.0,49587.0,8294192.0,2387294.0,2840017.0,2453841.0,260654.0,125522.0,3066881.0,1877298.0,1189583.0,14137.0,105391952.0,43198432.0,57690597.0,34990207.0,13126108.0,9574282.0,86531.0,3021.0,1242591.0,4502923.0,712754.0,3790169.0,9806.0,878177.0,50531.0,418.0,125527.0,3757173.0,2718276.0,1534952.0,1183324.0,1038897.0,731528.0,307369.0,1182107.0,273853.0,81685169.0,60461.0,11169095.0,4541673.0,5367450.0,1259972.0,79234855.0,48736905.0,30497950.0,1997128.0,945662.0,13366.0,939295.0,7024886.0,93448596.0,3582.0,10825.0,3460.0
4,NL1   ,2004JJ00,83794.0,207968902.0,194940340.0,13028562.0,83794.0,106689411.0,22626080.0,547461.0,16386447.0,9773335.0,63927.0,5136480.0,45196353.0,2608429.0,1175385.0,645358.0,2530156.0,49026.0,8122513.0,2271024.0,2743314.0,2351970.0,252841.0,138503.0,3108175.0,1871731.0,1236444.0,13611.0,104860212.0,43588428.0,56918443.0,34006163.0,13397310.0,9514970.0,78980.0,3399.0,1310572.0,4353341.0,399050.0,3954291.0,9326.0,846053.0,51772.0,365.0,127872.0,3764818.0,2692536.0,1527650.0,1164886.0,1072282.0,765063.0,307219.0,1234039.0,282029.0,79079814.0,59246.0,11152500.0,4523643.0,5382515.0,1246342.0,85816077.0,50147797.0,35668280.0,2198755.0,984201.0,12852.0,985889.0,6800455.0,91443580.0,4349.0,10298.0,3504.0
5,NL1   ,2005JJ00,81750.0,207233824.0,193769503.0,13464321.0,81741.0,105161183.0,22328734.0,387474.0,15578061.0,9131265.0,53195.0,4704321.0,44627763.0,2840109.0,1202518.0,818942.0,3488801.0,47355.0,8064383.0,2199993.0,2681577.0,2298728.0,251309.0,131540.0,3182813.0,1856800.0,1326013.0,12625.0,105396583.0,44449680.0,56159332.0,32499165.0,13768877.0,9891290.0,97981.0,3223.0,1529786.0,4787571.0,456259.0,4331312.0,8951.0,769740.0,48850.0,330.0,132551.0,3796778.0,2648726.0,1494328.0,1154398.0,1148052.0,828740.0,319312.0,1360509.0,291891.0,79489971.0,57565.0,11311558.0,4562991.0,5504295.0,1244272.0,92914176.0,50284466.0,42629710.0,2550907.0,1064188.0,12564.0,1055978.0,7109385.0,99353165.0,3861.0,9763.0,3408.0
6,NL1   ,2006JJ00,79435.0,211149750.0,191970417.0,19179333.0,79435.0,100761569.0,22089781.0,271484.0,15649856.0,8278170.0,35837.0,5206458.0,42658666.0,2711926.0,1130698.0,674979.0,2053714.0,46445.0,8457856.0,2445994.0,2739577.0,2351450.0,260329.0,127798.0,3272285.0,1865517.0,1406768.0,12651.0,103806567.0,45476766.0,53811219.0,30932850.0,13858947.0,9019422.0,115833.0,3228.0,1692187.0,4518582.0,491789.0,4026793.0,8335.0,704650.0,90482.0,291.0,127740.0,3745093.0,2597034.0,1471967.0,1125067.0,1148059.0,843725.0,304334.0,1376444.0,309614.0,81712926.0,55951.0,11355967.0,4646509.0,5475689.0,1233769.0,91782259.0,48759329.0,43022930.0,2552835.0,1027953.0,11782.0,1059605.0,7014392.0,98920979.0,3569.0,8978.0,3400.0
7,NL1   ,2007JJ00,76741.0,207480193.0,191433236.0,16046957.0,76741.0,99744451.0,22253220.0,252942.0,15717359.0,8202608.0,33121.0,5409737.0,42312855.0,2101808.0,1059240.0,695597.0,1705964.0,44919.0,8580923.0,2441550.0,2747633.0,2365545.0,257314.0,124774.0,3391740.0,1898057.0,1493683.0,12019.0,103737196.0,45705994.0,53267480.0,30028274.0,13968155.0,9271051.0,83614.0,2975.0,1348997.0,4763722.0,605949.0,4157773.0,7762.0,703746.0,121198.0,253.0,133524.0,3762784.0,2598252.0,1468301.0,1129951.0,1164532.0,859872.0,304660.0,1369343.0,324014.0,82070297.0,54645.0,11662654.0,4837355.0,5558828.0,1266471.0,92760859.0,50421182.0,42339677.0,2950404.0,1207014.0,11447.0,1082541.0,7040965.0,95508208.0,4785.0,8546.0,2828.0
8,NL1   ,2008JJ00,75151.0,205007344.0,192927403.0,12079941.0,75151.0,100340711.0,24349613.0,244597.0,15186940.0,7223132.0,35320.0,5318136.0,43895801.0,1653685.0,1008700.0,666818.0,757969.0,44750.0,8789056.0,2485659.0,2813878.0,2432963.0,258076.0,122839.0,3489519.0,1940351.0,1549168.0,11748.0,101654215.0,46471392.0,50473117.0,28087976.0,14306684.0,8078457.0,96195.0,3818.0,1254150.0,4709706.0,662951.0,4046755.0,7115.0,771553.0,147124.0,242.0,144078.0,3890195.0,2686976.0,1509263.0,1177713.0,1203219.0,898713.0,304506.0,1212956.0,354878.0,82780921.0,54083.0,12026467.0,4965922.0,5838974.0,1221571.0,96700237.0,51606553.0,45093684.0,2528483.0,1189665.0,10796.0,1035076.0,6870345.0,97747158.0,2844.0,7988.0,2604.0
9,NL1   ,2009JJ00,73008.0,205713519.0,191748181.0,13965338.0,73008.0,99290079.0,22880082.0,323325.0,15523169.0,7270147.0,32887.0,5172106.0,43755626.0,1881265.0,1129603.0,579561.0,742308.0,43498.0,8700856.0,2409575.0,2741454.0,2356073.0,255546.0,129835.0,3549827.0,1965719.0,1584108.0,11366.0,103240571.0,48261443.0,50052078.0,26899992.0,14635161.0,8516925.0,82282.0,3306.0,1201041.0,4927050.0,605020.0,4322030.0,6585.0,755685.0,195043.0,215.0,144924.0,3967599.0,2774551.0,1529210.0,1245341.0,1193048.0,894248.0,298800.0,1116609.0,374184.0,82724679.0,52970.0,12186453.0,5068497.0,5872351.0,1245605.0,96859484.0,50219082.0,46640402.0,2906443.0,1195755.0,10048.0,1128167.0,7320603.0,101958624.0,3460.0,7576.0,2715.0
10,LD01  ,2000JJ00,16240.0,59207681.0,55640116.0,3567565.0,16240.0,25414002.0,7094825.0,12121.0,6713426.0,3304517.0,14367.0,272979.0,6500735.0,417214.0,161707.0,211862.0,710249.0,8548.0,357120.0,132985.0,149676.0,122398.0,20234.0,7044.0,74459.0,22221.0,52238.0,774.0,4106963.0,1525606.0,2461632.0,1665933.0,589388.0,206311.0,,33.0,15820.0,119725.0,1660.0,118065.0,385.0,17681.0,1273.0,7.0,23425.0,925704.0,807254.0,441813.0,365441.0,118450.0,66712.0,51738.0,410225.0,21872.0,29827924.0,13250.0,568195.0,219890.0,275782.0,72523.0,18885856.0,15704566.0,3181290.0,252830.0,36740.0,1127.0,88170.0,365055.0,21023447.0,412.0,592.0,639.0
11,LD01  ,2001JJ00,15648.0,58230678.0,55236327.0,2994351.0,15648.0,25298929.0,7303325.0,14816.0,6269202.0,3222649.0,16776.0,246683.0,6659364.0,365079.0,167076.0,190358.0,843601.0,8210.0,353255.0,124077.0,150765.0,123479.0,19575.0,7711.0,78413.0,22699.0,55714.0,706.0,4062590.0,1616894.0,2367397.0,1593911.0,523274.0,250212.0,,31.0,16882.0,78299.0,360.0,77939.0,368.0,18592.0,1200.0,6.0,24028.0,958236.0,837473.0,462363.0,375110.0,120763.0,68752.0,52011.0,404511.0,27828.0,29543517.0,12845.0,561430.0,247024.0,248606.0,65800.0,18692581.0,15580291.0,3112290.0,255401.0,36234.0,1041.0,94654.0,313249.0,21063498.0,385.0,502.0,616.0
12,LD01  ,2002JJ00,15149.0,58825828.0,55611574.0,3214254.0,15149.0,25192314.0,7319800.0,28808.0,6261130.0,3200249.0,10370.0,264512.0,6482484.0,286930.0,230385.0,107520.0,1000126.0,8082.0,394081.0,156355.0,167019.0,137477.0,21305.0,8237.0,70707.0,19453.0,51254.0,705.0,4129111.0,1681577.0,2353474.0,1521000.0,565060.0,267414.0,6.0,25.0,18677.0,94060.0,1870.0,92190.0,349.0,19614.0,30.0,7.0,23469.0,926574.0,814854.0,452814.0,362040.0,111720.0,62716.0,49004.0,356453.0,33959.0,29983888.0,12422.0,528382.0,216223.0,247665.0,64494.0,19802955.0,17336425.0,2466530.0,289817.0,41536.0,1008.0,95656.0,316297.0,20893841.0,443.0,472.0,536.0
13,LD01  ,2003JJ00,14561.0,60034745.0,55511719.0,4523026.0,14561.0,27092385.0,7227247.0,63407.0,6222240.0,3031744.0,11004.0,274235.0,8589269.0,356617.0,256791.0,90489.0,969342.0,7875.0,401621.0,139621.0,193769.0,162281.0,24377.0,7111.0,68231.0,18410.0,49821.0,638.0,4235441.0,1942188.0,2189472.0,1408166.0,481426.0,299880.0,0.0,32.0,20882.0,103781.0,270.0,103511.0,344.0,19020.0,24.0,7.0,24520.0,912594.0,795453.0,454578.0,340875.0,117141.0,74530.0,42611.0,360039.0,31834.0,27975359.0,11915.0,520733.0,214102.0,244065.0,62566.0,16920049.0,14317489.0,2602560.0,307576.0,43728.0,900.0,107058.0,305313.0,19913946.0,483.0,437.0,521.0
14,LD01  ,2004JJ00,14368.0,58966432.0,55536209.0,3430223.0,14368.0,27717220.0,7190445.0,79643.0,6464804.0,2875828.0,8370.0,306343.0,9319715.0,414245.0,179338.0,93302.0,785187.0,7853.0,370958.0,122236.0,182533.0,148562.0,23919.0,10052.0,66189.0,17575.0,48614.0,619.0,4397836.0,1904753.0,2349722.0,1508092.0,520485.0,321145.0,180.0,18.0,21360.0,143361.0,200.0,143161.0,329.0,18940.0,15.0,6.0,25190.0,905934.0,787743.0,454207.0,333536.0,118191.0,76042.0,42149.0,373907.0,33885.0,27404053.0,11764.0,524223.0,207959.0,252002.0,64262.0,17087358.0,14448258.0,2639100.0,303841.0,49293.0,870.0,109974.0,310925.0,19341776.0,602.0,430.0,522.0
15,LD01  ,2005JJ00,14106.0,58698564.0,55445564.0,3253000.0,14106.0,27486459.0,7062574.0,67584.0,6329343.0,2692930.0,6806.0,251385.0,9230370.0,413396.0,170817.0,135986.0,1125268.0,7744.0,339970.0,100278.0,167336.0,135702.0,20115.0,11519.0,72356.0,18277.0,54079.0,581.0,4200946.0,2041388.0,2058077.0,1202768.0,545045.0,310264.0,305.0,20.0,24660.0,101481.0,1550.0,99931.0,319.0,18790.0,0.0,5.0,25491.0,900312.0,775527.0,445498.0,330029.0,124785.0,81782.0,43003.0,427751.0,32642.0,27577126.0,11538.0,525544.0,207484.0,259556.0,58504.0,18555591.0,15168801.0,3386790.0,275419.0,46352.0,866.0,116482.0,324030.0,20451839.0,551.0,419.0,499.0
16,LD01  ,2006JJ00,13784.0,59734838.0,54685610.0,5049228.0,13784.0,26481379.0,7172716.0,13683.0,6185392.0,2443465.0,5483.0,306487.0,8985563.0,396425.0,186668.0,104435.0,681062.0,7708.0,375796.0,117220.0,188718.0,148829.0,19352.0,20537.0,69858.0,18016.0,51842.0,592.0,4100853.0,2095300.0,1858085.0,908587.0,640693.0,308805.0,770.0,21.0,30845.0,147468.0,9490.0,137978.0,296.0,20075.0,2606.0,6.0,26062.0,885295.0,761230.0,440071.0,321159.0,124065.0,82054.0,42011.0,428253.0,36219.0,27787426.0,11261.0,530907.0,218847.0,252038.0,60022.0,18436772.0,14439222.0,3997550.0,419011.0,39467.0,819.0,117947.0,324560.0,20380292.0,515.0,373.0,501.0
17,LD01  ,2007JJ00,13378.0,58995821.0,54852982.0,4142839.0,13378.0,26549005.0,7338781.0,11107.0,6214493.0,2450390.0,5728.0,352147.0,9006308.0,294960.0,207447.0,99015.0,568629.0,7560.0,372497.0,106648.0,187260.0,153931.0,20451.0,12878.0,78589.0,19176.0,59413.0,566.0,4185603.0,2059783.0,1975346.0,1016369.0,583700.0,375277.0,120.0,17.0,19881.0,150474.0,16240.0,134234.0,276.0,17909.0,1.0,6.0,26120.0,893408.0,768299.0,441509.0,326790.0,125109.0,82138.0,42971.0,424821.0,36108.0,27889620.0,11031.0,537931.0,222302.0,251687.0,63942.0,19463170.0,15434457.0,4028713.0,271330.0,39173.0,811.0,118239.0,328552.0,21080983.0,804.0,358.0,429.0
18,LD01  ,2008JJ00,13343.0,58500219.0,55697170.0,2803049.0,13343.0,27007291.0,8078833.0,9328.0,6037713.0,2264428.0,7133.0,355157.0,9485909.0,240267.0,219783.0,101173.0,207567.0,7670.0,386381.0,108989.0,192454.0,160294.0,19087.0,13073.0,84938.0,24148.0,60790.0,551.0,4110304.0,2050645.0,1932085.0,883872.0,550031.0,498182.0,210.0,20.0,30004.0,127574.0,13900.0,113674.0,255.0,17461.0,545.0,6.0,28271.0,936344.0,807180.0,457677.0,349503.0,129164.0,88416.0,40748.0,392234.0,36894.0,28262390.0,11084.0,548936.0,221462.0,272795.0,54679.0,19756707.0,16010088.0,3746619.0,252201.0,39446.0,755.0,107272.0,314090.0,22621683.0,371.0,319.0,411.0
19,LD01  ,2009JJ00,12995.0,58709682.0,55364502.0,3345180.0,12995.0,26462392.0,7490571.0,12405.0,6122848.0,2285685.0,6507.0,286845.0,9377122.0,268649.0,306313.0,84622.0,220825.0,7383.0,370245.0,110948.0,172919.0,141393.0,19280.0,12246.0,86378.0,24417.0,61961.0,538.0,3862768.0,1965997.0,1781952.0,727907.0,560781.0,493264.0,150.0,22.0,22571.0,114819.0,10800.0,104019.0,225.0,14915.0,10904.0,5.0,28922.0,957555.0,833027.0,459834.0,373193.0,124528.0,85003.0,39525.0,350047.0,36338.0,28493235.0,10879.0,548240.0,219820.0,273482.0,54938.0,20127329.0,15912199.0,4215130.0,362393.0,38007.0,731.0,118446.0,322348.0,22441189.0,503.0,328.0,426.0
20,LD02  ,2000JJ00,30578.0,63480292.0,56443016.0,7037276.0,30578.0,23761023.0,4154760.0,29114.0,3801617.0,2151446.0,23752.0,1476049.0,11168917.0,236771.0,79544.0,231440.0,407613.0,20069.0,1603499.0,153357.0,393385.0,349227.0,28837.0,15321.0,1056757.0,790911.0,265846.0,3336.0,9593378.0,1823423.0,7135559.0,4538473.0,1105397.0,1491689.0,,20.0,25938.0,634396.0,96139.0,538257.0,1434.0,218726.0,47509.0,179.0,39546.0,1620236.0,1013351.0,537743.0,475608.0,606885.0,470690.0,136195.0,261244.0,58190.0,30982560.0,25294.0,4358838.0,1629152.0,2256708.0,472978.0,32287858.0,16258628.0,16029230.0,1102617.0,219142.0,8270.0,534103.0,3047516.0,32882611.0,2004.0,7208.0,2069.0
