ID,ClimateSector,Emission,Periods,EmissionsOfGreenhouseGases_1
0,T001616,T001372,2019KW01,54.1
1,T001616,T001372,2019KW02,41.7
2,T001616,T001372,2019KW03,38.8
3,T001616,T001372,2019KW04,50.6
4,T001616,T001372,2019JJ00,185.3
5,T001616,T001372,2020KW01,48.5
6,T001616,T001372,2020KW02,35.9
7,T001616,T001372,2020KW03,37.9
8,T001616,T001372,2020KW04,46.0
9,T001616,T001372,2020JJ00,168.3
10,T001616,T001372,2021KW01,49.2
11,T001616,T001372,2021KW02,39.4
12,T001616,T001372,2021KW03,36.2
13,T001616,T001372,2021KW04,45.7
14,T001616,T001372,2021JJ00,170.6
15,T001616,T001372,2022KW01,44.4
16,T001616,T001372,2022KW02,36.5
17,T001616,T001372,2022KW03,35.2
18,T001616,T001372,2022KW04,40.9
19,T001616,T001372,2022JJ00,157.0
20,T001616,T001372,2023KW01,42.2
21,T001616,T001372,2023KW02,34.1
22,T001616,T001372,2023KW03,31.5
23,T001616,T001372,2023KW04,38.6
24,T001616,T001372,2023JJ00,146.4
25,T001616,T001372,2024KW01,40.4
26,T001616,T001372,2024KW02,32.5
27,T001616,T001372,2024KW03,31.5
28,T001616,T001372,2024KW04,40.3
29,T001616,T001372,2024JJ00,144.8
30,T001616,T001372,2025KW01,43.5
31,T001616,T001372,2025KW02,31.5
32,T001616,T001372,2025KW03,31.5
33,T001616,A044109,2019KW01,46.6
34,T001616,A044109,2019KW02,34.6
35,T001616,A044109,2019KW03,31.8
36,T001616,A044109,2019KW04,43.3
37,T001616,A044109,2019JJ00,156.2
38,T001616,A044109,2020KW01,41.1
39,T001616,A044109,2020KW02,29.0
40,T001616,A044109,2020KW03,31.1
41,T001616,A044109,2020KW04,38.8
42,T001616,A044109,2020JJ00,140.0
43,T001616,A044109,2021KW01,42.1
44,T001616,A044109,2021KW02,32.6
45,T001616,A044109,2021KW03,29.5
46,T001616,A044109,2021KW04,38.8
47,T001616,A044109,2021JJ00,143.1
48,T001616,A044109,2022KW01,37.6
49,T001616,A044109,2022KW02,30.0
50,T001616,A044109,2022KW03,28.8
51,T001616,A044109,2022KW04,34.4
52,T001616,A044109,2022JJ00,130.8
