ID,Geslacht,Leeftijden,TypeZorg,Stedelijkheid,Perioden,AantalInVerslagjaar_1,PercentageInVerslagjaar_2,TotaalUrenInVerslagjaar_3,GemiddeldPerPersoonInVerslagjaar_4,GemiddeldInBevolkingInVerslagjaar_5
44,0,0, 1,0,2006JJ00,234270,1.83,26167,112,2.04
45,0,0, 1,0,2007JJ00,237020,1.85,26770,113,2.09
46,0,0, 1,0,2008JJ00,240110,1.85,27481,114,2.12
47,0,0, 1,0,2009JJ00,243535,1.87,28900,119,2.21
48,0,0, 1,0,2010JJ00,242320,1.84,29442,122,2.24
49,0,0, 1,1,2004JJ00,34610,1.39,3253,94,1.3
50,0,0, 1,1,2005JJ00,47760,1.93,5235,110,2.11
51,0,0, 1,1,2006JJ00,52355,2.11,5785,110,2.34
52,0,0, 1,1,2007JJ00,47115,2.04,5187,110,2.25
53,0,0, 1,1,2008JJ00,46615,1.99,5113,110,2.18
54,0,0, 1,1,2009JJ00,51215,2.03,5672,111,2.24
55,0,0, 1,1,2010JJ00,50745,1.97,5865,116,2.27
56,0,0, 1,2,2004JJ00,48945,1.65,4605,94,1.55
57,0,0, 1,2,2005JJ00,62960,2.08,6683,106,2.21
58,0,0, 1,2,2006JJ00,67580,2.2,7349,109,2.39
59,0,0, 1,2,2007JJ00,72080,1.97,7872,109,2.15
60,0,0, 1,2,2008JJ00,74215,1.97,8231,111,2.19
61,0,0, 1,2,2009JJ00,73310,1.99,8488,116,2.3
62,0,0, 1,2,2010JJ00,72490,1.97,8644,119,2.35
63,0,0, 1,3,2004JJ00,32450,1.34,3128,96,1.29
64,0,0, 1,3,2005JJ00,40815,1.67,4389,108,1.79
65,0,0, 1,3,2006JJ00,42975,1.75,4717,110,1.92
66,0,0, 1,3,2007JJ00,47075,1.84,5317,113,2.08
67,0,0, 1,3,2008JJ00,46915,1.87,5398,115,2.16
68,0,0, 1,3,2009JJ00,45920,1.85,5521,120,2.22
69,0,0, 1,3,2010JJ00,46965,1.85,5709,122,2.25
70,0,0, 1,4,2004JJ00,28910,1.19,2894,100,1.19
71,0,0, 1,4,2005JJ00,36515,1.51,4057,111,1.68
72,0,0, 1,4,2006JJ00,38955,1.6,4449,114,1.83
73,0,0, 1,4,2007JJ00,45365,1.65,5362,118,1.95
74,0,0, 1,4,2008JJ00,46815,1.67,5636,120,2.01
75,0,0, 1,4,2009JJ00,47285,1.69,5972,126,2.14
76,0,0, 1,4,2010JJ00,47255,1.67,6062,128,2.14
77,0,0, 1,5,2004JJ00,24880,1.02,2672,107,1.1
78,0,0, 1,5,2005JJ00,31190,1.29,3637,117,1.5
79,0,0, 1,5,2006JJ00,32410,1.36,3867,119,1.62
80,0,0, 1,5,2007JJ00,25385,1.62,3031,119,1.94
81,0,0, 1,5,2008JJ00,25550,1.65,3103,121,2.01
82,0,0, 1,5,2009JJ00,25810,1.65,3247,126,2.08
83,0,0, 1,5,2010JJ00,24870,1.66,3161,127,2.11
84,0,0, 2,0,2004JJ00,39710,0.31,6533,165,0.51
85,0,0, 2,0,2005JJ00,29425,0.23,4735,161,0.37
86,0,0, 2,0,2006JJ00,31910,0.25,4035,126,0.31
87,0,0, 2,0,2007JJ00,48000,0.37,4672,97,0.36
88,0,0, 2,0,2008JJ00,67705,0.52,5904,87,0.46
89,0,0, 2,0,2009JJ00,80775,0.62,7040,87,0.54
90,0,0, 2,0,2010JJ00,94740,0.72,7909,83,0.6
91,0,0, 2,1,2004JJ00,7450,0.3,463,62,0.19
92,0,0, 2,1,2005JJ00,5035,0.2,265,53,0.11
93,0,0, 2,1,2006JJ00,4715,0.19,211,45,0.09
94,0,0, 2,1,2007JJ00,6070,0.26,282,46,0.12
95,0,0, 2,1,2008JJ00,8995,0.38,554,62,0.24
96,0,0, 2,1,2009JJ00,11990,0.47,808,67,0.32
97,0,0, 2,1,2010JJ00,14425,0.56,1151,80,0.45
98,0,0, 2,2,2004JJ00,9820,0.33,999,102,0.34
99,0,0, 2,2,2005JJ00,7380,0.24,797,108,0.26
100,0,0, 2,2,2006JJ00,7995,0.26,684,86,0.22
101,0,0, 2,2,2007JJ00,12505,0.34,607,49,0.17
102,0,0, 2,2,2008JJ00,17995,0.48,1029,57,0.27
103,0,0, 2,2,2009JJ00,20845,0.57,1318,63,0.36
104,0,0, 2,2,2010JJ00,24310,0.66,1685,69,0.46
105,0,0, 2,3,2004JJ00,7390,0.31,1579,214,0.65
106,0,0, 2,3,2005JJ00,5460,0.22,1222,224,0.5
107,0,0, 2,3,2006JJ00,6030,0.25,964,160,0.39
108,0,0, 2,3,2007JJ00,10300,0.4,1061,103,0.42
109,0,0, 2,3,2008JJ00,13655,0.55,1284,94,0.51
110,0,0, 2,3,2009JJ00,16230,0.65,1521,94,0.61
111,0,0, 2,3,2010JJ00,18950,0.75,1564,83,0.62
112,0,0, 2,4,2004JJ00,7680,0.31,1421,185,0.58
113,0,0, 2,4,2005JJ00,5585,0.23,816,146,0.34
114,0,0, 2,4,2006JJ00,6395,0.26,720,113,0.3
115,0,0, 2,4,2007JJ00,11815,0.43,1168,99,0.42
116,0,0, 2,4,2008JJ00,17065,0.61,1533,90,0.55
117,0,0, 2,4,2009JJ00,20095,0.72,1793,89,0.64
118,0,0, 2,4,2010JJ00,24375,0.86,2063,85,0.73
119,0,0, 2,5,2004JJ00,7370,0.3,2070,281,0.85
120,0,0, 2,5,2005JJ00,5960,0.25,1636,274,0.67
121,0,0, 2,5,2006JJ00,6780,0.28,1456,215,0.61
122,0,0, 2,5,2007JJ00,7310,0.47,1554,213,0.99
123,0,0, 2,5,2008JJ00,9995,0.65,1505,151,0.97
124,0,0, 2,5,2009JJ00,11620,0.74,1601,138,1.02
125,0,0, 2,5,2010JJ00,12680,0.85,1447,114,0.97
126,0,0, 3,0,2004JJ00,66325,0.52,1629,25,0.13
127,0,0, 3,0,2005JJ00,58795,0.46,976,17,0.08
128,0,0, 3,0,2006JJ00,59755,0.47,974,16,0.08
129,0,0, 3,0,2007JJ00,55040,0.43,951,17,0.07
130,0,0, 3,0,2008JJ00,50005,0.39,873,17,0.07
131,0,0, 3,0,2009JJ00,41205,0.32,719,17,0.06
132,0,0, 3,0,2010JJ00,37405,0.28,638,17,0.05
133,0,0, 3,1,2004JJ00,9690,0.39,194,20,0.08
134,0,0, 3,1,2005JJ00,9765,0.39,178,18,0.07
135,0,0, 3,1,2006JJ00,9750,0.39,156,16,0.06
136,0,0, 3,1,2007JJ00,7780,0.34,131,17,0.06
137,0,0, 3,1,2008JJ00,6930,0.3,125,18,0.05
138,0,0, 3,1,2009JJ00,5980,0.24,126,21,0.05
139,0,0, 3,1,2010JJ00,5315,0.21,114,22,0.04
140,0,0, 3,2,2004JJ00,15370,0.52,465,30,0.16
141,0,0, 3,2,2005JJ00,14285,0.47,250,18,0.08
142,0,0, 3,2,2006JJ00,14790,0.48,257,17,0.08
143,0,0, 3,2,2007JJ00,15330,0.42,272,18,0.07
144,0,0, 3,2,2008JJ00,14495,0.39,252,17,0.07
145,0,0, 3,2,2009JJ00,11685,0.32,195,17,0.05
146,0,0, 3,2,2010JJ00,10530,0.29,172,16,0.05
147,0,0, 3,3,2004JJ00,12520,0.52,300,24,0.12
148,0,0, 3,3,2005JJ00,11040,0.45,173,16,0.07
149,0,0, 3,3,2006JJ00,11095,0.45,175,16,0.07
150,0,0, 3,3,2007JJ00,11035,0.43,209,19,0.08
151,0,0, 3,3,2008JJ00,9890,0.39,185,19,0.07
152,0,0, 3,3,2009JJ00,7865,0.32,136,17,0.05
153,0,0, 3,3,2010JJ00,7100,0.28,114,16,0.04
154,0,0, 3,4,2004JJ00,14015,0.57,316,23,0.13
155,0,0, 3,4,2005JJ00,11670,0.48,188,16,0.08
156,0,0, 3,4,2006JJ00,12050,0.5,198,16,0.08
157,0,0, 3,4,2007JJ00,12890,0.47,215,17,0.08
158,0,0, 3,4,2008JJ00,11710,0.42,197,17,0.07
159,0,0, 3,4,2009JJ00,9785,0.35,164,17,0.06
160,0,0, 3,4,2010JJ00,9190,0.32,150,16,0.05
161,0,0, 3,5,2004JJ00,14730,0.61,354,24,0.15
162,0,0, 3,5,2005JJ00,12035,0.5,187,16,0.08
163,0,0, 3,5,2006JJ00,12075,0.51,188,16,0.08
164,0,0, 3,5,2007JJ00,8005,0.51,125,16,0.08
165,0,0, 3,5,2008JJ00,6985,0.45,116,17,0.07
166,0,0, 3,5,2009JJ00,5895,0.38,97,17,0.06
167,0,0, 3,5,2010JJ00,5275,0.35,87,17,0.06
168,0,0, 4,0,2004JJ00,119180,0.94,17583,148,1.38
169,0,0, 4,0,2005JJ00,66675,0.52,11314,170,0.89
170,0,0, 4,0,2006JJ00,56665,0.44,10637,188,0.83
171,0,0, 4,0,2007JJ00,59540,0.46,12262,206,0.96
172,0,0, 4,0,2008JJ00,80850,0.62,18501,229,1.43
173,0,0, 4,0,2009JJ00,98100,0.75,24419,249,1.87
174,0,0, 4,0,2010JJ00,107350,0.82,28174,262,2.14
175,0,0, 4,1,2004JJ00,29435,1.18,4099,139,1.64
176,0,0, 4,1,2005JJ00,14975,0.6,2331,156,0.94
177,0,0, 4,1,2006JJ00,11165,0.45,1976,177,0.8
178,0,0, 4,1,2007JJ00,8830,0.38,1711,194,0.74
179,0,0, 4,1,2008JJ00,12015,0.51,2638,220,1.13
180,0,0, 4,1,2009JJ00,16790,0.66,4024,240,1.59
181,0,0, 4,1,2010JJ00,18495,0.72,4823,261,1.87
182,0,0, 4,2,2004JJ00,31315,1.06,4535,145,1.53
183,0,0, 4,2,2005JJ00,18515,0.61,3128,169,1.04
184,0,0, 4,2,2006JJ00,15890,0.52,2967,187,0.97
185,0,0, 4,2,2007JJ00,17090,0.47,3336,195,0.91
186,0,0, 4,2,2008JJ00,23205,0.62,5049,218,1.34
187,0,0, 4,2,2009JJ00,27055,0.73,6482,240,1.76
188,0,0, 4,2,2010JJ00,29570,0.8,7450,252,2.03
189,0,0, 4,3,2004JJ00,20585,0.85,2989,145,1.24
190,0,0, 4,3,2005JJ00,11485,0.47,1940,169,0.79
191,0,0, 4,3,2006JJ00,10285,0.42,1879,183,0.77
192,0,0, 4,3,2007JJ00,12470,0.49,2633,211,1.03
193,0,0, 4,3,2008JJ00,16370,0.65,3810,233,1.52
194,0,0, 4,3,2009JJ00,19365,0.78,4826,249,1.94
195,0,0, 4,3,2010JJ00,21365,0.84,5571,261,2.19
196,0,0, 4,4,2004JJ00,20385,0.84,3121,153,1.28
197,0,0, 4,4,2005JJ00,11445,0.47,2045,179,0.85
198,0,0, 4,4,2006JJ00,10360,0.43,2034,196,0.84
199,0,0, 4,4,2007JJ00,13260,0.48,2794,211,1.02
200,0,0, 4,4,2008JJ00,18500,0.66,4336,234,1.55
201,0,0, 4,4,2009JJ00,22085,0.79,5693,258,2.04
202,0,0, 4,4,2010JJ00,24475,0.86,6630,271,2.34
203,0,0, 4,5,2004JJ00,17465,0.72,2839,163,1.17
204,0,0, 4,5,2005JJ00,10250,0.42,1870,182,0.77
205,0,0, 4,5,2006JJ00,8965,0.38,1781,199,0.75
206,0,0, 4,5,2007JJ00,7890,0.5,1789,227,1.14
207,0,0, 4,5,2008JJ00,10765,0.7,2668,248,1.73
208,0,0, 4,5,2009JJ00,12805,0.82,3394,265,2.17
209,0,0, 4,5,2010JJ00,13445,0.9,3701,275,2.47
210,0,0, 5,0,2004JJ00,19675,0.15,2444,124,0.19
211,0,0, 5,0,2005JJ00,24720,0.19,3210,130,0.25
212,0,0, 5,0,2006JJ00,26990,0.21,3671,136,0.29
213,0,0, 5,0,2007JJ00,20795,0.16,2983,143,0.23
214,0,0, 5,0,2008JJ00,14650,0.11,2137,146,0.16
215,0,0, 5,0,2009JJ00,11585,0.09,1750,151,0.13
216,0,0, 5,0,2010JJ00,9995,0.08,1557,156,0.12
217,0,0, 5,1,2004JJ00,3640,0.15,409,112,0.16
218,0,0, 5,1,2005JJ00,5950,0.24,786,132,0.32
219,0,0, 5,1,2006JJ00,6335,0.26,837,132,0.34
220,0,0, 5,1,2007JJ00,4600,0.2,609,133,0.26
221,0,0, 5,1,2008JJ00,3090,0.13,421,136,0.18
222,0,0, 5,1,2009JJ00,2410,0.1,347,144,0.14
223,0,0, 5,1,2010JJ00,2110,0.08,333,158,0.13
224,0,0, 5,2,2004JJ00,5520,0.19,651,118,0.22
225,0,0, 5,2,2005JJ00,6735,0.22,862,128,0.29
226,0,0, 5,2,2006JJ00,7740,0.25,1050,136,0.34
227,0,0, 5,2,2007JJ00,6135,0.17,865,141,0.24
228,0,0, 5,2,2008JJ00,4485,0.12,635,141,0.17
229,0,0, 5,2,2009JJ00,3515,0.1,522,148,0.14
230,0,0, 5,2,2010JJ00,2890,0.08,449,155,0.12
231,0,0, 5,3,2004JJ00,3515,0.15,420,119,0.17
232,0,0, 5,3,2005JJ00,4390,0.18,553,126,0.23
233,0,0, 5,3,2006JJ00,4725,0.19,641,136,0.26
234,0,0, 5,3,2007JJ00,3915,0.15,581,148,0.23
235,0,0, 5,3,2008JJ00,2645,0.11,398,151,0.16
236,0,0, 5,3,2009JJ00,2060,0.08,318,155,0.13
237,0,0, 5,3,2010JJ00,1780,0.07,277,156,0.11
238,0,0, 5,4,2004JJ00,3725,0.15,501,134,0.21
239,0,0, 5,4,2005JJ00,4170,0.17,540,129,0.22
240,0,0, 5,4,2006JJ00,4420,0.18,609,138,0.25
241,0,0, 5,4,2007JJ00,3865,0.14,580,150,0.21
242,0,0, 5,4,2008JJ00,2810,0.1,439,156,0.16
243,0,0, 5,4,2009JJ00,2325,0.08,366,158,0.13
244,0,0, 5,4,2010JJ00,2115,0.07,330,156,0.12
245,0,0, 5,5,2004JJ00,3280,0.14,463,141,0.19
246,0,0, 5,5,2005JJ00,3480,0.14,470,135,0.19
247,0,0, 5,5,2006JJ00,3770,0.16,534,142,0.22
248,0,0, 5,5,2007JJ00,2280,0.15,348,153,0.22
249,0,0, 5,5,2008JJ00,1615,0.1,244,151,0.16
250,0,0, 5,5,2009JJ00,1280,0.08,197,154,0.13
251,0,0, 5,5,2010JJ00,1100,0.07,167,152,0.11
252,0,0, 6,0,2004JJ00,66680,0.52,8566,128,0.67
253,0,0, 6,0,2005JJ00,66165,0.52,6914,104,0.54
254,0,0, 6,0,2006JJ00,66135,0.52,7230,109,0.56
255,0,0, 6,0,2007JJ00,76455,0.6,9461,124,0.74
256,0,0, 6,0,2008JJ00,73190,0.56,9279,127,0.72
257,0,0, 6,0,2009JJ00,67345,0.52,8685,129,0.67
258,0,0, 6,0,2010JJ00,67080,0.51,8911,133,0.68
259,0,0, 6,1,2004JJ00,11765,0.47,1363,116,0.55
260,0,0, 6,1,2005JJ00,11095,0.45,1139,103,0.46
261,0,0, 6,1,2006JJ00,11135,0.45,1165,105,0.47
262,0,0, 6,1,2007JJ00,11675,0.51,1365,117,0.59
263,0,0, 6,1,2008JJ00,11105,0.47,1450,131,0.62
264,0,0, 6,1,2009JJ00,9680,0.38,1303,135,0.52
265,0,0, 6,1,2010JJ00,9450,0.37,1325,140,0.51
266,0,0, 6,2,2004JJ00,16570,0.56,2048,124,0.69
267,0,0, 6,2,2005JJ00,15905,0.53,1626,102,0.54
268,0,0, 6,2,2006JJ00,15980,0.52,1720,108,0.56
269,0,0, 6,2,2007JJ00,20800,0.57,2432,117,0.67
270,0,0, 6,2,2008JJ00,20655,0.55,2424,117,0.64
271,0,0, 6,2,2009JJ00,18710,0.51,2261,121,0.61
272,0,0, 6,2,2010JJ00,18165,0.49,2254,124,0.61
273,0,0, 6,3,2004JJ00,11750,0.49,1554,132,0.64
274,0,0, 6,3,2005JJ00,11925,0.49,1258,106,0.51
275,0,0, 6,3,2006JJ00,12105,0.49,1243,103,0.51
276,0,0, 6,3,2007JJ00,14755,0.58,1882,128,0.74
277,0,0, 6,3,2008JJ00,13960,0.56,1796,129,0.72
278,0,0, 6,3,2009JJ00,13245,0.53,1713,129,0.69
279,0,0, 6,3,2010JJ00,13305,0.52,1740,131,0.68
280,0,0, 6,4,2004JJ00,12695,0.52,1683,133,0.69
281,0,0, 6,4,2005JJ00,12615,0.52,1271,101,0.53
282,0,0, 6,4,2006JJ00,12655,0.52,1421,112,0.58
283,0,0, 6,4,2007JJ00,18250,0.66,2238,123,0.81
284,0,0, 6,4,2008JJ00,17385,0.62,2189,126,0.78
285,0,0, 6,4,2009JJ00,16110,0.58,2103,131,0.75
286,0,0, 6,4,2010JJ00,16915,0.6,2290,135,0.81
287,0,0, 6,5,2004JJ00,13900,0.57,1919,138,0.79
288,0,0, 6,5,2005JJ00,14630,0.6,1620,111,0.67
289,0,0, 6,5,2006JJ00,14260,0.6,1682,118,0.71
290,0,0, 6,5,2007JJ00,10975,0.7,1544,141,0.99
291,0,0, 6,5,2008JJ00,10085,0.65,1421,141,0.92
292,0,0, 6,5,2009JJ00,9600,0.61,1305,136,0.83
293,0,0, 6,5,2010JJ00,9250,0.62,1303,141,0.87
294,0,0, 7,0,2004JJ00,126725,0.99,36207,286,2.84
295,0,0, 7,0,2005JJ00,130350,1.02,39342,302,3.08
296,0,0, 7,0,2006JJ00,131845,1.03,42317,321,3.3
297,0,0, 7,0,2007JJ00,113325,0.88,38181,337,2.98
298,0,0, 7,0,2008JJ00,93680,0.72,32270,344,2.49
299,0,0, 7,0,2009JJ00,78340,0.6,27681,353,2.12
300,0,0, 7,0,2010JJ00,70260,0.53,25094,357,1.91
301,0,0, 7,1,2004JJ00,29770,1.19,8505,286,3.41
302,0,0, 7,1,2005JJ00,27700,1.12,8446,305,3.4
303,0,0, 7,1,2006JJ00,28155,1.14,8932,317,3.61
304,0,0, 7,1,2007JJ00,22210,0.96,7426,334,3.22
305,0,0, 7,1,2008JJ00,17360,0.74,5987,345,2.56
306,0,0, 7,1,2009JJ00,13905,0.55,4967,357,1.97
307,0,0, 7,1,2010JJ00,12050,0.47,4481,372,1.74
308,0,0, 7,2,2004JJ00,34090,1.15,9466,278,3.19
309,0,0, 7,2,2005JJ00,34905,1.16,10387,298,3.44
310,0,0, 7,2,2006JJ00,35875,1.17,11382,317,3.71
311,0,0, 7,2,2007JJ00,32525,0.89,10560,325,2.89
312,0,0, 7,2,2008JJ00,27735,0.74,9143,330,2.43
313,0,0, 7,2,2009JJ00,22840,0.62,7689,337,2.09
314,0,0, 7,2,2010JJ00,20190,0.55,6839,339,1.86
315,0,0, 7,3,2004JJ00,21940,0.91,6157,281,2.55
316,0,0, 7,3,2005JJ00,23220,0.95,6889,297,2.82
317,0,0, 7,3,2006JJ00,23780,0.97,7465,314,3.05
318,0,0, 7,3,2007JJ00,20845,0.82,7075,339,2.77
319,0,0, 7,3,2008JJ00,17195,0.69,5948,346,2.37
320,0,0, 7,3,2009JJ00,14595,0.59,5201,356,2.09
321,0,0, 7,3,2010JJ00,13825,0.54,4958,359,1.95
322,0,0, 7,4,2004JJ00,21435,0.88,6334,295,2.6
323,0,0, 7,4,2005JJ00,23110,0.96,7059,305,2.93
324,0,0, 7,4,2006JJ00,23410,0.96,7702,329,3.17
325,0,0, 7,4,2007JJ00,23755,0.86,8077,340,2.93
326,0,0, 7,4,2008JJ00,19915,0.71,6963,350,2.49
327,0,0, 7,4,2009JJ00,16775,0.6,6047,360,2.16
328,0,0, 7,4,2010JJ00,15340,0.54,5554,362,1.96
329,0,0, 7,5,2004JJ00,19490,0.8,5745,295,2.37
330,0,0, 7,5,2005JJ00,21415,0.88,6561,306,2.71
331,0,0, 7,5,2006JJ00,20620,0.87,6835,331,2.87
332,0,0, 7,5,2007JJ00,13990,0.89,5043,360,3.22
333,0,0, 7,5,2008JJ00,11480,0.74,4228,368,2.74
334,0,0, 7,5,2009JJ00,10220,0.65,3778,370,2.42
335,0,0, 7,5,2010JJ00,8855,0.59,3261,368,2.18
336,0,0, 8,0,2004JJ00,435375,3.42,39821,91,3.12
337,0,0, 8,0,2005JJ00,440985,3.45,50043,113,3.91
338,0,0, 8,0,2006JJ00,449770,3.51,53505,119,4.18
339,0,0, 8,0,2007JJ00,430680,3.36,52780,123,4.11
340,0,0, 8,0,2008JJ00,429290,3.31,53228,124,4.11
341,0,0, 8,0,2009JJ00,431560,3.31,55423,128,4.25
342,0,0, 8,0,2010JJ00,429925,3.27,56335,131,4.29
343,0,0, 8,1,2004JJ00,97455,3.91,8772,90,3.52
344,0,0, 8,1,2005JJ00,96385,3.88,10986,114,4.43
345,0,0, 8,1,2006JJ00,98010,3.96,11523,118,4.65
346,0,0, 8,1,2007JJ00,82760,3.59,9806,118,4.25
347,0,0, 8,1,2008JJ00,79080,3.38,9331,118,3.99
348,0,0, 8,1,2009JJ00,84320,3.34,10109,120,4.0
349,0,0, 8,1,2010JJ00,83400,3.23,10412,125,4.03
350,0,0, 8,2,2004JJ00,119860,4.04,10766,90,3.63
351,0,0, 8,2,2005JJ00,123115,4.08,13667,111,4.53
352,0,0, 8,2,2006JJ00,127085,4.14,14831,117,4.83
353,0,0, 8,2,2007JJ00,127830,3.5,15150,119,4.15
354,0,0, 8,2,2008JJ00,129635,3.45,15580,120,4.14
355,0,0, 8,2,2009JJ00,126725,3.44,15857,125,4.31
356,0,0, 8,2,2010JJ00,125140,3.4,16059,128,4.37
357,0,0, 8,3,2004JJ00,78485,3.25,7087,90,2.93
358,0,0, 8,3,2005JJ00,79910,3.27,8876,111,3.63
359,0,0, 8,3,2006JJ00,81765,3.34,9540,117,3.89
360,0,0, 8,3,2007JJ00,84305,3.3,10377,123,4.06
361,0,0, 8,3,2008JJ00,83125,3.32,10359,125,4.14
362,0,0, 8,3,2009JJ00,81935,3.3,10629,130,4.28
363,0,0, 8,3,2010JJ00,83930,3.3,10992,131,4.32
364,0,0, 8,4,2004JJ00,74455,3.05,6922,93,2.84
365,0,0, 8,4,2005JJ00,75240,3.12,8678,115,3.6
366,0,0, 8,4,2006JJ00,77150,3.17,9400,122,3.86
367,0,0, 8,4,2007JJ00,86240,3.13,11025,128,4.01
368,0,0, 8,4,2008JJ00,88040,3.14,11459,130,4.09
369,0,0, 8,4,2009JJ00,88470,3.17,12027,136,4.3
370,0,0, 8,4,2010JJ00,89185,3.14,12278,138,4.33
371,0,0, 8,5,2004JJ00,65115,2.68,6275,96,2.58
372,0,0, 8,5,2005JJ00,66340,2.74,7836,118,3.23
373,0,0, 8,5,2006JJ00,65760,2.76,8212,125,3.45
374,0,0, 8,5,2007JJ00,49545,3.17,6423,130,4.1
375,0,0, 8,5,2008JJ00,49410,3.2,6500,132,4.21
376,0,0, 8,5,2009JJ00,50115,3.2,6801,136,4.35
377,0,0, 8,5,2010JJ00,48265,3.22,6594,137,4.4
378,0,0, 9,0,2004JJ00,352300,2.76,37384,106,2.93
379,0,0, 9,0,2005JJ00,292615,2.29,29519,101,2.31
380,0,0, 9,0,2006JJ00,286560,2.24,30193,105,2.36
381,0,0, 9,0,2007JJ00,297320,2.32,32025,108,2.5
382,0,0, 9,0,2008JJ00,315425,2.43,35373,112,2.73
383,0,0, 9,0,2009JJ00,324560,2.49,37348,115,2.86
384,0,0, 9,0,2010JJ00,339430,2.58,39431,116,3.0
385,0,0, 9,1,2004JJ00,78420,3.14,7095,90,2.84
386,0,0, 9,1,2005JJ00,58805,2.37,5050,86,2.04
387,0,0, 9,1,2006JJ00,55170,2.23,5212,94,2.1
388,0,0, 9,1,2007JJ00,48785,2.12,4958,102,2.15
389,0,0, 9,1,2008JJ00,49475,2.11,5565,112,2.38
390,0,0, 9,1,2009JJ00,52365,2.07,5992,114,2.37
391,0,0, 9,1,2010JJ00,54425,2.11,6608,121,2.56
392,0,0, 9,2,2004JJ00,91790,3.1,8839,96,2.98
393,0,0, 9,2,2005JJ00,76705,2.54,7272,95,2.41
394,0,0, 9,2,2006JJ00,75745,2.47,7613,101,2.48
395,0,0, 9,2,2007JJ00,82920,2.27,7934,96,2.17
396,0,0, 9,2,2008JJ00,89590,2.38,9000,100,2.39
397,0,0, 9,2,2009JJ00,89450,2.43,9385,105,2.55
398,0,0, 9,2,2010JJ00,92240,2.51,9885,107,2.69
399,0,0, 9,3,2004JJ00,61665,2.55,6871,111,2.84
400,0,0, 9,3,2005JJ00,52090,2.13,5663,109,2.31
401,0,0, 9,3,2006JJ00,52200,2.13,5555,106,2.27
402,0,0, 9,3,2007JJ00,58375,2.29,6374,109,2.5
403,0,0, 9,3,2008JJ00,61180,2.44,6968,114,2.78
404,0,0, 9,3,2009JJ00,63435,2.55,7380,116,2.97
405,0,0, 9,3,2010JJ00,67440,2.65,7800,116,3.07
