ID,Geslacht,Leeftijden,TypeZorg,Stedelijkheid,Perioden,AantalInVerslagjaar_1,PercentageInVerslagjaar_2,TotaalUrenInVerslagjaar_3,GemiddeldPerPersoonInVerslagjaar_4,GemiddeldInBevolkingInVerslagjaar_5
0,0,0, 0,0,2004JJ00,608095,4.77,89515,147,7.02
1,0,0, 0,0,2005JJ00,595375,4.66,90493,152,7.08
2,0,0, 0,0,2006JJ00,607575,4.74,95031,156,7.42
3,0,0, 0,0,2007JJ00,610180,4.76,95279,156,7.43
4,0,0, 0,0,2008JJ00,620190,4.79,96447,156,7.44
5,0,0, 0,0,2009JJ00,620890,4.76,99194,160,7.6
6,0,0, 0,0,2010JJ00,629155,4.79,101725,162,7.74
7,0,0, 0,1,2004JJ00,126365,5.06,18287,145,7.33
8,0,0, 0,1,2005JJ00,122280,4.93,18380,150,7.41
9,0,0, 0,1,2006JJ00,123610,4.99,19061,154,7.7
10,0,0, 0,1,2007JJ00,108280,4.7,16712,154,7.25
11,0,0, 0,1,2008JJ00,106110,4.53,16287,153,6.96
12,0,0, 0,1,2009JJ00,111965,4.43,17247,154,6.83
13,0,0, 0,1,2010JJ00,112595,4.36,18093,161,7.01
14,0,0, 0,2,2004JJ00,161620,5.45,22769,141,7.68
15,0,0, 0,2,2005JJ00,160685,5.32,23733,148,7.86
16,0,0, 0,2,2006JJ00,165850,5.4,25409,153,8.27
17,0,0, 0,2,2007JJ00,176465,4.83,25944,147,7.1
18,0,0, 0,2,2008JJ00,182785,4.86,26763,146,7.11
19,0,0, 0,2,2009JJ00,177960,4.83,26953,151,7.32
20,0,0, 0,2,2010JJ00,178145,4.85,27492,154,7.48
21,0,0, 0,3,2004JJ00,110145,4.55,16126,146,6.67
22,0,0, 0,3,2005JJ00,108335,4.43,16424,152,6.71
23,0,0, 0,3,2006JJ00,110990,4.53,17084,154,6.97
24,0,0, 0,3,2007JJ00,120395,4.72,18757,156,7.35
25,0,0, 0,3,2008JJ00,120630,4.82,18819,156,7.51
26,0,0, 0,3,2009JJ00,119275,4.8,19236,161,7.74
27,0,0, 0,3,2010JJ00,123290,4.85,19934,162,7.84
28,0,0, 0,4,2004JJ00,108850,4.46,16270,149,6.67
29,0,0, 0,4,2005JJ00,105110,4.36,15976,152,6.62
30,0,0, 0,4,2006JJ00,108245,4.45,17133,158,7.04
31,0,0, 0,4,2007JJ00,129195,4.69,20433,158,7.42
32,0,0, 0,4,2008JJ00,134195,4.79,21293,159,7.6
33,0,0, 0,4,2009JJ00,134455,4.81,22139,165,7.92
34,0,0, 0,4,2010JJ00,139660,4.92,23079,165,8.13
35,0,0, 0,5,2004JJ00,101120,4.17,16062,159,6.62
36,0,0, 0,5,2005JJ00,98965,4.08,15980,161,6.59
37,0,0, 0,5,2006JJ00,98875,4.15,16344,165,6.86
38,0,0, 0,5,2007JJ00,75840,4.85,13433,177,8.59
39,0,0, 0,5,2008JJ00,76470,4.95,13285,174,8.6
40,0,0, 0,5,2009JJ00,77230,4.94,13619,176,8.71
41,0,0, 0,5,2010JJ00,75470,5.04,13128,174,8.77
42,0,0, 1,0,2004JJ00,169795,1.33,16552,97,1.3
43,0,0, 1,0,2005JJ00,219245,1.71,24001,109,1.88
