ID,LandenGroepen,Perioden,Invoerwaarde_1,Uitvoerwaarde_2,Handelsbalans_3
0, 1,1996MM01,903503.0,1099603.0,196100.0
1, 1,1996MM02,811466.0,1061134.0,249668.0
2, 1,1996MM03,867150.0,1165039.0,297889.0
3, 1,1996MM04,964179.0,980238.0,16059.0
4, 1,1996MM05,921470.0,933001.0,11531.0
5, 1,1996MM06,818394.0,871592.0,53198.0
6, 1,1996MM07,946131.0,917465.0,-28666.0
7, 1,1996MM08,956910.0,829509.0,-127401.0
8, 1,1996MM09,961854.0,993086.0,31232.0
9, 1,1996MM10,1183195.0,1043720.0,-139475.0
10, 1,1996MM11,1243199.0,1163253.0,-79946.0
11, 1,1996MM12,1244352.0,1443278.0,198926.0
12, 1,1996JJ00,11821803.0,12500918.0,679115.0
13, 1,1997MM01,1263841.0,1483250.0,219409.0
14, 1,1997MM02,1126235.0,1125072.0,-1163.0
15, 1,1997MM03,1040007.0,1118335.0,78328.0
16, 1,1997MM04,1110823.0,1093773.0,-17050.0
17, 1,1997MM05,1066906.0,1049745.0,-17161.0
18, 1,1997MM06,1027141.0,977179.0,-49962.0
19, 1,1997MM07,1162268.0,999311.0,-162957.0
20, 1,1997MM08,1229566.0,1029595.0,-199971.0
21, 1,1997MM09,1030813.0,997239.0,-33574.0
22, 1,1997MM10,1137364.0,1106574.0,-30790.0
23, 1,1997MM11,1035745.0,1165709.0,129964.0
24, 1,1997MM12,950523.0,1201012.0,250489.0
25, 1,1997JJ00,13181232.0,13346794.0,165562.0
26, 1,1998MM01,1008858.0,1176331.0,167473.0
27, 1,1998MM02,923306.0,987442.0,64136.0
28, 1,1998MM03,934228.0,1101516.0,167288.0
29, 1,1998MM04,919551.0,959304.0,39753.0
30, 1,1998MM05,860100.0,834851.0,-25249.0
31, 1,1998MM06,811871.0,801711.0,-10160.0
32, 1,1998MM07,831350.0,845805.0,14455.0
33, 1,1998MM08,845891.0,793236.0,-52655.0
34, 1,1998MM09,836796.0,787705.0,-49091.0
35, 1,1998MM10,795463.0,846102.0,50639.0
36, 1,1998MM11,659308.0,920790.0,261482.0
37, 1,1998MM12,683001.0,945665.0,262664.0
38, 1,1998JJ00,10109723.0,11000458.0,890735.0
39, 1,1999MM01,782082.0,868630.0,86548.0
40, 1,1999MM02,662335.0,829362.0,167027.0
41, 1,1999MM03,863192.0,940820.0,77628.0
42, 1,1999MM04,904446.0,864601.0,-39845.0
43, 1,1999MM05,941917.0,784177.0,-157740.0
44, 1,1999MM06,946044.0,801348.0,-144696.0
45, 1,1999MM07,1166749.0,867312.0,-299437.0
46, 1,1999MM08,1067870.0,969127.0,-98743.0
47, 1,1999MM09,1245919.0,1022887.0,-223032.0
48, 1,1999MM10,1210834.0,1153668.0,-57166.0
49, 1,1999MM11,1368457.0,1363257.0,-5200.0
50, 1,1999MM12,1498540.0,1572161.0,73621.0
51, 1,1999JJ00,12658385.0,12037350.0,-621035.0
52, 1,2000MM01,1676335.0,1635747.0,-40588.0
53, 1,2000MM02,1779021.0,1695070.0,-83951.0
54, 1,2000MM03,1633954.0,1736994.0,103040.0
55, 1,2000MM04,1624734.0,1554095.0,-70639.0
56, 1,2000MM05,1726188.0,1651107.0,-75081.0
57, 1,2000MM06,2030601.0,1661442.0,-369159.0
58, 1,2000MM07,2011802.0,1751461.0,-260341.0
59, 1,2000MM08,1837650.0,1718696.0,-118954.0
60, 1,2000MM09,2294625.0,1834643.0,-459982.0
61, 1,2000MM10,2122927.0,1991927.0,-131000.0
62, 1,2000MM11,2163549.0,2184815.0,21266.0
63, 1,2000MM12,2023991.0,2026988.0,2997.0
64, 1,2000JJ00,22925377.0,21442985.0,-1482392.0
65, 1,2001MM01,2061056.0,2316325.0,255269.0
66, 1,2001MM02,1791399.0,2057360.0,265961.0
67, 1,2001MM03,2028620.0,2131895.0,103275.0
68, 1,2001MM04,1928278.0,2216432.0,288154.0
69, 1,2001MM05,2234956.0,2216017.0,-18939.0
70, 1,2001MM06,2043682.0,1864355.0,-179327.0
71, 1,2001MM07,2067987.0,1806194.0,-261793.0
72, 1,2001MM08,1975651.0,1767091.0,-208560.0
73, 1,2001MM09,1794104.0,1888455.0,94351.0
74, 1,2001MM10,1578711.0,1778113.0,199402.0
75, 1,2001MM11,1676300.0,1772509.0,96209.0
76, 1,2001MM12,1597022.0,1831337.0,234315.0
77, 1,2001JJ00,22777766.0,23646083.0,868317.0
78, 1,2002MM01,1588485.0,1802156.0,213671.0
79, 1,2002MM02,1688543.0,1630870.0,-57673.0
80, 1,2002MM03,1964577.0,1847180.0,-117397.0
81, 1,2002MM04,1815000.0,1765670.0,-49330.0
82, 1,2002MM05,1942141.0,1684053.0,-258088.0
83, 1,2002MM06,1846152.0,1691290.0,-154862.0
84, 1,2002MM07,1544338.0,1542671.0,-1667.0
85, 1,2002MM08,1785750.0,1513088.0,-272662.0
86, 1,2002MM09,1828098.0,1764082.0,-64016.0
87, 1,2002MM10,1946125.0,1854750.0,-91375.0
88, 1,2002MM11,1741686.0,1635558.0,-106128.0
89, 1,2002MM12,2039320.0,2173731.0,134411.0
90, 1,2002JJ00,21730215.0,20905099.0,-825116.0
91, 1,2003MM01,1939184.0,2185080.0,245896.0
92, 1,2003MM02,1940689.0,2136917.0,196228.0
93, 1,2003MM03,2175570.0,2121789.0,-53781.0
94, 1,2003MM04,1941544.0,1588809.0,-352735.0
95, 1,2003MM05,1761422.0,1524219.0,-237203.0
96, 1,2003MM06,1790178.0,1532435.0,-257743.0
97, 1,2003MM07,1788330.0,1527532.0,-260798.0
98, 1,2003MM08,2029570.0,1486054.0,-543516.0
99, 1,2003MM09,1731192.0,1483832.0,-247360.0
100, 1,2003MM10,1801022.0,1950319.0,149297.0
101, 1,2003MM11,1709818.0,1813506.0,103688.0
102, 1,2003MM12,1876421.0,1964054.0,87633.0
103, 1,2003JJ00,22484940.0,21314546.0,-1170394.0
104, 1,2004MM01,1921389.0,2010577.0,89188.0
105, 1,2004MM02,1868096.0,1874054.0,5958.0
106, 1,2004MM03,2130672.0,2078311.0,-52361.0
107, 1,2004MM04,2052718.0,1824085.0,-228633.0
108, 1,2004MM05,2283554.0,1928987.0,-354567.0
109, 1,2004MM06,2377168.0,1782864.0,-594304.0
110, 1,2004MM07,2452264.0,2013819.0,-438445.0
111, 1,2004MM08,2768416.0,2056934.0,-711482.0
112, 1,2004MM09,2609345.0,2135515.0,-473830.0
113, 1,2004MM10,2694922.0,2379893.0,-315029.0
114, 1,2004MM11,2531748.0,2391715.0,-140033.0
115, 1,2004MM12,2427331.0,2435514.0,8183.0
116, 1,2004JJ00,28117623.0,24912268.0,-3205355.0
117, 1,2005MM01,2548585.0,2613809.0,65224.0
118, 1,2005MM02,2478658.0,2441823.0,-36835.0
119, 1,2005MM03,3067190.0,2520903.0,-546287.0
120, 1,2005MM04,2884094.0,2628895.0,-255199.0
121, 1,2005MM05,2919182.0,2535766.0,-383416.0
122, 1,2005MM06,3012669.0,2380371.0,-632298.0
123, 1,2005MM07,3370679.0,2515873.0,-854806.0
124, 1,2005MM08,3426580.0,2721101.0,-705479.0
125, 1,2005MM09,3541570.0,2998720.0,-542850.0
126, 1,2005MM10,3639614.0,3101015.0,-538599.0
127, 1,2005MM11,3668338.0,3505450.0,-162888.0
128, 1,2005MM12,3701985.0,3623138.0,-78847.0
129, 1,2005JJ00,38259144.0,33586864.0,-4672280.0
130, 1,2006MM01,4024177.0,3932760.0,-91417.0
131, 1,2006MM02,3523597.0,3785515.0,261918.0
132, 1,2006MM03,4122623.0,4434634.0,312011.0
133, 1,2006MM04,3883684.0,3756251.0,-127433.0
134, 1,2006MM05,4407970.0,3563252.0,-844718.0
135, 1,2006MM06,4338637.0,3585101.0,-753536.0
136, 1,2006MM07,4478830.0,3426354.0,-1052476.0
137, 1,2006MM08,4698177.0,3813223.0,-884954.0
138, 1,2006MM09,4165039.0,3196458.0,-968581.0
139, 1,2006MM10,4227432.0,3670283.0,-557149.0
140, 1,2006MM11,3770741.0,3730721.0,-40020.0
141, 1,2006MM12,3678331.0,3974107.0,295776.0
142, 1,2006JJ00,49319238.0,44868659.0,-4450579.0
143, 1,2007MM01,3651605.0,3521142.0,-130463.0
144, 1,2007MM02,3603218.0,3326239.0,-276979.0
145, 1,2007MM03,3978032.0,3513457.0,-464575.0
146, 1,2007MM04,4063375.0,3582759.0,-480616.0
147, 1,2007MM05,4645687.0,3498197.0,-1147490.0
148, 1,2007MM06,4183116.0,3559222.0,-623894.0
149, 1,2007MM07,4333949.0,3707030.0,-626919.0
150, 1,2007MM08,4406154.0,3639606.0,-766548.0
151, 1,2007MM09,4390434.0,3793288.0,-597146.0
152, 1,2007MM10,4217665.0,4313129.0,95464.0
153, 1,2007MM11,5091177.0,4844425.0,-246752.0
154, 1,2007MM12,4857710.0,5034958.0,177248.0
155, 1,2007JJ00,51422122.0,46333452.0,-5088670.0
156, 1,2008MM01,5119676.0,4903668.0,-216008.0
157, 1,2008MM02,4737614.0,5027883.0,290269.0
158, 1,2008MM03,5425255.0,5145502.0,-279753.0
159, 1,2008MM04,5195396.0,5370230.0,174834.0
160, 1,2008MM05,5779583.0,4767547.0,-1012036.0
161, 1,2008MM06,6298652.0,5455023.0,-843629.0
162, 1,2008MM07,6175944.0,5237924.0,-938020.0
163, 1,2008MM08,6217653.0,5357557.0,-860096.0
164, 1,2008MM09,6086619.0,5403917.0,-682702.0
165, 1,2008MM10,5060250.0,5437243.0,376993.0
166, 1,2008MM11,3950207.0,4408174.0,457967.0
167, 1,2008MM12,3096398.0,3867326.0,770928.0
168, 1,2008JJ00,63143247.0,60381994.0,-2761253.0
169, 1,2009MM01,3287215.0,4120723.0,833508.0
170, 1,2009MM02,2970037.0,3651816.0,681779.0
171, 1,2009MM03,3436547.0,3345040.0,-91507.0
172, 1,2009MM04,3339099.0,3002763.0,-336336.0
173, 1,2009MM05,3661160.0,3090877.0,-570283.0
174, 1,2009MM06,3675026.0,2821673.0,-853353.0
175, 1,2009MM07,3917675.0,3212056.0,-705619.0
176, 1,2009MM08,3942501.0,3352410.0,-590091.0
177, 1,2009MM09,3848079.0,3206144.0,-641935.0
178, 1,2009MM10,3993974.0,3464947.0,-529027.0
179, 1,2009MM11,3977059.0,3820635.0,-156424.0
180, 1,2009MM12,4406890.0,3959591.0,-447299.0
181, 1,2009JJ00,44455262.0,41048675.0,-3406587.0
182, 1,2010MM01,4827736.0,4183320.0,-644416.0
183, 1,2010MM02,4507189.0,4285128.0,-222061.0
184, 1,2010MM03,5249062.0,4874043.0,-375019.0
185, 1,2010MM04,5009908.0,4317950.0,-691958.0
186, 1,2010MM05,5195771.0,4374064.0,-821707.0
187, 1,2010MM06,5079423.0,4178154.0,-901269.0
188, 1,2010MM07,5531062.0,4417888.0,-1113174.0
189, 1,2010MM08,5109363.0,4458840.0,-650523.0
190, 1,2010MM09,4773753.0,4419393.0,-354360.0
191, 1,2010MM10,5347125.0,4625557.0,-721568.0
192, 1,2010MM11,5379543.0,5126943.0,-252600.0
193, 1,2010MM12,6114549.0,5842767.0,-271782.0
194, 1,2010JJ00,62124484.0,55104047.0,-7020437.0
195, 1,2011MM01,6346091.0,6002001.0,-344090.0
196, 1,2011MM02,5900935.0,6050704.0,149769.0
197, 1,2011MM03,7265533.0,6562786.0,-702747.0
198, 1,2011MM04,6115096.0,6374603.0,259507.0
199, 1,2011MM05,7062343.0,5710285.0,-1352058.0
200, 1,2011MM06,7027841.0,5449212.0,-1578629.0
201, 1,2011MM07,6644644.0,5671972.0,-972672.0
202, 1,2011MM08,7359822.0,5678734.0,-1681088.0
203, 1,2011MM09,7192534.0,5673383.0,-1519151.0
204, 1,2011MM10,7065705.0,5988141.0,-1077564.0
205, 1,2011MM11,7788175.0,6916246.0,-871929.0
206, 1,2011MM12,6934803.0,6997338.0,62535.0
207, 1,2011JJ00,82703522.0,73075405.0,-9628117.0
208, 1,2012MM01,7492202.0,7420119.0,-72083.0
209, 1,2012MM02,8478866.0,7757720.0,-721146.0
210, 1,2012MM03,8748316.0,7426572.0,-1321744.0
211, 1,2012MM04,8382956.0,7621181.0,-761775.0
212, 1,2012MM05,8414863.0,7201402.0,-1213461.0
213, 1,2012MM06,7501787.0,6378168.0,-1123619.0
214, 1,2012MM07,8031203.0,6741755.0,-1289448.0
215, 1,2012MM08,9198243.0,6600515.0,-2597728.0
216, 1,2012MM09,8500998.0,7133484.0,-1367514.0
217, 1,2012MM10,9260617.0,8128271.0,-1132346.0
218, 1,2012MM11,9494903.0,7937433.0,-1557470.0
219, 1,2012MM12,8791918.0,7760865.0,-1031053.0
220, 1,2012JJ00,102296872.0,88107485.0,-14189387.0
221, 1,2013MM01,8568871.0,8074259.0,-494612.0
222, 1,2013MM02,8570003.0,7662976.0,-907027.0
223, 1,2013MM03,8066695.0,8285029.0,218334.0
224, 1,2013MM04,7800532.0,7152252.0,-648280.0
225, 1,2013MM05,8136832.0,7593728.0,-543104.0
226, 1,2013MM06,7713840.0,6720641.0,-993199.0
227, 1,2013MM07,7986953.0,7060205.0,-926748.0
228, 1,2013MM08,7479868.0,6776619.0,-703249.0
229, 1,2013MM09,7917564.0,6361591.0,-1555973.0
230, 1,2013MM10,8055845.0,7466450.0,-589395.0
231, 1,2013MM11,7490221.0,7460457.0,-29764.0
232, 1,2013MM12,7648110.0,7121340.0,-526770.0
233, 1,2013JJ00,95435334.0,87735547.0,-7699787.0
234, 1,2014MM01,7736798.0,7651490.0,-85308.0
235, 1,2014MM02,6895711.0,6837525.0,-58186.0
236, 1,2014MM03,7500660.0,6512368.0,-988292.0
237, 1,2014MM04,7265998.0,6726057.0,-539941.0
238, 1,2014MM05,7831918.0,5986591.0,-1845327.0
239, 1,2014MM06,6964027.0,6007523.0,-956504.0
240, 1,2014MM07,7660324.0,6155017.0,-1505307.0
241, 1,2014MM08,7037419.0,5478583.0,-1558836.0
242, 1,2014MM09,6750410.0,5945955.0,-804455.0
243, 1,2014MM10,6423873.0,6313637.0,-110236.0
244, 1,2014MM11,5632715.0,6040224.0,407509.0
245, 1,2014MM12,5455917.0,5834772.0,378855.0
246, 1,2014JJ00,83155770.0,75489742.0,-7666028.0
247, 1,2015MM01,4806528.0,5239361.0,432833.0
248, 1,2015MM02,4855472.0,5337947.0,482475.0
249, 1,2015MM03,5990350.0,5854190.0,-136160.0
250, 1,2015MM04,6000597.0,5354040.0,-646557.0
251, 1,2015MM05,6532479.0,4942080.0,-1590399.0
252, 1,2015MM06,6104264.0,5323956.0,-780308.0
253, 1,2015MM07,5951165.0,4867608.0,-1083557.0
254, 1,2015MM08,5389324.0,4384429.0,-1004895.0
255, 1,2015MM09,5161036.0,4220160.0,-940876.0
256, 1,2015MM10,5109199.0,4383726.0,-725473.0
257, 1,2015MM11,4295486.0,4034767.0,-260719.0
258, 1,2015MM12,4406008.0,4456398.0,50390.0
259, 1,2015JJ00,64601908.0,58398662.0,-6203246.0
260, 1,2016MM01,3792689.0,3924378.0,131689.0
261, 1,2016MM02,3725896.0,3746787.0,20891.0
262, 1,2016MM03,3967283.0,4012188.0,44905.0
263, 1,2016MM04,4351035.0,4052452.0,-298583.0
264, 1,2016MM05,4770482.0,4213972.0,-556510.0
265, 1,2016MM06,4634293.0,4197597.0,-436696.0
266, 1,2016MM07,4768976.0,4175021.0,-593955.0
267, 1,2016MM08,4439980.0,4136808.0,-303172.0
268, 1,2016MM09,4665125.0,4208019.0,-457106.0
269, 1,2016MM10,5281941.0,4906891.0,-375050.0
270, 1,2016MM11,5089095.0,5209583.0,120488.0
271, 1,2016MM12,5541510.0,5494503.0,-47007.0
272, 1,2016JJ00,55028305.0,52278199.0,-2750106.0
273, 1,2017MM01,6149254.0,5832585.0,-316669.0
274, 1,2017MM02,5715797.0,5888592.0,172795.0
275, 1,2017MM03,6031454.0,5661682.0,-369772.0
276, 1,2017MM04,5589153.0,4815660.0,-773493.0
277, 1,2017MM05,5418389.0,5163336.0,-255053.0
278, 1,2017MM06,5175274.0,4865816.0,-309458.0
279, 1,2017MM07,4856460.0,4646994.0,-209466.0
280, 1,2017MM08,5149131.0,4333729.0,-815402.0
281, 1,2017MM09,4973549.0,4875544.0,-98005.0
282, 1,2017MM10,5146399.0,4924944.0,-221455.0
283, 1,2017MM11,6159098.0,5451230.0,-707868.0
284, 1,2017MM12,6256430.0,5790470.0,-465960.0
285, 1,2017JJ00,66620388.0,62250582.0,-4369806.0
286, 1,2018MM01,6807265.0,5862183.0,-945082.0
287, 1,2018MM02,6377224.0,5828935.0,-548289.0
288, 1,2018MM03,6360635.0,5721427.0,-639208.0
289, 1,2018MM04,6027614.0,5156774.0,-870840.0
290, 1,2018MM05,6410691.0,6212165.0,-198526.0
291, 1,2018MM06,6429141.0,5445514.0,-983627.0
292, 1,2018JJ00,38412570.0,34226998.0,-4185572.0
293, 2,1996MM01,211355.0,965898.0,754543.0
294, 2,1996MM02,190252.0,951004.0,760752.0
295, 2,1996MM03,245754.0,1042346.0,796592.0
296, 2,1996MM04,233501.0,840424.0,606923.0
297, 2,1996MM05,232133.0,786083.0,553950.0
298, 2,1996MM06,212624.0,750883.0,538259.0
299, 2,1996MM07,198595.0,782666.0,584071.0
300, 2,1996MM08,187904.0,689816.0,501912.0
301, 2,1996MM09,257561.0,873798.0,616237.0
302, 2,1996MM10,273938.0,925969.0,652031.0
303, 2,1996MM11,276483.0,1021253.0,744770.0
304, 2,1996MM12,300314.0,1306990.0,1006676.0
305, 2,1996JJ00,2820414.0,10937130.0,8116716.0
306, 2,1997MM01,339188.0,1340709.0,1001521.0
307, 2,1997MM02,323567.0,1024141.0,700574.0
308, 2,1997MM03,299224.0,981018.0,681794.0
309, 2,1997MM04,314038.0,942485.0,628447.0
310, 2,1997MM05,339386.0,888266.0,548880.0
311, 2,1997MM06,281445.0,850445.0,569000.0
312, 2,1997MM07,290798.0,856789.0,565991.0
313, 2,1997MM08,279652.0,888504.0,608852.0
314, 2,1997MM09,320750.0,867160.0,546410.0
315, 2,1997MM10,307500.0,987228.0,679728.0
316, 2,1997MM11,307323.0,1050169.0,742846.0
